Date,symbol,Low,High,Close,Open,Volume
1999-11-18,A,40.0,49.75,44.0,45.5,62546300.0
1999-11-19,A,39.813,43.0,40.375,42.938,15234100.0
1999-11-22,A,40.063,44.0,44.0,41.313,6577800.0
1999-11-23,A,40.0,43.625,40.0,42.5,5975600.0
1999-11-24,A,40.0,41.938,41.063,40.125,4843200.0
1999-11-26,A,40.75,41.4994,41.188,40.875,1729400.0
1999-11-29,A,40.563,42.438,42.125,41.0,4074700.0
1999-11-30,A,40.938,42.938,42.188,42.0,4310000.0
1999-12-01,A,41.875,43.438,42.938,42.188,2957300.0
1999-12-02,A,43.188,45.0,44.125,43.75,3069800.0
1999-12-03,A,44.313,45.688,44.5,44.938,3041600.0
1999-12-06,A,45.188,46.438,45.75,45.25,2250700.0
1999-12-07,A,44.313,46.0,45.25,45.75,2215900.0
1999-12-08,A,44.813,45.625,45.188,45.25,1887800.0
1999-12-09,A,45.25,45.9406,45.813,45.25,2029000.0
1999-12-10,A,44.75,45.938,44.75,45.688,1664700.0
1999-12-13,A,44.3762,46.25,45.5,45.5,4020500.0
1999-12-14,A,42.063,45.375,43.0,45.375,2328900.0
1999-12-15,A,41.0,42.313,41.688,42.0,2917700.0
1999-12-16,A,42.0,48.0,47.25,42.0,2583900.0
1999-12-17,A,45.438,47.125,45.938,46.375,3708000.0
1999-12-20,A,46.125,46.938,46.875,46.25,1196800.0
1999-12-21,A,46.0,46.688,46.625,46.688,2259400.0
1999-12-22,A,46.313,47.563,47.563,46.625,1905700.0
1999-12-23,A,47.438,50.0,49.75,47.5,2159400.0
1999-12-27,A,49.563,53.188,52.813,49.938,2029600.0
1999-12-28,A,53.938,61.5,61.5,54.25,3560000.0
1999-12-29,A,62.938,79.063,72.0,63.0,10518500.0
1999-12-30,A,74.25,80.0,79.25,76.0,6671100.0
1999-12-31,A,76.25,79.938,77.313,79.5,1931100.0
2000-01-03,A,67.375,78.938,72.0,78.75,4674300.0
2000-01-04,A,64.7503,68.875,66.5,68.125,4765000.0
2000-01-05,A,60.313,66.25,62.375,66.25,5758600.0
2000-01-06,A,58.1304,62.0,60.0,61.625,2534400.0
2000-01-07,A,59.0,65.938,65.0,59.063,2819600.0
