Date,symbol,Low,High,Close,Open,Volume
2013-01-02,ABBV,34.1,35.4,35.12,34.92,13767900.0
2013-01-03,ABBV,34.16,35.0,34.83,35.0001,16739300.0
2013-01-04,ABBV,34.25,34.89,34.391,34.62,21372100.0
2013-01-07,ABBV,34.15,35.45,34.46,34.15,17897100.0
2013-01-08,ABBV,33.36,34.64,33.71,34.29,17863300.0
2013-01-09,ABBV,33.61,33.95,33.9,33.61,18800400.0
2013-01-10,ABBV,33.33,34.0,34.0,33.66,15658100.0
2013-01-11,ABBV,33.35,33.9039,33.85,33.59,11191500.0
2013-01-14,ABBV,33.8,34.25,34.09,34.01,11584900.0
2013-01-15,ABBV,33.71,34.72,34.6,33.71,13040200.0
2013-01-16,ABBV,34.45,35.54,35.54,34.47,16512700.0
2013-01-17,ABBV,35.7508,36.7,36.42,35.75,14424800.0
2013-01-18,ABBV,36.04,37.32,37.32,36.43,17842200.0
2013-01-22,ABBV,35.93,37.25,36.42,36.98,15809700.0
2013-01-23,ABBV,36.5,37.84,37.8,36.91,10981600.0
2013-01-24,ABBV,37.2289,38.52,37.46,37.79,11327100.0
2013-01-25,ABBV,36.64,37.84,37.6,37.52,8934600.0
2013-01-28,ABBV,36.71,37.87,36.89,37.65,7140100.0
2013-01-29,ABBV,36.25,37.46,37.31,36.71,8838500.0
2013-01-30,ABBV,36.81,37.525,36.93,36.81,10841800.0
2013-01-31,ABBV,36.27,36.93,36.69,36.84,10720700.0
2013-02-01,ABBV,36.52,37.2,37.18,36.84,9527500.0
2013-02-04,ABBV,36.55,37.3,37.28,36.64,6348000.0
2013-02-05,ABBV,37.18,37.73,37.2,37.42,7284400.0
2013-02-06,ABBV,36.86,37.28,37.14,36.96,5738900.0
2013-02-07,ABBV,35.8014,37.57,36.42,37.57,9872500.0
2013-02-08,ABBV,35.825,36.42,36.25,36.37,13858700.0
2013-02-11,ABBV,35.7551,36.18,35.85,36.13,6032100.0
2013-02-12,ABBV,35.2,35.9,35.42,35.77,7473800.0
2013-02-13,ABBV,35.15,35.57,35.27,35.42,4859800.0
2013-02-14,ABBV,35.01,36.73,36.57,35.05,7570100.0
2013-02-15,ABBV,36.93,37.81,37.58,36.93,13296300.0
2013-02-19,ABBV,37.11,38.33,38.19,37.54,8292700.0
2013-02-20,ABBV,37.61,39.13,38.61,38.16,8096400.0
2013-02-21,ABBV,38.19,39.025,38.78,38.49,7260900.0
2013-02-22,ABBV,38.14,38.85,38.46,38.79,4490400.0
2013-02-25,ABBV,37.37,38.61,37.37,38.54,4665600.0
2013-02-26,ABBV,36.96,37.6,37.09,37.6011,4463000.0
2013-02-27,ABBV,36.4,36.98,36.73,36.97,12238400.0
2013-02-28,ABBV,36.5,37.14,36.92,36.66,10321000.0
2013-03-01,ABBV,36.551,38.07,37.81,36.8,8929400.0
2013-03-04,ABBV,37.53,38.25,38.24,37.53,5420800.0
2013-03-05,ABBV,37.29,38.57,37.51,38.45,6650400.0
2013-03-06,ABBV,37.37,37.86,37.74,37.5595,5489500.0
2013-03-07,ABBV,37.44,38.01,37.49,37.65,4442500.0
2013-03-08,ABBV,37.16,37.65,37.34,37.64,4114500.0
2013-03-11,ABBV,37.08,38.1504,37.67,37.25,4614400.0
2013-03-12,ABBV,37.05,38.3,37.17,37.7,6523900.0
2013-03-13,ABBV,37.04,37.59,37.17,37.2,3710600.0
2013-03-14,ABBV,36.86,37.59,37.56,37.43,9859700.0
2013-03-15,ABBV,37.2762,38.54,38.5,37.44,12208300.0
2013-03-18,ABBV,37.99,38.4909,38.16,38.05,5178700.0
2013-03-19,ABBV,37.84,38.4,38.36,38.25,5108400.0
2013-03-20,ABBV,38.41,39.1909,39.06,38.5,7072900.0
2013-03-21,ABBV,38.48,38.97,38.49,38.82,4736100.0
2013-03-22,ABBV,38.3,38.97,38.97,38.57,3323400.0
2013-03-25,ABBV,38.93,39.52,39.32,39.12,6065000.0
2013-03-26,ABBV,39.57,40.52,40.21,39.57,7249500.0
2013-03-27,ABBV,39.66,40.29,40.15,40.22,4274800.0
2013-03-28,ABBV,39.775,40.8,40.78,40.26,7263400.0
2013-04-01,ABBV,39.96,41.14,41.12,39.96,5740000.0
