Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ADP,41.938,43.0634,42.5,43.0,1401900.0
1999-09-29,ADP,42.375,43.75,43.25,42.438,1316000.0
1999-09-30,ADP,43.063,44.688,44.625,43.25,3416300.0
1999-10-01,ADP,43.438,44.438,43.875,44.375,1886000.0
1999-10-04,ADP,43.875,44.75,44.75,44.0,1349300.0
1999-10-05,ADP,43.0,44.75,43.875,44.75,1338500.0
1999-10-06,ADP,43.688,44.688,44.375,44.0,1119900.0
1999-10-07,ADP,44.188,45.0,44.188,45.0,1186700.0
1999-10-08,ADP,44.313,45.375,45.125,44.313,1617700.0
1999-10-11,ADP,44.75,45.625,45.438,45.0,1245400.0
1999-10-12,ADP,44.813,45.438,44.938,45.25,892200.0
1999-10-13,ADP,44.75,45.313,44.875,45.0,943000.0
1999-10-14,ADP,44.25,46.25,45.5,44.875,1549600.0
1999-10-15,ADP,43.938,45.5,44.063,45.5,2029100.0
1999-10-18,ADP,43.5,44.438,44.25,44.313,1205000.0
1999-10-19,ADP,44.125,45.0,44.438,44.5,1040200.0
1999-10-20,ADP,44.813,46.063,46.0,44.8745,1482400.0
1999-10-21,ADP,45.313,45.938,45.875,45.438,1254800.0
1999-10-22,ADP,46.0,47.625,47.438,46.125,1856500.0
1999-10-25,ADP,46.875,47.938,47.188,47.0,1643000.0
1999-10-26,ADP,47.0,47.813,47.125,47.313,1051400.0
1999-10-27,ADP,46.625,47.2559,47.063,47.125,1236300.0
1999-10-28,ADP,47.188,48.25,47.563,47.688,1794300.0
1999-10-29,ADP,47.563,48.625,48.188,47.813,1781000.0
1999-11-01,ADP,47.938,48.688,48.063,48.5,1184400.0
1999-11-02,ADP,47.25,48.375,47.563,48.0,1228900.0
1999-11-03,ADP,46.625,47.813,47.125,47.4961,1644700.0
1999-11-04,ADP,46.5,47.375,46.688,47.375,2105200.0
1999-11-05,ADP,47.125,47.875,47.75,47.25,1532500.0
1999-11-08,ADP,47.438,48.688,48.625,47.875,1331700.0
1999-11-09,ADP,47.813,48.75,48.125,48.75,880600.0
1999-11-10,ADP,47.875,48.875,48.563,48.375,1433700.0
1999-11-11,ADP,48.563,49.438,49.313,48.813,1001800.0
1999-11-12,ADP,49.188,49.938,49.563,49.188,1361400.0
1999-11-15,ADP,49.188,49.813,49.625,49.625,1131700.0
1999-11-16,ADP,49.438,51.0,50.938,49.938,1780500.0
1999-11-17,ADP,50.5,51.25,50.688,50.938,950000.0
1999-11-18,ADP,49.6882,51.063,50.125,51.063,1438500.0
1999-11-19,ADP,49.688,50.5,50.438,49.875,1164000.0
1999-11-22,ADP,49.688,51.0,50.063,50.5,1443400.0
1999-11-23,ADP,48.9985,49.938,49.066,49.813,1392900.0
1999-11-24,ADP,48.438,50.063,49.938,48.75,1527900.0
1999-11-26,ADP,49.313,50.063,50.0,49.438,338900.0
1999-11-29,ADP,48.25,49.875,49.125,49.375,1011400.0
1999-11-30,ADP,49.063,49.6234,49.375,49.125,1063700.0
1999-12-01,ADP,48.375,49.563,48.563,49.0,1165800.0
1999-12-02,ADP,48.938,50.438,50.188,49.0,1068000.0
1999-12-03,ADP,50.0,51.875,51.25,50.0,1684500.0
1999-12-06,ADP,49.938,51.0,50.375,50.8729,1011500.0
1999-12-07,ADP,50.375,51.688,51.125,50.4352,1531800.0
1999-12-08,ADP,50.7477,51.75,50.938,51.625,1237500.0
1999-12-09,ADP,50.625,51.75,51.25,51.125,1642000.0
1999-12-10,ADP,49.813,51.25,50.25,51.25,1188500.0
1999-12-13,ADP,50.063,51.125,50.5,50.3114,1044900.0
1999-12-14,ADP,50.376999999999995,51.25,50.438,50.75,1263300.0
1999-12-15,ADP,49.438,50.625,49.828,50.063,1323900.0
1999-12-16,ADP,49.313,50.875,50.75,49.563,1297200.0
1999-12-17,ADP,49.875,51.188,50.063,50.5,2287700.0
1999-12-20,ADP,50.25,52.313,50.938,50.25,1431100.0
1999-12-21,ADP,51.0,52.938,52.938,51.375,1413700.0
1999-12-22,ADP,50.938,52.813,51.375,52.813,1248100.0
1999-12-23,ADP,51.563,52.75,52.5,51.75,629600.0
1999-12-27,ADP,51.813,52.875,52.875,52.438,1264200.0
1999-12-28,ADP,52.0,53.188,52.25,52.813,1013900.0
1999-12-29,ADP,52.375,53.813,53.563,52.5,1010800.0
1999-12-30,ADP,53.313,54.688,54.688,53.313,1099700.0
1999-12-31,ADP,53.375,54.813,53.875,54.688,512400.0
2000-01-03,ADP,51.9355,53.938,52.0,53.5,2698800.0
2000-01-04,ADP,51.5,53.0,52.0,51.625,3141100.0
2000-01-05,ADP,50.5,51.938,51.5,51.938,3008700.0
2000-01-06,ADP,51.313,52.938,52.188,51.875,2121700.0
2000-01-07,ADP,52.5,53.813,53.375,53.375,1892300.0
2000-01-10,ADP,52.875,54.75,54.688,53.0032,1722100.0
