Date,symbol,Low,High,Close,Open,Volume
1999-09-28,AES,59.75,61.125,60.438,60.0,2630000.0
1999-09-29,AES,59.813,60.4351,59.813,60.375,964200.0
1999-09-30,AES,59.0,59.938,59.0,59.938,1821600.0
1999-10-01,AES,57.688,58.875,58.063,58.8681,1640400.0
1999-10-04,AES,58.0623,58.688,58.563,58.313,2540600.0
1999-10-05,AES,57.375,58.563,57.813,58.563,2203800.0
1999-10-06,AES,57.375,58.125,57.813,57.938,1647600.0
1999-10-07,AES,56.188,58.0,57.188,57.813,2474600.0
1999-10-08,AES,56.25,57.125,56.25,57.1225,14712200.0
1999-10-11,AES,56.125,56.375,56.188,56.25,2004000.0
1999-10-12,AES,54.688,56.75,54.688,56.438,4666400.0
1999-10-13,AES,52.0,53.9958,53.5,53.75,4298000.0
1999-10-14,AES,52.875,53.5,53.0,53.375,1821600.0
1999-10-15,AES,51.063,52.938,51.25,52.75,1743400.0
1999-10-18,AES,50.43899999999999,52.313,51.375,51.625,2278600.0
1999-10-19,AES,51.438,52.938,52.75,51.625,2259000.0
1999-10-20,AES,53.0,54.625,54.625,53.3772,1941000.0
1999-10-21,AES,53.063,55.0,55.0,54.0,1537400.0
1999-10-22,AES,55.25,55.938,55.375,55.25,2387600.0
1999-10-25,AES,54.625,55.625,55.125,55.375,1391200.0
1999-10-26,AES,54.375,56.188,54.375,55.125,2026000.0
1999-10-27,AES,54.563,56.188,55.25,54.625,1916400.0
1999-10-28,AES,54.75,56.375,55.5,56.25,1440800.0
1999-10-29,AES,55.875,56.875,56.438,56.2487,1320200.0
1999-11-01,AES,56.063,56.938,56.375,56.688,1136600.0
1999-11-02,AES,56.313,57.375,57.375,56.6219,1799800.0
1999-11-03,AES,55.875,57.875,55.938,57.625,1714000.0
1999-11-04,AES,55.6278,56.625,55.75,56.188,727800.0
1999-11-05,AES,56.5,57.875,56.938,56.7479,1189600.0
1999-11-08,AES,56.5014,57.0,56.688,56.75,520400.0
1999-11-09,AES,56.0,56.875,56.563,56.813,935400.0
1999-11-10,AES,56.563,57.75,57.438,56.563,1627600.0
1999-11-11,AES,57.375,58.75,57.813,57.375,1987000.0
1999-11-12,AES,57.313,58.5,58.438,57.875,1286000.0
1999-11-15,AES,58.5,59.938,59.75,58.813,1422000.0
1999-11-16,AES,59.25,61.25,61.125,59.25,2184400.0
1999-11-17,AES,60.188,61.25,60.313,61.0,1533800.0
1999-11-18,AES,60.25,61.563,61.25,60.313,1602000.0
1999-11-19,AES,60.875,61.375,60.938,61.125,1216600.0
1999-11-22,AES,60.0,62.313,60.313,62.0,1340200.0
1999-11-23,AES,58.438,60.25,58.563,60.25,1079600.0
1999-11-24,AES,55.563,58.563,56.688,58.563,1648800.0
1999-11-26,AES,56.625,57.25,56.938,56.75,1251200.0
1999-11-29,AES,54.313,57.25,56.625,56.938,1536800.0
1999-11-30,AES,56.625,59.0,57.938,56.625,1686400.0
1999-12-01,AES,57.563,57.9998,58.0,57.75,1036400.0
1999-12-02,AES,57.625,58.438,58.438,57.875,854800.0
1999-12-03,AES,58.438,60.5,59.313,58.438,1388600.0
1999-12-06,AES,58.625,60.5,58.688,60.25,723800.0
1999-12-07,AES,58.5,60.813,60.688,58.75,1667800.0
1999-12-08,AES,60.188,62.25,61.5,60.75,2526200.0
1999-12-09,AES,63.0,64.875,63.688,63.0,1440000.0
1999-12-10,AES,61.688,63.5,61.813,63.5,1028800.0
1999-12-13,AES,61.063,62.0,61.563,61.875,1547800.0
1999-12-14,AES,60.8163,61.625,61.5,61.313,1743800.0
1999-12-15,AES,61.125,62.875,62.75,61.375,1202800.0
1999-12-16,AES,60.938,63.75,61.0,63.75,1614800.0
1999-12-17,AES,60.9974,65.0,65.0,61.25,2162800.0
