Date,symbol,Low,High,Close,Open,Volume
2018-01-04,AET,181.84,184.39,183.37,181.87,3321347.0
2018-03-05,AET,176.74,178.91,178.46,177.2,1736775.0
2018-03-13,AET,176.87400000000002,177.62,177.44,177.46,2333877.0
2018-03-14,AET,176.16,177.68,176.62,177.58,1887897.0
2018-03-15,AET,174.15099999999998,176.86,174.59,176.5,1873553.0
2018-03-16,AET,173.85,175.19,173.91,174.88,1900422.0
2018-03-19,AET,171.54,174.26,172.06,173.9,1405117.0
2018-03-20,AET,171.01,172.77,171.63,172.29,1801710.0
2018-03-21,AET,169.9,172.1,170.01,171.3,1980097.0
2018-03-22,AET,169.03,170.55,169.45,169.55,1680657.0
2018-03-23,AET,168.06,169.81,168.11,169.53,1530017.0
2018-03-26,AET,168.37,171.0,170.75,168.77,1336189.0
2018-03-27,AET,168.01,170.95,168.36,170.75,2176957.0
2018-03-28,AET,168.37,170.38,169.43,168.94,1573264.0
2018-03-29,AET,168.195,169.82,169.0,169.76,2775402.0
2018-04-02,AET,166.885,169.36,168.11,169.01,2989578.0
2018-04-03,AET,168.15,169.38,168.76,168.63,1952316.0
2018-04-04,AET,167.38,170.96,170.39,168.16,1847803.0
2018-04-05,AET,170.11,173.12,170.71,170.73,2011075.0
2018-04-06,AET,169.19,170.93,170.38,170.3,2845351.0
2018-04-09,AET,169.45,173.39,171.52,170.62,3074587.0
2018-04-10,AET,170.69,174.11,173.87,172.17,8211422.0
2018-04-11,AET,170.84,173.45,171.27,172.65,2382297.0
2018-04-12,AET,171.41,173.89,173.28,171.67,2558111.0
2018-04-13,AET,172.44,174.13,172.93,173.97,2350627.0
2018-04-16,AET,173.38,177.6,175.89,173.94,2658641.0
2018-04-17,AET,175.23,177.39,177.29,177.11,2547608.0
2018-04-18,AET,176.955,178.22,177.53,177.1,1986332.0
2018-04-19,AET,175.47,177.41,176.43,177.0,1243509.0
2018-04-20,AET,175.58,177.08,176.92,176.68,1673802.0
2018-04-23,AET,176.18,177.42,177.1,177.07,2281983.0
2018-04-24,AET,176.43,178.44,177.2,177.74,1614310.0
2018-04-25,AET,176.5,179.04,178.99,177.03,1292777.0
2018-04-26,AET,178.05,179.9,178.82,178.72,2411627.0
2018-04-27,AET,178.71,181.26,179.88,178.71,1101625.0
2018-04-30,AET,178.86,181.0,179.05,180.02,1910701.0
2018-05-01,AET,178.35,180.68,178.71,179.67,1921134.0
2018-05-02,AET,176.11,179.0,176.75,178.84,2433702.0
2018-05-03,AET,171.55,176.33,172.13,176.33,3741742.0
2018-05-04,AET,171.02,173.235,172.26,171.68,2027504.0
2018-05-07,AET,171.35,172.695,171.4,172.39,2032045.0
2018-05-08,AET,170.19,171.47,170.83,171.19,1965830.0
2018-05-09,AET,170.04,171.84,170.57,170.8,1988926.0
2018-05-10,AET,170.15,172.31,170.59,170.99,1633873.0
