Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ALK,38.0,39.2515,38.375,38.563,1796800.0
1999-09-29,ALK,38.375,40.0,39.938,38.625,2983600.0
1999-09-30,ALK,39.501999999999995,40.75,40.688,40.188,663600.0
1999-10-01,ALK,39.875,40.625,40.375,40.625,406800.0
1999-10-04,ALK,40.375,43.75,43.438,40.375,1083600.0
1999-10-05,ALK,41.688,43.813,42.125,43.188,1141200.0
1999-10-06,ALK,42.188,42.938,42.813,42.375,530400.0
1999-10-07,ALK,41.188,43.2519,41.5,43.0,1310000.0
1999-10-08,ALK,42.188,43.6898,42.688,42.188,928400.0
1999-10-11,ALK,41.063,42.75,41.125,42.75,436800.0
1999-10-12,ALK,39.438,41.25,39.75,41.063,766000.0
1999-10-13,ALK,39.563,41.063,40.125,39.688,942800.0
1999-10-14,ALK,39.688,40.625,39.938,40.25,845600.0
1999-10-15,ALK,38.25,39.688,38.563,39.5,647200.0
1999-10-18,ALK,38.125,39.625,38.125,38.688,585600.0
1999-10-19,ALK,38.25,39.125,38.25,38.5,771200.0
1999-10-20,ALK,37.313,38.313,37.75,38.125,808400.0
1999-10-21,ALK,37.0001,37.813,37.438,37.5,655600.0
1999-10-22,ALK,37.0,39.0,38.625,37.375,635600.0
1999-10-25,ALK,37.5,38.375,37.625,38.375,820800.0
1999-10-26,ALK,36.313,38.063,36.938,37.688,2009600.0
1999-10-27,ALK,37.313,38.938,38.813,37.5,1600800.0
1999-10-28,ALK,37.75,39.5,39.313,39.063,1055200.0
1999-10-29,ALK,39.5,40.438,39.75,39.563,766400.0
1999-11-01,ALK,38.938,39.8127,39.0,39.813,634800.0
1999-11-02,ALK,38.813,39.938,39.188,38.875,511600.0
1999-11-03,ALK,39.25,40.313,40.25,39.25,718000.0
1999-11-04,ALK,39.5,40.6893,40.0,40.5,676400.0
1999-11-05,ALK,39.625,40.75,40.438,40.25,920000.0
1999-11-08,ALK,39.938,40.688,40.063,40.313,541600.0
1999-11-09,ALK,39.4993,40.125,39.625,39.938,591200.0
1999-11-10,ALK,38.5,40.25,39.0,39.625,820000.0
1999-11-11,ALK,38.375,39.25,39.0,39.063,472400.0
1999-11-12,ALK,38.813,39.625,39.313,39.5,1055600.0
1999-11-15,ALK,38.813,39.25,39.0,39.188,306000.0
1999-11-16,ALK,38.875,39.313,39.25,38.875,438400.0
1999-11-17,ALK,38.063,38.875,38.25,38.875,600400.0
1999-11-18,ALK,37.063,38.313,38.063,38.313,874800.0
1999-11-19,ALK,36.25,37.813,37.25,37.813,1172800.0
1999-11-22,ALK,36.563,38.125,37.563,37.0614,858400.0
1999-11-23,ALK,37.563,39.0,38.875,37.688,1594400.0
1999-11-24,ALK,38.063,38.8757,38.063,38.875,700400.0
1999-11-26,ALK,37.625,38.125,37.625,38.063,112400.0
1999-11-29,ALK,36.625,37.313,37.125,36.875,1582400.0
1999-11-30,ALK,37.125,38.313,38.0,37.125,791200.0
1999-12-01,ALK,36.938,38.563,37.063,37.938,1149200.0
1999-12-02,ALK,36.625,37.375,37.0,37.188,621200.0
1999-12-03,ALK,36.9373,37.625,37.125,37.125,648800.0
1999-12-06,ALK,36.063,36.688,36.313,36.625,744800.0
1999-12-07,ALK,36.3767,37.0,36.625,36.5,1806800.0
1999-12-08,ALK,35.125,37.875,35.25,37.0,1200400.0
1999-12-09,ALK,34.25,36.0,34.875,35.375,952400.0
