Date,symbol,Low,High,Close,Open,Volume
2013-11-18,ALLE,47.49,50.0,48.48,49.75,587100.0
2013-11-19,ALLE,45.3,49.0,45.8,48.99,1682000.0
2013-11-20,ALLE,43.99,46.0,44.65,45.98,1106900.0
2013-11-21,ALLE,43.04,45.15,43.79,44.5,730200.0
2013-11-22,ALLE,43.25,44.1,43.99,43.9,947600.0
2013-11-25,ALLE,43.7,45.62,44.18,44.28,727300.0
2013-11-26,ALLE,43.04,45.0,43.2,45.0,873700.0
2013-11-27,ALLE,42.5,43.55,43.24,43.55,1153300.0
2013-11-29,ALLE,42.75,43.85,43.24,42.75,949900.0
2013-12-02,ALLE,41.52,43.67,43.14,43.08,5130700.0
2013-12-03,ALLE,42.7,44.85,42.9,42.8,3239300.0
2013-12-04,ALLE,41.65,42.61,41.83,42.43,2777700.0
2013-12-05,ALLE,40.63,42.28,41.05,42.28,3380500.0
2013-12-06,ALLE,40.64,41.06,40.7,40.75,4662300.0
2013-12-09,ALLE,40.2408,41.27,41.18,40.7,3074000.0
2013-12-10,ALLE,41.0407,42.84,42.56,41.07,3289400.0
2013-12-11,ALLE,42.0,43.015,42.46,42.32,3367300.0
2013-12-12,ALLE,42.0,43.1,42.97,42.01,1770500.0
2013-12-13,ALLE,42.92,43.8,43.25,42.92,683800.0
2013-12-16,ALLE,42.11,43.99,43.69,43.01,1953900.0
2013-12-17,ALLE,43.16,44.0,43.75,43.43,1396700.0
2013-12-18,ALLE,43.1,44.5,44.27,43.65,1225200.0
2013-12-19,ALLE,43.82,44.5,44.45,43.96,593000.0
2013-12-20,ALLE,43.91,44.4503,44.26,44.3,2878600.0
2013-12-23,ALLE,43.55,44.85,44.65,44.17,773600.0
2013-12-24,ALLE,44.25,45.02,44.58,44.76,304700.0
2013-12-26,ALLE,44.44,45.01,44.7,44.86,513200.0
2013-12-27,ALLE,44.0879,44.97,44.64,44.77,393300.0
2013-12-30,ALLE,44.0,44.88,44.12,44.45,381500.0
2013-12-31,ALLE,43.76,44.5,44.19,44.2285,874200.0
2014-01-02,ALLE,43.27,44.18,43.65,44.08,992900.0
2014-01-03,ALLE,43.17,44.32,43.96,43.57,378400.0
2014-01-06,ALLE,43.37,43.98,43.68,43.97,597800.0
2014-01-07,ALLE,42.16,43.98,43.87,42.1601,1371300.0
2014-01-08,ALLE,43.4,44.36,43.88,44.02,1407100.0
2014-01-09,ALLE,43.8409,44.25,44.13,43.89,1093500.0
2014-01-10,ALLE,44.02,46.08,45.73,44.17,2008600.0
2014-01-13,ALLE,45.2,47.44,47.04,45.7,2278500.0
2014-01-14,ALLE,46.91,47.894,47.8,47.16,2338200.0
2014-01-15,ALLE,47.26,49.19,47.5,47.97,1733000.0
2014-01-16,ALLE,47.04,47.68,47.4,47.28,1178700.0
2014-01-17,ALLE,47.0,48.24,48.0,47.52,1572100.0
2014-01-21,ALLE,47.94,49.38,48.17,49.38,1570400.0
2014-01-22,ALLE,48.08,49.16,48.51,48.11,682200.0
2014-01-23,ALLE,47.58,48.68,47.72,48.68,867600.0
2014-01-24,ALLE,45.828,47.71,46.84,47.62,1417500.0
2014-01-27,ALLE,45.2,48.0,46.6,45.2,717800.0
2014-01-28,ALLE,46.77,47.88,47.73,46.77,721700.0
2014-01-29,ALLE,47.13,48.48,47.78,47.35,800900.0
2014-01-30,ALLE,47.8331,49.63,49.42,47.91,1247100.0
2014-01-31,ALLE,49.03,49.96,49.35,49.25,2011100.0
2014-02-03,ALLE,47.1988,49.94,47.44,49.35,1184800.0
2014-02-04,ALLE,47.316,48.48,48.05,47.44,891300.0
2014-02-05,ALLE,47.152,48.65,47.6,47.84,823100.0
2014-02-06,ALLE,47.5,49.27,49.24,47.5,1168400.0
2014-02-07,ALLE,49.33,50.27,49.94,49.33,1837500.0
2014-02-10,ALLE,49.45,50.12,49.84,49.99,763400.0
2014-02-11,ALLE,49.33,50.41,49.89,49.73,1446100.0
2014-02-12,ALLE,49.727,51.0,50.0,49.92,1405300.0
2014-02-13,ALLE,49.59,50.435,50.12,49.98,695000.0
2014-02-14,ALLE,49.59,50.25,49.63,50.15,891700.0
2014-02-18,ALLE,49.72,50.86,50.11,49.72,2748500.0
2014-02-19,ALLE,49.03,50.34,49.16,49.84,1076100.0
2014-02-20,ALLE,49.1,52.78,51.52,50.23,2623600.0
2014-02-21,ALLE,51.75,52.79,52.37,51.75,2198700.0
2014-02-24,ALLE,52.36,53.11,52.86,52.36,667900.0
2014-02-25,ALLE,52.93,54.58,54.56,53.0,1117600.0
2014-02-26,ALLE,54.18,55.7805,54.66,54.83,1880100.0
2014-02-27,ALLE,54.21,55.53,55.35,54.69,1139900.0
2014-02-28,ALLE,53.8251,55.32,54.35,55.09,1198500.0
2014-03-03,ALLE,53.08,54.93,53.49,54.67,659600.0
2014-03-04,ALLE,53.48,55.0,54.0,53.71,1189900.0
2014-03-05,ALLE,53.38,54.312,53.95,53.9,395000.0
2014-03-06,ALLE,53.04,54.1,53.19,53.99,617400.0
2014-03-07,ALLE,52.59,53.7764,53.39,53.44,776100.0
2014-03-10,ALLE,52.24,53.67,53.29,53.2,1155300.0
2014-03-11,ALLE,53.45,54.8,54.5,53.49,874700.0
2014-03-12,ALLE,52.77,54.74,54.28,54.42,1255500.0
2014-03-13,ALLE,53.131,54.71,53.6,54.46,946400.0
2014-03-14,ALLE,53.25,53.95,53.3,53.62,1071800.0
2014-03-17,ALLE,52.93,53.825,52.96,53.44,1011700.0
2014-03-18,ALLE,52.71,53.486999999999995,53.28,52.9428,880800.0
2014-03-19,ALLE,52.92,54.0,53.28,53.18,645000.0
2014-03-20,ALLE,52.82,54.22,54.17,53.41,628100.0
