Date,symbol,Low,High,Close,Open,Volume
1999-09-28,AME,19.75,20.438,19.875,20.438,82300.0
1999-09-29,AME,19.563,20.25,20.188,19.75,83700.0
1999-09-30,AME,19.25,20.125,19.813,20.125,250300.0
1999-10-01,AME,19.625,20.375,20.375,19.625,196300.0
1999-10-04,AME,20.063,20.5,20.125,20.25,115300.0
1999-10-05,AME,19.625,20.25,19.875,20.0,113400.0
1999-10-06,AME,19.063,19.938,19.063,19.875,141000.0
1999-10-07,AME,18.625,18.938,18.813,18.938,124800.0
1999-10-08,AME,18.438,18.938,18.563,18.813,289500.0
1999-10-11,AME,18.625,19.0,18.938,18.625,163300.0
1999-10-12,AME,18.6265,18.938,18.813,18.938,201100.0
1999-10-13,AME,18.625,18.688,18.688,18.625,43200.0
1999-10-14,AME,18.625,18.875,18.75,18.625,120700.0
1999-10-15,AME,18.688,18.875,18.75,18.8751,130200.0
1999-10-18,AME,18.563,18.875,18.688,18.875,126100.0
1999-10-19,AME,18.125,18.75,18.188,18.688,50500.0
1999-10-20,AME,18.0,18.313,18.313,18.125,1409400.0
1999-10-21,AME,18.063,18.188,18.188,18.188,99100.0
1999-10-22,AME,18.188,18.563,18.438,18.25,82300.0
1999-10-25,AME,18.125,18.5,18.313,18.375,94500.0
1999-10-26,AME,18.25,18.4404,18.375,18.313,71500.0
1999-10-27,AME,18.375,19.5,19.313,18.375,232200.0
1999-10-28,AME,19.563,20.0,19.75,19.563,164700.0
1999-10-29,AME,19.625,19.938,19.75,19.75,99100.0
1999-11-01,AME,19.813,20.0017,20.0,19.813,89700.0
1999-11-02,AME,19.938,20.188,20.063,19.938,145000.0
1999-11-03,AME,19.813,20.125,20.063,20.125,155200.0
1999-11-04,AME,20.0,20.188,20.188,20.0,82900.0
1999-11-05,AME,20.188,20.5,20.25,20.25,148500.0
1999-11-08,AME,19.938,20.313,20.063,20.188,201700.0
1999-11-09,AME,20.0,20.1245,20.125,20.0,93100.0
1999-11-10,AME,20.0,20.125,20.125,20.125,41100.0
1999-11-11,AME,19.625,20.0635,19.75,20.063,116700.0
1999-11-12,AME,19.688,20.125,20.125,19.688,67500.0
1999-11-15,AME,19.875,20.125,20.125,20.0,88300.0
1999-11-16,AME,19.938,20.0007,19.938,20.0,311100.0
1999-11-17,AME,20.0,20.25,20.063,20.0,162000.0
1999-11-18,AME,20.0,20.25,20.25,20.0,118000.0
1999-11-19,AME,19.938,20.313,20.125,20.25,55900.0
1999-11-22,AME,19.438,20.188,19.5,20.188,134200.0
