Date,symbol,Low,High,Close,Open,Volume
1999-09-28,AMGN,81.93799999999999,85.25,83.5,83.43799999999999,11995800.0
1999-09-29,AMGN,83.0,85.375,83.06299999999999,84.0,7772400.0
1999-09-30,AMGN,80.5,84.5,81.5,83.56299999999999,7562800.0
1999-10-01,AMGN,80.875,86.7497,86.68799999999999,81.438,7641800.0
1999-10-04,AMGN,85.0,88.094,86.06299999999999,87.0,6160600.0
1999-10-05,AMGN,84.25,87.9279,85.0,86.56299999999999,6941400.0
1999-10-06,AMGN,85.125,88.25,88.18799999999999,85.625,9710400.0
1999-10-07,AMGN,87.125,90.06299999999999,88.25,89.375,7567400.0
1999-10-08,AMGN,85.56299999999999,88.875,88.5,88.31299999999999,5634600.0
1999-10-11,AMGN,87.5,90.0,89.93799999999999,88.43799999999999,3871000.0
1999-10-12,AMGN,87.25,89.875,87.81299999999999,89.375,4519000.0
1999-10-13,AMGN,85.0,89.0,85.5,87.0,5720600.0
1999-10-14,AMGN,84.375,87.18799999999999,85.406,85.625,6076800.0
1999-10-15,AMGN,80.0,83.5,80.75,83.43799999999999,10350800.0
1999-10-18,AMGN,79.375,82.125,80.563,80.75,5767800.0
1999-10-19,AMGN,82.0,85.625,83.93799999999999,82.0,10527600.0
1999-10-20,AMGN,83.875,86.1263,86.125,84.75,10143600.0
1999-10-21,AMGN,77.625,81.313,80.125,79.438,36396600.0
1999-10-22,AMGN,80.375,83.5,81.125,81.8751,14831600.0
1999-10-25,AMGN,79.5,82.56299999999999,79.938,81.75,11811600.0
1999-10-26,AMGN,75.313,80.75,75.938,80.75,14685600.0
1999-10-27,AMGN,74.0,76.6201,75.688,76.563,10978800.0
1999-10-28,AMGN,77.125,78.438,78.375,77.5,13720400.0
1999-10-29,AMGN,78.688,80.063,79.75,79.0,12396200.0
1999-11-01,AMGN,79.813,82.25,80.313,80.5,9928600.0
1999-11-02,AMGN,80.375,82.31299999999999,81.063,80.6851,9076600.0
1999-11-03,AMGN,78.438,83.75,78.563,82.68799999999999,11660800.0
1999-11-04,AMGN,79.188,83.875,83.81299999999999,79.25,16414800.0
1999-11-05,AMGN,85.0,87.75,85.125,85.625,13553000.0
1999-11-08,AMGN,84.0,87.0,85.43799999999999,84.875,9955400.0
1999-11-09,AMGN,85.5,87.93799999999999,85.875,87.375,9337200.0
1999-11-10,AMGN,85.625,88.875,87.75,86.125,9570200.0
1999-11-11,AMGN,88.25,91.31299999999999,90.5,88.25,11054800.0
1999-11-12,AMGN,89.0,92.5,91.93799999999999,91.875,7380400.0
1999-11-15,AMGN,89.625,92.875,89.75,92.5,6499200.0
1999-11-16,AMGN,90.0,91.5,91.0,90.43799999999999,11360800.0
1999-11-17,AMGN,90.0,91.56299999999999,91.125,90.93799999999999,10000600.0
1999-11-18,AMGN,89.5,91.68799999999999,91.18799999999999,91.68799999999999,10676200.0
1999-11-19,AMGN,90.75,95.125,94.68799999999999,91.125,11399800.0
1999-11-22,AMGN,45.75,48.75,48.188,47.75,9525400.0
1999-11-23,AMGN,47.0,49.188,47.563,49.063,7793100.0
1999-11-24,AMGN,46.625,49.5,49.438,47.625,5368100.0
1999-11-26,AMGN,48.813,50.063,49.375,50.0,3638900.0
1999-11-29,AMGN,47.0014,49.875,48.75,49.563,5844000.0
1999-11-30,AMGN,45.0,47.563,45.563,47.5,9557900.0
1999-12-01,AMGN,44.0,46.438,44.313,45.0,7485700.0
1999-12-02,AMGN,44.25,45.5,44.75,44.625,7278200.0
1999-12-03,AMGN,45.188,47.938,46.25,45.688,9474000.0
1999-12-06,AMGN,44.0,46.75,45.0,46.125,5201200.0
1999-12-07,AMGN,44.0,45.563,44.813,45.047,6460700.0
1999-12-08,AMGN,44.25,48.0,45.25,44.375,6491400.0
1999-12-09,AMGN,42.625,48.0,44.0,46.75,10458800.0
1999-12-10,AMGN,44.125,45.8157,44.75,44.25,7321500.0
1999-12-13,AMGN,43.75,47.25,46.625,45.25,8103900.0
1999-12-14,AMGN,45.25,47.5,46.063,47.313,8081900.0
1999-12-15,AMGN,43.938,46.2482,45.563,45.625,8709800.0
1999-12-16,AMGN,43.5,45.625,44.438,45.5,9175200.0
1999-12-17,AMGN,44.75,46.375,45.563,45.75,10599200.0
1999-12-20,AMGN,45.125,49.625,48.875,45.625,9173100.0
1999-12-21,AMGN,48.625,50.438,50.125,49.0,8224800.0
1999-12-22,AMGN,50.25,53.063,52.938,50.672,9230500.0
1999-12-23,AMGN,52.75,54.813,54.188,54.0,6669000.0
1999-12-27,AMGN,51.125,54.9985,53.188,54.938,5246100.0
1999-12-28,AMGN,54.875,58.25,57.688,55.063,7643600.0
1999-12-29,AMGN,57.5,62.0,61.813,58.75,6529300.0
1999-12-30,AMGN,63.563,66.4395,64.875,63.75,5499100.0
1999-12-31,AMGN,59.875,65.5,60.063,65.375,2610400.0
2000-01-03,AMGN,62.875,70.0,62.938,69.999,22914900.0
2000-01-04,AMGN,57.688,64.125,58.125,62.0,15052600.0
2000-01-05,AMGN,58.25,60.687,60.125,59.188,15071400.0
2000-01-06,AMGN,60.25,61.938,61.125,60.75,11118400.0
2000-01-07,AMGN,62.625,68.5,68.0,62.75,15953900.0
2000-01-10,AMGN,69.5,72.688,72.125,69.5,10555300.0
2000-01-11,AMGN,64.125,72.375,66.438,72.063,14103100.0
2000-01-12,AMGN,62.563,67.75,63.563,67.625,11576800.0
2000-01-13,AMGN,63.813,67.7487,66.813,64.75,10552600.0
2000-01-14,AMGN,67.375,70.0,68.313,68.8724,8971200.0
2000-01-18,AMGN,68.25,70.125,69.063,70.0,8658100.0
2000-01-19,AMGN,69.875,72.9441,72.0,70.0,12070900.0
2000-01-20,AMGN,69.625,74.5,71.813,74.375,9460900.0
2000-01-21,AMGN,72.0,75.0,74.688,73.375,8154300.0
2000-01-24,AMGN,69.125,76.4966,69.25,75.875,9853500.0
2000-01-25,AMGN,66.0,70.813,69.375,70.75,11251900.0
2000-01-26,AMGN,64.063,68.875,64.125,67.8786,16000800.0
2000-01-27,AMGN,59.125,65.063,61.375,65.0,14797000.0
2000-01-28,AMGN,59.375,61.438,59.688,61.438,10899900.0
2000-01-31,AMGN,59.875,63.875,63.688,61.0,12619500.0
2000-02-01,AMGN,62.75,66.0,65.313,64.75,9902700.0
2000-02-02,AMGN,61.875,65.1229,63.688,65.125,9976900.0
2000-02-03,AMGN,62.375,65.0,64.0,64.75,7613000.0
2000-02-04,AMGN,64.125,66.5,64.625,64.75,8069600.0
2000-02-07,AMGN,65.125,69.563,69.188,66.5,9190200.0
2000-02-08,AMGN,69.188,72.188,70.5,70.375,11108300.0
2000-02-09,AMGN,66.625,71.5,66.813,71.25,7774100.0
2000-02-10,AMGN,64.5,67.5,65.188,67.375,8880100.0
2000-02-11,AMGN,61.938,66.313,62.625,65.313,8105000.0
2000-02-14,AMGN,61.5,65.875,65.063,63.563,8794600.0
2000-02-15,AMGN,64.188,65.75,65.063,65.25,8358400.0
2000-02-16,AMGN,64.75,70.0,69.875,65.125,11654800.0
2000-02-17,AMGN,69.938,74.0,72.75,70.187,14842800.0
2000-02-18,AMGN,69.938,75.0,71.313,74.5,14959700.0
2000-02-22,AMGN,66.375,71.938,67.5,71.688,8657100.0
2000-02-23,AMGN,67.125,72.125,71.438,68.6866,9098600.0
2000-02-24,AMGN,68.453,73.188,72.563,72.125,9630100.0
2000-02-25,AMGN,70.125,74.0,73.563,73.0,8556500.0
2000-02-28,AMGN,66.5,72.875,68.438,72.875,13264800.0
