Date,symbol,Low,High,Close,Open,Volume
2001-10-30,ANTM,40.35,40.9,40.9,40.5,45441800.0
2001-10-31,ANTM,41.01,42.5,41.88,41.1,11104400.0
2001-11-01,ANTM,41.8,42.6,42.17,42.25,3901800.0
2001-11-02,ANTM,42.02,43.1,42.9,42.0524,4075000.0
2001-11-05,ANTM,42.75,43.5,42.89,43.5,2763800.0
2001-11-06,ANTM,42.15,44.3,44.05,42.95,3248200.0
2001-11-07,ANTM,42.49,43.75,43.25,43.75,2675200.0
2001-11-08,ANTM,42.0,43.1,42.7,43.0,3404000.0
2001-11-09,ANTM,41.0,42.5,42.0,42.5,3291600.0
2001-11-12,ANTM,41.7,42.85,42.85,42.0,973600.0
2001-11-13,ANTM,42.52,43.4,42.75,43.4,1721800.0
2001-11-14,ANTM,43.55,46.0,45.95,44.0,4213000.0
2001-11-15,ANTM,45.45,46.75,46.75,45.7,2310400.0
2001-11-16,ANTM,46.3,47.2,46.8,46.9,2176200.0
2001-11-19,ANTM,46.4,47.57,47.5,46.75,2007200.0
2001-11-20,ANTM,47.25,49.2494,48.8,47.3,2803000.0
2001-11-21,ANTM,48.41,49.7,49.01,48.7,2684000.0
2001-11-23,ANTM,48.95,49.35,49.18,48.95,287800.0
2001-11-26,ANTM,48.3,50.25,48.55,49.7,1917400.0
2001-11-27,ANTM,48.27,49.85,48.6,48.8,1148000.0
2001-11-28,ANTM,47.51,49.2,48.95,48.55,625200.0
2001-11-29,ANTM,49.08,50.1065,50.01,49.5,1136800.0
2001-11-30,ANTM,49.8,51.0,50.85,50.1,2960200.0
2001-12-03,ANTM,50.1,51.3,51.3,50.8,1270800.0
2001-12-04,ANTM,50.5,51.5,51.5,51.35,794000.0
2001-12-05,ANTM,48.7,51.9,48.86,51.8,1356200.0
2001-12-06,ANTM,47.35,49.0,48.49,48.8952,902600.0
2001-12-07,ANTM,47.6,48.7,48.6,48.5,649600.0
2001-12-10,ANTM,48.15,48.87,48.25,48.6,308000.0
2001-12-11,ANTM,47.71,48.69,48.2,48.25,892800.0
2001-12-12,ANTM,47.85,48.25,47.86,48.25,478800.0
2001-12-13,ANTM,46.9,48.0944,48.1,47.61,960600.0
2001-12-14,ANTM,47.35,48.1,48.0,48.0,813600.0
2001-12-17,ANTM,47.92,49.3,49.25,48.1,421200.0
2001-12-18,ANTM,49.22,49.6,49.3,49.5,809200.0
2001-12-19,ANTM,47.75,49.35,48.0,49.3,1473200.0
2001-12-20,ANTM,46.8,48.0,46.9,47.76,1312000.0
2001-12-21,ANTM,45.25,46.8,45.75,46.8,4283800.0
2001-12-24,ANTM,45.6,45.95,45.6,45.75,900200.0
2001-12-26,ANTM,45.85,46.48,46.25,45.85,1191600.0
2001-12-27,ANTM,46.35,47.3,46.9,46.35,1925400.0
2001-12-28,ANTM,46.95,48.5017,48.5,46.95,1714800.0
2001-12-31,ANTM,48.7004,50.25,49.5,48.7,1792800.0
2002-01-02,ANTM,48.71,49.68,48.8,49.68,1933000.0
2002-01-03,ANTM,48.45,49.28,48.45,48.8,625600.0
2002-01-04,ANTM,46.9,48.8,47.86,48.5,2318600.0
2002-01-07,ANTM,46.9995,47.94,47.02,47.86,1916400.0
2002-01-08,ANTM,46.4,47.85,47.4,46.85,932000.0
2002-01-09,ANTM,47.5,48.25,47.6,47.55,855000.0
2002-01-10,ANTM,47.57,50.74,50.1,47.6,2550400.0
2002-01-11,ANTM,49.9,51.8,51.5,50.0984,1111800.0
2002-01-14,ANTM,50.8486,52.4,51.9,51.6,1364600.0
2002-01-15,ANTM,49.4,51.71,50.7,51.7,1426800.0
2002-01-16,ANTM,49.6,51.7,50.99,50.45,1721200.0
2002-01-17,ANTM,50.0,51.05,50.3,51.0,912000.0
2002-01-18,ANTM,49.82,51.0,50.98,50.05,1406000.0
2002-01-22,ANTM,50.05,51.8798,51.75,50.73,1613000.0
2002-01-23,ANTM,51.4,52.8755,52.26,51.4,1625400.0
2002-01-24,ANTM,52.05,53.09,52.8,52.05,1846800.0
2002-01-25,ANTM,52.85,54.1,53.88,53.0,1670400.0
2002-01-28,ANTM,53.2,54.5,53.75,53.4,1404200.0
2002-01-29,ANTM,52.95,53.75,53.2,53.05,1353400.0
2002-01-30,ANTM,51.9495,53.3,52.52,52.5,1301400.0
2002-01-31,ANTM,51.8,53.2,53.2,52.5965,2071800.0
2002-02-01,ANTM,53.0,54.1,53.15,53.2509,1569400.0
2002-02-04,ANTM,51.4,53.0,52.2,52.97,1055200.0
2002-02-05,ANTM,51.5,54.25,54.24,52.3,1731800.0
2002-02-06,ANTM,55.53,57.94,56.5,56.5,5261000.0
2002-02-07,ANTM,56.32,58.84,57.6,56.5,1815400.0
2002-02-08,ANTM,57.36,58.02,57.7,57.7481,1792800.0
2002-02-11,ANTM,57.36,58.1,57.55,57.53,1503800.0
2002-02-12,ANTM,56.55,57.1,56.9,57.0,2127000.0
2002-02-13,ANTM,55.85,57.25,56.05,57.1,1555200.0
2002-02-14,ANTM,55.75,56.75,56.41,56.2,1656000.0
2002-02-15,ANTM,56.02,56.5,56.1,56.4,1526600.0
2002-02-19,ANTM,53.45,56.07,54.37,55.9993,2207200.0
2002-02-20,ANTM,53.75,54.7,54.0,53.8,1516600.0
2002-02-21,ANTM,53.7,56.55,55.55,53.95,1646000.0
2002-02-22,ANTM,55.45,57.1,56.35,55.45,1305400.0
2002-02-25,ANTM,56.0697,57.52,57.05,56.2,1013000.0
2002-02-26,ANTM,57.4973,58.96,58.25,57.5,1992000.0
2002-02-27,ANTM,57.6,58.5,57.98,58.1,2011200.0
2002-02-28,ANTM,57.35,58.25,58.1,57.8,1878800.0
2002-03-01,ANTM,57.7,58.05,58.05,57.85,1153000.0
2002-03-04,ANTM,55.45,58.45,55.5,57.8,2725800.0
2002-03-05,ANTM,54.4,55.78,54.65,55.33,1680200.0
2002-03-06,ANTM,54.5,57.1,56.35,54.75,1911400.0
2002-03-07,ANTM,56.22,57.2,56.26,56.7,1055400.0
2002-03-08,ANTM,55.5,56.7,56.25,56.27,1557400.0
2002-03-11,ANTM,55.7,56.66,56.6,55.9997,1525800.0
2002-03-12,ANTM,56.05,56.5,56.49,56.4,846800.0
2002-03-13,ANTM,56.1,56.75,56.55,56.45,994200.0
2002-03-14,ANTM,56.2491,57.05,56.5,56.45,871000.0
2002-03-15,ANTM,56.4005,57.22,56.9,56.5,1631600.0
2002-03-18,ANTM,56.75,58.45,58.3,56.75,1847200.0
2002-03-19,ANTM,56.4,58.4,56.4,58.1,991200.0
2002-03-20,ANTM,55.75,56.7408,56.4,56.3,945000.0
2002-03-21,ANTM,56.5,57.71,57.3,56.5034,1066200.0
2002-03-22,ANTM,56.65,58.05,56.8,57.4,587000.0
2002-03-25,ANTM,56.4,57.0,56.6,56.55,559400.0
2002-03-26,ANTM,55.75,56.75,55.98,56.5996,566200.0
2002-03-27,ANTM,55.9,58.01,58.0,55.98,1202600.0
2002-03-28,ANTM,57.05,58.45,57.57,58.0032,1196000.0
2002-04-01,ANTM,57.5,58.35,58.25,57.82,1502200.0
2002-04-02,ANTM,58.41,60.0,60.0,58.45,1497600.0
2002-04-03,ANTM,59.17,60.4,59.35,60.0,1443200.0
2002-04-04,ANTM,59.2,60.75,60.75,59.25,1551600.0
2002-04-05,ANTM,60.53,62.55,61.92,60.8,1606800.0
2002-04-08,ANTM,60.94,61.95,61.37,61.92,1446400.0
2002-04-09,ANTM,60.7527,61.5,60.85,61.35,1429600.0
2002-04-10,ANTM,60.75,61.49,61.2,60.85,1524200.0
2002-04-11,ANTM,60.2724,61.29,60.84,61.1,1235000.0
2002-04-12,ANTM,60.6,61.2,60.64,60.7,1281400.0
2002-04-15,ANTM,60.62,61.5,60.95,60.95,936800.0
2002-04-16,ANTM,61.58,62.5,62.21,61.5977,1833800.0
2002-04-17,ANTM,62.2,65.0,64.65,62.1968,2273400.0
2002-04-18,ANTM,65.75,68.2523,68.25,65.9,4319000.0
2002-04-19,ANTM,67.6,68.6,68.36,68.0011,2466200.0
2002-04-22,ANTM,67.32,68.75,67.35,68.25,1849600.0
2002-04-23,ANTM,64.9,66.4,65.95,66.0,2278800.0
2002-04-24,ANTM,65.24,67.7509,67.75,65.7,1594400.0
2002-04-25,ANTM,68.2,71.25,71.2,68.5,4351800.0
2002-04-26,ANTM,70.5,72.0,70.7,71.2,2812400.0
2002-04-29,ANTM,64.5,68.23,66.65,66.9453,16078000.0
2002-04-30,ANTM,66.75,69.0,68.2,66.85,7172200.0
2002-05-01,ANTM,67.72,72.15,70.76,67.8003,9494800.0
2002-05-02,ANTM,69.75,71.6,71.1,70.65,5432600.0
2002-05-03,ANTM,71.15,72.3,71.86,71.2,3412800.0
2002-05-06,ANTM,69.0,71.71,69.5,71.7,3781600.0
2002-05-07,ANTM,66.05,69.5,67.59,69.5012,4696800.0
2002-05-08,ANTM,66.2,68.65,68.5,67.59,4173200.0
2002-05-09,ANTM,67.8,68.51,68.15,68.51,2203200.0
2002-05-10,ANTM,68.02,68.84,68.16,68.15,2170000.0
2002-05-13,ANTM,65.3,68.0,66.0,68.0,2378400.0
2002-05-14,ANTM,63.5,66.0,64.95,66.0,4077000.0
2002-05-15,ANTM,64.28,66.58,64.42,64.6,3218800.0
2002-05-16,ANTM,64.6,67.78,67.35,64.6,3705000.0
2002-05-17,ANTM,68.15,70.65,69.9,68.25,4835000.0
2002-05-20,ANTM,66.15,68.86,66.49,68.85,3528400.0
2002-05-21,ANTM,65.85,67.65,67.35,66.6,2649200.0
2002-05-22,ANTM,65.35,67.85,65.7,67.1,1826800.0
2002-05-23,ANTM,65.11,65.98,65.87,65.65,2227800.0
2002-05-24,ANTM,65.75,67.48,67.16,65.87,1548200.0
2002-05-28,ANTM,66.15,67.2,66.5,67.1,839800.0
2002-05-29,ANTM,66.42,68.12,67.8,66.5,2147000.0
2002-05-30,ANTM,67.35,70.75,70.75,67.8,2738000.0
2002-05-31,ANTM,69.07,71.62,70.9,70.6012,2897400.0
2002-06-03,ANTM,69.37,70.88,70.27,70.75,1314400.0
2002-06-04,ANTM,68.95,69.77,69.3,69.5,1596400.0
2002-06-05,ANTM,69.1659,73.4,72.0,69.25,3235800.0
2002-06-06,ANTM,69.9,72.79,70.45,72.0,2300200.0
2002-06-07,ANTM,69.9,72.73,71.9,70.46,3551000.0
2002-06-10,ANTM,71.25,72.7,72.7,72.0,2013400.0
2002-06-11,ANTM,73.25,75.25,73.25,75.0,4227000.0
2002-06-12,ANTM,73.25,74.84,74.6,73.65,2924600.0
2002-06-13,ANTM,72.2,74.56,72.4,74.55,1390000.0
2002-06-14,ANTM,70.22,71.98,71.39,71.95,3330000.0
2002-06-17,ANTM,71.9,73.95,73.5,71.8977,2711200.0
2002-06-18,ANTM,72.9,73.81,73.75,73.51,2098000.0
2002-06-19,ANTM,73.1,75.0458,73.43,73.45,1977800.0
2002-06-20,ANTM,71.7492,73.87,72.54,73.18,1819800.0
2002-06-21,ANTM,71.2,72.9996,72.5,72.34,2150600.0
2002-06-24,ANTM,67.54,72.4933,69.2,72.35,4338400.0
2002-06-25,ANTM,65.88,69.8,66.36,69.0,4011000.0
2002-06-26,ANTM,63.3994,66.75,66.0,64.4,4727800.0
2002-06-27,ANTM,65.9,67.48,66.9,66.75,2412600.0
2002-06-28,ANTM,66.18,67.75,67.48,67.0,6945200.0
2002-07-01,ANTM,63.85,67.45,64.25,67.23,3081600.0
2002-07-02,ANTM,62.81,65.18,63.75,64.25,4343000.0
2002-07-03,ANTM,63.1,65.1,64.75,63.75,2510400.0
2002-07-05,ANTM,65.2,66.4,65.9,65.45,1298800.0
2002-07-08,ANTM,66.0,67.48,66.7,66.05,2409000.0
2002-07-09,ANTM,63.52,67.1,63.53,66.7,3113600.0
2002-07-10,ANTM,60.32,64.1,60.55,63.3546,3737200.0
2002-07-11,ANTM,57.0,62.8,62.05,60.55,5174000.0
2002-07-12,ANTM,62.9,64.85,64.35,63.0,2868800.0
2002-07-15,ANTM,60.6,64.55,63.5,64.2,3345200.0
2002-07-16,ANTM,61.33,65.32,61.8,63.25,2295800.0
2002-07-17,ANTM,62.6015,65.35,64.85,63.5,2377000.0
2002-07-18,ANTM,64.8,68.4993,65.5,65.5,5435200.0
2002-07-19,ANTM,62.5,64.9989,62.8,65.0,2902000.0
2002-07-22,ANTM,56.7524,62.75,58.6,62.75,5004000.0
2002-07-23,ANTM,57.02,59.19,57.75,59.0,2888400.0
2002-07-24,ANTM,59.27,64.0,63.01,59.5,32792800.0
2002-07-25,ANTM,62.8,68.0,64.64,63.0,11095800.0
2002-07-26,ANTM,62.53,65.24,64.0,65.14,6009400.0
2002-07-29,ANTM,64.5,68.93,68.6,64.5,5311000.0
2002-07-30,ANTM,65.0,70.1,65.91,67.85,8583400.0
2002-07-31,ANTM,64.76,69.13,67.88,65.25,12098800.0
2002-08-01,ANTM,67.0,70.4952,68.89,67.93,4690000.0
2002-08-02,ANTM,65.9,68.94,66.7,68.65,5027800.0
2002-08-05,ANTM,59.9,66.01,60.5,66.0,9503600.0
2002-08-06,ANTM,60.6,62.4,61.49,62.2,5698600.0
2002-08-07,ANTM,61.19,62.85,61.6,62.25,3376600.0
2002-08-08,ANTM,61.62,64.63,64.2,61.8545,3364400.0
2002-08-09,ANTM,62.5,65.0,63.36,63.95,2045600.0
2002-08-12,ANTM,61.2,63.6594,61.25,63.2,3092200.0
2002-08-13,ANTM,60.2,62.95,61.32,61.6,2890400.0
2002-08-14,ANTM,59.95,62.35,61.88,60.0,3433000.0
2002-08-15,ANTM,59.4,62.98,59.65,62.63,4183400.0
2002-08-16,ANTM,58.6964,60.33,58.7,59.5,3202800.0
2002-08-19,ANTM,59.0,62.45,61.99,59.0,3921000.0
2002-08-20,ANTM,61.85,63.55,62.52,61.9,2561600.0
2002-08-21,ANTM,61.0,63.24,61.6,62.65,1704200.0
2002-08-22,ANTM,61.5,65.0,64.84,61.5,3405200.0
2002-08-23,ANTM,63.7992,65.3,64.5,64.68,1689000.0
2002-08-26,ANTM,63.45,64.92,64.38,64.5,1394000.0
2002-08-27,ANTM,62.0,64.81,62.32,64.38,2499200.0
2002-08-28,ANTM,60.76,62.61,61.19,61.9,1488000.0
2002-08-29,ANTM,60.5,64.1,63.9,60.94,2445000.0
2002-08-30,ANTM,62.76,64.25,63.11,63.65,1577600.0
2002-09-03,ANTM,59.55,63.08,60.21,63.0,1577600.0
2002-09-04,ANTM,59.26,61.28,60.91,60.0,2150400.0
2002-09-05,ANTM,60.0,62.4,62.0,60.88,1394800.0
2002-09-06,ANTM,61.9,63.33,63.0,62.75,1197800.0
2002-09-09,ANTM,62.5,64.084,63.9,62.75,1146600.0
2002-09-10,ANTM,63.7,64.68,64.48,63.9,1822600.0
