Date,symbol,Low,High,Close,Open,Volume
1999-09-28,AON,29.063000000000002,30.125,29.625,30.0,977400.0
1999-09-29,AON,29.313000000000002,29.75,29.625,29.5,561100.0
1999-09-30,AON,29.4388,29.813000000000002,29.563000000000002,29.688000000000002,928300.0
1999-10-01,AON,28.4376,29.5,28.438000000000002,29.0,1230600.0
1999-10-04,AON,28.563000000000002,29.063000000000002,28.75,28.563000000000002,783500.0
1999-10-05,AON,28.625,29.438000000000002,28.625,28.6235,538200.0
1999-10-06,AON,29.188000000000002,29.813000000000002,29.75,29.5,1278100.0
1999-10-07,AON,29.063000000000002,29.938000000000002,29.25,29.5,931700.0
1999-10-08,AON,28.938000000000002,29.813000000000002,28.938000000000002,29.5,1500700.0
1999-10-11,AON,28.25,29.25,28.375,29.125,1134200.0
1999-10-12,AON,27.375,28.313000000000002,27.75,28.25,991800.0
1999-10-13,AON,27.0,27.938000000000002,27.313000000000002,27.125,628200.0
1999-10-14,AON,26.063000000000002,27.813000000000002,27.563000000000002,27.3145,1009200.0
1999-10-15,AON,26.75,27.625,26.938000000000002,27.625,1042400.0
1999-10-18,AON,26.875,27.938000000000002,27.875,26.875,537900.0
1999-10-19,AON,28.0016,28.5,28.188000000000002,28.125,607700.0
1999-10-20,AON,28.125,28.875,28.5,28.188000000000002,536700.0
1999-10-21,AON,28.063000000000002,28.938000000000002,28.688000000000002,28.5,415000.0
1999-10-22,AON,29.875,33.0,31.75,29.875,2130600.0
1999-10-25,AON,32.25,34.188,32.688,32.25,1381100.0
1999-10-26,AON,32.938,33.563,33.438,33.063,1316400.0
1999-10-27,AON,33.25,33.813,33.75,33.5,1324600.0
1999-10-28,AON,33.938,36.938,36.063,33.938,1101500.0
1999-10-29,AON,34.0,37.5,35.5,37.5,2230900.0
1999-11-01,AON,33.938,35.75,34.625,35.75,663600.0
1999-11-02,AON,32.0,34.5,34.188,33.0,2341600.0
1999-11-03,AON,34.25,35.375,34.313,35.0,1502900.0
1999-11-04,AON,34.25,37.375,35.875,34.3135,1475200.0
1999-11-05,AON,36.75,41.875,40.0,36.75,2278600.0
1999-11-08,AON,39.0,40.375,39.563,40.0,1326400.0
1999-11-09,AON,38.0015,39.938,38.313,39.25,1205900.0
1999-11-10,AON,37.938,38.5,38.5,38.0,1170600.0
1999-11-11,AON,37.563,39.0,37.625,38.375,637700.0
1999-11-12,AON,37.938,39.188,38.688,38.375,592200.0
1999-11-15,AON,38.5,39.125,38.938,38.625,321200.0
1999-11-16,AON,38.938,39.938,39.813,39.0,526200.0
1999-11-17,AON,37.875,39.75,38.5,39.688,553300.0
1999-11-18,AON,37.0,38.438,38.0,38.25,729200.0
1999-11-19,AON,37.0,37.625,37.0,37.5,273500.0
1999-11-22,AON,36.5,37.0,37.0,36.875,477300.0
1999-11-23,AON,36.75,38.25,38.121,36.75,865000.0
1999-11-24,AON,37.875,38.25,38.188,38.25,805000.0
1999-11-26,AON,36.8747,37.75,37.25,37.625,438200.0
1999-11-29,AON,35.625,37.0,35.813,37.0,1085500.0
1999-11-30,AON,35.563,36.6279,35.688,35.813,496300.0
1999-12-01,AON,35.375,36.375,35.633,35.438,477100.0
1999-12-02,AON,34.75,35.875,35.313,35.375,427000.0
1999-12-03,AON,35.25,36.406,35.75,35.5,776400.0
1999-12-06,AON,34.938,35.813,35.063,35.813,360200.0
1999-12-07,AON,34.313,35.25,35.063,34.3125,587400.0
1999-12-08,AON,34.438,35.125,34.438,35.0597,346300.0
