Date,symbol,Low,High,Close,Open,Volume
2008-04-23,AWK,20.22,21.45,20.6,20.6,23402800.0
2008-04-24,AWK,20.3092,21.0,20.81,20.72,4960900.0
2008-04-25,AWK,20.7,21.25,21.17,21.0,1956800.0
2008-04-28,AWK,20.81,21.49,21.0,21.4912,709400.0
2008-04-29,AWK,20.82,21.39,21.07,21.39,859700.0
2008-04-30,AWK,20.92,21.2,21.15,21.08,893300.0
2008-05-01,AWK,21.0,22.0,21.91,21.22,2999000.0
2008-05-02,AWK,21.49,22.16,22.01,22.1599,1639400.0
2008-05-05,AWK,21.56,22.4515,21.91,22.45,579000.0
2008-05-06,AWK,21.37,21.86,21.55,21.8,1040200.0
2008-05-07,AWK,20.65,21.6,21.21,21.5,1240100.0
2008-05-08,AWK,21.03,21.3,21.25,21.2317,888100.0
2008-05-09,AWK,21.03,21.84,21.67,21.25,550400.0
2008-05-12,AWK,21.28,21.74,21.5,21.7,1168000.0
2008-05-13,AWK,20.8,21.54,21.32,21.53,1783900.0
2008-05-14,AWK,20.51,21.48,21.3,20.51,649200.0
2008-05-15,AWK,21.1,21.46,21.16,21.45,470400.0
2008-05-16,AWK,21.1,21.65,21.62,21.43,1002400.0
2008-05-19,AWK,21.55,22.09,21.75,21.89,802900.0
2008-05-20,AWK,21.45,21.97,21.65,21.97,504100.0
2008-05-21,AWK,21.05,21.85,21.16,21.85,407100.0
2008-05-22,AWK,21.12,21.45,21.35,21.37,274600.0
2008-05-23,AWK,21.0,21.25,21.14,21.25,464200.0
2008-05-27,AWK,21.05,21.49,21.23,21.4912,320300.0
2008-05-28,AWK,21.07,21.42,21.41,21.1,403800.0
2008-05-29,AWK,21.05,21.4992,21.06,21.39,384600.0
2008-05-30,AWK,21.05,21.5,21.5,21.1,784300.0
2008-06-02,AWK,21.2,22.37,21.6,22.37,414900.0
2008-06-03,AWK,21.29,21.9,21.32,21.86,446000.0
2008-06-04,AWK,21.07,21.6409,21.57,21.1,850300.0
2008-06-05,AWK,21.49,21.89,21.8,21.49,567400.0
2008-06-06,AWK,21.75,22.25,22.1,21.75,1588900.0
2008-06-09,AWK,22.1,22.39,22.33,22.3,377700.0
2008-06-10,AWK,21.84,22.25,21.85,22.11,594000.0
2008-06-11,AWK,21.2,22.43,21.71,21.72,692300.0
2008-06-12,AWK,21.47,22.11,21.85,22.11,394400.0
2008-06-13,AWK,21.71,22.4,22.39,22.14,460500.0
2008-06-16,AWK,22.24,23.0,22.75,22.47,783000.0
2008-06-17,AWK,22.3,23.51,23.18,22.75,1194300.0
2008-06-18,AWK,22.41,23.19,23.04,23.0,723300.0
2008-06-19,AWK,22.7,23.0897,22.89,23.09,683500.0
2008-06-20,AWK,22.38,23.2,23.0,22.7,1330300.0
2008-06-23,AWK,22.67,22.96,22.75,22.96,390500.0
2008-06-24,AWK,22.31,22.96,22.88,22.78,666900.0
2008-06-25,AWK,22.85,23.37,23.37,23.08,717000.0
2008-06-26,AWK,22.14,23.65,22.62,23.05,1993100.0
2008-06-27,AWK,21.95,23.14,22.52,22.0,4484900.0
2008-06-30,AWK,21.19,22.99,22.18,22.99,861700.0
2008-07-01,AWK,22.21,23.09,22.88,22.4,476800.0
2008-07-02,AWK,22.46,23.23,22.65,23.0,492400.0
2008-07-03,AWK,21.17,22.61,21.8,22.46,325300.0
2008-07-07,AWK,21.31,22.06,21.49,21.8,246800.0
2008-07-08,AWK,21.29,21.7,21.7,21.39,281500.0
2008-07-09,AWK,21.41,21.76,21.59,21.73,182900.0
2008-07-10,AWK,20.3,21.69,21.26,21.69,530200.0
2008-07-11,AWK,19.24,20.81,20.03,20.74,1062500.0
2008-07-14,AWK,19.62,20.19,19.71,20.03,543100.0
2008-07-15,AWK,18.09,19.43,18.91,19.42,1191800.0
2008-07-16,AWK,18.9,19.55,19.4,18.97,464600.0
2008-07-17,AWK,19.067999999999998,19.79,19.7,19.79,232300.0
2008-07-18,AWK,19.0,19.83,19.55,19.0,308500.0
2008-07-21,AWK,19.45,19.9,19.72,19.83,148500.0
2008-07-22,AWK,19.58,20.05,19.93,19.58,144400.0
2008-07-23,AWK,19.63,19.99,19.69,19.85,214900.0
2008-07-24,AWK,18.55,19.96,18.87,19.93,518300.0
2008-07-25,AWK,18.59,19.26,19.15,19.15,241000.0
2008-07-28,AWK,18.5,19.66,18.63,19.25,241900.0
2008-07-29,AWK,18.72,19.23,19.0,18.89,289100.0
2008-07-30,AWK,19.1,19.67,19.46,19.34,251400.0
2008-07-31,AWK,18.63,20.48,19.25,20.48,579200.0
2008-08-01,AWK,19.25,19.83,19.29,19.3892,389700.0
2008-08-04,AWK,19.05,19.87,19.6,19.44,324400.0
2008-08-05,AWK,19.65,20.34,20.34,19.85,336500.0
2008-08-06,AWK,19.53,20.35,20.1,20.35,343600.0
2008-08-07,AWK,19.9,20.22,20.15,20.2,376900.0
2008-08-08,AWK,19.95,20.36,20.07,20.29,268200.0
2008-08-11,AWK,20.65,21.37,20.77,21.09,958300.0
2008-08-12,AWK,20.7,21.33,20.87,20.7,729100.0
2008-08-13,AWK,20.86,21.39,21.09,20.88,515800.0
2008-08-14,AWK,20.83,21.5,20.98,21.17,567900.0
2008-08-15,AWK,20.52,21.2,20.75,21.2,370800.0
2008-08-18,AWK,20.8,21.195999999999998,21.15,20.93,546500.0
2008-08-19,AWK,21.15,22.25,21.92,21.25,782800.0
2008-08-20,AWK,21.41,22.49,21.9,22.09,801300.0
2008-08-21,AWK,21.34,22.05,21.9,21.94,719900.0
2008-08-22,AWK,21.56,22.0,21.95,21.99,307100.0
2008-08-25,AWK,21.45,22.55,21.77,21.77,245800.0
2008-08-26,AWK,21.38,21.94,21.61,21.89,228100.0
2008-08-27,AWK,21.4,21.77,21.72,21.76,216000.0
2008-08-28,AWK,21.1,22.25,22.11,21.88,383700.0
2008-08-29,AWK,21.54,23.12,22.95,21.84,1009000.0
2008-09-02,AWK,22.05,23.0,22.8,23.0,652400.0
2008-09-03,AWK,21.62,22.79,21.87,22.67,295400.0
2008-09-04,AWK,21.47,22.1205,21.47,21.77,409300.0
2008-09-05,AWK,20.58,21.2798,20.97,21.28,443500.0
2008-09-08,AWK,20.73,21.5,20.91,21.5,382000.0
2008-09-09,AWK,20.65,21.23,20.65,20.85,517500.0
2008-09-10,AWK,20.5,21.12,21.08,20.5,591800.0
2008-09-11,AWK,20.8,21.13,21.07,21.1,327500.0
2008-09-12,AWK,20.96,21.335,21.03,20.97,231600.0
2008-09-15,AWK,20.27,21.3,20.3,20.99,403400.0
2008-09-16,AWK,19.66,20.58,20.36,20.1606,421300.0
2008-09-17,AWK,19.73,20.6,19.91,20.45,370900.0
2008-09-18,AWK,19.59,20.32,20.25,20.01,565900.0
2008-09-19,AWK,19.5692,21.26,20.0,21.26,340100.0
2008-09-22,AWK,19.65,20.35,19.66,20.0,314100.0
2008-09-23,AWK,19.06,19.82,19.34,19.82,388000.0
2008-09-24,AWK,19.23,19.756,19.6,19.62,522700.0
2008-09-25,AWK,19.51,20.16,20.0,19.67,304400.0
2008-09-26,AWK,19.09,20.12,19.15,19.9,541000.0
2008-09-29,AWK,18.75,20.22,20.1,19.17,1045200.0
2008-09-30,AWK,19.43,21.8,21.5,20.44,1171700.0
2008-10-01,AWK,20.0211,21.47,20.17,21.19,525200.0
2008-10-02,AWK,19.41,20.38,20.12,20.19,435500.0
2008-10-03,AWK,19.7188,20.65,19.93,20.4,521100.0
2008-10-06,AWK,18.8,19.98,19.52,19.57,771800.0
2008-10-07,AWK,19.35,20.3401,19.62,19.85,511800.0
2008-10-08,AWK,18.4,19.73,19.07,18.97,775900.0
2008-10-09,AWK,18.53,19.79,18.69,19.3,868200.0
2008-10-10,AWK,16.47,18.6,18.3,18.14,743400.0
2008-10-13,AWK,18.22,20.14,19.4,18.56,177100.0
2008-10-14,AWK,18.84,21.0,19.13,19.8107,665700.0
2008-10-15,AWK,17.77,19.1,18.1,18.8,250400.0
2008-10-16,AWK,17.02,18.54,18.42,18.5314,462900.0
2008-10-17,AWK,17.75,19.32,19.13,18.01,365100.0
2008-10-20,AWK,18.61,19.76,19.76,18.77,250500.0
2008-10-21,AWK,18.85,20.32,19.69,19.29,276100.0
2008-10-22,AWK,18.4095,19.45,18.97,19.45,304200.0
2008-10-23,AWK,18.2,19.13,18.75,18.62,584400.0
2008-10-24,AWK,17.51,18.53,18.01,18.47,314100.0
2008-10-27,AWK,17.16,18.12,17.16,17.94,348300.0
2008-10-28,AWK,17.54,19.35,19.35,17.56,352900.0
2008-10-29,AWK,18.35,19.5,18.66,19.2,219400.0
2008-10-30,AWK,18.5,20.19,19.87,19.03,333600.0
2008-10-31,AWK,19.71,20.44,20.28,20.01,477000.0
2008-11-03,AWK,19.82,20.586,20.31,19.8202,335200.0
2008-11-04,AWK,19.52,21.2396,20.15,20.75,427400.0
2008-11-05,AWK,19.12,20.57,19.48,20.0,456000.0
2008-11-06,AWK,18.51,19.86,18.93,19.48,383500.0
2008-11-07,AWK,19.15,19.73,19.35,19.18,212500.0
2008-11-10,AWK,19.1,20.0,19.43,19.68,427100.0
2008-11-11,AWK,18.97,19.913,19.79,19.05,514800.0
2008-11-12,AWK,18.83,20.1016,18.93,19.72,685000.0
2008-11-13,AWK,18.89,20.88,20.88,19.14,573300.0
2008-11-14,AWK,19.48,20.41,19.5,20.24,683700.0
2008-11-17,AWK,19.12,19.78,19.55,19.12,324700.0
2008-11-18,AWK,19.108,19.93,19.93,19.51,551500.0
2008-11-19,AWK,19.03,20.3602,19.3,19.73,656900.0
2008-11-20,AWK,18.85,19.84,18.9,19.07,672600.0
2008-11-21,AWK,18.949,20.0,20.0,19.07,540900.0
2008-11-24,AWK,19.47,20.8999,20.69,20.06,547700.0
2008-11-25,AWK,20.47,21.49,20.82,20.91,1980300.0
2008-11-26,AWK,19.71,20.65,20.1,20.41,422300.0
2008-11-28,AWK,20.02,20.63,20.28,20.23,220600.0
2008-12-01,AWK,18.96,19.99,19.07,19.9,402700.0
2008-12-02,AWK,17.85,19.4903,18.97,19.34,1204800.0
2008-12-03,AWK,18.5396,20.5,20.21,18.92,520900.0
2008-12-04,AWK,19.6,20.48,20.27,20.0,420400.0
2008-12-05,AWK,19.77,20.97,20.49,20.0,632100.0
2008-12-08,AWK,20.6,21.33,20.96,20.97,648200.0
2008-12-09,AWK,20.61,21.45,20.72,21.21,419700.0
2008-12-10,AWK,20.08,20.93,20.67,20.6097,280700.0
2008-12-11,AWK,20.14,20.95,20.7,20.77,491800.0
2008-12-12,AWK,20.03,20.75,20.41,20.46,363800.0
2008-12-15,AWK,20.46,20.91,20.64,20.65,402800.0
2008-12-16,AWK,20.38,21.0,20.94,20.93,711000.0
2008-12-17,AWK,20.61,22.04,21.82,20.78,630300.0
2008-12-18,AWK,20.63,21.43,20.74,21.43,531500.0
2008-12-19,AWK,20.18,21.24,21.09,20.72,823500.0
2008-12-22,AWK,21.1,22.11,22.06,21.3,628400.0
2008-12-23,AWK,21.63,22.31,22.16,22.07,524100.0
2008-12-24,AWK,21.69,22.35,21.92,22.35,175900.0
2008-12-26,AWK,21.17,22.15,21.78,22.15,267800.0
2008-12-29,AWK,20.1,21.61,20.94,21.6,431000.0
2008-12-30,AWK,19.75,21.33,19.75,21.0,1217000.0
2008-12-31,AWK,20.15,21.05,20.88,20.27,490500.0
2009-01-02,AWK,20.59,21.1888,21.12,21.13,278600.0
2009-01-05,AWK,20.11,21.14,20.49,20.95,245700.0
2009-01-06,AWK,19.99,20.68,20.49,20.68,349400.0
2009-01-07,AWK,19.85,20.51,20.02,20.11,321900.0
2009-01-08,AWK,20.03,20.695,20.19,20.03,400500.0
2009-01-09,AWK,20.1,20.868000000000002,20.71,20.4,254800.0
2009-01-12,AWK,19.69,20.88,19.84,20.88,363900.0
2009-01-13,AWK,19.61,20.2,20.08,19.8406,346300.0
2009-01-14,AWK,19.73,20.15,19.9,19.96,417800.0
2009-01-15,AWK,19.83,20.48,20.34,20.05,348100.0
2009-01-16,AWK,20.21,20.9,20.45,20.47,281900.0
2009-01-20,AWK,20.05,20.74,20.36,20.48,312400.0
2009-01-21,AWK,19.9987,20.79,20.79,20.55,327000.0
2009-01-22,AWK,20.35,20.8,20.7,20.74,194000.0
2009-01-23,AWK,20.37,20.88,20.78,20.53,269800.0
2009-01-26,AWK,20.68,21.17,20.85,20.75,247500.0
2009-01-27,AWK,20.91,21.4,21.27,21.07,431400.0
