Date,symbol,Low,High,Close,Open,Volume
1999-09-28,BA,41.438,42.063,41.875,41.688,2279700.0
1999-09-29,BA,41.563,42.813,42.188,41.875,2497300.0
1999-09-30,BA,42.25,43.313,42.625,42.25,1998000.0
1999-10-01,BA,42.688,43.188,42.875,42.688,1564400.0
1999-10-04,BA,43.063,44.063,43.688,43.063,1687400.0
1999-10-05,BA,43.313,44.125,43.813,43.688,1894500.0
1999-10-06,BA,43.313,44.0,43.438,43.813,2536000.0
1999-10-07,BA,42.063,43.25,42.75,43.25,2624500.0
1999-10-08,BA,41.938,42.938,42.0,42.7516,1532300.0
1999-10-11,BA,41.75,42.7506,41.938,42.0,2612000.0
1999-10-12,BA,39.125,41.875,39.625,41.875,3953000.0
1999-10-13,BA,39.625,41.188,40.5,39.625,4278700.0
1999-10-14,BA,41.438,44.375,43.625,41.438,7686800.0
1999-10-15,BA,41.25,43.625,42.5,43.625,6747700.0
1999-10-18,BA,41.626999999999995,42.875,42.125,42.5,3713100.0
1999-10-19,BA,42.5,43.0,42.75,42.498999999999995,3785500.0
1999-10-20,BA,42.5,44.438,44.125,42.75,3345500.0
1999-10-21,BA,43.688,44.938,44.688,44.125,3385200.0
1999-10-22,BA,44.625,45.438,44.625,44.688,2850300.0
1999-10-25,BA,44.063,45.188,44.188,44.625,2276000.0
1999-10-26,BA,44.188,45.25,44.875,44.188,2340300.0
1999-10-27,BA,44.75,45.1849,44.875,44.875,2375700.0
1999-10-28,BA,45.313,46.25,45.75,45.313,4077500.0
1999-10-29,BA,45.875,46.438,46.063,45.875,3389200.0
1999-11-01,BA,43.875,44.938,44.625,44.938,6052600.0
1999-11-02,BA,42.375,43.688,43.375,43.688,6561200.0
1999-11-03,BA,42.25,44.125,43.25,43.375,5700800.0
1999-11-04,BA,43.063,43.938,43.375,43.25,2729000.0
1999-11-05,BA,44.063,44.9387,44.313,44.063,3640900.0
1999-11-08,BA,43.75,44.875,44.188,44.313,2888200.0
1999-11-09,BA,41.125,44.313,41.438,44.188,6795300.0
1999-11-10,BA,40.938,42.313,41.75,41.438,5828600.0
1999-11-11,BA,41.125,41.938,41.125,41.7479,3360400.0
1999-11-12,BA,40.813,41.438,41.313,41.125,3694000.0
1999-11-15,BA,39.813,40.875,40.125,40.875,5245900.0
1999-11-16,BA,40.188,41.625,41.375,40.188,4393600.0
1999-11-17,BA,41.25,42.75,42.563,41.375,3386400.0
1999-11-18,BA,42.75,43.563,43.0,42.7517,3236000.0
1999-11-19,BA,43.125,44.0,43.688,43.125,3257000.0
1999-11-22,BA,41.688,43.5,41.875,43.5,3352100.0
1999-11-23,BA,40.938,41.938,41.688,41.875,2808600.0
1999-11-24,BA,40.688,41.438,41.063,41.438,2090000.0
1999-11-26,BA,40.7523,41.125,41.063,41.063,1069100.0
1999-11-29,BA,40.25,41.063,40.875,41.063,2237400.0
1999-11-30,BA,40.375,41.188,40.625,40.875,3112900.0
1999-12-01,BA,40.438,42.1257,41.5,40.625,3386600.0
1999-12-02,BA,39.875,41.563,40.125,41.5002,3239800.0
1999-12-03,BA,39.625,40.375,40.375,40.125,3823100.0
1999-12-06,BA,38.438,40.063,38.563,40.063,4131400.0
1999-12-07,BA,37.875,38.688,37.938,38.563,3469300.0
1999-12-08,BA,37.063,38.0,37.25,37.938,5503200.0
1999-12-09,BA,37.375,39.563,37.813,37.375,6141500.0
1999-12-10,BA,38.063,39.625,39.125,38.063,3690000.0
1999-12-13,BA,38.0,39.063,38.188,39.063,3816100.0
1999-12-14,BA,37.25,38.563,38.5,38.188,4790000.0
1999-12-15,BA,38.688,40.563,38.75,38.688,6212300.0
1999-12-16,BA,38.625,39.813,39.688,38.75,4341800.0
1999-12-17,BA,38.188,40.0,38.313,39.688,5959200.0
1999-12-20,BA,37.875,39.25,38.406,38.313,3186300.0
1999-12-21,BA,38.25,38.938,38.688,38.406,3435900.0
1999-12-22,BA,38.875,39.938,39.375,38.875,3719100.0
1999-12-23,BA,40.2458,41.313,41.188,40.25,4027700.0
1999-12-27,BA,41.0,41.938,41.438,41.188,2722100.0
1999-12-28,BA,40.813,41.375,41.313,41.3741,1631900.0
1999-12-29,BA,40.938,41.5,41.0,41.313,1981200.0
1999-12-30,BA,40.938,41.6231,41.25,41.0,1934600.0
1999-12-31,BA,41.063,41.625,41.438,41.25,1111200.0
2000-01-03,BA,39.813,41.688,40.188,41.438,2638200.0
2000-01-04,BA,39.75,41.125,40.125,40.188,3592100.0
2000-01-05,BA,41.375,43.313,42.625,41.375,7631700.0
2000-01-06,BA,41.125,43.438,43.063,42.625,4922200.0
2000-01-07,BA,43.688,44.8763,44.313,43.688,6008300.0
2000-01-10,BA,43.5,44.4997,43.688,44.313,2403500.0
2000-01-11,BA,42.75,43.938,42.875,43.688,2450000.0
