Date,symbol,Low,High,Close,Open,Volume
1999-09-28,BAX,59.625,60.5,60.0,60.0,3865700.0
1999-09-29,BAX,57.563,60.125,59.25,59.938,4110500.0
1999-09-30,BAX,59.25,61.625,60.25,59.25,3258500.0
1999-10-01,BAX,60.25,61.25,61.125,60.375,2587700.0
1999-10-04,BAX,60.813,62.0,61.313,61.375,2132600.0
1999-10-05,BAX,61.0,62.375,61.313,61.063,2746700.0
1999-10-06,BAX,61.563,62.5,62.125,61.563,3816000.0
1999-10-07,BAX,62.063,64.75,64.563,62.063,2774000.0
1999-10-08,BAX,64.063,65.625,65.188,64.375,3728700.0
1999-10-11,BAX,64.688,65.313,64.813,65.063,1677100.0
1999-10-12,BAX,63.625,64.813,64.563,64.75,3082200.0
1999-10-13,BAX,62.375,64.313,62.375,64.313,2059300.0
1999-10-14,BAX,59.875,62.0,61.625,61.875,3568500.0
1999-10-15,BAX,60.5,61.813,60.75,61.813,1696600.0
1999-10-18,BAX,58.813,60.0,59.313,59.75,3160200.0
1999-10-19,BAX,56.813,61.063,59.75,60.0,7377900.0
1999-10-20,BAX,59.25,61.25,61.125,59.875,3735000.0
1999-10-21,BAX,59.5,64.313,63.625,60.5,5137800.0
1999-10-22,BAX,63.875,65.75,64.875,65.0,5759700.0
1999-10-25,BAX,64.5,67.5651,65.5,64.875,5408100.0
1999-10-26,BAX,64.25,66.438,64.25,65.75,4110900.0
1999-10-27,BAX,63.875,65.25,64.625,64.0,4146600.0
1999-10-28,BAX,64.5671,65.188,64.938,64.75,1958000.0
1999-10-29,BAX,64.875,65.813,65.0,65.125,2416100.0
1999-11-01,BAX,63.875,65.625,63.938,65.2499,2426400.0
1999-11-02,BAX,62.875,64.5,63.063,64.0,3619000.0
1999-11-03,BAX,63.375,64.625,63.875,64.125,3245300.0
1999-11-04,BAX,63.375,64.5,63.563,64.5,2501500.0
1999-11-05,BAX,64.625,67.125,65.313,64.813,3190400.0
1999-11-08,BAX,64.25,65.938,64.5,65.375,1518800.0
1999-11-09,BAX,62.875,64.75,63.688,64.75,2526200.0
1999-11-10,BAX,63.063,63.75,63.188,63.625,2951100.0
1999-11-11,BAX,63.313,65.188,64.563,63.375,1971300.0
1999-11-12,BAX,63.0,65.7468,65.688,64.813,2184500.0
1999-11-15,BAX,64.563,65.75,65.75,64.625,2266200.0
1999-11-16,BAX,65.625,68.125,67.625,65.625,2538300.0
1999-11-17,BAX,67.25,68.0,67.625,67.625,2976500.0
1999-11-18,BAX,65.0,69.625,67.0,68.625,5272200.0
1999-11-19,BAX,67.0,69.25,68.75,67.0004,4809700.0
1999-11-22,BAX,68.0,69.313,68.543,68.563,1460600.0
1999-11-23,BAX,65.75,68.25,65.875,68.1297,1860100.0
1999-11-24,BAX,65.75,67.688,67.5,65.875,3263300.0
1999-11-26,BAX,67.313,67.938,67.625,67.4997,951400.0
1999-11-29,BAX,67.25,68.0,67.938,67.625,2653900.0
1999-11-30,BAX,67.438,68.75,67.563,67.75,3740900.0
1999-12-01,BAX,67.75,68.5,68.125,67.75,4964000.0
1999-12-02,BAX,66.875,68.0,67.691,67.938,1722400.0
1999-12-03,BAX,67.188,68.438,67.438,67.688,2728700.0
1999-12-06,BAX,65.75,67.688,65.938,67.688,2434900.0
1999-12-07,BAX,63.5,65.938,64.313,65.875,3371200.0
1999-12-08,BAX,61.688,63.938,62.625,63.75,5293600.0
1999-12-09,BAX,62.125,62.813,62.375,62.75,2132900.0
1999-12-10,BAX,62.0,62.75,62.0,62.5,2593900.0
1999-12-13,BAX,61.5,62.625,62.047,62.5,2112300.0
1999-12-14,BAX,61.0677,63.0,62.75,61.063,2525100.0
1999-12-15,BAX,61.875,63.0,62.0,62.875,3623800.0
1999-12-16,BAX,59.0,62.0,60.313,61.875,5155500.0
1999-12-17,BAX,59.625,60.625,60.438,60.313,5513400.0
1999-12-20,BAX,59.25,60.8802,60.125,59.938,5191900.0
1999-12-21,BAX,58.563,60.125,59.688,59.688,5189400.0
1999-12-22,BAX,60.25,61.5,60.938,60.25,2881500.0
1999-12-23,BAX,60.875,62.813,62.625,60.938,4131500.0
1999-12-27,BAX,59.5,62.125,61.25,62.0,5819700.0
1999-12-28,BAX,60.0015,61.313,60.563,60.625,2610900.0
1999-12-29,BAX,60.375,62.25,61.438,60.375,2420900.0
1999-12-30,BAX,61.5,63.25,62.938,61.563,2836200.0
1999-12-31,BAX,62.063,62.875,62.813,62.5,860800.0
2000-01-03,BAX,60.313,62.125,61.375,61.563,3878200.0
2000-01-04,BAX,59.75,61.0,60.0,60.375,1740400.0
2000-01-05,BAX,59.5,63.375,62.625,60.0,4200400.0
2000-01-06,BAX,61.875,64.5079,63.938,61.875,3350600.0
2000-01-07,BAX,64.125,67.688,67.563,64.3715,4469900.0
2000-01-10,BAX,64.75,67.75,65.0,67.75,1916400.0
2000-01-11,BAX,63.813,65.625,65.0,64.25,2438500.0
2000-01-12,BAX,64.25,65.375,64.25,65.188,1862300.0
2000-01-13,BAX,64.5,66.875,65.75,64.75,2743800.0
2000-01-14,BAX,62.313,65.5,63.75,65.0,4230600.0
2000-01-18,BAX,62.5,64.0,62.938,63.5,2381100.0
2000-01-19,BAX,62.313,63.375,62.813,62.938,2603900.0
2000-01-20,BAX,60.5,62.875,61.0,62.563,5330400.0
2000-01-21,BAX,60.375,61.0,60.75,61.0,5988700.0
2000-01-24,BAX,58.875,60.938,59.313,60.75,3413500.0
2000-01-25,BAX,56.25,59.1882,58.0,59.125,7155900.0
2000-01-26,BAX,56.0,58.875,58.0,57.7545,9850800.0
2000-01-27,BAX,59.0,64.0,63.063,59.5,11235600.0
2000-01-28,BAX,62.0,66.438,62.688,63.063,7589300.0
2000-01-31,BAX,62.938,64.375,63.875,64.0,7941300.0
2000-02-01,BAX,62.6202,63.875,63.125,63.875,2967600.0
2000-02-02,BAX,62.125,63.625,63.375,62.8787,4690100.0
2000-02-03,BAX,62.813,63.75,63.5,63.5,3586600.0
2000-02-04,BAX,63.25,63.875,63.5,63.25,4687500.0
2000-02-07,BAX,62.5,63.625,63.063,63.25,3216200.0
2000-02-08,BAX,62.438,63.813,62.938,62.813,2740100.0
2000-02-09,BAX,60.125,63.0,62.875,62.0,4550500.0
2000-02-10,BAX,59.625,62.875,60.563,62.875,3118200.0
2000-02-11,BAX,59.0,60.438,59.25,60.375,2643300.0
2000-02-14,BAX,59.0,60.563,59.75,59.625,2705500.0
2000-02-15,BAX,58.25,59.75,59.125,59.25,5548000.0
2000-02-16,BAX,57.5,59.125,57.875,59.0,4143300.0
2000-02-17,BAX,57.063,58.0,57.688,57.875,4079200.0
2000-02-18,BAX,55.563,57.438,55.875,57.438,4263300.0
2000-02-22,BAX,55.188,58.125,57.0,55.625,5436400.0
2000-02-23,BAX,55.875,57.5,56.688,56.875,3290600.0
2000-02-24,BAX,54.0,56.688,55.125,56.688,4404000.0
2000-02-25,BAX,53.75,57.688,54.188,55.625,4953300.0
2000-02-28,BAX,54.25,56.188,54.875,54.6861,3014000.0
2000-02-29,BAX,54.5,56.375,54.5,55.375,3574800.0
2000-03-01,BAX,54.813,57.375,56.063,54.813,4802400.0
2000-03-02,BAX,55.625,57.5,56.813,56.313,7679900.0
2000-03-03,BAX,56.625,58.625,56.625,57.063,8483300.0
2000-03-06,BAX,54.375,56.75,54.375,56.75,3489400.0
2000-03-07,BAX,51.75,55.0,51.813,54.875,4727600.0
2000-03-08,BAX,53.0003,55.0,54.125,53.0,4369000.0
2000-03-09,BAX,53.813,55.875,55.75,54.1245,7024800.0
2000-03-10,BAX,55.75,56.938,56.063,55.75,7960400.0
2000-03-13,BAX,53.563,55.6253,53.75,55.063,5031800.0
2000-03-14,BAX,53.75,54.688,54.0,54.0,4163900.0
2000-03-15,BAX,54.5,59.625,58.938,54.625,5724000.0
2000-03-16,BAX,59.313,62.6874,62.375,59.75,10242900.0
2000-03-17,BAX,61.3725,62.75,61.75,62.75,4826300.0
2000-03-20,BAX,61.25,62.75,61.688,61.75,5495700.0
2000-03-21,BAX,61.063,63.875,62.875,61.188,5792500.0
2000-03-22,BAX,61.563,63.125,62.75,62.188,7279600.0
2000-03-23,BAX,61.625,64.875,63.938,62.375,9476300.0
2000-03-24,BAX,61.063,63.438,61.5,63.438,8096700.0
2000-03-27,BAX,59.125,61.188,60.215,61.0,5535800.0
2000-03-28,BAX,59.5655,61.625,60.313,60.125,5338900.0
2000-03-29,BAX,59.75,61.938,60.25,60.1853,5331100.0
2000-03-30,BAX,60.1252,62.188,61.5,60.25,6113500.0
2000-03-31,BAX,61.563,62.938,62.688,61.75,3888900.0
2000-04-03,BAX,59.938,63.5,62.188,59.938,4170900.0
2000-04-04,BAX,59.938,63.375,62.063,62.0,5239800.0
2000-04-05,BAX,61.438,63.5,61.875,62.563,6332300.0
2000-04-06,BAX,59.438,61.938,60.0,61.7533,3767700.0
2000-04-07,BAX,59.125,60.313,59.438,59.875,1998200.0
2000-04-10,BAX,59.125,61.188,60.625,59.438,3580000.0
2000-04-11,BAX,60.6203,63.938,61.688,60.625,3645500.0
2000-04-12,BAX,60.375,62.813,60.938,61.9351,3790600.0
2000-04-13,BAX,59.813,61.3757,60.063,60.688,3429400.0
2000-04-14,BAX,56.5,59.5,56.563,59.0,5430200.0
2000-04-17,BAX,55.4957,57.438,56.438,56.813,4700400.0
2000-04-18,BAX,56.75,58.313,57.875,57.0,4074100.0
2000-04-19,BAX,58.0,59.813,58.25,59.125,3480900.0
2000-04-20,BAX,56.625,60.125,59.813,59.0,6040300.0
2000-04-24,BAX,59.313,63.188,62.0,59.313,7978800.0
2000-04-25,BAX,63.438,66.4955,66.5,63.5,12352700.0
2000-04-26,BAX,64.7517,66.25,65.063,66.25,6570500.0
2000-04-27,BAX,64.75,65.813,65.563,64.75,6440900.0
2000-04-28,BAX,65.063,65.75,65.125,65.563,6159600.0
2000-05-01,BAX,63.5,65.1826,63.563,65.125,4246000.0
2000-05-02,BAX,62.563,64.875,63.75,62.75,3404300.0
2000-05-03,BAX,62.0,64.0,62.313,63.688,2640300.0
2000-05-04,BAX,60.625,62.188,61.563,62.063,3508500.0
2000-05-05,BAX,60.938,62.9981,61.813,61.313,2759600.0
2000-05-08,BAX,62.313,65.438,64.0,62.8774,6201200.0
2000-05-09,BAX,64.0,66.9978,65.938,64.0,7269700.0
2000-05-10,BAX,65.25,66.875,66.438,65.25,4054200.0
2000-05-11,BAX,67.0,68.875,67.813,67.5,7172500.0
2000-05-12,BAX,66.0,67.75,66.0,67.5,4050200.0
2000-05-15,BAX,66.0,67.625,66.875,66.438,5400300.0
2000-05-16,BAX,66.375,68.5,67.5,67.25,6713000.0
2000-05-17,BAX,66.5,67.438,66.688,67.125,1801900.0
2000-05-18,BAX,66.125,67.125,67.0,66.7518,2239300.0
2000-05-19,BAX,66.063,67.375,66.875,66.625,3084400.0
2000-05-22,BAX,65.938,67.438,67.0,66.625,2948500.0
2000-05-23,BAX,67.0,68.25,67.688,67.0,2632900.0
2000-05-24,BAX,67.688,69.438,68.875,67.688,3572200.0
2000-05-25,BAX,67.1869,68.563,67.625,68.375,2843900.0
2000-05-26,BAX,65.563,67.75,65.563,67.375,2110500.0
2000-05-30,BAX,64.938,66.25,66.188,66.0,2729800.0
2000-05-31,BAX,66.0,68.0,66.5,66.0,3952600.0
2000-06-01,BAX,66.375,68.188,67.688,66.375,2806700.0
2000-06-02,BAX,62.813,68.0,63.563,67.563,6220300.0
2000-06-05,BAX,63.4435,67.125,65.875,63.75,3447400.0
2000-06-06,BAX,64.1301,66.188,64.859,65.938,3146600.0
2000-06-07,BAX,62.8149,64.875,63.0,64.625,2227600.0
2000-06-08,BAX,61.5,64.6275,63.875,63.0,3054500.0
2000-06-09,BAX,63.563,65.2524,64.75,64.0,2660200.0
2000-06-12,BAX,64.625,65.875,65.336,64.75,2533200.0
2000-06-13,BAX,65.375,67.875,66.875,65.375,2110500.0
2000-06-14,BAX,67.0,68.813,67.625,67.0,9143500.0
2000-06-15,BAX,67.0,68.813,67.25,68.25,2958400.0
2000-06-16,BAX,65.375,67.5,66.25,67.375,3944500.0
2000-06-19,BAX,65.313,66.438,66.375,66.313,2167500.0
2000-06-20,BAX,65.563,66.8809,66.688,66.125,2839500.0
2000-06-21,BAX,65.813,68.125,68.0,66.125,2146900.0
2000-06-22,BAX,66.063,68.0,66.5,68.0,2343900.0
2000-06-23,BAX,65.813,67.625,66.063,66.25,2127400.0
2000-06-26,BAX,66.125,69.25,68.0,66.25,6007900.0
2000-06-27,BAX,67.813,69.8806,68.938,68.125,4901800.0
2000-06-28,BAX,69.25,71.75,71.24600000000001,70.0,5826000.0
2000-06-29,BAX,70.75,72.0005,72.0,71.375,6611000.0
2000-06-30,BAX,70.063,72.063,70.313,72.0,8150400.0
2000-07-03,BAX,70.75,71.5,71.0,70.75,1570700.0
2000-07-05,BAX,70.938,74.4472,74.313,71.0,7032600.0
2000-07-06,BAX,70.5,75.0,70.813,74.3159,8396400.0
2000-07-07,BAX,70.313,72.438,70.5,71.0,8147100.0
2000-07-10,BAX,71.0063,72.25,71.563,71.0,3423100.0
2000-07-11,BAX,71.313,72.875,71.938,71.5,4399600.0
2000-07-12,BAX,71.75,74.625,71.938,74.625,5670200.0
2000-07-13,BAX,70.625,73.0,70.688,72.125,6026600.0
2000-07-14,BAX,67.5,71.25,69.5,70.75,6663600.0
2000-07-17,BAX,70.188,73.938,72.625,70.5,5064900.0
2000-07-18,BAX,72.4339,73.625,72.813,73.125,2984900.0
2000-07-19,BAX,73.063,74.25,73.563,73.063,4138900.0
2000-07-20,BAX,72.875,75.5,74.813,73.75,7081900.0
2000-07-21,BAX,74.5,79.5,78.625,75.188,10814700.0
2000-07-24,BAX,77.438,80.25,78.031,78.625,6185700.0
2000-07-25,BAX,74.25,77.375,74.625,77.188,4497900.0
2000-07-26,BAX,73.375,75.188,74.5,74.313,6176900.0
2000-07-27,BAX,74.5,77.2508,74.5,75.5,6235800.0
2000-07-28,BAX,74.938,78.5,76.938,75.25,7324200.0
2000-07-31,BAX,76.813,78.25,77.75,77.313,4932400.0
2000-08-01,BAX,77.125,78.375,77.938,78.0,3945600.0
2000-08-02,BAX,77.875,79.75,79.063,78.125,4115700.0
2000-08-03,BAX,78.6131,80.0,78.938,79.0,4617500.0
2000-08-04,BAX,76.75,79.375,77.438,79.125,4067100.0
2000-08-07,BAX,77.125,78.875,78.285,77.188,3140000.0
2000-08-08,BAX,74.813,77.5,75.813,77.0,6574200.0
2000-08-09,BAX,73.6318,75.813,75.063,75.75,6832600.0
2000-08-10,BAX,77.875,81.25,80.0,78.5,6991300.0
2000-08-11,BAX,78.5,80.75,78.938,80.125,3638900.0
2000-08-14,BAX,77.9974,80.125,80.0,78.75,2774300.0
2000-08-15,BAX,79.375,81.5,81.313,79.9943,4983200.0
2000-08-16,BAX,77.688,81.313,78.25,80.875,4304200.0
2000-08-17,BAX,78.0,79.375,79.375,78.5,2631500.0
2000-08-18,BAX,78.281,80.0,79.375,80.0,5241300.0
2000-08-21,BAX,79.25,80.438,80.0,79.375,3594300.0
2000-08-22,BAX,79.75,80.4941,80.188,80.5,5462600.0
2000-08-23,BAX,79.75,81.813,81.813,80.188,4435300.0
2000-08-24,BAX,82.125,85.0043,84.5,82.125,11585700.0
