Date,symbol,Low,High,Close,Open,Volume
1999-09-28,BBBY,31.625,33.125,32.844,32.9965,2023600.0
1999-09-29,BBBY,32.5,33.188,32.5,32.9978,3366200.0
1999-09-30,BBBY,32.5,35.25,34.938,33.25,34298800.0
1999-10-01,BBBY,33.5,35.001,35.0,34.125,7948400.0
1999-10-04,BBBY,33.875,35.125,35.063,34.813,2182000.0
1999-10-05,BBBY,33.875,36.0,34.188,35.375,3453000.0
1999-10-06,BBBY,34.188,35.375,35.125,34.375,3328000.0
1999-10-07,BBBY,34.125,35.25,34.438,35.0,1827800.0
1999-10-08,BBBY,34.0,35.875,35.438,34.438,3009200.0
1999-10-11,BBBY,35.0,35.6269,35.5,35.625,1968000.0
1999-10-12,BBBY,33.875,35.375,34.438,35.25,1347800.0
1999-10-13,BBBY,33.375,35.125,33.563,34.063,1398200.0
1999-10-14,BBBY,32.125,33.625,33.438,33.563,3695600.0
1999-10-15,BBBY,30.063000000000002,32.938,31.375,32.938,3790000.0
1999-10-18,BBBY,30.563000000000002,31.938000000000002,31.875,31.438000000000002,2168600.0
1999-10-19,BBBY,31.625,33.875,31.719,32.375,2214200.0
1999-10-20,BBBY,31.625,32.938,32.938,31.844,1423400.0
1999-10-21,BBBY,31.938000000000002,33.625,33.563,32.5,1593800.0
1999-10-22,BBBY,34.0,35.938,34.938,34.094,3236800.0
1999-10-25,BBBY,33.75,35.1848,34.563,34.75,1348200.0
1999-10-26,BBBY,32.063,34.563,32.375,34.5,2024000.0
1999-10-27,BBBY,31.188000000000002,32.5,31.188000000000002,32.375,1980200.0
1999-10-28,BBBY,31.625,32.75,31.75,32.125,3740600.0
1999-10-29,BBBY,32.188,33.8759,33.313,32.25,6165200.0
1999-11-01,BBBY,33.5624,34.938,34.75,33.625,2931600.0
1999-11-02,BBBY,33.75,35.875,34.25,34.75,5200000.0
1999-11-03,BBBY,34.0,35.781,35.75,34.0,3904800.0
1999-11-04,BBBY,35.5,37.0,36.563,35.75,5527600.0
1999-11-05,BBBY,34.063,37.0,35.0,37.0,1961600.0
