Date,symbol,Low,High,Close,Open,Volume
1999-09-28,BLL,43.75,44.188,43.813,44.125,1078400.0
1999-09-29,BLL,43.75,44.188,43.75,43.813,2737600.0
1999-09-30,BLL,43.75,44.625,44.063,43.75,2726400.0
1999-10-01,BLL,43.313,44.25,43.313,44.25,1576000.0
1999-10-04,BLL,42.875,43.625,42.938,43.5,1276800.0
1999-10-05,BLL,41.938,43.063,41.938,43.063,2358400.0
1999-10-06,BLL,41.5627,42.375,41.75,41.938,2315200.0
1999-10-07,BLL,40.313,41.938,41.938,41.75,3075200.0
1999-10-08,BLL,41.313,43.5,43.375,41.813,2827200.0
1999-10-11,BLL,41.875,43.688,42.0,43.188,1105600.0
1999-10-12,BLL,41.125,41.938,41.125,41.938,1492800.0
1999-10-13,BLL,40.313,41.3145,40.5,41.125,2180800.0
1999-10-14,BLL,38.438,40.563,39.25,40.563,5355200.0
1999-10-15,BLL,38.313,39.5,38.5,39.313,3982400.0
1999-10-18,BLL,38.563,40.0,39.625,38.625,5278400.0
1999-10-19,BLL,39.375,40.375,39.625,39.688,1758400.0
1999-10-20,BLL,38.313,39.625,38.75,39.625,1776000.0
1999-10-21,BLL,38.063,39.125,38.625,38.25,3260800.0
1999-10-22,BLL,38.5,40.375,39.813,38.5,1688000.0
1999-10-25,BLL,39.438,42.125,40.313,39.813,4721600.0
1999-10-26,BLL,39.25,40.563,39.75,40.563,3155200.0
1999-10-27,BLL,39.375,40.375,40.25,39.375,4536000.0
1999-10-28,BLL,39.813,41.125,40.125,40.5,1942400.0
1999-10-29,BLL,40.0,40.75,40.313,40.125,1366400.0
1999-11-01,BLL,39.5,40.688,40.063,40.313,1443200.0
1999-11-02,BLL,39.438,40.313,39.75,40.313,2686400.0
1999-11-03,BLL,40.063,40.5,40.125,40.5,1302400.0
1999-11-04,BLL,39.063,40.375,39.438,40.1911,1641600.0
1999-11-05,BLL,39.188,39.813,39.563,39.625,2369600.0
1999-11-08,BLL,39.25,40.063,39.813,39.313,1156800.0
1999-11-09,BLL,37.875,39.813,38.375,39.813,4400000.0
1999-11-10,BLL,37.75,40.313,39.75,38.375,2360000.0
