Date,symbol,Low,High,Close,Open,Volume
2018-01-04,CA,33.69,33.97,33.78,33.78,2209671.0
2018-03-05,CA,35.045,35.67,35.54,35.11,2282959.0
2018-03-13,CA,36.15,37.03,36.27,36.95,2880562.0
2018-03-14,CA,35.75,36.57,35.84,36.5,2411720.0
2018-03-15,CA,35.58,35.92,35.69,35.87,2164930.0
2018-03-16,CA,35.61,36.16,35.79,35.73,4552787.0
2018-03-19,CA,35.09,35.79,35.38,35.64,2018268.0
2018-03-20,CA,35.255,35.81,35.4,35.41,2550853.0
2018-03-21,CA,35.2,35.68,35.31,35.42,2324732.0
2018-03-22,CA,33.11,35.08,34.31,33.11,2571772.0
2018-03-23,CA,33.23,34.45,33.24,34.32,2599587.0
2018-03-26,CA,33.56,34.2,34.15,33.71,2632153.0
2018-03-27,CA,33.24,34.58,33.43,34.55,2248199.0
2018-03-28,CA,33.28,33.75,33.48,33.52,2709086.0
2018-03-29,CA,33.39,34.17,33.9,33.68,2489463.0
2018-04-02,CA,32.45,33.85,32.7,33.72,3284507.0
2018-04-03,CA,32.61,33.25,33.11,32.9,3027063.0
2018-04-04,CA,32.6,33.96,33.84,32.73,3371788.0
2018-04-05,CA,33.65,34.11,33.91,34.07,1768231.0
2018-04-06,CA,32.95,33.82,33.18,33.63,2192775.0
2018-04-09,CA,33.27,33.83,33.29,33.4,1549632.0
2018-04-10,CA,33.78,34.62,34.53,33.79,4943729.0
2018-04-11,CA,34.04,34.79,34.49,34.22,2604050.0
2018-04-12,CA,33.33,34.91,34.54,34.71,2710715.0
2018-04-13,CA,34.13,34.7,34.51,34.7,1524583.0
2018-04-16,CA,34.7,35.17,35.0,34.81,2082881.0
2018-04-17,CA,34.915,35.23,35.06,35.23,2370772.0
2018-04-18,CA,34.91,35.2,35.03,35.18,1904943.0
2018-04-19,CA,34.262,35.03,34.84,34.88,1356814.0
2018-04-20,CA,34.34,34.91,34.58,34.89,1578789.0
2018-04-23,CA,34.545,34.86,34.75,34.59,1937540.0
2018-04-24,CA,34.56,35.2,34.7,34.97,2563024.0
2018-04-25,CA,34.16,34.73,34.5,34.59,1767241.0
2018-04-26,CA,34.27,34.925,34.78,34.72,1803800.0
2018-04-27,CA,34.625,35.09,34.88,34.77,1098307.0
2018-04-30,CA,34.65,35.03,34.8,34.93,1622527.0
2018-05-01,CA,34.54,34.99,34.97,34.68,1372745.0
2018-05-02,CA,33.94,34.79,33.96,34.79,2612372.0
2018-05-03,CA,33.51,34.25,34.06,33.87,2170300.0
2018-05-04,CA,33.84,34.795,34.71,33.84,1628107.0
2018-05-07,CA,34.46,34.91,34.56,34.73,2459300.0
2018-05-08,CA,34.28,34.64,34.56,34.6,3161384.0
2018-05-09,CA,33.77,35.77,34.4,35.77,4046985.0
