Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CB,16.625,17.875,17.5,17.813,1760700.0
1999-09-29,CB,16.375,17.438,16.563,17.313,1235200.0
1999-09-30,CB,16.438,17.125,16.938,16.688,1004900.0
1999-10-01,CB,16.125,16.938,16.25,16.938,970100.0
1999-10-04,CB,16.25,16.625,16.438,16.375,928600.0
1999-10-05,CB,16.25,16.5,16.313,16.438,778500.0
1999-10-06,CB,16.313,17.25,17.125,16.313,1288500.0
1999-10-07,CB,15.75,17.438,16.125,17.375,2476300.0
1999-10-08,CB,15.5,16.375,15.5,16.0,1090600.0
1999-10-11,CB,15.625,16.75,16.75,15.687999999999999,1404100.0
1999-10-12,CB,16.188,16.625,16.313,16.625,897100.0
1999-10-13,CB,16.063,16.563,16.375,16.25,899400.0
1999-10-14,CB,16.125,16.563,16.375,16.5,564300.0
1999-10-15,CB,16.0,16.875,16.563,16.0,922800.0
1999-10-18,CB,16.313,16.625,16.563,16.563,538300.0
1999-10-19,CB,16.5,16.813,16.5,16.563,644000.0
1999-10-20,CB,16.188,16.625,16.188,16.5,508500.0
1999-10-21,CB,15.937999999999999,16.125,16.0,16.063,720000.0
1999-10-22,CB,16.0,17.0,16.938,16.125,1473000.0
1999-10-25,CB,16.75,17.5,17.5,16.938,925300.0
1999-10-26,CB,16.813,17.688,17.563,17.6892,1058200.0
1999-10-27,CB,17.25,17.938,17.5,17.688,594400.0
1999-10-28,CB,17.5652,19.5,18.625,17.563,3077700.0
1999-10-29,CB,19.0,19.875,19.438,19.125,923200.0
1999-11-01,CB,18.625,19.688,18.625,19.688,1053800.0
1999-11-02,CB,18.375,19.25,19.125,18.375,747900.0
1999-11-03,CB,18.5,19.188,18.5,19.125,1449000.0
1999-11-04,CB,19.25,20.75,20.5,19.25,1699500.0
1999-11-05,CB,20.25,21.438000000000002,21.0,20.5005,1539200.0
1999-11-08,CB,21.188000000000002,22.75,21.563000000000002,21.25,1917800.0
1999-11-09,CB,20.5,21.938000000000002,20.625,21.813000000000002,705400.0
1999-11-10,CB,19.25,20.375,19.938,20.375,1770300.0
1999-11-11,CB,19.625,20.375,20.125,20.188,742200.0
1999-11-12,CB,20.188,21.0,20.25,20.25,758700.0
1999-11-15,CB,19.0,20.375,19.563,20.25,858200.0
1999-11-16,CB,19.625,20.063,20.0,19.938,627300.0
1999-11-17,CB,18.875,19.75,19.25,19.75,672500.0
1999-11-18,CB,18.75,19.938,19.313,19.938,1514700.0
1999-11-19,CB,18.688,19.375,18.75,19.375,855500.0
1999-11-22,CB,18.813,19.063,19.0,18.875,748500.0
1999-11-23,CB,18.625,19.125,18.688,19.125,567300.0
1999-11-24,CB,17.938,18.75,18.0,18.688,720600.0
1999-11-26,CB,17.875,18.25,18.0,17.875,221300.0
1999-11-29,CB,17.063,18.0,17.125,17.9996,1664400.0
1999-11-30,CB,16.875,17.25,17.0,17.125,1475200.0
1999-12-01,CB,16.875,17.188,17.188,16.9389,939800.0
1999-12-02,CB,16.9373,17.438,17.375,17.25,700000.0
1999-12-03,CB,17.375,18.5,17.75,17.5,728100.0
1999-12-06,CB,16.8755,17.625,17.25,17.625,625300.0
1999-12-07,CB,16.875,17.313,17.063,16.938,514400.0
1999-12-08,CB,16.75,17.2504,16.75,16.938,368700.0
1999-12-09,CB,16.5,17.125,16.625,17.0,644600.0
1999-12-10,CB,16.625,16.938,16.813,16.75,432000.0
1999-12-13,CB,16.5,17.4989,16.688,16.75,858500.0
1999-12-14,CB,16.5,16.875,16.563,16.688,588700.0
1999-12-15,CB,16.5,16.938,16.625,16.5,527800.0
1999-12-16,CB,16.25,16.938,16.5,16.8752,569300.0
1999-12-17,CB,16.125,16.688,16.625,16.5,1116600.0
1999-12-20,CB,16.2501,16.875,16.313,16.625,1623300.0
1999-12-21,CB,16.188,16.563,16.25,16.25,1116900.0
1999-12-22,CB,16.188,17.313,16.313,16.188,1011500.0
1999-12-23,CB,16.25,16.875,16.313,16.438,1232700.0
1999-12-27,CB,16.0,16.313,16.0,16.313,1158500.0
1999-12-28,CB,16.125,17.125,16.875,16.125,1100300.0
1999-12-29,CB,16.563,17.0625,16.75,16.875,1216100.0
1999-12-30,CB,16.125,16.688,16.188,16.688,1064800.0
1999-12-31,CB,16.188,16.9382,16.688,16.188,416100.0
2000-01-03,CB,16.125,17.125,16.313,17.063,1368700.0
2000-01-04,CB,15.437999999999999,16.25,16.188,16.188,1283100.0
2000-01-05,CB,15.187999999999999,16.188,15.25,16.188,1865000.0
2000-01-06,CB,15.25,16.188,16.063,15.25,1076200.0
2000-01-07,CB,16.25,18.9997,18.125,16.25,5434300.0
2000-01-10,CB,18.438,19.063,18.688,18.625,1611500.0
2000-01-11,CB,17.75,18.875,17.813,18.875,939000.0
2000-01-12,CB,17.813,18.688,18.438,17.813,1011200.0
2000-01-13,CB,18.438,19.75,19.75,18.625,1079400.0
2000-01-14,CB,20.0,20.875,20.563000000000002,20.0,1698000.0
2000-01-18,CB,19.063,20.5,19.188,20.5,493600.0
2000-01-19,CB,19.125,20.0016,19.75,19.188,734100.0
2000-01-20,CB,19.563,19.938,19.75,19.625,656400.0
2000-01-21,CB,19.75,20.3154,20.063,20.0,909300.0
2000-01-24,CB,19.9995,20.5,20.063,20.25,599200.0
2000-01-25,CB,19.188,20.188,19.563,20.125,853500.0
2000-01-26,CB,18.188,19.563,18.938,19.563,1765100.0
2000-01-27,CB,18.2509,19.0,18.438,18.938,687900.0
2000-01-28,CB,17.75,18.5,18.0,18.5,442000.0
2000-01-31,CB,17.5,18.063,17.688,18.0,679200.0
2000-02-01,CB,17.5,18.188,18.0,17.688,1109300.0
2000-02-02,CB,16.938,18.125,17.375,18.0,1280200.0
2000-02-03,CB,16.813,17.875,17.0,17.625,960600.0
2000-02-04,CB,16.75,17.313,16.875,17.188,891000.0
2000-02-07,CB,16.375,17.063,16.75,17.063,429500.0
2000-02-08,CB,16.25,16.75,16.438,16.688,598500.0
2000-02-09,CB,15.8134,16.563,15.937999999999999,16.375,417400.0
2000-02-10,CB,15.0,16.063,15.437999999999999,16.0,755800.0
2000-02-11,CB,14.875,15.812999999999999,14.937999999999999,15.5,3768400.0
2000-02-14,CB,14.812999999999999,15.187999999999999,14.937999999999999,15.0631,521800.0
2000-02-15,CB,14.875,15.187999999999999,15.187999999999999,15.0,1230900.0
