Date,symbol,Low,High,Close,Open,Volume
2005-12-05,CBS,34.25,35.2,34.48,34.45,1087800.0
2005-12-06,CBS,34.46,34.97,34.83,34.6589,1743800.0
2005-12-07,CBS,34.75,35.1,35.03,34.75,1536400.0
2005-12-08,CBS,34.2394,34.89,34.48,34.83,2100700.0
2005-12-09,CBS,33.72,34.73,34.41,34.66,2414700.0
2005-12-12,CBS,34.4,35.06,34.65,34.4,898600.0
2005-12-13,CBS,34.5,34.97,34.8,34.58,639700.0
2005-12-14,CBS,34.53,35.0,34.58,34.9,672800.0
2005-12-15,CBS,33.9,34.47,33.95,34.3999,1948400.0
2005-12-16,CBS,33.84,34.24,34.03,34.15,1023000.0
2005-12-19,CBS,33.66,34.05,33.76,34.0277,362700.0
2005-12-20,CBS,33.19,33.74,33.35,33.6,385800.0
2005-12-21,CBS,33.2,33.73,33.37,33.32,673000.0
2005-12-22,CBS,33.03,33.5,33.23,33.4,274300.0
2005-12-23,CBS,33.15,33.35,33.34,33.23,667100.0
2005-12-27,CBS,30.92,33.4714,32.81,32.0,511400.0
2005-12-28,CBS,32.47,32.95,32.5,32.81,821600.0
2005-12-29,CBS,32.35,32.75,32.35,32.5,776100.0
2005-12-30,CBS,32.1483,33.0,32.6,32.15,3887900.0
2006-01-03,CBS,25.6,27.4,26.2,25.6,6604500.0
2006-01-04,CBS,25.840999999999998,26.27,26.0,26.27,8900000.0
2006-01-05,CBS,25.83,26.44,26.36,26.0,8040500.0
2006-01-06,CBS,26.46,27.3,27.23,26.5,7449100.0
2006-01-09,CBS,26.85,27.21,27.03,27.0,7858700.0
2006-01-10,CBS,26.43,27.17,26.56,27.1,9081400.0
2006-01-11,CBS,26.05,26.75,26.18,26.66,6941200.0
2006-01-12,CBS,25.49,26.15,25.99,25.8614,7687400.0
2006-01-13,CBS,25.48,26.0,25.48,25.95,4858900.0
2006-01-17,CBS,25.01,25.66,25.06,25.15,6226600.0
2006-01-18,CBS,24.83,25.67,25.67,25.0,5522800.0
2006-01-19,CBS,25.34,25.71,25.57,25.64,5021500.0
2006-01-20,CBS,24.92,25.72,24.98,25.35,5064800.0
2006-01-23,CBS,25.05,25.9,25.82,25.3,6361700.0
2006-01-24,CBS,25.8,27.0,26.9,26.0,8567000.0
2006-01-25,CBS,26.0904,27.0,26.4,27.0,5665700.0
2006-01-26,CBS,26.48,27.11,26.81,26.55,7545300.0
