Date,symbol,Low,High,Close,Open,Volume
2014-09-24,CFG,21.35,23.22,23.08,21.5,60450900.0
2014-09-25,CFG,22.45,23.41,23.05,22.56,8430000.0
2014-09-26,CFG,22.91,23.37,23.25,23.18,2504400.0
2014-09-29,CFG,22.91,23.45,23.23,23.14,4832600.0
2014-09-30,CFG,23.05,23.57,23.42,23.11,4103100.0
2014-10-01,CFG,23.11,23.61,23.44,23.22,3915500.0
2014-10-02,CFG,23.303,23.589000000000002,23.34,23.34,3121400.0
2014-10-03,CFG,23.01,23.47,23.23,23.38,1585900.0
2014-10-06,CFG,22.61,23.37,22.64,23.28,1208400.0
2014-10-07,CFG,22.26,22.74,22.52,22.56,1508400.0
2014-10-08,CFG,22.11,23.15,22.75,22.11,1649200.0
2014-10-09,CFG,22.24,23.0,22.48,23.0,1229100.0
2014-10-10,CFG,22.135,22.56,22.28,22.3905,924000.0
2014-10-13,CFG,22.12,22.66,22.45,22.13,1382800.0
2014-10-14,CFG,22.3,22.79,22.45,22.5,1605800.0
2014-10-15,CFG,21.5,22.2,21.85,22.13,3405400.0
2014-10-16,CFG,21.47,21.95,21.8,21.51,3105800.0
2014-10-17,CFG,21.73,22.07,21.92,21.89,2750600.0
2014-10-20,CFG,21.82,22.38,22.38,21.82,1870600.0
2014-10-21,CFG,22.11,22.93,22.82,22.11,1165500.0
2014-10-22,CFG,22.401999999999997,23.0,22.6,22.78,884700.0
2014-10-23,CFG,22.59,23.08,23.03,22.97,1154200.0
2014-10-24,CFG,22.77,23.4913,23.18,23.32,1357800.0
2014-10-27,CFG,22.725,23.19,22.85,23.15,2898800.0
2014-10-28,CFG,22.93,23.59,23.28,23.16,1500600.0
2014-10-29,CFG,23.1998,23.53,23.48,23.35,1302300.0
2014-10-30,CFG,23.296999999999997,23.69,23.44,23.46,1153600.0
2014-10-31,CFG,23.37,23.92,23.62,23.59,1238600.0
2014-11-03,CFG,23.16,24.0,24.0,23.49,1826900.0
2014-11-04,CFG,23.43,23.91,23.6,23.74,1474500.0
2014-11-05,CFG,23.55,23.95,23.9,23.8,1097600.0
2014-11-06,CFG,23.75,24.46,24.3,23.79,1010700.0
2014-11-07,CFG,23.96,24.48,23.97,24.48,600700.0
2014-11-10,CFG,23.75,24.25,23.95,24.0402,1531300.0
2014-11-11,CFG,23.75,24.22,23.94,23.97,658300.0
2014-11-12,CFG,23.5095,23.98,23.86,23.75,940800.0
2014-11-13,CFG,23.58,23.96,23.82,23.62,1149700.0
2014-11-14,CFG,23.74,24.0022,23.96,23.74,1111500.0
2014-11-17,CFG,23.56,24.11,24.0,24.11,992400.0
2014-11-18,CFG,23.71,24.04,23.73,24.04,586000.0
2014-11-19,CFG,23.51,24.0,23.72,23.8,812800.0
2014-11-20,CFG,23.5,23.87,23.71,23.57,745800.0
2014-11-21,CFG,23.695,24.2104,23.77,23.95,725200.0
2014-11-24,CFG,23.68,24.36,24.25,23.8,836800.0
2014-11-25,CFG,24.02,24.3,24.03,24.24,701600.0
2014-11-26,CFG,23.92,24.27,24.23,24.11,703700.0
2014-11-28,CFG,24.05,25.09,24.63,24.22,713400.0
2014-12-01,CFG,23.49,24.895,23.98,24.62,2282600.0
2014-12-02,CFG,23.7989,24.43,24.2,24.02,1369300.0
2014-12-03,CFG,24.19,24.5894,24.23,24.33,1854500.0
2014-12-04,CFG,24.09,24.56,24.4,24.32,1433700.0
2014-12-05,CFG,24.4512,25.22,25.15,24.45,1008400.0
2014-12-08,CFG,24.68,25.14,25.04,25.08,2244900.0
2014-12-09,CFG,24.5,25.33,25.16,24.71,1141800.0
2014-12-10,CFG,24.62,25.41,24.65,25.15,631000.0
2014-12-11,CFG,24.51,25.28,24.69,24.85,1709100.0
2014-12-12,CFG,24.4,24.83,24.46,24.52,950800.0
2014-12-15,CFG,24.27,24.805,24.49,24.68,1175100.0
2014-12-16,CFG,24.22,24.875,24.25,24.53,1313900.0
2014-12-17,CFG,24.22,24.8,24.56,24.22,2160100.0
2014-12-18,CFG,24.68,25.14,25.08,24.75,1768500.0
2014-12-19,CFG,24.84,25.6001,25.0,25.04,7523100.0
2014-12-22,CFG,24.66,25.2797,25.1,25.16,1689600.0
2014-12-23,CFG,25.1216,25.5,25.44,25.31,1174600.0
2014-12-24,CFG,25.18,25.59,25.51,25.45,547200.0
2014-12-26,CFG,25.25,25.51,25.31,25.51,304000.0
2014-12-29,CFG,25.18,25.51,25.37,25.2,1071000.0
2014-12-30,CFG,25.16,25.5,25.19,25.46,511800.0
2014-12-31,CFG,24.83,25.285,24.86,25.25,621600.0
2015-01-02,CFG,24.29,25.0,24.76,24.97,643500.0
2015-01-05,CFG,23.84,24.68,24.18,24.58,1330400.0
2015-01-06,CFG,23.7,24.22,23.91,24.17,2075000.0
2015-01-07,CFG,23.79,24.13,24.0,23.99,1160200.0
2015-01-08,CFG,23.94,24.48,24.18,24.07,661500.0
2015-01-09,CFG,23.78,24.18,23.89,24.15,724700.0
2015-01-12,CFG,23.62,24.0409,23.88,23.8,938600.0
2015-01-13,CFG,23.61,24.19,23.87,23.94,989800.0
2015-01-14,CFG,23.1,23.7436,23.44,23.6,962500.0
2015-01-15,CFG,22.67,23.61,22.96,23.37,1558000.0
2015-01-16,CFG,22.79,23.24,23.19,22.83,1951800.0
2015-01-20,CFG,22.91,23.85,23.1,23.16,1742100.0
2015-01-21,CFG,23.01,23.589000000000002,23.28,23.07,787300.0
2015-01-22,CFG,23.28,24.16,24.14,23.3,486500.0
2015-01-23,CFG,23.67,24.04,23.71,24.04,651800.0
2015-01-26,CFG,23.53,24.31,24.09,23.7489,1165400.0
2015-01-27,CFG,23.76,24.64,24.15,23.86,1308200.0
2015-01-28,CFG,23.84,24.35,23.86,24.17,1301900.0
2015-01-29,CFG,23.26,24.35,24.24,23.92,1818600.0
2015-01-30,CFG,23.81,24.24,23.9,24.1,1882300.0
2015-02-02,CFG,23.69,24.16,24.0,23.85,1445800.0
2015-02-03,CFG,23.8,24.45,24.29,23.91,1351800.0
2015-02-04,CFG,23.93,24.38,24.01,24.27,1101600.0
2015-02-05,CFG,23.98,24.41,24.35,24.09,984600.0
2015-02-06,CFG,24.22,25.0,24.5,24.41,1748400.0
2015-02-09,CFG,24.11,24.53,24.26,24.48,781600.0
2015-02-10,CFG,24.53,24.96,24.82,24.73,1384900.0
2015-02-11,CFG,24.55,25.0,24.97,24.88,1393100.0
2015-02-12,CFG,24.75,25.37,25.33,24.8,985100.0
2015-02-13,CFG,25.14,25.67,25.45,25.28,1164500.0
2015-02-17,CFG,25.26,25.74,25.56,25.71,1807100.0
2015-02-18,CFG,25.06,25.63,25.21,25.63,1783500.0
2015-02-19,CFG,24.85,25.22,25.02,25.02,896800.0
2015-02-20,CFG,24.8604,25.26,25.25,25.1,744800.0
2015-02-23,CFG,24.675,25.1,24.91,25.1,743600.0
2015-02-24,CFG,24.77,25.07,24.93,24.86,530700.0
2015-02-25,CFG,24.72,25.0,24.96,24.87,612600.0
2015-02-26,CFG,24.61,24.995,24.85,24.94,702900.0
2015-02-27,CFG,24.71,25.0,24.84,24.8005,468500.0
2015-03-02,CFG,24.62,25.1799,24.85,24.8,1408600.0
2015-03-03,CFG,24.58,25.05,25.04,24.82,905500.0
2015-03-04,CFG,24.5,24.99,24.9,24.99,1781500.0
2015-03-05,CFG,24.61,25.32,25.3,24.89,1959200.0
2015-03-06,CFG,24.95,25.8,25.5,25.03,1542200.0
2015-03-09,CFG,25.11,25.535,25.23,25.47,1890600.0
2015-03-10,CFG,24.79,25.2,25.0,24.95,1434300.0
2015-03-11,CFG,25.0,25.27,25.11,25.0,837700.0
2015-03-12,CFG,24.99,25.78,25.49,25.12,2143300.0
2015-03-13,CFG,24.43,25.23,24.77,25.17,3480900.0
2015-03-16,CFG,24.77,25.32,25.31,24.93,1186800.0
2015-03-17,CFG,24.9,25.61,25.6,25.18,1225200.0
2015-03-18,CFG,25.1,25.84,25.19,25.45,1287700.0
2015-03-19,CFG,24.495,25.1887,24.8,25.0,1824100.0
2015-03-20,CFG,24.74,25.0205,24.8,24.78,6593200.0
2015-03-23,CFG,24.51,25.24,24.76,24.85,3769900.0
2015-03-24,CFG,24.24,24.92,24.32,24.7,2657600.0
2015-03-25,CFG,23.84,24.43,24.0,24.27,5012400.0
2015-03-26,CFG,23.83,24.29,24.12,24.04,62491000.0
2015-03-27,CFG,24.1,24.54,24.48,24.11,9244300.0
2015-03-30,CFG,24.16,24.68,24.32,24.5,5463500.0
2015-03-31,CFG,24.04,24.29,24.13,24.22,3946500.0
2015-04-01,CFG,24.03,24.4606,24.36,24.15,5348500.0
2015-04-02,CFG,24.25,24.68,24.62,24.34,6024800.0
2015-04-06,CFG,24.28,24.8028,24.75,24.48,3718400.0
2015-04-07,CFG,24.7,25.0,24.9,24.73,5752800.0
2015-04-08,CFG,24.88,25.0916,25.0,25.0,4441600.0
2015-04-09,CFG,24.93,25.14,25.04,25.0,3584900.0
2015-04-10,CFG,24.97,25.3,25.11,25.03,2606700.0
2015-04-13,CFG,24.98,25.46,25.45,25.19,4462600.0
2015-04-14,CFG,25.02,25.25,25.14,25.15,1860800.0
2015-04-15,CFG,25.02,25.66,25.6,25.15,3701300.0
2015-04-16,CFG,25.2,25.63,25.49,25.6,1971000.0
2015-04-17,CFG,25.04,25.41,25.12,25.36,1302100.0
2015-04-20,CFG,24.97,25.28,25.11,25.19,2630000.0
2015-04-21,CFG,24.96,25.4613,25.04,25.19,3493900.0
2015-04-22,CFG,24.92,25.98,25.49,25.5,3562600.0
2015-04-23,CFG,25.28,25.74,25.64,25.66,2450300.0
2015-04-24,CFG,25.28,25.72,25.57,25.66,1918400.0
2015-04-27,CFG,25.48,25.84,25.48,25.7,4843500.0
2015-04-28,CFG,25.3907,25.825,25.78,25.53,2557100.0
2015-04-29,CFG,25.6,26.29,26.09,25.63,3516600.0
2015-04-30,CFG,25.68,26.18,26.05,25.99,2700300.0
2015-05-01,CFG,25.91,26.302,25.98,26.1496,2090700.0
2015-05-04,CFG,25.97,26.38,26.3,26.05,1626000.0
2015-05-05,CFG,26.14,26.47,26.24,26.23,2164100.0
2015-05-06,CFG,25.78,26.432,25.85,26.29,2614500.0
2015-05-07,CFG,25.61,25.96,25.95,25.82,2998300.0
2015-05-08,CFG,25.57,26.241999999999997,25.81,26.19,3298200.0
2015-05-11,CFG,25.83,26.19,26.07,25.83,4875100.0
2015-05-12,CFG,25.96,26.25,26.15,26.02,3526300.0
2015-05-13,CFG,25.99,26.41,26.23,26.29,3532400.0
2015-05-14,CFG,26.14,26.59,26.48,26.48,2561300.0
2015-05-15,CFG,25.9,26.581999999999997,25.93,26.45,2266900.0
2015-05-18,CFG,25.89,26.3802,26.3,25.99,2182500.0
2015-05-19,CFG,25.94,26.89,26.86,26.02,3279800.0
2015-05-20,CFG,26.64,26.95,26.75,26.6545,3430900.0
2015-05-21,CFG,26.46,26.91,26.84,26.76,5403600.0
2015-05-22,CFG,26.7,26.99,26.92,26.8311,3185400.0
2015-05-26,CFG,26.66,26.99,26.7,26.87,5930200.0
2015-05-27,CFG,26.59,26.92,26.77,26.765,4423300.0
2015-05-28,CFG,26.58,26.92,26.83,26.77,3074900.0
2015-05-29,CFG,26.565,26.95,26.84,26.89,11584700.0
2015-06-01,CFG,26.7187,27.025,26.95,26.91,4060500.0
2015-06-02,CFG,26.95,27.34,27.19,27.0009,3798500.0
2015-06-03,CFG,27.24,27.67,27.62,27.29,6359400.0
2015-06-04,CFG,27.53,27.87,27.75,27.53,6119200.0
2015-06-05,CFG,27.3,28.35,28.32,27.7903,7049800.0
2015-06-08,CFG,28.0,28.71,28.04,28.39,11994700.0
2015-06-09,CFG,27.3,28.09,28.08,28.01,8313400.0
2015-06-10,CFG,27.83,28.31,28.0,28.2,7645800.0
2015-06-11,CFG,27.46,28.17,27.52,28.09,10332600.0
2015-06-12,CFG,27.33,27.6402,27.54,27.5,8410200.0
2015-06-15,CFG,27.36,27.99,27.91,27.37,6176000.0
2015-06-16,CFG,27.73,28.29,28.25,27.85,5020100.0
2015-06-17,CFG,27.84,28.41,27.91,28.33,6830800.0
2015-06-18,CFG,27.6,28.12,28.07,28.0,6168300.0
2015-06-19,CFG,28.02,28.46,28.19,28.12,29234700.0
2015-06-22,CFG,28.17,28.54,28.27,28.39,3695200.0
2015-06-23,CFG,28.06,28.53,28.19,28.38,5113400.0
2015-06-24,CFG,27.985,28.3205,28.05,28.1,2675600.0
2015-06-25,CFG,27.28,28.04,27.38,27.95,5014800.0
2015-06-26,CFG,27.26,27.6147,27.54,27.37,9588300.0
2015-06-29,CFG,26.8,27.39,26.93,27.21,3022500.0
2015-06-30,CFG,26.985,27.87,27.31,27.2083,5545300.0
2015-07-01,CFG,27.34,27.74,27.44,27.5304,2837700.0
2015-07-02,CFG,26.92,27.47,27.15,27.43,2158000.0
2015-07-06,CFG,26.67,27.04,27.01,26.93,3392000.0
2015-07-07,CFG,26.44,27.04,26.74,27.01,3582600.0
2015-07-08,CFG,26.46,26.71,26.64,26.58,3601900.0
2015-07-09,CFG,26.8,27.03,26.98,26.91,2196300.0
2015-07-10,CFG,27.05,27.35,27.3,27.25,1767500.0
2015-07-13,CFG,27.19,27.7,27.25,27.5,2075200.0
2015-07-14,CFG,27.23,27.58,27.55,27.3,3363200.0
2015-07-15,CFG,27.62,28.0,27.8,27.75,2356000.0
2015-07-16,CFG,27.71,28.15,28.11,27.89,2239400.0
2015-07-17,CFG,27.84,28.183000000000003,27.91,28.08,3126700.0
2015-07-20,CFG,27.87,28.17,27.96,27.93,4131700.0
2015-07-21,CFG,25.48,27.58,26.72,26.53,10366900.0
2015-07-22,CFG,26.614,27.255,27.04,26.69,3829300.0
2015-07-23,CFG,26.3685,27.3,26.45,27.06,3075000.0
2015-07-24,CFG,26.12,26.65,26.15,26.48,1993900.0
2015-07-27,CFG,25.68,26.13,25.94,26.02,2544300.0
2015-07-28,CFG,25.74,26.36,26.17,25.8,5631600.0
2015-07-29,CFG,26.0,26.33,26.0,26.1005,59753900.0
2015-07-30,CFG,25.6,26.63,26.49,26.03,17805600.0
2015-07-31,CFG,25.98,26.6,26.07,26.56,9396400.0
2015-08-03,CFG,26.0,26.5,26.03,26.18,6981500.0
2015-08-04,CFG,25.9,26.44,26.27,26.05,5120700.0
2015-08-05,CFG,26.41,26.84,26.66,26.49,6478800.0
2015-08-06,CFG,26.43,26.84,26.65,26.77,4042000.0
2015-08-07,CFG,26.31,26.82,26.7,26.53,8972800.0
2015-08-10,CFG,26.9,27.26,27.19,27.01,4443200.0
2015-08-11,CFG,26.7,27.19,26.84,27.0,4909300.0
2015-08-12,CFG,25.7392,26.79,26.03,26.78,6983100.0
2015-08-13,CFG,25.975,26.3,26.2,26.0,4317400.0
2015-08-14,CFG,26.13,26.42,26.38,26.26,1998500.0
2015-08-17,CFG,26.08,26.48,26.28,26.31,1746200.0
2015-08-18,CFG,26.19,26.58,26.56,26.29,2415200.0
2015-08-19,CFG,26.23,26.57,26.26,26.43,4323000.0
2015-08-20,CFG,25.33,26.29,25.33,26.05,3193800.0
2015-08-21,CFG,24.5693,25.11,24.57,25.02,4203100.0
2015-08-24,CFG,21.14,24.1,23.03,23.58,8454800.0
2015-08-25,CFG,23.07,24.08,23.1,23.8,5607800.0
2015-08-26,CFG,23.45,24.45,24.19,24.0,6358500.0
2015-08-27,CFG,24.37,24.99,24.48,24.65,5251700.0
2015-08-28,CFG,24.37,24.885,24.69,24.67,3096500.0
2015-08-31,CFG,24.5,24.94,24.82,24.62,3516100.0
2015-09-01,CFG,23.52,24.59,23.69,24.47,5046600.0
2015-09-02,CFG,23.44,24.33,24.13,23.9807,5658400.0
2015-09-03,CFG,24.21,24.79,24.5,24.3,3093800.0
2015-09-04,CFG,23.96,24.43,24.09,24.24,2295000.0
2015-09-08,CFG,24.215,24.63,24.63,24.5984,3484900.0
2015-09-09,CFG,24.3673,24.99,24.4,24.78,3948000.0
2015-09-10,CFG,24.22,24.636,24.44,24.3,2010800.0
2015-09-11,CFG,24.06,24.54,24.32,24.3,3544800.0
2015-09-14,CFG,24.25,24.67,24.41,24.28,2459300.0
2015-09-15,CFG,24.421999999999997,25.14,25.03,24.45,2882000.0
2015-09-16,CFG,24.635,25.06,24.88,24.93,3541400.0
2015-09-17,CFG,23.68,24.96,24.04,24.84,5433100.0
2015-09-18,CFG,23.22,23.99,23.75,23.69,11004500.0
2015-09-21,CFG,23.72,24.14,23.9,23.95,3422200.0
2015-09-22,CFG,23.42,23.67,23.6,23.5,2220000.0
2015-09-23,CFG,23.275,23.79,23.34,23.75,3662100.0
2015-09-24,CFG,23.0,23.32,23.24,23.06,3495100.0
2015-09-25,CFG,23.48,23.8209,23.61,23.63,4083200.0
2015-09-28,CFG,22.6,23.56,22.63,23.4,5404800.0
2015-09-29,CFG,22.565,23.44,23.22,22.76,5979200.0
2015-09-30,CFG,23.39,25.23,23.86,23.66,5606800.0
2015-10-01,CFG,23.37,24.02,23.5,23.75,3214100.0
2015-10-02,CFG,22.48,23.48,23.41,22.99,7919400.0
2015-10-05,CFG,23.32,23.83,23.72,23.64,6639600.0
2015-10-06,CFG,23.3,23.83,23.36,23.66,3616500.0
2015-10-07,CFG,23.18,23.565,23.44,23.52,4528600.0
2015-10-08,CFG,23.24,23.64,23.52,23.43,4248700.0
2015-10-09,CFG,23.36,23.82,23.46,23.49,3644200.0
2015-10-12,CFG,23.39,23.69,23.56,23.46,1948800.0
2015-10-13,CFG,23.38,23.62,23.46,23.5,2278100.0
2015-10-14,CFG,22.7896,23.49,22.91,23.35,2973500.0
2015-10-15,CFG,22.94,23.59,23.52,23.04,3083900.0
2015-10-16,CFG,23.22,23.78,23.22,23.62,4212300.0
2015-10-19,CFG,23.03,23.49,23.23,23.2,3846700.0
2015-10-20,CFG,23.16,23.6,23.39,23.23,3979800.0
2015-10-21,CFG,23.17,23.8658,23.17,23.48,3909600.0
2015-10-22,CFG,22.87,23.62,22.87,23.26,9977700.0
2015-10-23,CFG,23.21,24.3,24.22,23.55,9488000.0
2015-10-26,CFG,23.56,24.49,23.6,24.2505,4690000.0
2015-10-27,CFG,23.2689,23.8,23.53,23.42,4038000.0
2015-10-28,CFG,23.52,24.44,24.18,23.52,5537400.0
