Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CI,85.375,87.25,86.5,87.25,4980000.0
1999-09-29,CI,86.18799999999999,87.25,87.0,86.25,1937400.0
1999-09-30,CI,74.5,86.875,77.75,86.75,13987200.0
1999-10-01,CI,76.375,79.75,79.438,76.9946,10373100.0
1999-10-04,CI,75.438,77.75,75.5,77.0,4807500.0
1999-10-05,CI,74.0,77.25,75.563,75.5,8144700.0
1999-10-06,CI,72.563,76.375,72.75,75.688,6663000.0
1999-10-07,CI,71.375,73.0,72.438,73.0,4259700.0
1999-10-08,CI,70.75,72.563,71.313,72.1908,3423600.0
1999-10-11,CI,69.375,71.313,70.188,71.313,2773800.0
1999-10-12,CI,68.688,70.125,69.625,70.125,5119800.0
1999-10-13,CI,68.625,70.5,69.438,69.125,3570600.0
1999-10-14,CI,68.813,71.438,70.563,69.438,3248100.0
1999-10-15,CI,67.25,69.063,67.938,69.0,2389800.0
1999-10-18,CI,67.125,69.125,68.375,67.5,2538900.0
1999-10-19,CI,65.75,68.75,65.813,68.625,2600700.0
1999-10-20,CI,65.188,66.438,65.438,65.813,1472700.0
1999-10-21,CI,63.875,66.0,64.875,65.625,1677900.0
1999-10-22,CI,65.125,66.125,65.25,65.125,3354000.0
1999-10-25,CI,64.625,65.813,64.75,65.5,1917300.0
1999-10-26,CI,63.438,65.438,64.125,64.75,1871700.0
1999-10-27,CI,64.25,67.375,67.0,64.25,4377300.0
1999-10-28,CI,69.5,73.063,72.938,70.5,3798000.0
1999-10-29,CI,73.75,75.5,74.75,74.0,4003800.0
1999-11-01,CI,73.0,74.875,73.375,74.75,2432700.0
1999-11-02,CI,78.375,81.188,78.625,80.375,5144400.0
1999-11-03,CI,78.5,80.0,78.688,79.0031,3262500.0
1999-11-04,CI,78.75,80.313,80.0,78.813,3629100.0
1999-11-05,CI,80.938,83.5,82.625,81.0,3096000.0
1999-11-08,CI,82.43799999999999,84.0,83.18799999999999,82.5,2204400.0
1999-11-09,CI,81.5,84.375,82.75,83.75,2046000.0
1999-11-10,CI,81.0,83.0,81.438,83.0,1656000.0
1999-11-11,CI,80.5,82.81299999999999,80.5,82.5,1815000.0
1999-11-12,CI,81.25,84.5,83.375,81.375,2198100.0
1999-11-15,CI,83.25,84.25,83.93799999999999,83.25,1406100.0
1999-11-16,CI,84.5,86.125,86.125,84.5,2094900.0
1999-11-17,CI,85.5,87.251,86.5,86.0,3233100.0
1999-11-18,CI,84.81299999999999,86.5613,85.75,86.5,2617800.0
1999-11-19,CI,83.75,85.43799999999999,83.75,85.25,2241000.0
1999-11-22,CI,83.68799999999999,85.5,85.0,83.7549,3735300.0
1999-11-23,CI,81.184,84.81299999999999,81.184,84.75,2198400.0
1999-11-24,CI,80.75,81.93799999999999,80.75,81.125,3654300.0
1999-11-26,CI,79.0,80.813,79.438,80.75,1428900.0
1999-11-29,CI,78.063,80.188,80.125,79.688,2203200.0
1999-11-30,CI,79.5,83.0,82.25,79.875,2822100.0
1999-12-01,CI,80.875,81.563,80.875,81.497,2340600.0
1999-12-02,CI,80.0,81.5,80.375,81.125,2216400.0
1999-12-03,CI,80.5,83.406,82.875,80.75,2756400.0
1999-12-06,CI,81.0,83.0,81.375,82.625,1386600.0
1999-12-07,CI,79.125,81.438,79.125,81.438,2631300.0
1999-12-08,CI,78.25,80.75,78.25,79.75,2781300.0
1999-12-09,CI,78.25,80.1274,80.0,78.25,1905900.0
1999-12-10,CI,79.5,82.0,79.5,80.75,1944000.0
1999-12-13,CI,78.688,80.25,79.188,79.375,1862100.0
1999-12-14,CI,78.313,79.625,78.688,79.063,2010900.0
1999-12-15,CI,78.313,79.625,79.0,78.563,1731600.0
1999-12-16,CI,77.438,78.75,77.813,78.75,1696500.0
1999-12-17,CI,76.0,77.25,76.0,77.0,3404100.0
1999-12-20,CI,74.688,76.0,75.375,75.875,1771500.0
1999-12-21,CI,73.75,75.125,73.75,74.938,1571100.0
1999-12-22,CI,73.75,77.75,76.688,73.75,1736700.0
1999-12-23,CI,77.063,79.063,78.5,78.0,1445700.0
1999-12-27,CI,75.563,79.125,75.813,78.438,1185300.0
1999-12-28,CI,75.625,76.75,75.813,75.813,1385700.0
1999-12-29,CI,75.688,79.25,78.625,75.938,997500.0
1999-12-30,CI,78.875,80.375,79.938,79.125,1046400.0
1999-12-31,CI,79.563,80.75,80.563,79.75,535500.0
2000-01-03,CI,77.813,80.5,78.438,80.313,2089500.0
2000-01-04,CI,74.875,78.375,78.125,75.875,2073000.0
2000-01-05,CI,77.813,79.625,77.813,77.938,1556700.0
2000-01-06,CI,77.813,83.75,81.563,77.813,2016900.0
2000-01-07,CI,82.93799999999999,85.375,85.125,84.0,1743300.0
2000-01-10,CI,84.375,85.625,84.625,84.93799999999999,2408400.0
2000-01-11,CI,82.31299999999999,84.0,82.43799999999999,84.0,1678500.0
2000-01-12,CI,81.875,82.56,82.56299999999999,82.125,1857900.0
2000-01-13,CI,81.75,84.875,84.125,82.0,1845300.0
2000-01-14,CI,80.125,83.43799999999999,80.625,82.625,1855800.0
2000-01-18,CI,78.0,80.2458,79.0,78.75,1778400.0
2000-01-19,CI,76.813,80.25,77.438,79.2423,2131500.0
2000-01-20,CI,75.625,78.125,75.938,77.625,1741500.0
2000-01-21,CI,73.188,76.125,74.563,76.125,2500200.0
2000-01-24,CI,71.75,74.5,71.938,74.5,1619400.0
2000-01-25,CI,71.25,73.0,71.5,72.75,1553700.0
2000-01-26,CI,71.875,74.0,72.75,73.25,2623200.0
2000-01-27,CI,71.5,73.75,72.438,73.0,1484400.0
2000-01-28,CI,71.875,73.375,72.563,72.0,2543700.0
2000-01-31,CI,70.313,72.5,71.75,72.0,1296000.0
2000-02-01,CI,71.813,72.875,71.875,72.0,1221000.0
2000-02-02,CI,72.625,74.25,73.75,73.0042,3341700.0
2000-02-03,CI,73.125,75.563,74.813,73.9979,3161400.0
2000-02-04,CI,75.25,76.063,75.875,75.563,2310000.0
2000-02-07,CI,75.063,76.375,76.25,76.25,2143200.0
2000-02-08,CI,72.625,75.75,74.75,73.75,3466800.0
2000-02-09,CI,74.625,77.5,77.0,76.0,5363100.0
2000-02-10,CI,77.813,79.25,78.875,78.0,3891000.0
2000-02-11,CI,79.5,80.375,79.875,79.75,3099600.0
2000-02-14,CI,79.25,80.125,79.938,80.125,1349700.0
2000-02-15,CI,78.5,80.063,79.313,80.0,3453000.0
2000-02-16,CI,78.75,79.938,78.813,79.125,3711900.0
2000-02-17,CI,78.6198,79.875,79.5,79.125,2412300.0
2000-02-18,CI,76.875,79.0,77.0,78.0,2943600.0
2000-02-22,CI,75.25,77.5,75.813,77.0,2627400.0
2000-02-23,CI,74.375,76.5,75.0,75.5,3460800.0
2000-02-24,CI,73.0,75.0,73.0,75.0,2919300.0
2000-02-25,CI,71.75,74.5,72.0,73.25,2472600.0
2000-02-28,CI,72.0,74.0,73.875,72.0,3040800.0
2000-02-29,CI,73.125,74.875,73.813,73.25,2886000.0
2000-03-01,CI,71.875,74.688,72.5,74.063,6094200.0
2000-03-02,CI,69.625,72.313,70.063,72.25,2789100.0
2000-03-03,CI,70.313,72.063,71.25,70.313,2567100.0
2000-03-06,CI,68.1293,71.063,68.688,71.0,1968600.0
2000-03-07,CI,64.438,67.0,65.563,67.0,3059100.0
2000-03-08,CI,64.3714,66.25,64.688,65.25,2284500.0
2000-03-09,CI,63.313,64.4951,64.0,64.375,2696400.0
2000-03-10,CI,63.25,64.625,63.75,64.25,2055600.0
2000-03-13,CI,61.063,63.625,61.188,63.625,2540400.0
2000-03-14,CI,61.25,63.25,61.375,61.438,2429700.0
2000-03-15,CI,61.438,65.75,65.063,61.438,3482100.0
2000-03-16,CI,64.688,67.0,66.0,65.063,5715600.0
2000-03-17,CI,60.75,65.188,63.063,64.5,7118400.0
2000-03-20,CI,62.875,65.438,65.0,62.875,3829500.0
2000-03-21,CI,65.125,70.188,70.188,65.125,4385100.0
2000-03-22,CI,69.125,72.8753,71.438,69.875,3951900.0
2000-03-23,CI,71.0021,75.313,73.125,71.5,2940300.0
2000-03-24,CI,73.0,77.0,76.25,73.3794,2950500.0
2000-03-27,CI,75.0,77.0,75.684,76.25,2939100.0
2000-03-28,CI,72.813,75.25,72.813,75.0,3882000.0
2000-03-29,CI,72.625,75.125,74.125,72.813,2711700.0
2000-03-30,CI,73.875,79.0,77.938,74.375,2853300.0
2000-03-31,CI,75.75,79.375,75.75,77.0,2644500.0
2000-04-03,CI,76.5,80.625,80.0,76.5,1917300.0
2000-04-04,CI,76.0,80.0,78.0,80.0,3024300.0
2000-04-05,CI,77.938,79.938,79.188,78.0,2100000.0
2000-04-06,CI,78.375,81.25,79.813,79.0,2245500.0
2000-04-07,CI,77.0,80.5,77.188,79.563,1594200.0
2000-04-10,CI,77.313,82.125,80.813,77.375,2366400.0
2000-04-11,CI,82.56299999999999,86.93799999999999,84.5,83.0,3510900.0
2000-04-12,CI,83.625,86.5,84.75,84.0,1967400.0
2000-04-13,CI,83.56299999999999,85.75,84.81299999999999,84.75,2382600.0
2000-04-14,CI,79.938,84.31299999999999,80.688,84.31299999999999,2448600.0
2000-04-17,CI,79.75,82.43799999999999,80.938,80.9374,2503200.0
2000-04-18,CI,80.0,81.75,81.313,80.938,1681200.0
2000-04-19,CI,77.75,80.75,79.5,78.998,1938300.0
2000-04-20,CI,78.75,83.375,82.375,78.75,2232000.0
2000-04-24,CI,81.25,83.75,83.75,82.25,2173500.0
2000-04-25,CI,81.003,83.43799999999999,81.93799999999999,83.375,1643400.0
2000-04-26,CI,80.2523,82.5,81.438,82.0,1434000.0
2000-04-27,CI,78.5,81.563,79.5,81.188,1970100.0
2000-04-28,CI,76.625,79.75,79.75,78.0,2165700.0
2000-05-01,CI,78.313,79.5,78.938,79.5,2261100.0
2000-05-02,CI,74.875,77.563,75.0,77.5,4949700.0
2000-05-03,CI,73.375,76.5,74.125,74.0,3910500.0
2000-05-04,CI,75.25,77.563,76.75,76.0,2892600.0
2000-05-05,CI,75.563,77.5,75.938,76.625,2553000.0
2000-05-08,CI,76.188,79.313,78.813,76.188,2167800.0
2000-05-09,CI,77.5,80.0,77.75,78.25,2468700.0
2000-05-10,CI,75.5,77.75,76.0,77.75,1824600.0
2000-05-11,CI,76.25,78.375,76.5,76.5,2676900.0
2000-05-12,CI,77.375,80.188,78.961,77.75,1813200.0
2000-05-15,CI,78.5,84.0,82.125,78.5,3345300.0
2000-05-16,CI,83.75,86.0,84.125,84.0,2522100.0
2000-05-17,CI,83.0,85.0,83.875,84.0,2050800.0
2000-05-18,CI,84.0,86.56299999999999,86.5,84.0,1863000.0
2000-05-19,CI,85.5,87.81299999999999,86.625,86.75,2181300.0
2000-05-22,CI,86.43799999999999,89.75,88.93799999999999,86.8788,2984700.0
2000-05-23,CI,86.875,89.93799999999999,89.93799999999999,88.93799999999999,2666700.0
2000-05-24,CI,88.625,90.875,89.625,89.875,2984100.0
2000-05-25,CI,88.125,89.93799999999999,89.25,89.625,2003400.0
2000-05-26,CI,87.18799999999999,88.875,87.75,88.125,1178100.0
2000-05-30,CI,85.75,88.68799999999999,88.68799999999999,87.0,1545600.0
2000-05-31,CI,88.06299999999999,89.93799999999999,88.81299999999999,88.43799999999999,1638000.0
2000-06-01,CI,86.625,88.18799999999999,87.43799999999999,88.125,2561700.0
2000-06-02,CI,88.875,90.25,89.375,89.375,2250600.0
2000-06-05,CI,87.81299999999999,90.18799999999999,87.875,90.0,1951800.0
2000-06-06,CI,83.75,87.31299999999999,84.5,87.25,2046600.0
2000-06-07,CI,85.1225,87.375,86.25,85.5,1828800.0
2000-06-08,CI,85.5,87.31299999999999,86.75,86.625,1656900.0
2000-06-09,CI,87.0,89.43799999999999,88.5,87.0,1606800.0
2000-06-12,CI,88.625,91.375,90.75,88.625,2408700.0
2000-06-13,CI,90.56299999999999,95.375,94.06299999999999,91.75,3112200.0
2000-06-14,CI,93.06299999999999,94.75,93.875,93.93799999999999,3586500.0
2000-06-15,CI,92.68799999999999,94.625,94.25,93.81299999999999,2341500.0
2000-06-16,CI,92.0,95.18799999999999,92.0,93.625,3629100.0
2000-06-19,CI,92.0,96.125,95.5,92.0,2586900.0
2000-06-20,CI,95.43799999999999,97.75,95.875,95.56299999999999,3333600.0
2000-06-21,CI,93.3066,94.375,93.56299999999999,94.0,2423400.0
2000-06-22,CI,92.125,94.25,93.43799999999999,93.1244,2506800.0
2000-06-23,CI,93.0,95.375,93.5,93.0,3650700.0
2000-06-26,CI,93.25,94.6923,93.68799999999999,93.75,1855800.0
2000-06-27,CI,93.31299999999999,94.18799999999999,94.06299999999999,93.68799999999999,2062200.0
2000-06-28,CI,94.375,96.375,96.20299999999999,94.625,2744100.0
2000-06-29,CI,95.875,99.5,97.625,95.875,2877600.0
2000-06-30,CI,93.4827,97.31299999999999,93.5,96.75,4329000.0
2000-07-03,CI,92.6203,94.875,94.875,94.0,1018200.0
2000-07-05,CI,94.5,96.68799999999999,95.0,94.875,2010900.0
2000-07-06,CI,94.43799999999999,98.125,97.125,95.06299999999999,2110500.0
2000-07-07,CI,97.375,100.18799999999999,99.68799999999999,97.375,2597100.0
2000-07-10,CI,98.0,99.93799999999999,99.93799999999999,98.0,3552600.0
2000-07-11,CI,99.5,101.43799999999999,99.81299999999999,100.0,3273300.0
2000-07-12,CI,100.344,103.06299999999999,102.875,100.5,3060600.0
2000-07-13,CI,100.56299999999999,102.25,101.06299999999999,102.0,2595600.0
2000-07-14,CI,99.75,100.81299999999999,99.75,100.81299999999999,3087900.0
2000-07-17,CI,99.0,101.625,101.469,99.625,2306100.0
2000-07-18,CI,96.75,99.0,98.06299999999999,98.75,4010700.0
2000-07-19,CI,96.875,98.6251,96.93799999999999,98.25,1458300.0
2000-07-20,CI,96.875,98.68799999999999,98.31299999999999,96.93799999999999,1325400.0
2000-07-21,CI,97.0,98.43799999999999,97.06299999999999,98.3141,1117200.0
2000-07-24,CI,95.56299999999999,97.0,96.125,97.0,1274400.0
2000-07-25,CI,95.56299999999999,97.375,96.93799999999999,96.0,1532700.0
2000-07-26,CI,96.75,98.023,98.0,97.0,3368400.0
2000-07-27,CI,98.56299999999999,100.75,100.0,99.5,2474400.0
2000-07-28,CI,97.75,99.875,98.25,99.875,1552800.0
2000-07-31,CI,99.375,100.43799999999999,99.875,99.75,2063700.0
2000-08-01,CI,98.87799999999999,101.31299999999999,101.25,98.875,1478100.0
2000-08-02,CI,95.5,97.93799999999999,96.56299999999999,95.5,4922400.0
2000-08-03,CI,95.0,97.93799999999999,97.25,96.0,4035000.0
2000-08-04,CI,97.125,101.5,100.31299999999999,97.3263,4168200.0
2000-08-07,CI,100.125,102.25,102.18799999999999,100.31299999999999,2893800.0
2000-08-08,CI,100.56299999999999,103.75,103.25,101.93799999999999,2121600.0
2000-08-09,CI,100.56299999999999,102.5,101.625,102.5,1588200.0
2000-08-10,CI,101.75,103.5,101.81299999999999,102.75,1305000.0
2000-08-11,CI,102.06299999999999,105.9371,105.18799999999999,102.06299999999999,1322400.0
2000-08-14,CI,104.0,105.43799999999999,104.0,105.0,2560800.0
2000-08-15,CI,103.0,104.93799999999999,103.0,104.0,2048400.0
2000-08-16,CI,102.81299999999999,104.93799999999999,102.81299999999999,104.25,2241900.0
2000-08-17,CI,102.0,104.6285,102.0,102.625,1538100.0
2000-08-18,CI,101.1876,102.25,101.18799999999999,102.0,1672500.0
2000-08-21,CI,99.7547,101.25,100.75,101.18799999999999,1469700.0
2000-08-22,CI,100.25,102.18799999999999,101.31299999999999,100.75,1738200.0
2000-08-23,CI,98.375,102.75,98.625,101.93799999999999,2047200.0
2000-08-24,CI,96.75,98.375,97.31299999999999,96.75,1637400.0
2000-08-25,CI,97.06299999999999,98.0038,97.375,98.0,925200.0
2000-08-28,CI,97.3776,99.81299999999999,99.125,97.375,1948200.0
2000-08-29,CI,97.81299999999999,99.0,98.375,98.8765,2214000.0
2000-08-30,CI,97.75,98.875,98.06299999999999,98.0,1408800.0
2000-08-31,CI,97.25,98.125,97.26899999999999,98.0,2301600.0
2000-09-01,CI,93.18799999999999,97.31299999999999,94.125,97.31299999999999,2033100.0
2000-09-05,CI,94.06299999999999,95.875,95.098,94.125,2019000.0
2000-09-06,CI,94.93799999999999,96.0,95.125,95.25,1425300.0
2000-09-07,CI,92.5,95.43799999999999,92.5,95.25,2042400.0
2000-09-08,CI,89.0,91.0,89.93799999999999,90.5048,3261900.0
