Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CINF,37.063,38.25,38.0,38.25,345200.0
1999-09-29,CINF,37.375,38.5,37.375,38.0,161500.0
1999-09-30,CINF,37.063,37.875,37.531,37.75,478200.0
1999-10-01,CINF,36.438,37.563,36.469,37.438,483300.0
1999-10-04,CINF,36.063,36.688,36.125,36.438,428700.0
1999-10-05,CINF,35.375,36.5,35.75,36.156,364000.0
1999-10-06,CINF,35.875,36.938,36.719,36.0,459000.0
1999-10-07,CINF,36.188,36.875,36.25,36.688,207000.0
1999-10-08,CINF,36.281,37.25,37.063,36.281,358200.0
1999-10-11,CINF,36.125,37.1234,36.25,37.0,157000.0
1999-10-12,CINF,35.0,36.438,35.125,36.344,202900.0
1999-10-13,CINF,34.3757,35.375,34.375,35.063,513300.0
1999-10-14,CINF,34.313,35.0,34.719,34.5,514200.0
1999-10-15,CINF,32.69,34.375,32.813,34.188,423700.0
1999-10-18,CINF,32.625,33.125,32.813,32.75,433300.0
1999-10-19,CINF,32.75,33.875,33.063,33.625,381200.0
1999-10-20,CINF,32.25,33.063,32.625,33.0,344800.0
1999-10-21,CINF,30.688000000000002,32.375,32.063,32.25,402400.0
1999-10-22,CINF,31.875,33.125,33.063,31.969,600400.0
1999-10-25,CINF,32.875,33.875,33.75,33.063,390800.0
1999-10-26,CINF,33.313,33.938,33.313,33.8432,278400.0
1999-10-27,CINF,33.125,34.688,34.563,33.438,584300.0
1999-10-28,CINF,34.75,35.813,35.094,34.7486,739000.0
1999-10-29,CINF,34.938,36.0,35.813,35.813,269000.0
1999-11-01,CINF,34.0,35.625,35.063,35.594,162900.0
1999-11-02,CINF,34.25,35.563,34.375,35.0,515300.0
1999-11-03,CINF,34.375,34.938,34.563,34.688,250700.0
1999-11-04,CINF,34.563,35.25,35.125,34.813,200600.0
1999-11-05,CINF,35.25,36.8762,36.0,35.375,365500.0
1999-11-08,CINF,35.813,36.625,36.563,35.938,303600.0
1999-11-09,CINF,36.125,37.125,36.125,37.0,515400.0
1999-11-10,CINF,35.375,36.031,35.438,36.031,205300.0
1999-11-11,CINF,34.875,35.875,34.938,35.438,237800.0
1999-11-12,CINF,35.063,35.938,35.688,35.063,153800.0
1999-11-15,CINF,34.375,35.688,35.188,35.625,204800.0
1999-11-16,CINF,35.188,36.063,35.625,35.2497,368300.0
1999-11-17,CINF,34.375,35.563,34.75,35.438,174900.0
1999-11-18,CINF,34.3129,34.813,34.5,34.688,221300.0
1999-11-19,CINF,33.875,34.875,34.625,34.375,697900.0
1999-11-22,CINF,34.188,34.75,34.563,34.594,287200.0
1999-11-23,CINF,34.063,34.75,34.063,34.5,306000.0
1999-11-24,CINF,34.0,35.0,34.5,34.156,398200.0
1999-11-26,CINF,33.25,34.438,33.25,34.438,94500.0
1999-11-29,CINF,31.75,33.688,33.688,33.188,979600.0
1999-11-30,CINF,32.625,33.75,33.5,33.563,216000.0
1999-12-01,CINF,32.563,33.2506,32.625,32.938,226200.0
1999-12-02,CINF,31.688000000000002,33.125,31.75,32.625,224900.0
1999-12-03,CINF,31.688000000000002,33.688,32.25,31.75,578000.0
1999-12-06,CINF,32.063,32.5,32.25,32.375,766800.0
1999-12-07,CINF,32.063,33.5,32.313,32.188,335100.0
1999-12-08,CINF,32.188,32.938,32.25,32.25,262800.0
1999-12-09,CINF,30.938000000000002,32.375,31.625,32.313,161000.0
1999-12-10,CINF,31.625,32.25,31.938000000000002,31.656,168400.0
1999-12-13,CINF,31.813000000000002,32.0,32.0,31.813000000000002,367200.0
1999-12-14,CINF,31.875,32.75,32.125,31.875,370800.0
1999-12-15,CINF,31.625,32.2507,31.625,31.875,544200.0
1999-12-16,CINF,30.625,31.75,30.75,31.75,590300.0
1999-12-17,CINF,30.75,31.625,31.563000000000002,31.125,703100.0
1999-12-20,CINF,30.875,31.875,30.875,31.625,480900.0
1999-12-21,CINF,30.625,32.875,32.875,31.313000000000002,372400.0
1999-12-22,CINF,32.375,33.0,32.625,32.5,188000.0
1999-12-23,CINF,32.469,33.375,32.625,32.688,137900.0
1999-12-27,CINF,30.125,32.625,30.125,32.375,546800.0
1999-12-28,CINF,30.25,31.563000000000002,30.75,30.375,171100.0
1999-12-29,CINF,30.625,31.125,31.0,30.625,153500.0
1999-12-30,CINF,30.688000000000002,31.25,31.125,31.063000000000002,123900.0
1999-12-31,CINF,30.5,31.375,31.188000000000002,31.25,73600.0
2000-01-03,CINF,30.25,30.938000000000002,30.531,30.875,323000.0
2000-01-04,CINF,29.75,30.5,30.5,30.125,472100.0
2000-01-05,CINF,30.375,31.188000000000002,30.813000000000002,30.375,333000.0
2000-01-06,CINF,30.688000000000002,31.516,31.0,30.75,574200.0
2000-01-07,CINF,31.0,31.625,31.625,31.063000000000002,302900.0
2000-01-10,CINF,30.75,31.688000000000002,30.75,31.5,352500.0
2000-01-11,CINF,30.125,31.0,30.5,30.875,296200.0
2000-01-12,CINF,30.125,31.5,30.75,30.375,754500.0
2000-01-13,CINF,30.063000000000002,31.25,31.125,30.906,156500.0
2000-01-14,CINF,30.375,31.625,30.375,31.125,251600.0
2000-01-18,CINF,29.313000000000002,30.75,29.5,30.375,367300.0
2000-01-19,CINF,29.5,30.625,29.875,29.688000000000002,775700.0
2000-01-20,CINF,28.938000000000002,30.188000000000002,28.938000000000002,29.688000000000002,342900.0
2000-01-21,CINF,29.6238,30.313000000000002,30.063000000000002,30.0,664600.0
2000-01-24,CINF,29.625,30.25,29.719,30.25,384000.0
2000-01-25,CINF,29.438000000000002,30.125,29.563000000000002,29.625,266300.0
2000-01-26,CINF,29.625,30.4372,30.313000000000002,29.625,397200.0
2000-01-27,CINF,29.0,30.438000000000002,29.125,30.25,194200.0
2000-01-28,CINF,27.375,29.0,27.625,29.0,268800.0
2000-01-31,CINF,27.5,29.5,28.75,27.656,303200.0
2000-02-01,CINF,28.25,30.125,29.063000000000002,28.75,449100.0
2000-02-02,CINF,27.75,28.875,28.5,28.813000000000002,259700.0
2000-02-03,CINF,28.375,30.0,29.5,28.625,392800.0
2000-02-04,CINF,29.375,30.5,29.875,29.4366,659700.0
2000-02-07,CINF,28.75,30.031,28.813000000000002,29.875,761500.0
2000-02-08,CINF,28.75,29.75,28.75,28.75,414800.0
2000-02-09,CINF,28.6268,30.0,29.281,28.625,559100.0
2000-02-10,CINF,28.813000000000002,29.125,28.969,29.094,474400.0
2000-02-11,CINF,28.563000000000002,29.0647,28.875,29.063000000000002,294200.0
2000-02-14,CINF,28.688000000000002,29.063000000000002,28.719,28.875,373100.0
2000-02-15,CINF,28.688000000000002,30.188000000000002,30.188000000000002,28.875,543000.0
2000-02-16,CINF,29.938000000000002,30.438000000000002,30.375,30.125,465800.0
2000-02-17,CINF,30.25,31.063000000000002,30.75,30.344,329700.0
2000-02-18,CINF,30.0,30.8776,30.688000000000002,30.813000000000002,590500.0
2000-02-22,CINF,30.3125,31.5,30.563000000000002,30.5,401500.0
2000-02-23,CINF,30.5,31.438000000000002,30.875,30.5608,536300.0
2000-02-24,CINF,30.188000000000002,31.0,30.188000000000002,30.813000000000002,389600.0
2000-02-25,CINF,29.75,30.7513,29.75,30.188000000000002,309100.0
2000-02-28,CINF,29.875,30.688000000000002,29.938000000000002,29.906,297800.0
2000-02-29,CINF,29.875,30.313000000000002,29.875,29.906,347700.0
2000-03-01,CINF,29.688000000000002,30.375,30.375,29.875,543600.0
2000-03-02,CINF,30.0,32.25,31.75,30.125,771800.0
2000-03-03,CINF,31.0,32.25,31.813000000000002,32.063,284200.0
2000-03-06,CINF,29.0,31.938000000000002,29.375,31.688000000000002,408600.0
2000-03-07,CINF,27.5,29.594,28.063000000000002,29.563000000000002,431600.0
2000-03-08,CINF,26.25,28.359,26.75,28.25,361000.0
2000-03-09,CINF,26.188000000000002,28.125,28.125,26.688000000000002,690200.0
2000-03-10,CINF,26.875,28.0,26.875,28.0,526000.0
2000-03-13,CINF,26.375,27.563000000000002,27.375,26.375,408600.0
2000-03-14,CINF,26.5,27.5,27.219,27.375,306900.0
2000-03-15,CINF,27.125,28.875,28.75,27.188000000000002,347400.0
2000-03-16,CINF,28.75,32.25,32.188,28.844,592900.0
2000-03-17,CINF,30.813000000000002,32.5,31.0,32.0,818600.0
2000-03-20,CINF,30.625,32.375,31.938000000000002,30.625,434100.0
2000-03-21,CINF,31.8105,33.875,32.563,31.969,348700.0
2000-03-22,CINF,31.75,32.75,32.063,32.563,316100.0
