Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CMA,49.688,50.5,49.875,49.875,450900.0
1999-09-29,CMA,49.688,50.625,50.188,49.875,717300.0
1999-09-30,CMA,49.875,51.0,50.625,50.25,323400.0
1999-10-01,CMA,50.188,51.563,51.25,50.625,965900.0
1999-10-04,CMA,51.625,53.063,53.063,51.625,391200.0
1999-10-05,CMA,51.688,54.563,52.313,52.938,803000.0
1999-10-06,CMA,52.5,54.563,54.5,52.5019,520800.0
1999-10-07,CMA,54.125,54.688,54.438,54.375,421400.0
1999-10-08,CMA,54.188,56.5,56.438,54.438,627300.0
1999-10-11,CMA,54.75,56.0,55.0,56.0,396500.0
1999-10-12,CMA,53.438,54.75,53.813,54.75,345800.0
1999-10-13,CMA,52.375,53.063,52.5,53.0,362600.0
1999-10-14,CMA,50.938,52.5,52.5,52.1309,456600.0
1999-10-15,CMA,50.188,51.75,50.813,51.75,473100.0
1999-10-18,CMA,50.063,51.938,51.938,50.063,371800.0
1999-10-19,CMA,52.125,54.125,54.0,52.125,488700.0
1999-10-20,CMA,53.938,55.0,54.688,55.0,903100.0
1999-10-21,CMA,54.125,54.813,54.75,54.688,476900.0
1999-10-22,CMA,55.125,56.438,56.25,55.375,637800.0
1999-10-25,CMA,54.125,56.125,54.688,56.125,353000.0
1999-10-26,CMA,54.063,54.875,54.063,54.563,302900.0
1999-10-27,CMA,54.125,56.5,56.438,54.125,400900.0
1999-10-28,CMA,59.125,61.375,60.938,59.625,1053900.0
1999-10-29,CMA,59.125,60.9414,59.438,60.938,583000.0
1999-11-01,CMA,57.563,59.688,58.938,57.563,1011100.0
1999-11-02,CMA,58.813,60.75,59.5,58.875,598400.0
1999-11-03,CMA,58.438,59.625,58.625,59.5,507000.0
1999-11-04,CMA,58.6244,60.375,59.75,58.625,543800.0
1999-11-05,CMA,60.563,61.25,60.625,60.938,230900.0
1999-11-08,CMA,60.0,60.75,60.125,60.75,283400.0
1999-11-09,CMA,58.875,60.5,59.125,60.063,395700.0
1999-11-10,CMA,58.0,58.688,58.0,58.688,370000.0
