Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CMI,48.25,50.688,49.0,50.188,1038000.0
1999-09-29,CMI,49.0,50.688,50.125,48.9928,1280800.0
1999-09-30,CMI,49.75,50.625,49.813,50.125,636000.0
1999-10-01,CMI,49.438,50.313,50.313,49.875,572800.0
1999-10-04,CMI,50.063,51.125,50.875,50.063,1546000.0
1999-10-05,CMI,47.375,49.25,49.25,48.0,1421600.0
1999-10-06,CMI,49.438,50.938,50.875,49.438,1169200.0
1999-10-07,CMI,50.75,51.938,51.938,51.0,948000.0
1999-10-08,CMI,51.375,53.0,52.063,51.688,472400.0
1999-10-11,CMI,51.875,53.375,52.938,52.063,460400.0
1999-10-12,CMI,51.813,53.0,52.688,53.0,642800.0
1999-10-13,CMI,51.25,52.75,52.375,52.438,963600.0
1999-10-14,CMI,51.313,54.0,51.563,54.0,1736400.0
1999-10-15,CMI,49.563,51.438,50.5,51.438,598000.0
1999-10-18,CMI,50.313,51.813,50.813,50.75,835200.0
1999-10-19,CMI,49.5,51.0,49.938,50.875,915200.0
1999-10-20,CMI,48.688,50.75,49.5,50.188,801600.0
1999-10-21,CMI,48.813,49.938,49.625,49.563,922400.0
1999-10-22,CMI,49.0,50.938,50.313,49.875,1163600.0
1999-10-25,CMI,49.3752,50.688,49.875,50.563,814400.0
1999-10-26,CMI,48.813,50.563,50.188,49.625,1309200.0
1999-10-27,CMI,49.25,50.688,50.0,50.688,737600.0
1999-10-28,CMI,49.375,51.313,49.375,50.5,1502000.0
1999-10-29,CMI,49.125,50.938,50.688,49.625,1214400.0
1999-11-01,CMI,49.563,50.938,50.188,50.688,1040000.0
1999-11-02,CMI,50.8114,51.5,50.813,51.0,721600.0
1999-11-03,CMI,45.313,47.5,46.0,47.5,2932800.0
1999-11-04,CMI,44.125,46.5,44.563,46.0,2028400.0
1999-11-05,CMI,43.688,44.938,44.0,44.938,1348800.0
1999-11-08,CMI,42.563,43.938,43.125,43.938,934800.0
1999-11-09,CMI,41.498999999999995,43.125,41.563,43.125,990000.0
1999-11-10,CMI,41.25,43.2517,42.375,41.5,1354400.0
1999-11-11,CMI,42.188,43.0,42.25,43.0,1595600.0
1999-11-12,CMI,41.25,42.188,41.938,42.0,1089600.0
1999-11-15,CMI,41.25,43.5,43.375,41.688,1097600.0
1999-11-16,CMI,43.125,44.2532,43.875,43.125,713600.0
1999-11-17,CMI,42.188,43.938,42.313,43.75,1287200.0
1999-11-18,CMI,40.625,42.75,42.625,42.5,1451200.0
1999-11-19,CMI,42.0,43.563,42.75,42.625,926800.0
1999-11-22,CMI,42.625,43.5,43.25,42.8759,787600.0
1999-11-23,CMI,42.563,43.625,43.125,43.625,812000.0
1999-11-24,CMI,41.625,43.25,42.188,43.0,520800.0
1999-11-26,CMI,41.75,44.0,42.125,42.375,244000.0
1999-11-29,CMI,41.5,42.313,41.75,41.6863,721600.0
1999-11-30,CMI,40.0,41.5,40.5,41.5,1416400.0
1999-12-01,CMI,39.5,40.5,39.563,40.25,1058800.0
1999-12-02,CMI,39.563,40.563,39.625,39.813,702000.0
1999-12-03,CMI,38.5,39.813,39.063,39.688,1672800.0
1999-12-06,CMI,39.563,40.438,39.844,39.875,955200.0
1999-12-07,CMI,40.0,41.0,40.25,40.1915,1215200.0
1999-12-08,CMI,39.188,40.188,40.0,40.0,834000.0
1999-12-09,CMI,39.875,40.8746,40.75,40.0,1406800.0
1999-12-10,CMI,40.75,41.438,41.125,40.7499,994800.0
1999-12-13,CMI,41.063,41.688,41.438,41.125,599600.0
1999-12-14,CMI,40.938,41.75,41.313,41.438,1259600.0
1999-12-15,CMI,41.313,41.938,41.938,41.438,1516400.0
1999-12-16,CMI,41.688,43.063,43.0,41.938,706000.0
1999-12-17,CMI,41.875,42.813,42.0,42.75,742400.0
1999-12-20,CMI,41.063,42.5,41.375,42.5,520400.0
1999-12-21,CMI,42.25,43.938,43.938,42.6262,1160800.0
1999-12-22,CMI,43.938,46.688,45.5,43.938,1074400.0
1999-12-23,CMI,45.563,47.0,47.0,45.563,676800.0
1999-12-27,CMI,46.188,47.4985,46.438,47.0,785200.0
1999-12-28,CMI,46.625,47.875,47.438,46.625,819600.0
1999-12-29,CMI,47.125,48.0,47.438,47.438,464400.0
1999-12-30,CMI,47.25,48.313,47.688,47.438,312800.0
1999-12-31,CMI,47.375,48.5,48.313,47.875,217600.0
2000-01-03,CMI,46.0,48.125,47.313,47.938,772000.0
2000-01-04,CMI,45.5,47.25,46.0,47.25,667600.0
2000-01-05,CMI,45.3738,46.875,46.063,46.0,857600.0
2000-01-06,CMI,41.625,48.0,47.688,44.5,3072000.0
2000-01-07,CMI,47.5,50.0,48.938,47.688,2006000.0
2000-01-10,CMI,47.813,49.875,49.625,48.688,1014800.0
2000-01-11,CMI,46.375,49.25,46.813,49.25,769200.0
2000-01-12,CMI,46.5,47.875,47.0,46.813,677600.0
2000-01-13,CMI,47.188,49.0,47.813,47.25,608400.0
2000-01-14,CMI,46.688,48.25,46.688,48.063,443200.0
2000-01-18,CMI,45.5,46.563,46.25,46.188,511200.0
2000-01-19,CMI,45.063,46.25,45.188,46.25,1146800.0
2000-01-20,CMI,43.875,45.438,44.188,45.438,572400.0
2000-01-21,CMI,42.313,45.0,43.0,44.4391,1079600.0
2000-01-24,CMI,41.125,43.25,41.688,43.188,1034400.0
2000-01-25,CMI,40.188,41.688,40.563,41.5,1258800.0
2000-01-26,CMI,40.0,41.188,40.688,40.813,2245200.0
2000-01-27,CMI,39.0,40.438,39.813,40.438,1246800.0
2000-01-28,CMI,38.0,40.625,38.625,40.5,1690000.0
2000-01-31,CMI,37.75,38.938,38.25,38.375,1202800.0
2000-02-01,CMI,37.188,38.2502,37.25,37.5,1048000.0
2000-02-02,CMI,36.563,37.813,36.563,37.25,979600.0
2000-02-03,CMI,36.563,37.688,37.375,37.063,2487600.0
2000-02-04,CMI,37.375,37.813,37.563,37.375,1194000.0
2000-02-07,CMI,36.375,37.938,37.125,37.625,1344800.0
2000-02-08,CMI,36.625,38.0,36.938,37.375,1170000.0
2000-02-09,CMI,36.563,37.375,36.563,37.0,909600.0
2000-02-10,CMI,36.25,36.9397,36.625,36.563,1580800.0
2000-02-11,CMI,34.875,37.0,35.063,37.0,1278800.0
2000-02-14,CMI,35.0,35.875,35.375,35.125,1257200.0
2000-02-15,CMI,35.375,36.313,35.938,35.375,1914800.0
2000-02-16,CMI,36.438,37.063,37.063,37.0,1792000.0
