Date,symbol,Low,High,Close,Open,Volume
2001-12-13,CNC,14.27,17.7014,17.2,14.27,56373600.0
2001-12-14,CNC,16.45,17.29,16.7,17.21,11307200.0
2001-12-17,CNC,16.6,17.1,16.98,16.7001,1756800.0
2001-12-18,CNC,16.7,17.37,17.26,16.9,3585600.0
2001-12-19,CNC,17.2,21.3,20.71,17.25,3352800.0
2001-12-20,CNC,19.75,22.8,19.85,20.4,3855200.0
2001-12-21,CNC,19.85,20.1,19.9,20.09,3245600.0
2001-12-24,CNC,19.61,20.25,19.95,19.945,968000.0
2001-12-26,CNC,19.82,20.6,20.32,19.9,2115200.0
2001-12-27,CNC,20.28,20.89,20.8,20.5,2372000.0
2001-12-28,CNC,20.65,21.8,21.5,20.65,1108800.0
2001-12-31,CNC,21.27,23.1,21.95,21.885,451200.0
2002-01-02,CNC,21.84,22.67,22.0,22.67,1448000.0
2002-01-03,CNC,21.89,22.05,22.0,21.89,328800.0
2002-01-04,CNC,21.39,22.04,21.75,22.04,549600.0
2002-01-07,CNC,20.4004,21.69,20.57,21.45,789600.0
2002-01-08,CNC,20.55,21.2,21.2,20.61,1184000.0
2002-01-09,CNC,20.72,21.2,20.72,21.2,696800.0
2002-01-10,CNC,19.84,20.85,20.56,20.85,552000.0
2002-01-11,CNC,20.25,21.7,21.2,20.26,194400.0
2002-01-14,CNC,20.78,21.4,20.96,21.4,129600.0
2002-01-15,CNC,20.8,21.05,21.0,21.000999999999998,94400.0
2002-01-16,CNC,20.05,21.06,20.05,21.0,149600.0
2002-01-17,CNC,18.2,20.52,19.55,20.02,1036800.0
2002-01-18,CNC,19.12,19.69,19.5,19.32,833600.0
2002-01-22,CNC,19.2,20.2,20.2,19.3,470400.0
2002-01-23,CNC,19.86,21.71,21.71,19.86,231200.0
2002-01-24,CNC,21.0,21.84,21.55,21.59,108000.0
2002-01-25,CNC,21.15,21.65,21.65,21.55,252800.0
2002-01-28,CNC,19.75,21.45,20.32,21.45,1384800.0
2002-01-29,CNC,20.24,21.0,20.5,20.24,742400.0
2002-01-30,CNC,20.11,20.51,20.12,20.51,1068000.0
2002-01-31,CNC,18.1,20.36,18.5,20.06,3235200.0
2002-02-01,CNC,19.0,20.0,19.4,19.2,1817600.0
2002-02-04,CNC,18.55,19.6,18.8,19.3996,7305600.0
2002-02-05,CNC,18.81,19.12,19.1,18.81,45600.0
2002-02-06,CNC,19.1,20.17,20.1,19.1,571200.0
2002-02-07,CNC,19.21,20.1,19.21,19.95,98400.0
2002-02-08,CNC,19.21,19.21,19.21,19.21,8000.0
2002-02-11,CNC,19.25,19.84,19.25,19.6,36000.0
2002-02-12,CNC,19.03,19.45,19.27,19.2,48800.0
2002-02-13,CNC,18.75,19.2,18.78,19.2,837600.0
2002-02-14,CNC,18.9,19.2693,19.27,18.9,139200.0
2002-02-15,CNC,18.6,19.15,19.0,19.149,963200.0
2002-02-19,CNC,18.76,19.1,18.76,19.05,31200.0
2002-02-20,CNC,18.76,19.05,18.86,18.77,363200.0
2002-02-21,CNC,18.76,19.15,18.95,18.99,554400.0
2002-02-22,CNC,18.8,19.08,18.8,18.95,571200.0
2002-02-25,CNC,18.76,19.07,18.9,18.95,2069600.0
2002-02-26,CNC,18.81,19.14,18.91,18.9,225600.0
2002-02-27,CNC,18.77,19.0,18.83,18.82,1328000.0
2002-02-28,CNC,18.7,18.85,18.75,18.805,1432800.0
2002-03-01,CNC,18.76,19.0,18.78,18.9,1160000.0
2002-03-04,CNC,18.55,18.94,18.84,18.78,664800.0
2002-03-05,CNC,18.8,19.1,18.89,18.85,310400.0
2002-03-06,CNC,18.75,19.19,18.9,18.9,268800.0
2002-03-07,CNC,18.9,19.2,18.9,19.2,72800.0
2002-03-08,CNC,18.6505,19.1,19.1,18.86,158400.0
2002-03-11,CNC,18.5,19.09,18.87,18.75,178400.0
2002-03-12,CNC,18.85,19.5,19.5,19.05,693600.0
2002-03-13,CNC,19.5,20.74,20.74,19.54,725600.0
2002-03-14,CNC,20.5509,22.07,22.0,20.55,1497600.0
2002-03-15,CNC,21.95,22.85,22.6,21.95,874400.0
2002-03-18,CNC,22.8,23.56,22.9,22.98,994400.0
