Date,symbol,Low,High,Close,Open,Volume
2019-02-27,COL,63.7045,63.7,63.7,63.7,2.0
2019-02-28,COL,63.7,63.7,63.7,63.7,0.0
2019-03-01,COL,61.0,63.7,61.0,63.7,476.0
2019-03-04,COL,61.0,61.0,61.0,61.0021,0.0
2019-03-05,COL,63.0,63.0,63.0,63.0,5.0
2019-03-06,COL,63.0,63.0,63.0,63.0,0.0
2019-03-07,COL,63.0,63.45,63.45,63.0,170.0
2019-03-08,COL,63.0,63.0,63.0,63.0,25.0
2019-03-11,COL,63.7,63.7,63.7,63.7,10.0
2019-03-12,COL,64.0,64.0,64.0,64.0,5.0
2019-03-13,COL,64.0,63.9996,64.0,64.0,0.0
2019-03-14,COL,64.0,64.0,64.0,64.0,0.0
2019-03-15,COL,64.0002,64.0,64.0,64.0,0.0
2019-03-18,COL,64.0,64.0,64.0,64.0,0.0
2019-03-19,COL,62.8,62.8,62.8,62.8,100.0
2019-03-20,COL,62.0,62.0,62.0,62.0,300.0
2019-03-21,COL,18.9,19.18,18.9,19.16,14200.0
2019-03-22,COL,61.0,63.0,61.0,63.0,4228.0
2019-03-25,COL,60.9937,64.0,64.0,64.0,799.0
2019-03-26,COL,64.0,64.0,64.0,64.0,0.0
2019-03-27,COL,61.0,63.9887,63.99,61.0,142.0
2019-03-28,COL,61.01,61.01,61.01,61.01,133.0
2019-03-29,COL,61.0,63.0,63.0,61.05,1410.0
2019-04-01,COL,63.0,63.0,63.0,63.0,0.0
2019-04-02,COL,63.0,63.0,63.0,63.0,0.0
2019-04-03,COL,61.0036,63.0,63.0,61.0,91.0
2019-04-04,COL,63.0,63.0,63.0,63.0,0.0
2019-04-05,COL,19.14,19.2,19.14,19.14,23500.0
2019-04-08,COL,62.0,61.9993,62.0,62.0,1.0
2019-04-09,COL,61.01,62.5,61.01,62.5,335.0
2019-04-10,COL,61.01,61.01,61.01,61.01,0.0
2019-04-11,COL,61.0,61.09,61.0,61.09,28.0
2019-04-12,COL,60.55,61.05,60.55,61.05,67.0
2019-04-15,COL,60.53,61.95,60.53,61.9454,74.0
2019-04-16,COL,60.52,60.5151,60.52,60.52,8.0
2019-04-17,COL,60.0,62.94,62.94,60.0,160.0
2019-04-18,COL,62.94,62.9343,62.94,62.94,0.0
2019-04-22,COL,60.5,60.5,60.5,60.5,1.0
2019-04-23,COL,60.0,61.98,60.0,61.98,3878.0
2019-04-24,COL,61.9391,61.95,61.94,61.95,6191.0
2019-04-25,COL,61.94,61.94,61.94,61.94,0.0
2019-04-26,COL,61.94,61.94,61.94,61.94,0.0
2019-04-29,COL,61.88,61.89,61.88,61.89,2.0
2019-04-30,COL,61.77,61.8,61.77,61.8,10.0
2019-05-01,COL,61.77,61.77,61.77,61.77,0.0
2019-05-02,COL,61.74,61.74,61.74,61.74,2.0
2019-05-03,COL,61.75,61.75,61.75,61.75,10.0
2019-05-06,COL,56.38,61.69,61.69,60.0,23.0
2019-05-07,COL,61.67,61.6707,61.67,61.67,3.0
2019-05-08,COL,61.67,61.67,61.67,61.67,0.0
2019-05-09,COL,61.67,61.67,61.67,61.67,0.0
2019-05-10,COL,61.67,61.67,61.67,61.67,0.0
2019-05-13,COL,61.5,61.5,61.5,61.5,3.0
2019-05-14,COL,57.21,61.3,61.3,57.21,146.0
2019-05-15,COL,61.3,61.3,61.3,61.3,0.0
2019-05-16,COL,61.3,61.2993,61.3,61.3,0.0
2019-05-17,COL,61.3,61.3,61.3,61.3,0.0
2019-05-20,COL,61.3,61.3,61.3,61.2971,0.0
2019-05-21,COL,60.0,63.0,63.0,60.0,260.0
2019-05-22,COL,63.0,63.0,63.0,63.0,0.0
2019-05-23,COL,63.0,63.0,63.0,63.0,0.0
2019-05-24,COL,61.5,62.9,61.5,62.9017,302215.0
2019-05-28,COL,61.5,61.5,61.5,61.5,5.0
2019-05-29,COL,18.8,18.8005,18.8,18.8,1600.0
2019-05-30,COL,62.85,66.9,66.9,62.85,33.0
2019-05-31,COL,61.5,61.5,61.5,61.5,145.0
2019-06-03,COL,65.0,65.0035,65.0,65.0,9.0
2019-06-04,COL,61.1,64.98,61.5,64.98,20.0
2019-06-05,COL,61.5,61.5011,61.5,61.5,0.0
2019-06-06,COL,61.5,61.5,61.5,61.5,0.0
2019-06-07,COL,61.1043,64.98,61.5,64.98,20.0
2019-06-26,COL,64.5,64.5,64.5,64.5,0.0
2019-07-01,COL,55.0,55.0012,55.0,55.0,0.0
2019-07-09,COL,62.99,62.99,62.99,62.99,5.0
2019-08-06,COL,61.0,61.3,61.0,61.3,59.0
2019-09-06,COL,61.0,61.0,61.0,61.0,480.0
2019-09-09,COL,61.0,61.0,61.0,61.0,0.0
2019-09-26,COL,60.0,60.0,60.0,60.0,0.0
