Date,symbol,Low,High,Close,Open,Volume
1999-09-28,COP,45.813,48.375,46.75,48.375,2960900.0
1999-09-29,COP,46.7512,48.875,48.5,46.75,2329200.0
1999-09-30,COP,48.125,49.063,48.75,48.5,2374300.0
1999-10-01,COP,47.0,49.0,47.5,48.5,1498800.0
1999-10-04,COP,46.375,47.438,46.75,47.25,1364000.0
1999-10-05,COP,44.563,46.688,45.75,46.688,2982400.0
1999-10-06,COP,45.75,46.875,46.875,46.0,2226100.0
1999-10-07,COP,45.813,46.875,46.75,46.875,2001200.0
1999-10-08,COP,45.313,46.813,46.5,46.75,2980900.0
1999-10-11,COP,46.5,47.25,47.063,46.75,1266600.0
1999-10-12,COP,46.625,47.313,46.875,46.875,1135400.0
1999-10-13,COP,46.063,47.625,46.125,47.188,1129400.0
1999-10-14,COP,46.125,46.938,46.688,46.313,1075100.0
1999-10-15,COP,45.7511,46.688,46.313,46.688,830300.0
1999-10-18,COP,46.25,47.313,47.25,46.3113,1863500.0
1999-10-19,COP,47.125,47.7499,47.25,47.375,852100.0
1999-10-20,COP,46.438,47.938,47.938,47.0,741100.0
1999-10-21,COP,46.813,47.938,47.25,47.938,584500.0
1999-10-22,COP,48.125,49.5,49.375,48.25,1386800.0
1999-10-25,COP,48.25,49.188,48.375,49.125,1174800.0
1999-10-26,COP,46.75,48.25,46.75,48.25,811400.0
1999-10-27,COP,46.75,47.625,47.188,46.8739,1056700.0
1999-10-28,COP,46.438,47.5,46.938,46.875,1031500.0
1999-10-29,COP,46.188,47.125,46.5,47.063,1132000.0
1999-11-01,COP,46.125,46.938,46.625,46.75,1287300.0
1999-11-02,COP,46.063,47.0,46.563,46.5637,965200.0
1999-11-03,COP,45.875,46.688,46.25,46.563,676300.0
1999-11-04,COP,45.563,46.375,45.625,46.25,826600.0
1999-11-05,COP,44.688,45.813,45.125,45.625,1195500.0
1999-11-08,COP,45.2458,47.375,47.125,45.25,1170300.0
1999-11-09,COP,47.5,48.25,47.938,47.5,1141500.0
1999-11-10,COP,47.625,49.188,48.688,47.75,958900.0
1999-11-11,COP,48.438,49.313,49.063,48.7473,724100.0
1999-11-12,COP,48.125,49.625,49.5,49.0,837700.0
1999-11-15,COP,49.375,49.875,49.75,49.875,459300.0
1999-11-16,COP,49.625,50.938,50.875,49.625,1426900.0
1999-11-17,COP,51.188,51.875,51.375,51.438,2147600.0
1999-11-18,COP,50.0,51.5,50.063,51.5,1150400.0
1999-11-19,COP,49.938,50.6853,49.938,50.063,1370000.0
1999-11-22,COP,48.813,50.5,48.938,49.75,954900.0
1999-11-23,COP,47.563,48.938,48.004,48.938,1561200.0
1999-11-24,COP,47.688,48.563,47.938,48.188,706700.0
1999-11-26,COP,47.75,48.438,47.875,48.188,448800.0
1999-11-29,COP,47.375,48.063,48.063,47.875,1995200.0
1999-11-30,COP,47.688,48.0,47.813,48.0,4409700.0
1999-12-01,COP,47.125,48.625,48.625,47.75,908800.0
1999-12-02,COP,47.563,48.938,47.875,48.625,1035700.0
1999-12-03,COP,47.625,49.125,48.063,47.625,1152500.0
1999-12-06,COP,47.438,47.938,47.875,47.813,857300.0
1999-12-07,COP,47.375,47.938,47.625,47.625,1817000.0
1999-12-08,COP,47.625,49.938,48.363,47.625,3178200.0
1999-12-09,COP,48.125,49.313,48.625,48.875,850300.0
1999-12-10,COP,47.25,48.688,47.375,48.625,1338200.0
1999-12-13,COP,46.875,48.188,47.75,47.125,1935900.0
1999-12-14,COP,46.688,47.563,47.125,47.375,907700.0
1999-12-15,COP,47.5,48.5,47.938,47.625,1056500.0
1999-12-16,COP,46.625,47.875,47.875,47.688,1360300.0
1999-12-17,COP,46.875,48.5,47.125,48.5,3312000.0
1999-12-20,COP,45.375,46.75,46.25,46.563,1574400.0
1999-12-21,COP,45.375,46.438,45.625,45.938,1095600.0
1999-12-22,COP,44.875,45.625,45.5,45.5,2763100.0
1999-12-23,COP,45.5,46.25,45.75,45.75,2270700.0
1999-12-27,COP,45.625,46.125,45.75,46.0005,2467400.0
1999-12-28,COP,45.313,46.375,46.313,45.313,1103400.0
1999-12-29,COP,46.375,47.0,46.625,46.375,689700.0
1999-12-30,COP,46.313,47.313,47.063,46.625,1217800.0
1999-12-31,COP,46.75,47.563,47.0,47.563,586100.0
2000-01-03,COP,45.2511,46.625,45.313,46.5,1862200.0
2000-01-04,COP,44.188,45.25,44.438,44.875,1472800.0
2000-01-05,COP,43.188,44.938,43.625,44.688,4075900.0
2000-01-06,COP,43.2515,45.625,45.125,43.75,2719800.0
2000-01-07,COP,45.0,45.813,45.125,45.5,1762700.0
2000-01-10,COP,44.563,45.313,45.0,45.313,1504600.0
2000-01-11,COP,44.5,45.2513,44.938,45.0,1113900.0
2000-01-12,COP,43.875,44.875,44.063,44.688,2253100.0
2000-01-13,COP,44.0,44.688,44.125,44.625,1937700.0
2000-01-14,COP,43.0,44.125,43.75,44.125,1109700.0
2000-01-18,COP,43.563,44.5,44.438,43.563,1537400.0
2000-01-19,COP,43.625,44.813,44.063,44.813,1476200.0
2000-01-20,COP,42.375,43.875,42.813,43.875,1220700.0
2000-01-21,COP,42.25,43.688,42.688,43.188,3327200.0
2000-01-24,COP,41.5,43.188,41.75,43.063,2305000.0
2000-01-25,COP,41.188,42.563,42.25,42.063,1500100.0
2000-01-26,COP,40.75,42.5,41.188,42.5,2370600.0
2000-01-27,COP,39.938,41.1896,40.5,41.188,1421700.0
2000-01-28,COP,39.25,40.688,39.875,40.438,1373900.0
2000-01-31,COP,39.2473,41.0,40.875,39.75,2060500.0
2000-02-01,COP,39.9369,41.125,40.688,40.875,1687200.0
