Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CPB,40.313,41.438,40.813,41.125,437500.0
1999-09-29,CPB,40.0661,41.375,40.188,40.875,929300.0
1999-09-30,CPB,38.75,40.313,39.125,40.188,1522700.0
1999-10-01,CPB,38.0,39.188,38.875,38.625,1976200.0
1999-10-04,CPB,38.75,39.438,38.75,38.875,1136000.0
1999-10-05,CPB,38.25,39.063,39.063,38.5,759300.0
1999-10-06,CPB,39.125,41.3739,40.813,39.125,938800.0
1999-10-07,CPB,40.313,40.938,40.688,40.563,444600.0
1999-10-08,CPB,40.874,42.438,42.313,41.25,490000.0
1999-10-11,CPB,41.438,42.0,41.563,41.875,428100.0
1999-10-12,CPB,40.875,41.438,41.313,41.313,526200.0
1999-10-13,CPB,39.876,40.875,39.875,40.875,373400.0
1999-10-14,CPB,39.375,41.1882,40.688,39.625,515100.0
1999-10-15,CPB,39.75,40.688,40.125,40.688,624400.0
1999-10-18,CPB,40.063,41.688,41.688,40.063,413600.0
1999-10-19,CPB,40.688,41.3141,41.188,41.0,400300.0
1999-10-20,CPB,41.188,42.188,41.813,41.188,336900.0
1999-10-21,CPB,41.5613,42.875,42.688,41.563,461000.0
1999-10-22,CPB,42.375,43.188,42.563,42.938,443300.0
1999-10-25,CPB,42.063,42.938,42.5,42.125,253700.0
1999-10-26,CPB,41.688,42.875,41.75,42.25,313200.0
1999-10-27,CPB,41.75,44.125,44.063,41.75,741900.0
1999-10-28,CPB,43.938,44.9362,44.938,44.313,609100.0
1999-10-29,CPB,44.688,45.5,45.0,45.0,804200.0
1999-11-01,CPB,44.625,45.813,45.75,45.063,654400.0
1999-11-02,CPB,44.625,45.875,45.563,45.75,923600.0
1999-11-03,CPB,45.125,46.313,46.313,45.563,652500.0
1999-11-04,CPB,44.688,46.313,44.875,46.063,320500.0
1999-11-05,CPB,44.563,45.438,44.813,44.813,405500.0
1999-11-08,CPB,44.875,46.063,46.0,45.0,466700.0
1999-11-09,CPB,44.563,45.75,45.0,45.625,365200.0
1999-11-10,CPB,43.875,45.0,45.0,44.563,524700.0
1999-11-11,CPB,44.375,44.938,44.688,44.7547,306200.0
1999-11-12,CPB,44.375,44.938,44.813,44.563,275100.0
1999-11-15,CPB,43.938,45.063,44.625,44.813,390700.0
1999-11-16,CPB,45.75,47.0,46.375,46.0,1535100.0
1999-11-17,CPB,45.75,47.0,46.5,46.063,710000.0
1999-11-18,CPB,46.063,46.813,46.625,46.25,428300.0
1999-11-19,CPB,45.5,46.313,45.875,46.313,508100.0
1999-11-22,CPB,45.0,45.6878,45.188,45.375,376100.0
1999-11-23,CPB,44.688,45.438,45.25,45.0,297500.0
1999-11-24,CPB,44.563,45.8718,45.438,45.188,286800.0
1999-11-26,CPB,44.9993,45.438,45.125,45.188,123600.0
1999-11-29,CPB,43.938,44.813,44.813,44.5,405000.0
1999-11-30,CPB,44.313,44.75,44.625,44.375,432500.0
1999-12-01,CPB,44.125,45.188,44.438,44.125,459200.0
1999-12-02,CPB,44.188,44.938,44.375,44.438,329300.0
1999-12-03,CPB,44.1283,45.875,45.438,44.125,484900.0
1999-12-06,CPB,45.25,46.0,45.813,45.5,559100.0
1999-12-07,CPB,44.563,45.563,44.563,45.5,399900.0
1999-12-08,CPB,42.563,44.625,42.875,44.438,806100.0
1999-12-09,CPB,40.563,42.063,41.563,41.0,1048900.0
1999-12-10,CPB,41.0,41.75,41.188,41.625,347900.0
1999-12-13,CPB,40.2512,41.063,40.688,41.0,451100.0
1999-12-14,CPB,39.625,40.25,40.063,40.063,501200.0
1999-12-15,CPB,38.75,39.9384,39.063,39.813,857500.0
1999-12-16,CPB,38.375,39.1887,38.75,39.188,606000.0
1999-12-17,CPB,38.063,39.0,39.0,38.313,1514700.0
1999-12-20,CPB,38.313,38.7517,38.535,38.75,506700.0
1999-12-21,CPB,37.438,38.563,37.625,38.375,585400.0
1999-12-22,CPB,37.5592,39.25,38.875,37.563,882200.0
