Date,symbol,Low,High,Close,Open,Volume
2004-06-23,CRM,14.75,17.3,17.2,15.0,43574400.0
2004-06-24,CRM,16.4993,17.69,16.76,17.55,8887200.0
2004-06-25,CRM,15.79,16.75,15.8,16.51,6710000.0
2004-06-28,CRM,15.436,16.21,16.0,16.0,2270800.0
2004-06-29,CRM,15.83,16.7,16.4,16.0,2112000.0
2004-06-30,CRM,16.03,16.94,16.07,16.4,2087600.0
2004-07-01,CRM,15.9,16.2,16.03,16.08,1754800.0
2004-07-02,CRM,16.05,16.9818,16.98,16.1,993200.0
2004-07-06,CRM,16.48,17.0,17.0,16.93,1216800.0
2004-07-07,CRM,16.05,16.9,16.31,16.9,1787600.0
2004-07-08,CRM,15.66,16.3101,15.74,16.31,2179200.0
2004-07-09,CRM,15.9,16.57,16.4,15.94,596800.0
2004-07-12,CRM,16.15,16.83,16.75,16.6,780800.0
2004-07-13,CRM,16.08,16.74,16.08,16.74,1674000.0
2004-07-14,CRM,15.581,16.05,15.65,16.05,2366000.0
2004-07-15,CRM,14.94,15.8,15.34,15.75,1806000.0
2004-07-16,CRM,14.96,16.4,16.0,15.4,3278800.0
2004-07-19,CRM,15.83,16.17,16.01,16.05,954800.0
2004-07-20,CRM,15.5301,16.18,16.06,16.01,2245200.0
2004-07-21,CRM,11.05,16.1,11.7,16.1,25415200.0
2004-07-22,CRM,11.3,13.18,12.98,11.55,9824800.0
2004-07-23,CRM,12.75,13.5,13.04,12.95,1674400.0
2004-07-26,CRM,12.88,13.5505,13.28,13.55,1286000.0
2004-07-27,CRM,13.1,13.43,13.14,13.3797,751200.0
2004-07-28,CRM,12.6,13.22,12.99,13.05,1534800.0
2004-07-29,CRM,12.95,13.35,12.96,13.0,908000.0
2004-07-30,CRM,12.55,13.2,13.01,12.96,815200.0
2004-08-02,CRM,12.57,13.08,12.81,12.9804,1297600.0
2004-08-03,CRM,11.99,13.09,12.13,12.8,2944400.0
2004-08-04,CRM,11.95,12.15,11.98,12.13,2746800.0
2004-08-05,CRM,10.68,11.99,10.9,11.99,3030400.0
2004-08-06,CRM,10.71,11.0,10.77,10.9,1797200.0
2004-08-09,CRM,10.86,11.0495,10.99,10.95,1121600.0
2004-08-10,CRM,10.88,11.0387,11.0,11.0,733200.0
2004-08-11,CRM,10.5903,10.95,10.62,10.95,628400.0
2004-08-12,CRM,9.92,10.73,9.99,10.72,1578000.0
