Date,symbol,Low,High,Close,Open,Volume
2018-01-04,CSRA,30.62,30.97,30.81,30.67,1088872.0
2018-03-05,CSRA,40.53,40.7,40.7,40.54,4592253.0
2018-03-13,CSRA,40.57,40.65,40.58,40.6,3520974.0
2018-03-14,CSRA,40.66,40.72,40.67,40.67,3323305.0
2018-03-15,CSRA,40.67,40.7,40.67,40.68,1673607.0
2018-03-16,CSRA,40.65,40.7,40.65,40.67,4511970.0
2018-03-19,CSRA,40.92,41.46,41.02,41.32,9343514.0
2018-03-20,CSRA,41.31,41.48,41.48,41.4,7697143.0
2018-03-21,CSRA,41.46,41.57,41.57,41.46,2591316.0
2018-03-22,CSRA,41.42,41.56,41.44,41.48,7106860.0
2018-03-23,CSRA,41.4,41.6,41.44,41.5,6470417.0
2018-03-26,CSRA,41.36,41.56,41.4,41.55,2469436.0
2018-03-27,CSRA,41.32,41.46,41.33,41.4,4994005.0
2018-03-28,CSRA,41.21,41.24,41.23,41.23,11454381.0
2018-03-29,CSRA,41.21,41.23,41.23,41.22,4044048.0
2018-04-02,CSRA,41.22,41.24,41.22,41.22,7243468.0
2018-04-03,CSRA,41.23,41.26,41.23,41.26,17928678.0
