Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CTL,38.25,39.75,39.688,39.063,453500.0
1999-09-29,CTL,39.0,39.938,39.438,39.438,372100.0
1999-09-30,CTL,39.375,40.876,40.625,39.438,526200.0
1999-10-01,CTL,39.3759,40.25,39.688,40.0,428800.0
1999-10-04,CTL,39.875,40.563,40.375,40.063,319500.0
1999-10-05,CTL,39.375,40.938,39.688,40.0,265300.0
1999-10-06,CTL,39.813,40.938,40.688,40.063,228400.0
1999-10-07,CTL,39.938,40.875,40.688,40.438,339200.0
1999-10-08,CTL,40.25,41.813,41.813,40.688,502700.0
1999-10-11,CTL,40.9988,41.813,41.688,41.688,558100.0
1999-10-12,CTL,40.813,41.875,41.0,41.813,438900.0
1999-10-13,CTL,41.0,41.813,41.375,41.0,836900.0
1999-10-14,CTL,40.1221,41.0,40.563,40.875,446300.0
1999-10-15,CTL,39.625,40.813,39.813,40.813,450900.0
1999-10-18,CTL,38.563,39.688,39.0,39.688,382200.0
1999-10-19,CTL,38.625,40.0,39.188,39.125,831200.0
1999-10-20,CTL,38.7516,39.688,39.125,39.563,566100.0
1999-10-21,CTL,38.688,39.7516,39.063,39.0,369000.0
1999-10-22,CTL,38.75,39.75,39.5,39.188,219600.0
1999-10-25,CTL,38.813,39.688,38.938,39.25,322700.0
1999-10-26,CTL,37.563,39.0,37.75,38.563,690200.0
1999-10-27,CTL,37.688,38.3775,38.25,38.125,533700.0
1999-10-28,CTL,38.25,39.938,39.875,38.25,912600.0
1999-10-29,CTL,39.875,41.5,40.438,39.875,383800.0
1999-11-01,CTL,39.813,40.875,40.313,40.313,368700.0
1999-11-02,CTL,39.5,40.625,39.688,40.313,225000.0
1999-11-03,CTL,39.688,40.688,39.938,40.438,490800.0
1999-11-04,CTL,39.625,40.313,39.688,40.25,361500.0
1999-11-05,CTL,39.875,40.438,40.063,39.9986,486800.0
1999-11-08,CTL,39.938,40.75,40.313,40.063,365500.0
1999-11-09,CTL,40.125,40.688,40.5,40.5,584100.0
1999-11-10,CTL,40.438,41.813,41.813,40.5,655000.0
1999-11-11,CTL,41.25,42.0632,41.813,42.0,329000.0
1999-11-12,CTL,41.0,41.688,41.563,41.563,403500.0
1999-11-15,CTL,41.688,42.625,42.563,41.875,507500.0
1999-11-16,CTL,42.563,43.313,43.063,42.563,647900.0
1999-11-17,CTL,42.875,43.875,43.688,42.8738,574500.0
1999-11-18,CTL,43.8164,46.0,45.875,43.938,1061600.0
1999-11-19,CTL,45.375,47.688,47.5,45.875,1281400.0
1999-11-22,CTL,46.75,48.75,47.0,47.5,1102200.0
1999-11-23,CTL,47.063,48.0,47.438,47.5,838100.0
1999-11-24,CTL,46.125,47.688,46.438,47.688,611800.0
1999-11-26,CTL,45.75,46.875,46.0,46.688,253600.0
1999-11-29,CTL,45.688,46.875,46.25,46.25,403400.0
1999-11-30,CTL,45.1916,46.438,46.0,46.25,629900.0
1999-12-01,CTL,44.6233,45.938,45.375,45.625,563100.0
1999-12-02,CTL,45.375,45.938,45.813,45.375,286300.0
1999-12-03,CTL,45.688,47.438,47.25,45.688,466300.0
1999-12-06,CTL,46.5,47.875,47.813,47.25,248900.0
1999-12-07,CTL,47.688,48.688,48.25,47.688,676000.0
1999-12-08,CTL,46.5,48.3139,46.625,48.313,283600.0
1999-12-09,CTL,45.875,47.25,46.688,47.125,302300.0
1999-12-10,CTL,46.563,48.0,47.688,47.0,371500.0
1999-12-13,CTL,46.688,47.75,47.438,47.438,446600.0
1999-12-14,CTL,47.313,48.625,48.0,47.313,541100.0
1999-12-15,CTL,46.25,48.0,46.75,48.0,531900.0
1999-12-16,CTL,46.375,47.688,47.5,47.0,638400.0
1999-12-17,CTL,46.875,47.625,47.563,47.5,706600.0
1999-12-20,CTL,46.0,47.313,47.0,47.313,720900.0
1999-12-21,CTL,46.125,47.938,47.688,47.25,424800.0
1999-12-22,CTL,46.375,47.563,46.625,47.5,299300.0
1999-12-23,CTL,46.3105,47.063,46.875,47.0,437100.0
1999-12-27,CTL,46.188,47.438,46.188,46.875,317700.0
1999-12-28,CTL,46.0,46.5,46.0,46.0,336300.0
1999-12-29,CTL,45.688,46.25,45.75,46.25,215200.0
1999-12-30,CTL,46.0,46.563,46.375,46.0,314400.0
1999-12-31,CTL,46.5,47.75,47.375,46.5,162400.0
2000-01-03,CTL,44.75,47.313,45.25,47.125,298800.0
2000-01-04,CTL,43.0,44.875,43.438,44.75,479400.0
2000-01-05,CTL,43.375,45.563,43.75,43.938,509800.0
2000-01-06,CTL,42.438,43.625,43.25,43.375,479400.0
2000-01-07,CTL,42.688,44.995,42.875,44.75,706400.0
2000-01-10,CTL,42.625,44.125,44.125,43.375,501900.0
2000-01-11,CTL,42.75,44.875,43.813,43.75,515800.0
2000-01-12,CTL,43.75,44.625,44.188,43.813,339600.0
2000-01-13,CTL,43.68899999999999,45.5,44.25,43.938,334500.0
2000-01-14,CTL,43.75,45.0643,44.625,44.0,267200.0
2000-01-18,CTL,44.25,45.875,45.375,44.375,493200.0
2000-01-19,CTL,43.5,45.5,44.188,45.438,505100.0
2000-01-20,CTL,43.125,44.625,43.75,44.438,359100.0
2000-01-21,CTL,43.313,44.0,43.625,44.0,563000.0
2000-01-24,CTL,42.5,44.125,42.938,44.125,373600.0
2000-01-25,CTL,41.563,42.938,41.875,42.688,369300.0
2000-01-26,CTL,41.313,42.313,41.813,42.125,539800.0
2000-01-27,CTL,39.25,42.563,39.938,42.313,914800.0
2000-01-28,CTL,36.063,39.938,37.688,39.938,1496900.0
2000-01-31,CTL,37.0,38.625,38.625,37.688,2163900.0
2000-02-01,CTL,38.0,38.75,38.625,38.375,1081600.0
2000-02-02,CTL,38.8129,39.75,39.563,39.0,1488100.0
2000-02-03,CTL,39.25,40.125,39.688,39.4963,1060700.0
2000-02-04,CTL,38.75,40.313,39.063,40.0,542200.0
