Date,symbol,Low,High,Close,Open,Volume
1999-09-28,CVS,38.0,39.688,39.313,39.438,2373200.0
1999-09-29,CVS,39.8764,41.125,40.375,40.688,2357400.0
1999-09-30,CVS,40.313,40.938,40.813,40.625,2573800.0
1999-10-01,CVS,38.0,41.125,38.0,40.875,3243400.0
1999-10-04,CVS,36.625,38.438,37.188,38.125,4911400.0
1999-10-05,CVS,36.875,38.5,37.063,38.0,3162000.0
1999-10-06,CVS,39.75,44.313,43.813,40.0,11293600.0
1999-10-07,CVS,40.688,43.625,40.688,43.625,5701600.0
1999-10-08,CVS,41.0,42.938,42.813,41.0,5252600.0
1999-10-11,CVS,42.063,43.375,42.313,42.813,3462000.0
1999-10-12,CVS,40.688,42.25,41.125,42.25,2037600.0
1999-10-13,CVS,40.375,41.25,40.625,41.0,1780800.0
1999-10-14,CVS,40.625,42.188,41.625,40.625,2909400.0
1999-10-15,CVS,40.188,41.625,41.25,41.625,2714400.0
1999-10-18,CVS,40.188,41.313,41.0,41.25,1614200.0
1999-10-19,CVS,41.313,42.688,42.125,41.438,3187000.0
1999-10-20,CVS,42.063,43.875,43.875,42.063,2698800.0
1999-10-21,CVS,43.375,45.0,44.875,43.75,2851800.0
1999-10-22,CVS,44.938,46.5,45.75,45.0,3185800.0
1999-10-25,CVS,44.563,46.25,45.438,46.125,2405000.0
1999-10-26,CVS,42.563,45.125,43.5,45.125,2280800.0
1999-10-27,CVS,37.5,39.313,39.0,38.5,17538400.0
1999-10-28,CVS,39.813,40.75,40.375,40.438,7129200.0
1999-10-29,CVS,41.125,43.938,43.438,41.438,6281200.0
1999-11-01,CVS,39.938,43.5,40.355,43.438,5948200.0
1999-11-02,CVS,37.813,40.4361,39.375,39.75,10456800.0
1999-11-03,CVS,38.75,39.813,38.75,39.375,4037200.0
1999-11-04,CVS,38.063,39.75,38.313,39.563,4241200.0
1999-11-05,CVS,37.0,38.75,38.0,38.25,7112400.0
1999-11-08,CVS,37.188,38.625,37.25,38.375,4265600.0
1999-11-09,CVS,37.188,37.938,37.188,37.75,3471400.0
1999-11-10,CVS,35.25,37.125,35.625,37.125,8212000.0
1999-11-11,CVS,32.938,35.813,35.5,35.6256,12011400.0
1999-11-12,CVS,34.063,36.063,36.063,35.75,8713200.0
1999-11-15,CVS,36.063,38.938,38.813,36.5,6857000.0
1999-11-16,CVS,39.313,40.75,39.75,40.2509,6871400.0
1999-11-17,CVS,39.625,40.625,40.375,39.625,4262200.0
1999-11-18,CVS,39.188,40.563,39.438,40.375,5080200.0
1999-11-19,CVS,39.688,40.313,40.063,39.813,3146000.0
1999-11-22,CVS,39.0,40.125,40.125,40.0,5316600.0
1999-11-23,CVS,39.25,40.063,39.746,39.75,3534600.0
1999-11-24,CVS,39.0,39.9995,39.063,39.688,2818200.0
1999-11-26,CVS,39.0658,39.938,39.688,39.063,708600.0
1999-11-29,CVS,38.938,40.375,40.188,39.625,3920000.0
1999-11-30,CVS,39.688,40.3128,39.688,39.938,2792000.0
1999-12-01,CVS,38.8092,40.188,39.625,39.563,4413400.0
1999-12-02,CVS,37.75,39.563,38.0,39.563,4730000.0
1999-12-03,CVS,38.0,39.125,38.875,38.0,5037200.0
1999-12-06,CVS,37.0,40.0,37.5,39.188,5268200.0
1999-12-07,CVS,35.813,37.438,36.063,37.438,6096600.0
1999-12-08,CVS,35.563,36.0651,35.688,36.063,3671000.0
1999-12-09,CVS,35.126,37.5,35.563,36.25,3833600.0
1999-12-10,CVS,35.688,36.813,35.938,35.875,3839400.0
1999-12-13,CVS,35.063,37.5,35.563,37.5,3683800.0
1999-12-14,CVS,33.313,35.313,33.938,35.25,8055200.0
1999-12-15,CVS,33.5,34.875,34.063,34.125,3766800.0
1999-12-16,CVS,31.688000000000002,34.125,31.688000000000002,34.0,5413400.0
1999-12-17,CVS,30.25,32.063,31.813000000000002,31.938000000000002,14302000.0
1999-12-20,CVS,30.0,32.125,30.313000000000002,32.125,11016400.0
1999-12-21,CVS,30.563000000000002,32.5,32.0,30.625,9843000.0
1999-12-22,CVS,31.438000000000002,32.188,31.875,32.0,6958800.0
1999-12-23,CVS,32.188,34.9384,34.625,32.375,7315800.0
1999-12-27,CVS,34.688,36.438,35.875,34.75,6015800.0
1999-12-28,CVS,35.5,36.813,35.688,36.0,3913200.0
1999-12-29,CVS,36.188,36.875,36.625,36.5008,3835400.0
1999-12-30,CVS,36.75,38.625,38.5,36.813,3766800.0
1999-12-31,CVS,38.625,40.0,39.875,38.75,3803800.0
2000-01-03,CVS,36.938,40.188,37.813,40.0,6503000.0
2000-01-04,CVS,36.875,38.188,37.5,37.5,5667000.0
2000-01-05,CVS,37.563,39.938,39.563,37.625,5694000.0
2000-01-06,CVS,36.188,39.375,36.75,39.375,7203200.0
2000-01-07,CVS,35.313,37.75,37.625,37.0,6967000.0
2000-01-10,CVS,36.375,39.938,37.563,39.375,8786400.0
2000-01-11,CVS,37.438,38.875,37.688,37.6254,6508400.0
2000-01-12,CVS,36.625,38.063,37.625,37.75,4623800.0
2000-01-13,CVS,36.563,37.6879,36.875,37.625,5123000.0
2000-01-14,CVS,34.625,36.813,35.875,36.8163,13150200.0
2000-01-18,CVS,35.375,36.438,36.0,35.625,5487000.0
2000-01-19,CVS,35.438,36.25,35.813,35.938,4270800.0
2000-01-20,CVS,32.625,35.563,33.719,35.5,9132000.0
2000-01-21,CVS,33.688,34.938,34.5,34.0,7913600.0
2000-01-24,CVS,34.063,35.188,34.438,34.75,6917600.0
2000-01-25,CVS,33.938,34.938,34.0,34.5001,3447000.0
2000-01-26,CVS,33.688,34.875,34.063,34.188,3412200.0
2000-01-27,CVS,33.0,34.5,33.438,34.5,2785400.0
2000-01-28,CVS,33.188,35.75,34.813,33.625,4434400.0
2000-01-31,CVS,34.313,35.0,34.938,34.875,3364800.0
2000-02-01,CVS,34.063,35.063,35.063,34.813,3393400.0
2000-02-02,CVS,35.313,38.0,36.75,35.5,7380000.0
2000-02-03,CVS,36.438,38.938,37.75,36.938,4574200.0
2000-02-04,CVS,36.313,38.5,36.5,37.5,5162200.0
2000-02-07,CVS,36.125,37.563,36.438,37.563,4836600.0
2000-02-08,CVS,37.5,40.875,40.0,39.0,15600200.0
2000-02-09,CVS,38.813,40.0,39.0,40.0,8177600.0
2000-02-10,CVS,40.0,41.5,40.625,40.75,9923200.0
2000-02-11,CVS,39.5643,40.688,39.625,40.688,4843200.0
2000-02-14,CVS,38.813,40.063,39.875,39.688,4464000.0
2000-02-15,CVS,39.0,39.938,39.375,39.938,4554000.0
2000-02-16,CVS,38.563,39.125,38.813,38.875,5016200.0
2000-02-17,CVS,38.188,39.188,38.25,38.875,4763000.0
2000-02-18,CVS,36.813,38.4401,37.125,38.125,3720200.0
2000-02-22,CVS,37.0,38.438,38.188,37.375,3887000.0
2000-02-23,CVS,37.813,39.938,38.875,38.063,5866800.0
2000-02-24,CVS,36.6879,38.938,37.0,38.938,6994800.0
2000-02-25,CVS,35.75,37.75,36.75,36.5004,4431400.0
2000-02-28,CVS,35.5,37.0,35.875,37.0,3982400.0
2000-02-29,CVS,34.75,36.063,35.0,36.0,7560800.0
2000-03-01,CVS,32.688,35.25,33.438,35.188,7675800.0
2000-03-02,CVS,30.375,33.438,30.625,33.375,13191400.0
2000-03-03,CVS,29.9993,31.188000000000002,30.438000000000002,30.625,11975400.0
2000-03-06,CVS,30.25,31.438000000000002,30.918000000000003,31.125,12381400.0
2000-03-07,CVS,27.75,31.875,28.0,31.5,12175200.0
2000-03-08,CVS,29.438000000000002,31.5,31.125,30.0,7896400.0
2000-03-09,CVS,30.188000000000002,32.0,31.938000000000002,31.125,4268200.0
2000-03-10,CVS,30.375,31.563000000000002,30.5,31.5,5118000.0
2000-03-13,CVS,29.938000000000002,31.375,30.875,29.9985,4766600.0
2000-03-14,CVS,30.75,31.5,30.75,31.375,4616400.0
2000-03-15,CVS,31.188000000000002,32.625,32.625,31.25,4258600.0
2000-03-16,CVS,33.8745,36.75,36.313,34.5,7614400.0
2000-03-17,CVS,35.563,36.563,36.0,36.375,4556800.0
2000-03-20,CVS,33.875,36.25,35.0,36.063,2965200.0
2000-03-21,CVS,34.375,37.375,37.188,35.0,5918000.0
2000-03-22,CVS,35.9998,37.5,37.125,37.0,4739600.0
2000-03-23,CVS,35.625,37.188,36.438,37.188,2730400.0
2000-03-24,CVS,33.75,36.188,35.938,36.063,7280400.0
2000-03-27,CVS,33.125,35.313,34.125,35.25,5056400.0
2000-03-28,CVS,33.813,35.438,34.188,34.875,4895800.0
2000-03-29,CVS,34.313,36.688,36.438,34.313,4162400.0
2000-03-30,CVS,36.125,37.5,37.125,36.1867,3358800.0
2000-03-31,CVS,36.6896,38.0,37.563,36.813,4599200.0
2000-04-03,CVS,37.5,39.25,38.688,37.563,3758200.0
2000-04-04,CVS,38.688,44.5,41.0,38.688,8723800.0
2000-04-05,CVS,39.688,41.188,40.625,40.75,6644600.0
2000-04-06,CVS,38.0,40.563,38.813,40.5,4038600.0
2000-04-07,CVS,38.438,39.938,38.813,39.0,1890600.0
2000-04-10,CVS,38.063,39.313,38.688,38.875,2286200.0
2000-04-11,CVS,37.625,41.563,41.438,38.0011,5905800.0
2000-04-12,CVS,42.563,46.0,43.875,43.0,9418800.0
2000-04-13,CVS,43.313,45.125,44.375,44.063,5221400.0
2000-04-14,CVS,41.625,44.1258,42.0,44.125,5132800.0
2000-04-17,CVS,40.75,42.25,41.938,41.563,4292200.0
2000-04-18,CVS,41.813,44.2491,43.188,41.813,3938000.0
2000-04-19,CVS,43.1879,44.75,43.5,44.75,3639000.0
2000-04-20,CVS,42.938,44.0,43.813,42.938,2319000.0
2000-04-24,CVS,43.438,44.375,44.0,43.938,2841200.0
2000-04-25,CVS,43.813,46.813,46.75,44.063,5575000.0
2000-04-26,CVS,44.563,46.5,44.875,46.5033,4485200.0
2000-04-27,CVS,43.938,44.563,44.25,44.25,3002000.0
2000-04-28,CVS,43.375,44.625,43.5,44.063,3565800.0
2000-05-01,CVS,42.375,43.875,43.688,43.5,2856400.0
2000-05-02,CVS,44.0,45.375,44.875,44.125,2993400.0
2000-05-03,CVS,39.6887,44.438,41.563,44.375,10531400.0
2000-05-04,CVS,40.75,41.818000000000005,41.563,41.313,3613600.0
2000-05-05,CVS,41.688,43.375,42.5,41.75,2619200.0
2000-05-08,CVS,42.125,45.625,44.75,42.5,3748000.0
2000-05-09,CVS,42.375,45.375,44.125,45.25,8088600.0
2000-05-10,CVS,42.813,43.938,43.5,43.938,4439200.0
2000-05-11,CVS,43.125,44.1873,43.25,43.5,2995400.0
2000-05-12,CVS,41.375,42.813,41.875,42.375,3737000.0
2000-05-15,CVS,41.25,43.188,42.938,41.875,2626600.0
2000-05-16,CVS,42.75,43.813,42.813,43.125,2785000.0
2000-05-17,CVS,41.0,42.313,41.813,41.313,3342200.0
2000-05-18,CVS,41.25,42.188,41.5,41.875,1921000.0
2000-05-19,CVS,40.125,41.125,40.75,40.875,1767600.0
2000-05-22,CVS,39.5,41.063,40.5,40.688,1761000.0
2000-05-23,CVS,40.25,41.688,41.375,40.25,3331600.0
2000-05-24,CVS,39.438,41.563,40.063,41.188,4456800.0
2000-05-25,CVS,40.688,41.625,41.313,41.375,4218000.0
2000-05-26,CVS,39.938,42.188,40.25,41.625,2929000.0
2000-05-30,CVS,39.688,42.125,41.688,40.25,2529800.0
2000-05-31,CVS,41.0,44.438,43.5,41.688,4178000.0
2000-06-01,CVS,43.188,45.188,45.188,43.25,3186800.0
2000-06-02,CVS,42.25,45.813,43.25,45.625,3692800.0
2000-06-05,CVS,41.0,42.125,41.625,42.0036,4565000.0
2000-06-06,CVS,38.313,42.0,38.875,41.875,7735400.0
2000-06-07,CVS,36.75,39.313,37.313,39.0,8590800.0
2000-06-08,CVS,35.875,39.25,38.625,37.5,10614400.0
2000-06-09,CVS,38.313,39.3726,38.438,39.375,2478400.0
2000-06-12,CVS,37.313,38.813,37.836,38.5,2859800.0
2000-06-13,CVS,36.375,37.938,37.125,37.875,6498600.0
2000-06-14,CVS,37.438,39.125,38.875,37.5006,3942400.0
2000-06-15,CVS,38.125,39.188,38.188,38.875,3656200.0
2000-06-16,CVS,38.25,39.063,38.375,38.375,3585800.0
2000-06-19,CVS,38.313,39.125,38.875,39.0,2621800.0
2000-06-20,CVS,37.875,39.7514,38.125,38.375,3924400.0
2000-06-21,CVS,37.0,38.125,37.375,38.125,4342400.0
2000-06-22,CVS,36.313,37.563,36.75,37.375,2625200.0
2000-06-23,CVS,35.875,37.063,36.125,37.0,2377800.0
2000-06-26,CVS,35.813,36.5636,35.875,36.313,2789200.0
2000-06-27,CVS,36.125,38.5,38.0,36.125,4053800.0
2000-06-28,CVS,37.313,38.688,38.156,37.875,2382200.0
2000-06-29,CVS,36.875,38.375,37.938,38.375,2709400.0
2000-06-30,CVS,37.375,40.102,40.0,37.375,3967600.0
2000-07-03,CVS,39.25,39.813,39.375,39.375,1392600.0
2000-07-05,CVS,39.0596,40.75,39.688,39.438,2663600.0
2000-07-06,CVS,40.063,43.5,43.375,40.375,4212400.0
2000-07-07,CVS,41.188,43.25,42.875,43.25,3724400.0
2000-07-10,CVS,42.625,44.375,43.563,42.938,2782600.0
2000-07-11,CVS,43.125,44.0,43.375,44.0,2413400.0
2000-07-12,CVS,42.188,43.813,43.625,43.5,2460000.0
2000-07-13,CVS,42.938,44.0,42.938,43.688,2513800.0
2000-07-14,CVS,42.873000000000005,43.75,43.438,42.938,1408400.0
2000-07-17,CVS,43.438,44.5,44.5,43.438,2337400.0
2000-07-18,CVS,44.0,45.0,44.0,44.438,2945000.0
2000-07-19,CVS,41.875,44.313,42.5,44.0,3823600.0
2000-07-20,CVS,42.375,43.813,43.375,42.625,2413600.0
2000-07-21,CVS,42.875,43.563,43.063,43.313,1712000.0
2000-07-24,CVS,43.0,43.625,43.5,43.063,1482000.0
2000-07-25,CVS,41.938,43.625,43.0,43.563,2528200.0
2000-07-26,CVS,42.0,42.75,42.125,42.688,3523600.0
2000-07-27,CVS,41.563,42.5,41.625,42.0,2878400.0
2000-07-28,CVS,38.938,41.188,40.563,41.125,6585400.0
2000-07-31,CVS,39.44,40.813,39.5,40.75,3840400.0
2000-08-01,CVS,37.3136,39.813,38.75,37.563,7697600.0
2000-08-02,CVS,36.75,37.938,36.875,37.875,6203400.0
2000-08-03,CVS,35.375,37.5,35.813,37.0596,8173000.0
2000-08-04,CVS,35.563,36.625,36.125,36.625,8276400.0
2000-08-07,CVS,35.5,36.688,35.875,36.688,4265400.0
2000-08-08,CVS,34.313,36.313,34.813,35.938,9129000.0
2000-08-09,CVS,33.25,35.25,35.188,35.0,11428600.0
2000-08-10,CVS,34.875,36.75,36.563,35.0,5814600.0
2000-08-11,CVS,36.0,37.063,36.688,36.063,4234400.0
2000-08-14,CVS,36.438,37.75,37.438,36.438,3586200.0
2000-08-15,CVS,36.938,38.0,37.0,37.5,3024400.0
2000-08-16,CVS,36.438,37.313,37.125,37.0,2218400.0
2000-08-17,CVS,36.938,38.438,38.438,37.188,3244400.0
2000-08-18,CVS,37.9997,38.875,38.813,38.25,1969000.0
2000-08-21,CVS,37.625,38.75,38.188,38.625,2836800.0
2000-08-22,CVS,37.875,38.3739,38.25,38.25,3033000.0
2000-08-23,CVS,37.6224,39.313,38.375,38.25,4353800.0
2000-08-24,CVS,38.063,39.3745,39.0,38.125,1463400.0
2000-08-25,CVS,38.125,39.188,38.438,39.188,1865400.0
2000-08-28,CVS,37.813,38.438,38.25,38.438,2470800.0
2000-08-29,CVS,38.25,39.188,38.938,38.375,2355400.0
2000-08-30,CVS,38.875,39.75,39.0,39.0,2440600.0
2000-08-31,CVS,36.625,38.438,37.145,38.438,5560400.0
2000-09-01,CVS,36.438,37.25,37.25,36.75,3224800.0
2000-09-05,CVS,37.063,37.5,37.125,37.125,2882800.0
2000-09-06,CVS,37.5,39.063,37.75,38.125,5446800.0
2000-09-07,CVS,37.375,38.438,38.375,37.938,3476000.0
2000-09-08,CVS,38.313,40.0,40.0,38.563,2564800.0
2000-09-11,CVS,40.1225,41.25,41.125,40.125,2954800.0
2000-09-12,CVS,40.75,42.3756,42.375,40.75,2780600.0
2000-09-13,CVS,42.25,44.188,44.0,42.375,5635200.0
2000-09-14,CVS,42.5,44.188,44.0,44.0,5718800.0
2000-09-15,CVS,43.438,44.0,44.0,44.0,3335200.0
2000-09-18,CVS,43.375,44.688,44.125,43.75,3456800.0
2000-09-19,CVS,42.813,44.125,44.063,43.748000000000005,4319200.0
2000-09-20,CVS,43.313,44.438,44.25,44.063,4875400.0
2000-09-21,CVS,44.375,45.438,45.063,44.375,3967800.0
2000-09-22,CVS,45.25,46.125,45.875,45.375,4480000.0
2000-09-25,CVS,45.313,46.125,45.938,46.0,4438600.0
2000-09-26,CVS,45.125,46.0,45.438,45.938,6562400.0
2000-09-27,CVS,45.063,45.688,45.188,45.563,5168200.0
2000-09-28,CVS,45.125,46.125,45.875,45.25,4757600.0
2000-09-29,CVS,45.75,46.938,46.313,46.75,6779400.0
2000-10-02,CVS,45.563,46.688,46.688,46.188,3273200.0
2000-10-03,CVS,46.5,47.563,47.25,46.688,2958800.0
2000-10-04,CVS,46.5,48.4974,47.25,46.5,4330400.0
2000-10-05,CVS,46.0,47.188,46.625,46.625,2869000.0
2000-10-06,CVS,45.563,46.875,46.625,46.688,2817000.0
2000-10-09,CVS,45.25,46.313,45.688,45.25,1728000.0
2000-10-10,CVS,45.375,45.875,45.625,45.688,2526800.0
2000-10-11,CVS,45.625,47.75,46.813,45.688,4483200.0
2000-10-12,CVS,46.25,47.188,46.438,46.813,4065200.0
2000-10-13,CVS,45.688,46.625,45.875,46.5,5979600.0
2000-10-16,CVS,45.313,46.125,45.813,45.313,4459400.0
2000-10-17,CVS,44.5,45.938,45.0,45.875,4075000.0
2000-10-18,CVS,44.625,46.75,46.0,45.0,5926800.0
2000-10-19,CVS,45.75,46.375,46.0,46.0,4484000.0
2000-10-20,CVS,44.25,45.8114,44.313,45.75,2700400.0
2000-10-23,CVS,43.563,44.688,44.5,44.563,4242600.0
2000-10-24,CVS,44.438,45.75,45.75,44.563,3654000.0
2000-10-25,CVS,45.563,47.813,46.563,45.75,6306200.0
2000-10-26,CVS,46.563,48.5,48.063,46.563,4189000.0
2000-10-27,CVS,45.688,48.938,46.5,48.5,7119000.0
2000-10-30,CVS,48.875,52.813,52.813,49.0,10963400.0
2000-10-31,CVS,52.25,54.125,52.938,52.688,9301000.0
2000-11-01,CVS,51.625,53.625,53.0,52.625,8077800.0
2000-11-02,CVS,52.0,52.813,52.563,52.5,7658200.0
2000-11-03,CVS,52.125,52.563,52.438,52.4972,5748000.0
2000-11-06,CVS,52.25,55.5016,55.5,53.0,4335800.0
2000-11-07,CVS,54.313,56.375,54.938,54.875,6977400.0
2000-11-08,CVS,54.313,55.313,54.813,55.125,3390800.0
2000-11-09,CVS,54.188,57.125,57.063,54.375,5151000.0
2000-11-10,CVS,55.563,59.125,55.625,57.5621,7612000.0
2000-11-13,CVS,55.75,57.5,56.75,56.1262,7119200.0
2000-11-14,CVS,55.25,56.813,56.688,56.125,7075400.0
2000-11-15,CVS,53.375,56.625,53.938,56.563,6935400.0
2000-11-16,CVS,52.625,54.063,53.438,54.0,4882400.0
2000-11-17,CVS,49.875,53.25,52.438,53.0,9537200.0
2000-11-20,CVS,52.0,53.3137,52.375,52.438,3363000.0
2000-11-21,CVS,52.313,53.375,52.75,52.313,4126200.0
2000-11-22,CVS,52.125,55.438,54.938,52.125,6551000.0
2000-11-24,CVS,54.0,55.125,54.5,54.938,1028600.0
2000-11-27,CVS,54.8149,57.563,57.5,55.25,4849600.0
2000-11-28,CVS,56.938,58.563,57.125,58.125,4826200.0
2000-11-29,CVS,55.5,57.438,56.0,57.313,5121000.0
2000-11-30,CVS,55.438,56.875,56.875,55.75,10829000.0
2000-12-01,CVS,54.938,57.188,55.375,57.125,3762800.0
2000-12-04,CVS,53.5,54.813,53.813,54.25,6792200.0
2000-12-05,CVS,53.188,55.0,53.813,54.125,5298200.0
2000-12-06,CVS,50.813,53.938,51.438,53.0,5530000.0
2000-12-07,CVS,51.938,54.75,54.563,52.0,4498600.0
2000-12-08,CVS,53.563,54.9395,53.563,54.688,2635000.0
2000-12-11,CVS,52.188,53.8756,52.188,53.5,3290800.0
2000-12-12,CVS,51.75,56.375,55.188,52.188,4310000.0
2000-12-13,CVS,54.0,56.063,55.875,54.75,5589200.0
2000-12-14,CVS,56.25,57.5,57.313,56.5,5084000.0
2000-12-15,CVS,57.063,58.438,57.938,57.063,4786000.0
2000-12-18,CVS,56.25,58.25,57.375,57.688,5384400.0
2000-12-19,CVS,56.313,58.625,57.938,57.375,4326800.0
2000-12-20,CVS,57.063,59.438,59.438,57.938,4871000.0
2000-12-21,CVS,57.563,59.938,59.375,59.438,4033600.0
2000-12-22,CVS,58.375,60.25,59.0,60.25,3904600.0
2000-12-26,CVS,58.0,58.875,58.5,58.875,1968600.0
2000-12-27,CVS,57.8106,59.938,59.813,58.25,2467200.0
2000-12-28,CVS,59.375,60.188,59.938,59.688,3470400.0
2000-12-29,CVS,59.75,60.438,59.938,60.313,2292400.0
2001-01-02,CVS,56.938,59.813,57.188,59.813,5539200.0
2001-01-03,CVS,53.1282,57.188,54.0,57.188,8372400.0
2001-01-04,CVS,49.5,55.0,51.0,54.25,11753000.0
2001-01-05,CVS,50.313,52.5,51.688,51.25,9049000.0
2001-01-08,CVS,51.4383,53.063,52.938,52.25,6677600.0
2001-01-09,CVS,52.625,54.688,54.25,53.5,6356400.0
2001-01-10,CVS,53.688,56.125,55.938,54.125,5884400.0
2001-01-11,CVS,52.5,56.313,53.938,56.188,5218200.0
2001-01-12,CVS,52.938,53.938,53.5,53.938,3163600.0
2001-01-16,CVS,53.5,55.375,55.25,53.5,3855000.0
2001-01-17,CVS,54.25,55.875,54.813,55.375,4233000.0
2001-01-18,CVS,54.875,56.438,55.875,55.25,4204000.0
2001-01-19,CVS,54.063,55.813,54.438,55.813,4520000.0
2001-01-22,CVS,53.875,55.625,54.75,54.438,4592600.0
2001-01-23,CVS,54.688,55.813,55.813,55.0,3039000.0
2001-01-24,CVS,55.563,57.063,57.063,55.813,4550400.0
2001-01-25,CVS,55.25,57.313,57.0,56.938,5023600.0
2001-01-26,CVS,56.813,58.313,58.313,57.0,3931400.0
2001-01-29,CVS,56.9,58.55,57.65,58.3,2976200.0
2001-01-30,CVS,56.5,57.65,57.35,57.65,4045200.0
2001-01-31,CVS,56.8,59.5,59.2,57.05,4456200.0
2001-02-01,CVS,57.44,59.54,57.92,59.2,3891200.0
2001-02-02,CVS,57.8,59.14,58.9,58.5,4929600.0
2001-02-05,CVS,57.21,59.2347,57.7,59.1,4306600.0
2001-02-06,CVS,56.4,58.57,57.52,58.25,6131000.0
2001-02-07,CVS,57.55,59.86,59.8,57.7,4373600.0
2001-02-08,CVS,58.85,59.99,59.02,59.95,5143800.0
2001-02-09,CVS,57.8,59.4,59.14,59.02,3582400.0
2001-02-12,CVS,58.71,60.0,60.0,59.35,3501800.0
2001-02-13,CVS,58.6,59.65,58.83,59.55,3048800.0
2001-02-14,CVS,58.39,59.7,59.45,58.83,3912600.0
2001-02-15,CVS,58.8,60.06,59.9,59.45,2107000.0
2001-02-16,CVS,60.3,62.2,61.59,60.3,6648200.0
2001-02-20,CVS,61.7,63.7507,61.99,61.7,5745200.0
2001-02-21,CVS,59.4,61.65,59.58,61.0513,6704000.0
2001-02-22,CVS,57.1,59.85,58.37,59.75,5847800.0
2001-02-23,CVS,56.55,58.19,57.03,57.75,3308000.0
2001-02-26,CVS,56.99,58.78,58.77,57.0,5557400.0
2001-02-27,CVS,59.35,60.8,59.45,60.0,5515400.0
2001-02-28,CVS,60.25,62.2,61.0,60.3,5985200.0
2001-03-01,CVS,59.0,61.1,59.42,61.0,5370600.0
2001-03-02,CVS,59.0,60.75,60.4,59.4,4435800.0
2001-03-05,CVS,60.0,61.2,60.35,59.9972,3273400.0
2001-03-06,CVS,60.02,61.03,60.5,61.0,3154800.0
2001-03-07,CVS,60.24,61.8,60.79,60.3,3651400.0
2001-03-08,CVS,60.75,62.4,62.1,60.95,3298000.0
2001-03-09,CVS,60.4,61.46,60.87,61.45,2578200.0
2001-03-12,CVS,59.7,60.41,59.74,60.4,3544400.0
2001-03-13,CVS,55.65,59.44,57.01,59.33,5098400.0
2001-03-14,CVS,55.95,57.6,57.4,56.0,2882200.0
2001-03-15,CVS,57.6,58.2,58.11,57.65,3577000.0
2001-03-16,CVS,55.35,58.4,55.58,57.9,3944600.0
2001-03-19,CVS,54.4,56.2,55.61,55.95,3018800.0
2001-03-20,CVS,54.2,56.15,54.6,56.0,3024000.0
2001-03-21,CVS,53.8493,55.15,55.0,54.6,4180200.0
2001-03-22,CVS,52.84,55.01,53.6,55.01,4856600.0
2001-03-23,CVS,52.55,55.03,55.03,53.75,4179800.0
2001-03-26,CVS,53.45,55.5,55.09,55.28,5559600.0
2001-03-27,CVS,54.84,56.76,56.42,55.0783,5659400.0
2001-03-28,CVS,54.72,56.3,56.25,56.15,4207800.0
