Date,symbol,Low,High,Close,Open,Volume
2007-08-03,CXO,11.6,13.39,12.9,11.61,6608700.0
2007-08-06,CXO,12.07,13.23,12.7,13.0,796500.0
2007-08-07,CXO,12.37,12.9,12.6,12.64,450100.0
2007-08-08,CXO,12.5203,13.0,12.88,12.65,225500.0
2007-08-09,CXO,12.27,13.1,12.94,12.45,131900.0
2007-08-10,CXO,12.6099,13.2,12.81,12.72,236000.0
2007-08-13,CXO,12.9,13.206,13.07,12.91,240400.0
2007-08-14,CXO,12.8101,13.49,13.01,13.45,45600.0
2007-08-15,CXO,12.6,13.1,12.88,12.99,298900.0
2007-08-16,CXO,12.5,12.732000000000001,12.7,12.6,78900.0
2007-08-17,CXO,12.49,13.0,13.0,12.49,297300.0
2007-08-20,CXO,12.45,12.89,12.75,12.89,88600.0
2007-08-21,CXO,12.56,13.0,12.9,12.7,280800.0
2007-08-22,CXO,12.5,12.99,12.63,12.99,158900.0
2007-08-23,CXO,12.5,12.99,12.9,12.51,351400.0
2007-08-24,CXO,12.77,13.0,12.99,12.8317,40200.0
2007-08-27,CXO,12.6,13.1,13.1,12.99,104900.0
2007-08-28,CXO,12.76,13.2,12.76,13.16,17800.0
2007-08-29,CXO,12.76,13.2,12.77,12.76,47400.0
2007-08-30,CXO,12.54,12.85,12.54,12.61,38100.0
2007-08-31,CXO,12.53,12.82,12.69,12.69,22600.0
2007-09-04,CXO,12.5,13.7998,13.75,12.68,154200.0
2007-09-05,CXO,13.1,15.0,14.55,13.77,451200.0
2007-09-06,CXO,13.95,14.78,14.5,14.53,73600.0
2007-09-07,CXO,14.25,14.7,14.5,14.5,93800.0
2007-09-10,CXO,14.5,15.29,14.83,14.53,358900.0
2007-09-11,CXO,14.84,15.95,15.2,14.84,126600.0
2007-09-12,CXO,15.1,15.5,15.22,15.29,216000.0
2007-09-13,CXO,15.22,15.56,15.55,15.34,459700.0
2007-09-14,CXO,15.47,16.0009,15.89,15.55,210200.0
2007-09-17,CXO,15.65,15.9,15.7,15.84,517600.0
2007-09-18,CXO,15.25,15.91,15.4,15.59,391600.0
2007-09-19,CXO,15.0,15.7,15.7,15.3,72100.0
2007-09-20,CXO,15.65,15.91,15.85,15.74,44200.0
2007-09-21,CXO,15.75,16.32,16.13,15.94,489600.0
2007-09-24,CXO,16.02,16.4391,16.17,16.23,214700.0
2007-09-25,CXO,15.65,16.14,15.65,16.1398,67900.0
2007-09-26,CXO,16.0,16.39,16.1,16.0,301100.0
2007-09-27,CXO,15.15,16.3799,15.42,16.17,203200.0
2007-09-28,CXO,14.81,15.5,14.81,15.2999,1450100.0
2007-10-01,CXO,14.3,16.21,15.8,14.79,298900.0
2007-10-02,CXO,15.71,16.34,16.03,15.71,130600.0
2007-10-03,CXO,16.0,16.55,16.42,16.0,220100.0
2007-10-04,CXO,16.26,17.2404,16.95,16.51,210800.0
2007-10-05,CXO,16.7099,17.31,17.25,17.15,154600.0
2007-10-08,CXO,16.7,17.43,16.7,17.2409,160600.0
2007-10-09,CXO,16.01,17.1801,17.07,16.8,156500.0
2007-10-10,CXO,16.51,17.55,17.54,17.0,366300.0
2007-10-11,CXO,17.44,18.69,18.6,17.55,713200.0
2007-10-12,CXO,18.35,18.83,18.46,18.65,216600.0
2007-10-15,CXO,17.77,18.5002,18.03,18.46,100000.0
2007-10-16,CXO,18.1,18.9385,18.82,18.2,409000.0
2007-10-17,CXO,18.7,19.37,18.86,19.01,1175200.0
2007-10-18,CXO,18.945,19.74,19.73,19.06,117000.0
2007-10-19,CXO,19.31,20.07,19.65,19.6803,242800.0
2007-10-22,CXO,19.33,20.5,19.56,19.58,165300.0
2007-10-23,CXO,19.11,20.0,19.95,19.75,374600.0
2007-10-24,CXO,19.31,20.18,20.16,20.0,103600.0
2007-10-25,CXO,19.5,19.98,19.74,19.51,242200.0
2007-10-26,CXO,19.71,21.75,21.37,20.03,149100.0
2007-10-29,CXO,20.87,22.3,21.99,21.8,196600.0
2007-10-30,CXO,20.35,22.17,20.46,21.65,146900.0
2007-10-31,CXO,19.2303,20.8,19.49,20.8,201500.0
2007-11-01,CXO,19.0,20.08,19.92,19.45,196200.0
2007-11-02,CXO,19.28,20.0,19.94,19.98,120300.0
2007-11-05,CXO,19.7407,20.22,19.78,19.97,270900.0
2007-11-06,CXO,18.65,19.78,19.4,19.78,91500.0
2007-11-07,CXO,18.775,19.99,19.01,19.25,246700.0
2007-11-08,CXO,18.67,19.1,18.89,19.1,140800.0
2007-11-09,CXO,18.3,18.82,18.56,18.82,155200.0
2007-11-12,CXO,17.12,18.47,18.12,18.43,163100.0
2007-11-13,CXO,17.31,18.4,18.4,18.13,122000.0
2007-11-14,CXO,17.46,18.95,17.6,18.9,95800.0
2007-11-15,CXO,17.541,18.56,18.5,17.56,280200.0
2007-11-16,CXO,18.0,18.92,18.54,18.3795,190600.0
2007-11-19,CXO,17.98,18.7796,18.07,18.36,61600.0
2007-11-20,CXO,17.9,19.68,19.65,18.01,198200.0
2007-11-21,CXO,19.66,21.3,20.57,19.69,293200.0
2007-11-23,CXO,20.53,21.869,21.24,20.53,121900.0
2007-11-26,CXO,19.82,21.53,19.93,21.53,152500.0
2007-11-27,CXO,18.79,21.45,19.09,20.23,258900.0
2007-11-28,CXO,18.0,19.27,18.76,18.52,293100.0
2007-11-29,CXO,18.73,19.17,18.79,19.15,53700.0
2007-11-30,CXO,18.5,19.19,18.86,19.19,99400.0
2007-12-03,CXO,18.44,19.1,18.55,19.1,72100.0
2007-12-04,CXO,18.1,18.62,18.13,18.62,85800.0
2007-12-05,CXO,17.72,18.6,17.79,18.6,277800.0
2007-12-06,CXO,17.26,19.29,19.27,17.61,346000.0
2007-12-07,CXO,17.34,18.6,17.41,18.6,212000.0
2007-12-10,CXO,16.7,17.63,17.61,17.55,247900.0
2007-12-11,CXO,17.52,18.22,17.88,17.6,235900.0
2007-12-12,CXO,17.79,18.6,18.54,18.28,272800.0
2007-12-13,CXO,18.0,18.42,18.19,18.24,348500.0
2007-12-14,CXO,18.02,19.27,19.0,18.05,3688100.0
2007-12-17,CXO,18.54,19.48,18.98,18.81,725400.0
2007-12-18,CXO,19.03,20.46,20.34,19.1,370500.0
2007-12-19,CXO,19.61,20.57,20.08,20.38,264300.0
2007-12-20,CXO,20.1,20.65,20.41,20.25,208300.0
2007-12-21,CXO,20.2998,20.86,20.58,20.75,844800.0
2007-12-24,CXO,20.26,20.86,20.84,20.48,243900.0
2007-12-26,CXO,20.52,21.5,21.25,20.7,240600.0
2007-12-27,CXO,20.64,21.58,20.75,21.04,158100.0
2007-12-28,CXO,20.42,21.28,20.55,21.05,128900.0
2007-12-31,CXO,19.8,20.61,20.61,20.3799,167000.0
2008-01-02,CXO,20.44,21.74,21.57,20.66,364000.0
2008-01-03,CXO,21.69,22.25,22.08,21.72,434400.0
2008-01-04,CXO,20.92,22.22,21.06,22.0,484400.0
2008-01-07,CXO,21.14,21.74,21.19,21.34,272500.0
2008-01-08,CXO,20.95,22.11,22.1,21.27,419000.0
2008-01-09,CXO,21.84,23.5522,23.27,22.1,431100.0
2008-01-10,CXO,22.45,23.39,22.46,23.29,660100.0
2008-01-11,CXO,21.6718,22.7,21.68,22.3,173400.0
2008-01-14,CXO,20.55,22.8391,22.22,21.87,395200.0
2008-01-15,CXO,21.16,22.07,21.29,21.88,403000.0
2008-01-16,CXO,20.29,21.36,20.41,21.36,285200.0
2008-01-17,CXO,18.95,20.511999999999997,19.33,20.51,365900.0
2008-01-18,CXO,18.745,19.42,19.07,19.37,372600.0
2008-01-22,CXO,17.33,19.59,19.18,18.5,280500.0
2008-01-23,CXO,18.01,19.28,19.09,18.78,323400.0
2008-01-24,CXO,18.92,20.59,19.63,19.15,207500.0
2008-01-25,CXO,19.45,20.28,19.55,19.99,281600.0
2008-01-28,CXO,19.2,20.05,19.98,19.48,197700.0
2008-01-29,CXO,19.49,20.53,20.11,20.13,260200.0
2008-01-30,CXO,19.42,21.26,20.31,20.0112,333200.0
2008-01-31,CXO,19.6,20.5295,20.17,19.95,365500.0
2008-02-01,CXO,20.0,22.24,21.48,20.3,402500.0
2008-02-04,CXO,20.58,21.66,20.83,21.46,101400.0
2008-02-05,CXO,19.8,20.57,19.82,20.42,80100.0
2008-02-06,CXO,19.63,20.63,19.89,20.04,163800.0
2008-02-07,CXO,19.7,20.45,20.01,19.89,249800.0
2008-02-08,CXO,19.6,20.35,20.09,20.0,145600.0
2008-02-11,CXO,19.8591,20.18,19.97,19.96,190600.0
2008-02-12,CXO,19.57,21.65,21.22,20.02,306200.0
2008-02-13,CXO,21.4502,23.38,22.98,21.45,621200.0
2008-02-14,CXO,20.6585,22.53,22.29,21.9,1037500.0
2008-02-15,CXO,21.76,22.41,22.2,22.12,217000.0
2008-02-19,CXO,22.26,23.22,22.68,22.46,468800.0
2008-02-20,CXO,22.14,23.0,22.95,22.36,181800.0
2008-02-21,CXO,21.8,23.79,21.81,23.27,193700.0
2008-02-22,CXO,21.109,22.19,22.04,22.0,200000.0
2008-02-25,CXO,21.56,22.78,22.41,22.31,181900.0
2008-02-26,CXO,21.9901,23.11,22.12,22.31,141000.0
2008-02-27,CXO,20.2596,23.41,22.82,20.26,568900.0
2008-02-28,CXO,22.749000000000002,25.26,24.96,23.0,994300.0
2008-02-29,CXO,23.11,25.5,23.3,24.75,330100.0
2008-03-03,CXO,23.15,24.99,23.72,23.3,439700.0
2008-03-04,CXO,23.1,24.0,23.77,23.57,267900.0
2008-03-05,CXO,24.02,25.1,25.1,24.36,259200.0
2008-03-06,CXO,23.95,25.3,24.69,25.1,276500.0
2008-03-07,CXO,23.7,24.73,23.93,24.47,395600.0
2008-03-10,CXO,23.14,24.16,23.8,23.97,154800.0
2008-03-11,CXO,23.27,24.45,23.96,24.0,380900.0
2008-03-12,CXO,23.7981,24.85,24.51,23.91,351400.0
2008-03-13,CXO,24.15,25.39,25.25,24.57,524100.0
2008-03-14,CXO,24.15,25.4,24.96,25.35,485500.0
