Date,symbol,Low,High,Close,Open,Volume
1999-09-28,D,43.375,44.563,44.0,44.563,958000.0
1999-09-29,D,43.875,44.563,44.5,43.875,534800.0
1999-09-30,D,44.313,45.188,45.125,44.5,728000.0
1999-10-01,D,44.5,45.875,45.75,45.063,608000.0
1999-10-04,D,45.625,46.938,46.875,45.625,588200.0
1999-10-05,D,45.938,46.813,46.188,46.813,525400.0
1999-10-06,D,46.125,46.625,46.375,46.625,462200.0
1999-10-07,D,45.625,46.25,45.75,46.25,662600.0
1999-10-08,D,45.75,46.188,45.813,45.813,373000.0
1999-10-11,D,45.0,45.75,45.0,45.75,337400.0
1999-10-12,D,44.375,44.875,44.563,44.625,577400.0
1999-10-13,D,44.563,45.0,44.688,44.625,756600.0
1999-10-14,D,44.375,45.938,45.813,44.563,2230600.0
1999-10-15,D,44.938,45.875,44.938,45.875,845600.0
1999-10-18,D,44.938,45.875,45.875,45.0,781200.0
1999-10-19,D,45.625,46.375,45.688,45.8776,1391800.0
1999-10-20,D,45.375,45.875,45.813,45.5,624200.0
1999-10-21,D,45.125,45.875,45.563,45.563,772000.0
1999-10-22,D,45.375,45.688,45.5,45.688,486400.0
1999-10-25,D,45.1247,45.875,45.625,45.25,539400.0
1999-10-26,D,45.25,46.125,45.563,45.375,997600.0
1999-10-27,D,45.625,46.75,46.563,45.688,1324800.0
1999-10-28,D,46.875,47.875,47.625,46.875,1572000.0
1999-10-29,D,47.625,48.375,48.125,47.8737,1808400.0
1999-11-01,D,48.0631,48.25,48.25,48.063,592600.0
1999-11-02,D,48.25,48.563,48.438,48.25,1018200.0
1999-11-03,D,48.25,48.5,48.438,48.25,1125200.0
1999-11-04,D,48.438,48.688,48.625,48.5,1305400.0
1999-11-05,D,48.5,49.375,48.5,48.875,1671000.0
1999-11-08,D,47.938,48.625,47.938,48.5,1960200.0
1999-11-09,D,47.813,48.125,47.875,48.125,1637000.0
1999-11-10,D,47.438,47.938,47.563,47.813,936600.0
1999-11-11,D,47.375,47.875,47.75,47.438,1478600.0
1999-11-12,D,47.75,48.125,48.125,47.875,1224200.0
1999-11-15,D,47.75,48.063,48.0,47.875,413600.0
1999-11-16,D,47.813,48.6264,48.25,47.938,858200.0
1999-11-17,D,48.313,48.688,48.563,48.5,1117600.0
1999-11-18,D,48.188,48.563,48.25,48.563,877600.0
1999-11-19,D,47.938,48.188,47.938,48.125,1189600.0
1999-11-22,D,47.188,47.813,47.25,47.688,2310000.0
1999-11-23,D,45.75,46.625,45.813,46.563,1750400.0
1999-11-24,D,45.563,46.25,45.938,45.813,1222800.0
1999-11-26,D,45.563,46.063,45.625,45.938,316400.0
1999-11-29,D,44.6278,45.688,44.688,45.625,1165800.0
1999-11-30,D,44.625,45.563,45.375,44.625,1602200.0
1999-12-01,D,44.9415,45.313,45.0,45.25,1797000.0
1999-12-02,D,44.625,45.313,44.625,45.0,3047400.0
1999-12-03,D,44.313,44.875,44.563,44.313,2369200.0
1999-12-06,D,44.0,44.938,44.063,44.5,1019200.0
1999-12-07,D,43.75,44.5,44.125,44.0,1574000.0
