Date,symbol,Low,High,Close,Open,Volume
2007-05-03,DAL,20.55,21.95,20.72,21.75,8052800.0
2007-05-04,DAL,20.7,21.35,20.98,21.25,5437300.0
2007-05-07,DAL,20.2,21.29,20.36,21.2,2646300.0
2007-05-08,DAL,19.3,20.0,19.63,20.0,4166100.0
2007-05-09,DAL,19.6292,20.2,19.79,19.75,7541100.0
2007-05-10,DAL,19.55,19.99,19.7,19.79,3170600.0
2007-05-11,DAL,19.11,19.8,19.3,19.71,3539400.0
2007-05-14,DAL,18.75,19.39,18.89,19.15,1924800.0
2007-05-15,DAL,18.15,18.85,18.2,18.65,3438700.0
2007-05-16,DAL,18.02,18.48,18.34,18.06,2607600.0
2007-05-17,DAL,18.67,19.75,19.02,18.8009,8979000.0
2007-05-18,DAL,18.54,19.49,19.31,19.47,6562200.0
2007-05-21,DAL,19.0,19.34,19.0,19.2,2077700.0
2007-05-22,DAL,19.0,19.53,19.48,19.1,4014700.0
2007-05-23,DAL,19.1,19.7,19.21,19.5,2387100.0
2007-05-24,DAL,18.85,19.33,19.02,19.21,2362000.0
2007-05-25,DAL,18.69,19.05,18.76,19.02,895000.0
2007-05-29,DAL,18.85,19.2,19.09,18.91,2918800.0
2007-05-30,DAL,18.81,19.15,18.98,19.05,2829300.0
2007-05-31,DAL,19.03,19.2788,19.05,19.15,3435200.0
2007-06-01,DAL,19.05,19.8,19.55,19.1,2299400.0
2007-06-04,DAL,18.69,19.05,18.84,18.7,5692700.0
2007-06-05,DAL,18.73,19.04,18.95,18.85,4510000.0
2007-06-06,DAL,18.65,18.93,18.93,18.7,2595300.0
2007-06-07,DAL,18.15,18.85,18.48,18.77,3062100.0
2007-06-08,DAL,18.2,18.83,18.83,18.2,2124100.0
2007-06-11,DAL,18.22,18.82,18.38,18.55,1870000.0
2007-06-12,DAL,18.02,18.71,18.4,18.15,8636200.0
2007-06-13,DAL,18.36,18.7,18.64,18.48,3110200.0
2007-06-14,DAL,18.425,19.01,18.9,18.5,8069700.0
2007-06-15,DAL,18.45,19.14,18.88,18.89,3418900.0
2007-06-18,DAL,18.5,18.9,18.54,18.6508,1339900.0
2007-06-19,DAL,18.55,19.0792,18.87,18.59,3113000.0
2007-06-20,DAL,18.82,19.49,19.36,19.0,4031500.0
2007-06-21,DAL,19.02,19.6,19.51,19.2,3985700.0
2007-06-22,DAL,19.37,19.85,19.75,19.5,11822000.0
2007-06-25,DAL,19.1106,19.74,19.43,19.69,1974400.0
2007-06-26,DAL,19.27,19.66,19.49,19.5,2237000.0
2007-06-27,DAL,19.13,19.59,19.42,19.3994,2216000.0
2007-06-28,DAL,19.622,19.89,19.67,19.75,2547200.0
2007-06-29,DAL,19.51,19.83,19.7,19.55,2022200.0
2007-07-02,DAL,19.53,19.76,19.58,19.57,1831600.0
2007-07-03,DAL,19.71,20.26,20.25,19.71,2960900.0
