Date,symbol,Low,High,Close,Open,Volume
2009-11-13,DG,21.75,23.1,22.73,22.0,22079100.0
2009-11-16,DG,22.13,23.1,23.1,22.9,2080000.0
2009-11-17,DG,22.5,23.17,23.04,23.0301,1328000.0
2009-11-18,DG,22.5,23.02,22.55,23.0,918300.0
2009-11-19,DG,22.27,23.14,22.87,22.27,1031500.0
2009-11-20,DG,22.5,23.33,23.21,22.5,1080900.0
2009-11-23,DG,23.18,23.98,23.4,23.7,741100.0
2009-11-24,DG,23.25,23.65,23.5,23.6,633100.0
2009-11-25,DG,22.99,23.8,23.74,23.0,362600.0
2009-11-27,DG,22.74,23.3,23.15,22.74,141400.0
2009-11-30,DG,22.62,23.12,23.0,23.12,853000.0
2009-12-01,DG,23.0,23.57,23.31,23.4406,803500.0
2009-12-02,DG,23.25,23.75,23.6,23.29,571300.0
2009-12-03,DG,23.0,23.82,23.31,23.8208,410000.0
2009-12-04,DG,23.3,23.98,23.85,23.47,318100.0
2009-12-07,DG,23.28,23.77,23.63,23.77,271500.0
2009-12-08,DG,23.0,23.75,23.63,23.5,652900.0
2009-12-09,DG,23.5,24.12,24.0,23.63,609400.0
2009-12-10,DG,23.39,24.77,23.7,24.77,848400.0
2009-12-11,DG,23.1139,23.74,23.34,23.6,600300.0
2009-12-14,DG,22.75,23.33,22.8,23.29,489100.0
2009-12-15,DG,22.52,22.89,22.69,22.8,700100.0
2009-12-16,DG,22.55,23.05,22.73,22.84,585400.0
2009-12-17,DG,22.08,22.75,22.44,22.75,634000.0
2009-12-18,DG,22.11,22.61,22.57,22.61,2105100.0
2009-12-21,DG,22.17,22.61,22.6,22.5,536400.0
2009-12-22,DG,22.3,22.61,22.4,22.58,766100.0
2009-12-23,DG,22.4,23.2482,22.41,23.22,1103000.0
2009-12-24,DG,22.1,22.6,22.15,22.46,254300.0
2009-12-28,DG,22.15,22.68,22.62,22.15,804300.0
2009-12-29,DG,22.53,22.8,22.61,22.69,123500.0
2009-12-30,DG,22.52,22.7996,22.61,22.52,173300.0
2009-12-31,DG,22.38,22.84,22.43,22.7993,156700.0
2010-01-04,DG,22.4,23.4,23.08,22.55,437200.0
2010-01-05,DG,22.96,23.26,23.26,23.0,283600.0
2010-01-06,DG,23.41,23.9,23.58,23.6,968100.0
2010-01-07,DG,23.4,23.78,23.74,23.55,360700.0
2010-01-08,DG,23.32,24.15,23.87,23.64,967300.0
2010-01-11,DG,23.76,24.08,24.0,23.85,253500.0
2010-01-12,DG,23.56,24.0,23.95,23.85,517700.0
2010-01-13,DG,23.81,24.398000000000003,24.3,23.95,596300.0
2010-01-14,DG,23.9244,24.2,24.2,24.18,201500.0
2010-01-15,DG,24.1,24.5,24.36,24.44,202100.0
2010-01-19,DG,24.23,24.9,24.55,24.4,679300.0
2010-01-20,DG,24.25,24.8,24.51,24.51,589800.0
2010-01-21,DG,23.9,24.718000000000004,23.98,24.53,203300.0
2010-01-22,DG,22.7716,24.04,23.34,23.99,892700.0
2010-01-25,DG,23.06,23.64,23.35,23.64,119500.0
2010-01-26,DG,23.32,23.68,23.53,23.4,164800.0
2010-01-27,DG,23.37,23.6,23.55,23.6,175300.0
2010-01-28,DG,23.39,24.12,23.84,23.79,131400.0
2010-01-29,DG,23.2321,24.0,23.49,24.0,337800.0
2010-02-01,DG,23.131,23.68,23.37,23.68,407500.0
2010-02-02,DG,23.19,23.72,23.63,23.33,208300.0
2010-02-03,DG,23.41,23.86,23.84,23.6,827700.0
2010-02-04,DG,22.35,23.75,22.47,23.64,714000.0
2010-02-05,DG,21.3,22.57,21.71,22.41,1137100.0
2010-02-08,DG,21.76,22.63,22.39,21.88,208100.0
2010-02-09,DG,22.27,22.76,22.56,22.49,220700.0
2010-02-10,DG,21.87,22.3801,22.05,22.38,403900.0
2010-02-11,DG,21.945,22.18,22.06,21.9694,107600.0
2010-02-12,DG,21.88,22.55,22.55,21.91,125600.0
2010-02-16,DG,22.27,23.07,23.03,22.65,248000.0
2010-02-17,DG,22.59,23.39,22.76,23.04,189800.0
2010-02-18,DG,22.5,23.5,23.28,22.64,121400.0
2010-02-19,DG,23.29,23.96,23.58,23.29,187600.0
2010-02-22,DG,23.09,23.52,23.24,23.5,155500.0
2010-02-23,DG,23.1,23.7294,23.64,23.2,134300.0
2010-02-24,DG,23.75,24.35,24.16,23.81,208400.0
2010-02-25,DG,23.52,24.07,23.8,23.82,258000.0
2010-02-26,DG,23.51,23.96,23.89,23.91,265000.0
2010-03-01,DG,23.88,24.57,24.09,24.01,271500.0
2010-03-02,DG,23.77,24.2984,24.04,24.13,279500.0
