Date,symbol,Low,High,Close,Open,Volume
1999-09-28,DHR,47.5,50.5,48.313,50.5,4041400.0
1999-09-29,DHR,48.313,52.063,51.063,48.313,2329800.0
1999-09-30,DHR,49.625,53.5,52.688,51.0,2855300.0
1999-10-01,DHR,51.438,52.563,51.5,51.688,1220800.0
1999-10-04,DHR,51.5,52.688,52.125,51.5,1178100.0
1999-10-05,DHR,51.625,53.5,52.125,52.063,1600200.0
1999-10-06,DHR,52.188,54.0,53.438,52.25,1157500.0
1999-10-07,DHR,52.313,53.625,52.688,53.4988,661600.0
1999-10-08,DHR,52.063,53.375,52.813,52.938,1398600.0
1999-10-11,DHR,52.688,54.375,54.0,53.063,1820700.0
1999-10-12,DHR,52.0,53.813,52.0,53.375,598200.0
1999-10-13,DHR,50.0,52.625,50.25,52.1283,1625000.0
1999-10-14,DHR,48.5,50.313,50.063,50.0,1608100.0
1999-10-15,DHR,47.125,50.063,49.375,50.063,2287600.0
1999-10-18,DHR,47.0,49.3769,48.063,49.375,1441400.0
1999-10-19,DHR,48.0,49.375,48.063,48.5,1476700.0
1999-10-20,DHR,47.813,50.438,50.438,47.875,1252500.0
1999-10-21,DHR,48.438,50.375,50.375,50.25,1850800.0
1999-10-22,DHR,49.0,51.25,49.125,51.25,2836300.0
1999-10-25,DHR,45.0,49.125,48.875,48.875,3327500.0
1999-10-26,DHR,48.25,50.625,49.5,48.625,2586200.0
1999-10-27,DHR,47.313,49.9953,47.75,49.75,1565300.0
1999-10-28,DHR,48.125,49.5,48.188,48.25,2466000.0
1999-10-29,DHR,48.0,49.25,48.313,48.438,3212000.0
1999-11-01,DHR,47.313,48.8785,48.75,48.563,2428000.0
1999-11-02,DHR,47.625,48.9993,47.688,48.75,1587500.0
1999-11-03,DHR,46.688,47.8125,47.125,47.375,1295200.0
1999-11-04,DHR,46.813,47.938,47.188,46.875,1625000.0
1999-11-05,DHR,47.25,48.5,47.625,47.438,1909900.0
1999-11-08,DHR,46.625,47.563,47.063,47.5,1523700.0
1999-11-09,DHR,45.0,47.0,46.063,47.0,2537700.0
1999-11-10,DHR,46.063,47.875,47.375,46.625,1647100.0
1999-11-11,DHR,46.688,47.5,46.688,47.5,1325800.0
1999-11-12,DHR,46.0,47.438,47.0,47.188,1504700.0
1999-11-15,DHR,46.75,47.625,47.25,47.625,2252800.0
1999-11-16,DHR,47.938,51.313,51.063,48.0,6314800.0
1999-11-17,DHR,50.968999999999994,52.0,51.375,51.063,2387300.0
1999-11-18,DHR,51.688,52.813,52.188,52.0,1693000.0
1999-11-19,DHR,51.125,52.063,51.25,52.0,1183400.0
1999-11-22,DHR,49.75,50.875,50.688,50.0,1043000.0
1999-11-23,DHR,50.063,50.75,50.25,50.438,1751600.0
1999-11-24,DHR,50.125,51.938,51.75,50.125,2304000.0
1999-11-26,DHR,50.563,51.5,50.563,51.5,393500.0
1999-11-29,DHR,49.813,50.75,50.0,50.625,886800.0
1999-11-30,DHR,48.813,50.5,49.125,49.875,1356400.0
1999-12-01,DHR,48.625,50.063,48.813,48.875,1461400.0
1999-12-02,DHR,48.938,49.5,49.188,48.938,1138500.0
1999-12-03,DHR,49.1887,51.188,50.813,49.188,1295700.0
1999-12-06,DHR,48.0,50.563,49.188,50.563,1313100.0
1999-12-07,DHR,47.188,50.563,48.25,49.438,1320500.0
