Date,symbol,Low,High,Close,Open,Volume
2011-11-17,DLPH,21.25,21.92,21.33,21.25,17557500.0
2011-11-18,DLPH,20.75,21.53,21.0,21.35,2718500.0
2011-11-21,DLPH,20.02,21.23,20.3,21.0,2366400.0
2011-11-22,DLPH,19.65,20.71,19.9,20.3,2988700.0
2011-11-23,DLPH,19.22,19.75,19.63,19.7,1061400.0
2011-11-25,DLPH,19.5,19.82,19.65,19.55,279600.0
2011-11-28,DLPH,19.67,20.32,20.04,19.86,700300.0
2011-11-29,DLPH,19.7,20.0,19.99,20.0,534000.0
2011-11-30,DLPH,20.12,21.46,20.84,20.15,569700.0
2011-12-01,DLPH,20.35,21.05,20.81,20.95,479900.0
2011-12-02,DLPH,20.9,21.45,21.37,20.95,584500.0
2011-12-05,DLPH,21.4,21.91,21.77,21.45,2067800.0
2011-12-06,DLPH,21.61,22.25,22.13,21.64,524100.0
2011-12-07,DLPH,21.82,22.1,22.0,21.93,157600.0
2011-12-08,DLPH,21.62,21.94,21.69,21.72,377900.0
2011-12-09,DLPH,21.25,21.98,21.75,21.62,492700.0
2011-12-12,DLPH,21.25,21.59,21.51,21.4,431500.0
2011-12-13,DLPH,21.21,21.82,21.31,21.65,558700.0
2011-12-14,DLPH,20.55,21.19,20.64,21.08,1052600.0
2011-12-15,DLPH,20.79,21.88,20.96,20.98,712900.0
2011-12-16,DLPH,20.74,21.5,20.97,20.96,210300.0
2011-12-19,DLPH,20.76,21.17,20.99,21.07,149000.0
2011-12-20,DLPH,21.17,21.69,21.5,21.43,320200.0
2011-12-21,DLPH,21.29,21.68,21.4,21.37,268600.0
2011-12-22,DLPH,21.43,21.85,21.79,21.43,374500.0
2011-12-23,DLPH,21.63,22.45,21.94,21.82,542500.0
2011-12-27,DLPH,21.38,22.89,21.65,22.89,443100.0
2011-12-28,DLPH,21.09,21.82,21.19,21.77,144800.0
2011-12-29,DLPH,21.02,21.43,21.42,21.22,289100.0
2011-12-30,DLPH,21.09,21.64,21.54,21.46,128000.0
