Date,symbol,Low,High,Close,Open,Volume
2004-10-29,DLR,12.0,12.0115,12.0,12.0,5951800.0
2004-11-01,DLR,12.0,12.01,12.0,12.0,764400.0
2004-11-02,DLR,12.0,12.01,12.0,12.0,950100.0
2004-11-03,DLR,12.01,12.2,12.15,12.02,433600.0
2004-11-04,DLR,12.05,12.18,12.06,12.18,311200.0
2004-11-05,DLR,12.0,12.0997,12.08,12.05,391800.0
2004-11-08,DLR,12.0,12.1311,12.01,12.13,91100.0
2004-11-09,DLR,12.0,12.06,12.01,12.0001,97600.0
2004-11-10,DLR,12.0,12.04,12.01,12.0,177500.0
2004-11-11,DLR,12.0,12.02,12.02,12.0,92700.0
2004-11-12,DLR,12.01,12.38,12.29,12.01,354900.0
2004-11-15,DLR,12.2,12.45,12.39,12.32,268100.0
2004-11-16,DLR,12.31,12.65,12.5,12.49,252500.0
2004-11-17,DLR,12.35,12.6,12.51,12.55,425000.0
2004-11-18,DLR,12.5,12.74,12.72,12.5,179700.0
2004-11-19,DLR,12.5,12.74,12.71,12.7203,202600.0
2004-11-22,DLR,12.51,12.73,12.63,12.61,105200.0
2004-11-23,DLR,12.52,12.95,12.8,12.55,204200.0
2004-11-24,DLR,12.7,12.95,12.79,12.75,141700.0
2004-11-26,DLR,12.4,12.78,12.65,12.4,42900.0
2004-11-29,DLR,12.55,12.75,12.68,12.65,174200.0
2004-11-30,DLR,12.65,12.85,12.76,12.66,148800.0
2004-12-01,DLR,12.6604,13.17,13.15,12.66,162500.0
2004-12-02,DLR,12.78,13.07,12.95,13.05,212800.0
2004-12-03,DLR,12.8998,13.2,13.15,12.9,138300.0
2004-12-06,DLR,13.05,13.19,13.12,13.16,126600.0
2004-12-07,DLR,13.0,13.2,13.0,13.06,116200.0
2004-12-08,DLR,12.7,13.0,12.86,12.8,112300.0
2004-12-09,DLR,12.5,12.95,12.85,12.86,139200.0
2004-12-10,DLR,12.55,13.05,12.97,12.75,186000.0
2004-12-13,DLR,12.7,13.04,12.91,12.87,215700.0
2004-12-14,DLR,12.79,13.1,12.9,12.81,169400.0
2004-12-15,DLR,12.89,13.14,13.05,13.0,200300.0
2004-12-16,DLR,12.93,13.09,13.05,13.03,230000.0
2004-12-17,DLR,12.94,13.55,13.4,13.05,887700.0
2004-12-20,DLR,13.0,13.5,13.34,13.5,222800.0
2004-12-21,DLR,13.29,13.5,13.45,13.4,82700.0
2004-12-22,DLR,13.21,13.7,13.7,13.4,194000.0
2004-12-23,DLR,13.65,14.1,13.94,13.7,107900.0
2004-12-27,DLR,13.52,14.04,13.6,14.0007,112500.0
2004-12-28,DLR,13.47,13.77,13.53,13.68,111100.0
2004-12-29,DLR,12.95,13.47,13.28,12.95,109400.0
2004-12-30,DLR,13.2,13.57,13.3,13.33,48900.0
2004-12-31,DLR,13.29,13.69,13.47,13.2897,55500.0
2005-01-03,DLR,13.39,13.6,13.59,13.54,189100.0
2005-01-04,DLR,13.55,13.77,13.65,13.61,154400.0
2005-01-05,DLR,12.5,13.66,13.2,13.6,302600.0
2005-01-06,DLR,13.0,13.65,13.39,13.1,93300.0
2005-01-07,DLR,13.08,13.42,13.26,13.42,124300.0
2005-01-10,DLR,13.1,13.74,13.3,13.2,79800.0
2005-01-11,DLR,13.05,13.53,13.26,13.3004,136400.0
2005-01-12,DLR,13.2,13.4,13.3,13.27,111600.0
2005-01-13,DLR,13.28,13.6,13.37,13.3,77500.0
2005-01-14,DLR,13.38,13.77,13.59,13.38,28100.0
2005-01-18,DLR,13.23,13.8,13.7,13.49,185900.0
2005-01-19,DLR,13.5,13.87,13.65,13.7,233600.0
2005-01-20,DLR,13.4,13.65,13.56,13.6,42100.0
2005-01-21,DLR,13.46,13.64,13.6,13.6,51400.0
2005-01-24,DLR,13.45,13.75,13.52,13.7,48000.0
2005-01-25,DLR,13.5,13.66,13.5,13.5,61100.0
2005-01-26,DLR,13.55,13.84,13.71,13.55,105300.0
2005-01-27,DLR,13.57,13.8,13.7,13.63,106000.0
2005-01-28,DLR,13.65,13.83,13.8,13.7004,48100.0
2005-01-31,DLR,13.79,14.0,13.8,13.85,64800.0
2005-02-01,DLR,13.6,13.83,13.8,13.75,102900.0
2005-02-02,DLR,13.84,14.03,13.95,13.85,118100.0
2005-02-03,DLR,13.8505,14.05,13.98,13.97,51200.0
2005-02-04,DLR,13.93,14.05,13.96,13.9791,122900.0
2005-02-07,DLR,13.9,14.15,14.05,13.9,48300.0
2005-02-08,DLR,13.93,14.09,14.0,13.95,251800.0
2005-02-09,DLR,13.84,14.05,13.85,14.02,122000.0
2005-02-10,DLR,13.9,14.22,14.11,13.9,75400.0
2005-02-11,DLR,14.0,14.6,14.56,14.05,125800.0
2005-02-14,DLR,14.4,14.6307,14.5,14.6,120600.0
2005-02-15,DLR,14.3,14.6084,14.47,14.51,89700.0
2005-02-16,DLR,14.4,14.55,14.5,14.4009,115600.0
2005-02-17,DLR,13.96,14.45,14.0,14.4504,70000.0
2005-02-18,DLR,13.92,14.1,14.0,14.05,78800.0
2005-02-22,DLR,13.7,13.99,13.88,13.95,47100.0
2005-02-23,DLR,13.8,13.95,13.85,13.88,55400.0
2005-02-24,DLR,13.73,14.0,13.98,13.9,25100.0
2005-02-25,DLR,14.0,14.07,14.05,14.0,54000.0
2005-02-28,DLR,13.9987,14.45,14.33,14.0,66600.0
2005-03-01,DLR,13.7399,14.35,14.25,14.35,129900.0
2005-03-02,DLR,14.2,14.67,14.5,14.2,57100.0
2005-03-03,DLR,14.3,14.75,14.41,14.55,21300.0
2005-03-04,DLR,14.4,14.65,14.49,14.4498,181100.0
2005-03-07,DLR,14.45,14.7,14.52,14.5,43300.0
2005-03-08,DLR,14.24,14.55,14.25,14.55,16200.0
2005-03-09,DLR,13.9986,14.38,14.26,14.15,46300.0
2005-03-10,DLR,14.2,14.4,14.31,14.25,61900.0
2005-03-11,DLR,13.92,14.21,13.98,14.16,204300.0
2005-03-14,DLR,13.98,14.64,14.64,14.03,23900.0
2005-03-15,DLR,13.98,14.81,14.17,14.68,111600.0
2005-03-16,DLR,13.96,14.22,14.0,14.22,70400.0
2005-03-17,DLR,13.95,14.05,13.97,14.05,32200.0
2005-03-18,DLR,13.9104,14.1,14.1,14.05,100100.0
2005-03-21,DLR,13.8901,14.3,14.14,14.25,112500.0
2005-03-22,DLR,13.75,14.15,13.91,14.1,142000.0
2005-03-23,DLR,13.78,14.25,14.25,13.91,60700.0
2005-03-24,DLR,14.29,14.71,14.51,14.29,78200.0
2005-03-28,DLR,14.32,14.55,14.51,14.41,44300.0
2005-03-29,DLR,14.43,14.6,14.5,14.52,52200.0
2005-03-30,DLR,14.14,14.68,14.68,14.6,62100.0
2005-03-31,DLR,14.24,14.73,14.37,14.67,41100.0
2005-04-01,DLR,14.15,14.51,14.31,14.47,88600.0
2005-04-04,DLR,13.86,14.38,14.32,14.35,68300.0
2005-04-05,DLR,14.0599,14.33,14.16,14.32,127700.0
2005-04-06,DLR,14.2,14.6,14.6,14.25,65100.0
2005-04-07,DLR,14.27,14.59,14.43,14.51,25200.0
2005-04-08,DLR,14.02,14.53,14.02,14.53,46700.0
2005-04-11,DLR,13.9,14.12,13.95,14.07,67100.0
2005-04-12,DLR,13.67,14.4,14.4,13.96,49000.0
2005-04-13,DLR,13.8,14.35,14.15,14.35,39600.0
2005-04-14,DLR,13.9,14.31,13.9,14.17,39100.0
2005-04-15,DLR,13.82,14.0,13.83,13.9,64900.0
2005-04-18,DLR,13.76,13.9999,13.84,13.88,88300.0
2005-04-19,DLR,13.8985,14.18,14.0,13.9,70600.0
2005-04-20,DLR,13.85,14.0,13.98,13.9594,98700.0
2005-04-21,DLR,13.9,14.25,14.07,14.0,106300.0
2005-04-22,DLR,13.85,14.1,14.0,14.1,77200.0
2005-04-25,DLR,13.93,14.23,14.12,14.05,212000.0
2005-04-26,DLR,13.9,14.15,14.02,14.07,39200.0
2005-04-27,DLR,13.97,14.23,14.16,14.0,73400.0
2005-04-28,DLR,14.0,14.35,14.1,14.13,39900.0
2005-04-29,DLR,13.99,14.35,14.27,14.2,100200.0
2005-05-02,DLR,14.32,14.46,14.39,14.32,72300.0
2005-05-03,DLR,14.32,14.58,14.58,14.32,37200.0
2005-05-04,DLR,14.5,14.94,14.89,14.58,216800.0
2005-05-05,DLR,14.83,15.13,14.9,14.95,61600.0
