Date,symbol,Low,High,Close,Open,Volume
2019-03-20,DOW,49.5,53.5,49.8,52.7466,2350800.0
2019-03-21,DOW,48.2,50.0,48.98,49.99,1764700.0
2019-03-22,DOW,48.16,49.95,48.6,48.8,844700.0
2019-03-25,DOW,48.0,49.4012,49.15,48.6,440900.0
2019-03-26,DOW,48.18,49.75,48.85,49.0,504700.0
2019-03-27,DOW,49.0,50.78,50.1,49.0,1788600.0
2019-03-28,DOW,49.915,51.0,50.85,50.9,585400.0
2019-03-29,DOW,49.18,52.48,51.63,49.52,1769000.0
2019-04-01,DOW,51.2494,54.39,53.5,52.3,19663400.0
2019-04-02,DOW,54.3007,57.39,56.25,55.12,17414200.0
2019-04-03,DOW,55.51,57.2023,56.88,57.08,15066200.0
2019-04-04,DOW,57.1,60.52,59.71,57.2,13309200.0
2019-04-05,DOW,56.2696,58.98,57.24,58.39,17000800.0
2019-04-08,DOW,56.27,58.39,57.15,56.5,10764600.0
2019-04-09,DOW,56.08,57.2,56.27,56.8,9179900.0
2019-04-10,DOW,55.1,56.41,55.71,55.99,9081900.0
2019-04-11,DOW,54.83,56.21,54.89,55.7,7346100.0
2019-04-12,DOW,55.93,58.33,58.3,55.93,9281700.0
2019-04-15,DOW,57.29,58.85,57.78,58.5695,5727300.0
2019-04-16,DOW,57.84,58.99,58.5,58.71,6681600.0
2019-04-17,DOW,58.2,59.05,58.32,58.95,6420700.0
2019-04-18,DOW,57.5522,58.61,57.77,58.36,5178800.0
2019-04-22,DOW,57.26,58.41,57.89,57.48,4401700.0
2019-04-23,DOW,57.0,57.84,57.64,57.29,5687200.0
2019-04-24,DOW,55.865,57.89,55.98,57.49,5431300.0
2019-04-25,DOW,54.82,55.98,55.33,55.76,6260500.0
2019-04-26,DOW,54.95,55.6,55.25,55.3,4009800.0
2019-04-29,DOW,54.8,55.685,55.5,55.0529,5935200.0
2019-04-30,DOW,55.6,57.205,56.73,55.76,6454100.0
2019-05-01,DOW,55.88,57.48,56.13,56.82,7644400.0
2019-05-02,DOW,52.03,56.49,52.7,55.54,13932700.0
2019-05-03,DOW,51.72,53.35,53.3,53.1997,7401700.0
2019-05-06,DOW,51.7,54.03,53.46,52.15,6089500.0
2019-05-07,DOW,52.65,53.325,52.95,52.86,7330800.0
2019-05-08,DOW,52.31,53.395,52.48,53.33,5390700.0
2019-05-09,DOW,51.55,53.14,52.93,52.26,4579700.0
2019-05-10,DOW,52.49,53.714,53.07,52.94,4758100.0
2019-05-13,DOW,50.76,52.55,50.95,52.28,4213100.0
2019-05-14,DOW,50.84,53.0,52.48,51.33,4204500.0
2019-05-15,DOW,51.67,53.325,52.95,51.98,2928700.0
2019-05-16,DOW,52.73,53.55,52.98,53.29,3689700.0
2019-05-17,DOW,50.66,52.52,50.8,52.34,4440800.0
2019-05-20,DOW,49.92,50.54,50.08,50.4,5168400.0
2019-05-21,DOW,50.02,51.19,50.63,50.28,4968400.0
2019-05-22,DOW,49.965,50.61,50.21,50.46,3019100.0
2019-05-23,DOW,48.21,49.86,48.71,49.5,4919200.0
