Date,symbol,Low,High,Close,Open,Volume
1999-09-28,DRI,18.375,18.875,18.625,18.875,870900.0
1999-09-29,DRI,18.563,19.563,18.625,18.625,731000.0
1999-09-30,DRI,18.625,19.813,19.563,18.625,610400.0
1999-10-01,DRI,19.0,19.563,19.25,19.563,390400.0
1999-10-04,DRI,19.375,20.0,19.938,19.375,330200.0
1999-10-05,DRI,19.563,20.25,19.75,19.938,597700.0
1999-10-06,DRI,19.563,20.625,20.313,19.563,378500.0
1999-10-07,DRI,19.813,20.313,19.813,20.313,516100.0
1999-10-08,DRI,19.5,20.188,19.938,19.562,518500.0
1999-10-11,DRI,19.688,20.063,19.75,19.938,326300.0
1999-10-12,DRI,19.75,20.063,19.875,19.8122,425900.0
1999-10-13,DRI,19.375,20.563000000000002,19.375,19.8768,669300.0
1999-10-14,DRI,19.188,19.563,19.5,19.375,577200.0
1999-10-15,DRI,18.75,19.688,18.875,19.5005,783400.0
1999-10-18,DRI,18.938,19.438,19.25,19.0,369600.0
1999-10-19,DRI,19.1881,20.063,19.688,19.375,747300.0
1999-10-20,DRI,19.375,20.0,19.75,19.813,767900.0
1999-10-21,DRI,18.875,19.813,19.438,19.563,630600.0
1999-10-22,DRI,19.125,19.75,19.188,19.5,487900.0
1999-10-25,DRI,18.25,19.0,18.313,18.938,730300.0
1999-10-26,DRI,18.063,18.5,18.125,18.313,768300.0
1999-10-27,DRI,18.188,18.625,18.375,18.25,395400.0
1999-10-28,DRI,18.438,18.875,18.688,18.438,415500.0
1999-10-29,DRI,18.625,19.0626,19.063,18.75,479900.0
1999-11-01,DRI,18.813,19.313,18.813,19.313,495000.0
1999-11-02,DRI,18.938,19.375,19.125,18.938,435900.0
1999-11-03,DRI,19.125,19.75,19.188,19.125,592100.0
1999-11-04,DRI,19.25,20.063,19.75,19.25,489600.0
1999-11-05,DRI,19.688,20.188,19.688,19.938,1078900.0
1999-11-08,DRI,19.75,20.5,20.25,19.75,543300.0
1999-11-09,DRI,19.313,20.375,19.313,20.375,710500.0
1999-11-10,DRI,19.125,19.625,19.375,19.188,388700.0
1999-11-11,DRI,19.25,19.563,19.5,19.3754,429900.0
1999-11-12,DRI,19.3753,19.875,19.688,19.375,214200.0
1999-11-15,DRI,19.75,20.25,19.875,19.75,333900.0
1999-11-16,DRI,19.625,20.0,19.75,19.938,386700.0
1999-11-17,DRI,19.375,19.875,19.375,19.75,661100.0
1999-11-18,DRI,18.813,19.625,18.813,19.438,862600.0
1999-11-19,DRI,17.813,18.688,18.0,18.563,554400.0
1999-11-22,DRI,17.875,18.313,18.09,18.125,538300.0
1999-11-23,DRI,17.375,17.938,17.563,17.938,509200.0
1999-11-24,DRI,17.0,17.625,17.188,17.563,507800.0
1999-11-26,DRI,17.125,17.5,17.125,17.188,141600.0
1999-11-29,DRI,16.875,17.875,17.875,17.125,478600.0
1999-11-30,DRI,17.375,17.875,17.813,17.875,1204600.0
1999-12-01,DRI,17.75,18.313,17.875,17.938,768300.0
1999-12-02,DRI,17.063,17.938,17.313,17.875,387900.0
1999-12-03,DRI,17.375,18.125,17.938,17.375,510100.0
1999-12-06,DRI,17.563,17.938,17.625,17.938,284700.0
1999-12-07,DRI,17.25,17.813,17.438,17.563,582300.0
1999-12-08,DRI,17.1254,17.688,17.25,17.313,403700.0
1999-12-09,DRI,16.438,17.313,16.563,17.188,394700.0
1999-12-10,DRI,16.188,16.813,16.5,16.813,380200.0
1999-12-13,DRI,16.125,16.875,16.313,16.438,527600.0
1999-12-14,DRI,16.0,16.563,16.5,16.063,706200.0
1999-12-15,DRI,16.25,16.813,16.375,16.313,529200.0
1999-12-16,DRI,15.875,16.25,15.937999999999999,16.125,539400.0
1999-12-17,DRI,16.25,17.25,17.125,16.2498,1586700.0
1999-12-20,DRI,16.875,18.125,18.0,17.0,888000.0
1999-12-21,DRI,17.125,18.0,17.188,18.0,531600.0
1999-12-22,DRI,17.0,17.625,17.313,17.063,993800.0
1999-12-23,DRI,17.25,17.75,17.563,17.25,374800.0
1999-12-27,DRI,17.5,18.125,17.813,17.5,264400.0
1999-12-28,DRI,17.813,18.375,17.875,17.813,286900.0
1999-12-29,DRI,17.563,18.125,17.563,17.813,354100.0
1999-12-30,DRI,17.563,18.125,17.75,17.688,199100.0
1999-12-31,DRI,17.4989,18.188,18.125,17.688,161000.0
2000-01-03,DRI,17.25,18.063,17.313,18.0,451700.0
2000-01-04,DRI,17.0,17.563,17.188,17.313,311500.0
2000-01-05,DRI,17.0629,18.063,17.813,17.063,447000.0
2000-01-06,DRI,17.625,18.188,17.625,17.688,223500.0
2000-01-07,DRI,17.375,18.25,17.375,17.75,749400.0
2000-01-10,DRI,17.313,17.688,17.5,17.313,320100.0
2000-01-11,DRI,17.5,18.313,18.188,17.5,466900.0
2000-01-12,DRI,17.375,18.188,17.563,18.125,1300200.0
2000-01-13,DRI,17.625,18.75,18.625,17.75,1086600.0
2000-01-14,DRI,18.625,19.0,18.875,18.625,398100.0
2000-01-18,DRI,18.375,19.0,18.625,18.75,460900.0
2000-01-19,DRI,18.125,18.688,18.313,18.625,931000.0
2000-01-20,DRI,17.5,18.25,17.625,18.188,777700.0
2000-01-21,DRI,17.563,17.8758,17.563,17.875,788400.0
2000-01-24,DRI,17.0,17.813,17.125,17.813,791000.0
2000-01-25,DRI,16.563,17.0,16.625,16.938,872000.0
2000-01-26,DRI,16.3754,16.813,16.563,16.813,1011600.0
2000-01-27,DRI,16.25,16.688,16.5,16.563,631200.0
2000-01-28,DRI,15.687999999999999,16.375,15.75,16.375,1339000.0
2000-01-31,DRI,15.562999999999999,16.063,15.875,15.75,646000.0
2000-02-01,DRI,15.25,16.0,15.375,15.875,714200.0
2000-02-02,DRI,14.25,15.812999999999999,15.812999999999999,15.375,4170000.0
2000-02-03,DRI,15.625,16.188,16.188,15.875,631300.0
2000-02-04,DRI,16.1253,16.75,16.75,16.125,1958700.0
2000-02-07,DRI,15.937999999999999,16.75,16.063,16.688,690000.0
2000-02-08,DRI,16.1248,16.5,16.375,16.25,994400.0
2000-02-09,DRI,15.75,16.313,15.812999999999999,16.25,658900.0
2000-02-10,DRI,15.5,16.063,15.875,15.687999999999999,754500.0
2000-02-11,DRI,15.437999999999999,16.063,15.562999999999999,16.0,614800.0
2000-02-14,DRI,15.062999999999999,15.562999999999999,15.125,15.5,481900.0
2000-02-15,DRI,14.9384,15.437999999999999,15.375,15.062999999999999,1080900.0
2000-02-16,DRI,14.625,15.437999999999999,14.812999999999999,15.3738,764600.0
2000-02-17,DRI,14.562999999999999,14.937999999999999,14.75,14.875,589600.0
2000-02-18,DRI,14.25,14.625,14.437999999999999,14.5,1097100.0
2000-02-22,DRI,14.25,14.75,14.375,14.5,596000.0
2000-02-23,DRI,14.125,14.719000000000001,14.125,14.3134,1267300.0
2000-02-24,DRI,13.312999999999999,14.125,13.687999999999999,14.0,982400.0
2000-02-25,DRI,13.5,13.875,13.562999999999999,13.6886,419600.0
2000-02-28,DRI,13.4375,14.0,13.5,13.812999999999999,551800.0
2000-02-29,DRI,13.125,13.687999999999999,13.187999999999999,13.5,875900.0
2000-03-01,DRI,13.25,13.75,13.625,13.312999999999999,865300.0
2000-03-02,DRI,13.375,13.875,13.437999999999999,13.625,530700.0
2000-03-03,DRI,13.375,13.75,13.562999999999999,13.437999999999999,693300.0
2000-03-06,DRI,13.375,13.75,13.562999999999999,13.5,631000.0
2000-03-07,DRI,12.437999999999999,13.687999999999999,12.625,13.5,870000.0
2000-03-08,DRI,12.437999999999999,13.0,12.562999999999999,12.437999999999999,642300.0
2000-03-09,DRI,12.437999999999999,12.875,12.812999999999999,12.625,836400.0
2000-03-10,DRI,12.6246,13.25,12.937999999999999,12.75,443700.0
2000-03-13,DRI,12.75,13.25,12.812999999999999,12.812999999999999,774500.0
2000-03-14,DRI,12.687999999999999,13.0,12.812999999999999,12.75,420500.0
2000-03-15,DRI,12.812999999999999,13.75,13.562999999999999,12.812999999999999,589300.0
2000-03-16,DRI,13.625,14.562999999999999,14.25,13.625,656500.0
2000-03-17,DRI,13.812999999999999,14.312999999999999,13.937999999999999,14.187999999999999,810200.0
2000-03-20,DRI,13.812999999999999,14.375,14.25,13.812999999999999,470200.0
2000-03-21,DRI,14.125,14.75,14.562999999999999,14.25,539900.0
2000-03-22,DRI,14.375,15.375,14.375,14.8125,578500.0
2000-03-23,DRI,13.687999999999999,14.75,14.687999999999999,14.437999999999999,898000.0
2000-03-24,DRI,15.062999999999999,16.188,15.125,15.75,1869600.0
2000-03-27,DRI,15.0,15.562999999999999,15.25,15.0007,1331600.0
2000-03-28,DRI,15.3742,17.0,16.5,15.375,1653300.0
2000-03-29,DRI,17.0,17.5,17.188,17.5,1487000.0
2000-03-30,DRI,17.125,17.625,17.625,17.438,545000.0
2000-03-31,DRI,17.125,17.875,17.813,17.375,961800.0
