Date,symbol,Low,High,Close,Open,Volume
1999-09-28,DVA,7.0,7.563,7.563,7.5,1618400.0
1999-09-29,DVA,7.063,7.4999,7.063,7.5,1579200.0
1999-09-30,DVA,7.188,7.625,7.438,7.438,1690200.0
1999-10-01,DVA,7.063,7.438,7.125,7.375,961400.0
1999-10-04,DVA,6.188,7.188,6.5,7.188,2550200.0
1999-10-05,DVA,5.875,6.5,6.0,6.438,3866000.0
1999-10-06,DVA,6.0623,6.75,6.75,6.063,2935800.0
1999-10-07,DVA,5.938,6.625,6.063,6.625,3258000.0
1999-10-08,DVA,5.875,6.125,5.875,6.063,2792400.0
1999-10-11,DVA,5.875,6.0624,5.938,6.0,3114000.0
1999-10-12,DVA,5.875,6.063,6.0,5.938,2450600.0
1999-10-13,DVA,5.688,6.0,5.875,6.0,1007000.0
1999-10-14,DVA,5.813,6.188,6.063,5.875,1404600.0
1999-10-15,DVA,5.813,6.0,6.0,6.0,826200.0
1999-10-18,DVA,6.938,7.25,7.25,7.25,5589200.0
1999-10-19,DVA,7.563,8.125,8.0,7.625,3780800.0
1999-10-20,DVA,7.625,8.25,8.125,8.0,2328600.0
1999-10-21,DVA,7.875,8.562999999999999,8.437999999999999,8.0,2229600.0
1999-10-22,DVA,8.375,8.6253,8.562999999999999,8.5,1185000.0
1999-10-25,DVA,7.813,8.562999999999999,8.0,8.5,1734600.0
1999-10-26,DVA,7.813,7.9997,7.938,8.0,1686000.0
1999-10-27,DVA,7.688,8.187999999999999,8.0,7.688,600000.0
1999-10-28,DVA,7.25,8.0,7.688,8.0,1316400.0
1999-10-29,DVA,6.813,8.0,7.313,7.875,2889600.0
1999-11-01,DVA,7.5,7.938,7.813,7.625,1705200.0
1999-11-02,DVA,7.625,8.125,8.0,7.875,2222000.0
1999-11-03,DVA,7.75,8.062999999999999,7.75,8.062999999999999,1395600.0
1999-11-04,DVA,7.563,7.938,7.688,7.875,748800.0
1999-11-05,DVA,7.375,7.813,7.5,7.5,9369000.0
1999-11-08,DVA,7.5,7.688,7.563,7.563,677000.0
1999-11-09,DVA,7.063,7.75,7.313,7.563,985200.0
1999-11-10,DVA,6.5,7.188,6.938,6.75,4227000.0
1999-11-11,DVA,6.25,6.813,6.25,6.813,4199000.0
1999-11-12,DVA,6.375,7.0,6.938,6.375,1573800.0
1999-11-15,DVA,6.813,7.063,7.0,7.0,1353600.0
1999-11-16,DVA,7.0,7.25,7.125,7.063,1323600.0
1999-11-17,DVA,6.813,7.313,7.063,7.125,1945200.0
1999-11-18,DVA,6.813,7.063,7.0,7.0,802400.0
1999-11-19,DVA,6.875,7.125,7.125,7.063,1286600.0
1999-11-22,DVA,7.0,7.2499,7.25,7.188,1093800.0
1999-11-23,DVA,7.063,7.5,7.375,7.25,1260000.0
1999-11-24,DVA,6.7503,7.313,7.0,7.25,735000.0
1999-11-26,DVA,7.0,7.188,7.0,7.125,667200.0
1999-11-29,DVA,6.813,7.063,7.063,6.875,1187600.0
1999-11-30,DVA,6.938,7.125,7.125,7.0,1107600.0
1999-12-01,DVA,6.438,7.125,6.75,7.063,2047400.0
1999-12-02,DVA,6.438,7.063,7.0,6.625,1939800.0
1999-12-03,DVA,6.938,7.688,7.0,7.063,1563800.0
1999-12-06,DVA,6.875,7.25,7.0,7.063,1212600.0
1999-12-07,DVA,6.5,7.0,6.688,7.0,916800.0
1999-12-08,DVA,6.563,6.875,6.875,6.688,1026800.0
1999-12-09,DVA,6.563,6.813,6.688,6.75,1417800.0
1999-12-10,DVA,6.438,6.75,6.75,6.563,1218600.0
1999-12-13,DVA,6.563,6.9998,6.875,6.75,1598600.0
1999-12-14,DVA,6.875,7.0,6.875,6.8746,858800.0
1999-12-15,DVA,6.688,6.875,6.875,6.813,500000.0
1999-12-16,DVA,6.563,7.063,6.688,6.8128,727400.0
1999-12-17,DVA,6.5,6.813,6.563,6.563,1359000.0
1999-12-20,DVA,6.25,6.625,6.313,6.563,2574800.0
1999-12-21,DVA,6.0,6.313,6.125,6.188,1377600.0
1999-12-22,DVA,6.0,6.1878,6.125,6.125,806000.0
1999-12-23,DVA,6.063,6.5,6.313,6.063,1233000.0
1999-12-27,DVA,6.1256,6.563,6.125,6.125,2201600.0
1999-12-28,DVA,6.063,6.438,6.25,6.188,1798400.0
1999-12-29,DVA,6.063,6.25,6.25,6.125,1766600.0
1999-12-30,DVA,6.125,6.375,6.375,6.125,1436400.0
1999-12-31,DVA,6.25,6.75,6.688,6.313,2130800.0
2000-01-03,DVA,6.5,6.938,6.875,6.75,1027400.0
2000-01-04,DVA,6.375,6.813,6.75,6.75,518400.0
2000-01-05,DVA,6.188,6.625,6.188,6.625,1800000.0
2000-01-06,DVA,5.875,6.188,6.0,6.125,2559600.0
2000-01-07,DVA,5.938,6.625,6.625,6.0,2153000.0
2000-01-10,DVA,6.75,7.0637,6.75,7.0,1212800.0
2000-01-11,DVA,6.625,7.0,6.688,6.688,783000.0
2000-01-12,DVA,6.563,7.0,6.625,6.813,772200.0
2000-01-13,DVA,6.688,6.938,6.938,6.688,1608200.0
2000-01-14,DVA,7.0636,7.625,7.188,7.063,2369600.0
2000-01-18,DVA,6.813,7.5,7.188,7.0,963200.0
2000-01-19,DVA,4.75,6.625,4.875,6.625,10565600.0
2000-01-20,DVA,4.875,5.375,5.313,4.9382,5778600.0
2000-01-21,DVA,5.313,5.875,5.75,5.375,6084600.0
2000-01-24,DVA,5.0,5.75,5.0,5.688,3576200.0
2000-01-25,DVA,4.938,5.375,4.938,5.125,1853400.0
2000-01-26,DVA,4.938,5.25,4.938,5.0,1546200.0
2000-01-27,DVA,4.688,5.0003,4.75,5.0,1993800.0
2000-01-28,DVA,4.563,4.75,4.563,4.75,1328400.0
2000-01-31,DVA,4.5,4.75,4.625,4.625,1049000.0
2000-02-01,DVA,4.563,4.75,4.563,4.7504,2383800.0
2000-02-02,DVA,4.625,4.813,4.688,4.625,1445600.0
2000-02-03,DVA,4.438,4.688,4.563,4.688,4986600.0
2000-02-04,DVA,4.375,4.563,4.375,4.5,2919200.0
2000-02-07,DVA,4.25,4.5,4.375,4.375,1455600.0
2000-02-08,DVA,4.313,4.5,4.375,4.438,873000.0
2000-02-09,DVA,4.188,4.438,4.25,4.375,1524800.0
2000-02-10,DVA,3.813,4.313,4.0,4.25,1789800.0
2000-02-11,DVA,3.938,4.188,4.063,4.0,2527200.0
2000-02-14,DVA,3.688,4.188,3.75,4.063,2811000.0
2000-02-15,DVA,3.75,4.0,3.875,3.75,2350800.0
2000-02-16,DVA,3.875,4.0,3.875,3.938,1055400.0
2000-02-17,DVA,3.875,4.0,3.938,3.938,2709000.0
2000-02-18,DVA,3.813,3.938,3.813,3.813,1063400.0
2000-02-22,DVA,3.75,3.938,3.813,3.813,988200.0
2000-02-23,DVA,3.875,4.0,3.875,3.938,888600.0
2000-02-24,DVA,3.75,3.938,3.875,3.938,910400.0
2000-02-25,DVA,3.5,3.938,3.5,3.938,2386800.0
2000-02-28,DVA,2.75,3.5,3.125,3.5,4963800.0
2000-02-29,DVA,2.875,3.375,3.0,3.25,2095200.0
2000-03-01,DVA,2.875,3.125,2.875,3.0,2486400.0
2000-03-02,DVA,2.063,3.125,3.125,2.5,12602400.0
2000-03-03,DVA,2.875,3.25,3.0,3.188,2180600.0
2000-03-06,DVA,3.25,3.7499,3.5,3.25,2396600.0
2000-03-07,DVA,3.438,3.625,3.5,3.5,1963400.0
2000-03-08,DVA,3.313,3.563,3.438,3.5,1114400.0
2000-03-09,DVA,3.188,3.75,3.313,3.3752,2439000.0
2000-03-10,DVA,3.063,3.313,3.125,3.313,759200.0
2000-03-13,DVA,2.813,3.1881,2.875,3.063,1875200.0
2000-03-14,DVA,2.938,3.0001,3.0,2.938,1673400.0
2000-03-15,DVA,2.438,3.0,2.688,2.9997,5955800.0
2000-03-16,DVA,2.625,2.875,2.875,2.688,1356600.0
2000-03-17,DVA,2.75,2.875,2.875,2.75,974000.0
2000-03-20,DVA,2.563,2.875,2.688,2.813,2575800.0
2000-03-21,DVA,2.25,2.75,2.563,2.625,3794000.0
2000-03-22,DVA,2.438,2.625,2.563,2.563,2763200.0
2000-03-23,DVA,2.5,2.688,2.563,2.563,3479000.0
2000-03-24,DVA,2.625,3.25,3.0,2.625,4530200.0
2000-03-27,DVA,2.625,2.938,2.625,2.938,2176400.0
2000-03-28,DVA,2.563,2.75,2.625,2.625,3159000.0
2000-03-29,DVA,2.563,2.688,2.688,2.625,1092200.0
2000-03-30,DVA,2.75,3.063,2.938,2.75,1827800.0
2000-03-31,DVA,3.0,3.25,3.125,3.0,1781000.0
2000-04-03,DVA,3.0,3.188,3.0,3.188,899400.0
2000-04-04,DVA,2.75,3.125,3.063,3.125,1104000.0
2000-04-05,DVA,3.0,3.125,3.063,3.063,950400.0
2000-04-06,DVA,3.063,3.188,3.125,3.125,1057400.0
2000-04-07,DVA,3.063,3.25,3.188,3.125,488000.0
2000-04-10,DVA,3.3132,3.5,3.5,3.375,1349600.0
2000-04-11,DVA,3.438,4.438,4.438,3.5,2556600.0
2000-04-12,DVA,3.438,4.188,3.5,4.1881,3282200.0
2000-04-13,DVA,3.1881,3.5,3.313,3.5,2264000.0
2000-04-14,DVA,2.438,3.375,2.688,3.188,11777400.0
2000-04-17,DVA,2.688,2.938,2.75,2.75,2560400.0
2000-04-18,DVA,2.875,3.063,3.0,2.8749,2129000.0
2000-04-19,DVA,2.938,3.125,3.125,3.0,2095800.0
2000-04-20,DVA,2.938,3.25,2.938,3.125,1423800.0
2000-04-24,DVA,2.6248,3.0,2.875,3.0,984200.0
2000-04-25,DVA,2.688,3.0,2.75,3.0,1031400.0
2000-04-26,DVA,2.688,3.0,2.813,2.75,822200.0
2000-04-27,DVA,2.688,2.875,2.688,2.688,956000.0
2000-04-28,DVA,2.688,2.938,2.875,2.75,772400.0
2000-05-01,DVA,2.75,3.0,3.0,2.938,1220400.0
2000-05-02,DVA,2.938,3.0632,2.938,3.0,492000.0
2000-05-03,DVA,2.75,3.0,2.875,3.0,608000.0
2000-05-04,DVA,2.813,2.875,2.813,2.813,965000.0
2000-05-05,DVA,2.75,2.938,2.938,2.813,421200.0
2000-05-08,DVA,2.688,2.875,2.75,2.813,987000.0
2000-05-09,DVA,2.563,2.813,2.625,2.813,1095600.0
2000-05-10,DVA,2.5,2.75,2.75,2.625,1032200.0
2000-05-11,DVA,3.25,4.125,4.125,3.25,6360800.0
2000-05-12,DVA,4.0,4.438,4.125,4.25,3804200.0
2000-05-15,DVA,4.0,4.625,4.313,4.063,1885200.0
2000-05-16,DVA,4.188,4.438,4.375,4.25,2350800.0
2000-05-17,DVA,3.9998,4.375,4.25,4.375,780800.0
2000-05-18,DVA,4.0,4.313,4.313,4.25,486200.0
2000-05-19,DVA,4.188,4.313,4.313,4.313,400400.0
2000-05-22,DVA,3.875,4.313,4.0,4.313,912800.0
2000-05-23,DVA,3.563,4.0,3.625,4.0,715400.0
2000-05-24,DVA,3.375,3.6881,3.688,3.563,624600.0
2000-05-25,DVA,3.563,3.75,3.625,3.688,748800.0
2000-05-26,DVA,3.563,3.938,3.875,3.563,697800.0
2000-05-30,DVA,3.875,4.125,4.125,3.875,813800.0
2000-05-31,DVA,3.938,4.188,3.938,4.0,594600.0
2000-06-01,DVA,3.875,4.0,3.938,4.0,655800.0
2000-06-02,DVA,3.938,4.0,4.0,3.938,381800.0
2000-06-05,DVA,3.875,4.063,4.0,4.0,332600.0
2000-06-06,DVA,4.0,4.313,4.188,4.063,1450800.0
2000-06-07,DVA,4.188,4.438,4.375,4.188,866400.0
2000-06-08,DVA,3.688,4.438,4.0,4.4376,676800.0
2000-06-09,DVA,3.813,4.0,3.938,4.0,757200.0
2000-06-12,DVA,3.875,4.063,3.875,4.0002,1473000.0
2000-06-13,DVA,3.875,4.25,4.25,4.0,1453200.0
2000-06-14,DVA,4.3755,5.188,5.063,4.375,3901200.0
2000-06-15,DVA,5.125,5.438,5.438,5.125,2116200.0
2000-06-16,DVA,5.25,5.5,5.313,5.438,852200.0
2000-06-19,DVA,5.313,5.938,5.875,5.313,994400.0
2000-06-20,DVA,5.313,5.9999,5.563,6.0,1745600.0
2000-06-21,DVA,5.25,5.688,5.375,5.563,563600.0
2000-06-22,DVA,5.313,5.938,5.563,5.438,930600.0
2000-06-23,DVA,5.25,5.563,5.438,5.5,618800.0
2000-06-26,DVA,5.313,5.5,5.375,5.438,509400.0
2000-06-27,DVA,5.375,5.813,5.813,5.438,805400.0
2000-06-28,DVA,5.5,5.813,5.75,5.813,430400.0
2000-06-29,DVA,5.375,5.813,5.688,5.75,1706400.0
2000-06-30,DVA,5.438,6.0,6.0,5.625,1193600.0
2000-07-03,DVA,5.688,6.25,6.125,6.0,494600.0
2000-07-05,DVA,5.938,6.5,6.375,6.0,1094600.0
2000-07-06,DVA,6.563,6.813,6.75,6.625,1030800.0
2000-07-07,DVA,6.75,7.0,6.875,6.875,1806800.0
2000-07-10,DVA,7.125,7.5634,7.5,7.438,2200400.0
2000-07-11,DVA,6.75,7.7497,6.938,7.5,1389600.0
2000-07-12,DVA,6.938,7.25,7.25,7.063,1033200.0
2000-07-13,DVA,7.0,7.438,7.438,7.125,1567800.0
2000-07-14,DVA,7.313,7.5,7.438,7.438,642600.0
2000-07-17,DVA,7.4389,7.688,7.5,7.5,1107800.0
2000-07-18,DVA,7.5,7.813,7.5,7.625,1230800.0
2000-07-19,DVA,7.25,7.563,7.375,7.5,591200.0
2000-07-20,DVA,7.375,7.625,7.5,7.438,1239800.0
2000-07-21,DVA,7.188,7.5,7.188,7.438,417800.0
2000-07-24,DVA,6.563,7.25,6.75,7.188,717200.0
2000-07-25,DVA,6.125,6.875,6.438,6.813,798000.0
2000-07-26,DVA,5.688,6.375,6.375,6.375,1104200.0
2000-07-27,DVA,5.938,6.25,6.188,6.25,472400.0
2000-07-28,DVA,6.0,6.375,6.375,6.188,468600.0
2000-07-31,DVA,6.125,7.625,7.625,6.25,1313000.0
2000-08-01,DVA,7.313,7.563,7.5,7.5,1101800.0
2000-08-02,DVA,7.125,7.563,7.563,7.438,706400.0
2000-08-03,DVA,7.0,7.438,7.375,7.438,431000.0
2000-08-04,DVA,7.25,7.5,7.5,7.3131,574200.0
2000-08-07,DVA,7.063,7.563,7.188,7.438,437400.0
2000-08-08,DVA,6.75,7.313,7.188,7.125,441200.0
2000-08-09,DVA,6.75,7.5,6.938,7.438,540800.0
2000-08-10,DVA,6.313,6.938,6.563,6.875,586200.0
2000-08-11,DVA,6.375,6.688,6.688,6.438,331400.0
2000-08-14,DVA,6.438,6.75,6.563,6.563,401600.0
2000-08-15,DVA,6.25,6.625,6.25,6.563,360800.0
2000-08-16,DVA,6.125,6.563,6.563,6.1254,252800.0
2000-08-17,DVA,6.375,6.75,6.563,6.438,246600.0
2000-08-18,DVA,6.188,6.5,6.375,6.438,196800.0
2000-08-21,DVA,6.313,6.625,6.625,6.5,225200.0
2000-08-22,DVA,6.313,6.625,6.375,6.5,279800.0
2000-08-23,DVA,6.25,6.5,6.25,6.313,318600.0
2000-08-24,DVA,6.125,6.3127,6.188,6.188,81800.0
2000-08-25,DVA,6.0,6.188,6.125,6.188,321800.0
2000-08-28,DVA,6.0,6.313,6.313,6.0,565800.0
2000-08-29,DVA,6.25,6.563,6.438,6.25,212600.0
2000-08-30,DVA,6.313,6.813,6.813,6.5,618600.0
2000-08-31,DVA,6.4999,7.0,7.0,6.813,420600.0
2000-09-01,DVA,6.625,7.0,6.75,7.0,314400.0
2000-09-05,DVA,6.563,7.0003,6.813,6.625,356600.0
2000-09-06,DVA,6.375,6.938,6.438,6.688,547800.0
2000-09-07,DVA,6.5,6.75,6.563,6.5,317400.0
2000-09-08,DVA,6.313,6.75,6.563,6.4382,245400.0
2000-09-11,DVA,6.4998,6.625,6.563,6.5,346200.0
2000-09-12,DVA,6.438,6.625,6.5,6.438,306600.0
2000-09-13,DVA,6.438,7.063,6.938,6.5,717800.0
2000-09-14,DVA,6.875,7.125,7.063,7.063,407000.0
2000-09-15,DVA,6.8746,7.188,7.188,6.875,379200.0
2000-09-18,DVA,6.7499,7.063,6.813,7.063,238200.0
2000-09-19,DVA,6.625,6.875,6.875,6.75,269000.0
2000-09-20,DVA,6.688,6.938,6.813,6.875,155600.0
2000-09-21,DVA,6.5,6.75,6.563,6.5627,319800.0
2000-09-22,DVA,6.25,6.563,6.5,6.375,1105400.0
2000-09-25,DVA,6.375,6.813,6.563,6.5,697200.0
2000-09-26,DVA,6.25,6.625,6.313,6.5,1040600.0
2000-09-27,DVA,6.188,6.438,6.313,6.25,772400.0
2000-09-28,DVA,6.25,6.938,6.875,6.25,453600.0
2000-09-29,DVA,6.813,7.5,7.5,6.875,1210800.0
2000-10-02,DVA,7.188,8.187999999999999,8.187999999999999,7.438,2391200.0
2000-10-03,DVA,7.75,8.5,8.375,8.0,2231600.0
2000-10-04,DVA,7.813,8.375,8.312999999999999,8.125,1261400.0
2000-10-05,DVA,8.0,9.562999999999999,9.562999999999999,8.187999999999999,6097800.0
