Date,symbol,Low,High,Close,Open,Volume
1999-09-28,DVN,39.25,40.625,40.188,40.5,2311600.0
1999-09-29,DVN,40.375,41.375,41.125,40.5,1418600.0
1999-09-30,DVN,40.563,41.5,41.438,41.313,912400.0
1999-10-01,DVN,41.0,41.75,41.625,41.375,629200.0
1999-10-04,DVN,41.25,42.0,41.938,41.875,1525800.0
1999-10-05,DVN,39.5,41.688,40.0,41.688,1479200.0
1999-10-06,DVN,39.125,40.375,40.313,40.0,1323400.0
1999-10-07,DVN,39.625,40.125,40.0,39.9402,744200.0
1999-10-08,DVN,38.25,39.75,38.875,39.75,1328200.0
1999-10-11,DVN,38.875,40.875,40.563,38.875,721000.0
1999-10-12,DVN,40.0,41.125,40.063,41.0,497800.0
1999-10-13,DVN,39.686,40.75,39.813,40.5,912000.0
1999-10-14,DVN,39.625,40.0,40.0,39.875,466400.0
1999-10-15,DVN,38.75,40.438,39.938,39.375,835000.0
1999-10-18,DVN,38.5,39.938,38.75,39.938,722800.0
1999-10-19,DVN,38.563,39.375,38.625,38.688,786400.0
1999-10-20,DVN,37.875,39.25,39.125,38.75,522200.0
1999-10-21,DVN,38.9964,39.938,39.313,39.375,647200.0
1999-10-22,DVN,39.625,41.188,40.625,40.0,926800.0
1999-10-25,DVN,41.0628,42.0,41.563,41.063,1351400.0
1999-10-26,DVN,40.25,41.938,40.5,41.813,550600.0
1999-10-27,DVN,39.69,41.188,39.875,40.313,664600.0
1999-10-28,DVN,39.188,40.0,39.188,39.875,1019800.0
1999-10-29,DVN,38.5628,39.0,38.875,38.813,894600.0
1999-11-01,DVN,38.813,39.125,38.875,39.0,786600.0
1999-11-02,DVN,38.4983,39.125,38.875,38.938,1075400.0
1999-11-03,DVN,38.625,39.625,38.688,39.125,825400.0
1999-11-04,DVN,38.5,39.0,38.938,38.938,256400.0
1999-11-05,DVN,38.0,39.0,38.188,38.938,1433600.0
1999-11-08,DVN,37.6257,39.188,38.438,38.125,911800.0
1999-11-09,DVN,38.688,39.5,39.063,38.875,627000.0
1999-11-10,DVN,39.5,41.0,39.813,39.563,856400.0
1999-11-11,DVN,39.692,40.5,39.938,39.813,1412200.0
1999-11-12,DVN,39.25,40.375,39.625,40.375,482800.0
1999-11-15,DVN,39.625,40.25,40.0,40.0,495200.0
1999-11-16,DVN,39.563,40.375,40.063,39.75,1412000.0
1999-11-17,DVN,40.188,41.625,41.313,40.188,1655600.0
1999-11-18,DVN,40.75,41.75,41.438,41.438,1487200.0
1999-11-19,DVN,40.063,41.75,40.875,41.438,786800.0
1999-11-22,DVN,38.875,40.875,39.25,40.875,831800.0
1999-11-23,DVN,36.5,38.375,37.625,38.2504,2204200.0
1999-11-24,DVN,36.813,38.0,37.25,38.0,761200.0
1999-11-26,DVN,37.0,37.25,37.125,37.25,154600.0
1999-11-29,DVN,35.2511,36.875,36.0,36.75,1457400.0
1999-11-30,DVN,34.813,35.75,35.25,35.688,1092800.0
