Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ECL,31.688000000000002,33.0,32.125,32.75,502000.0
1999-09-29,ECL,32.313,33.25,32.625,32.375,508000.0
1999-09-30,ECL,32.563,34.375,34.125,32.563,825000.0
1999-10-01,ECL,32.5,34.125,33.313,34.125,648400.0
1999-10-04,ECL,33.5,34.125,33.625,33.563,696400.0
1999-10-05,ECL,33.688,34.5,33.875,33.813,564400.0
1999-10-06,ECL,34.125,35.563,35.25,34.125,1027000.0
1999-10-07,ECL,34.8114,35.25,35.188,35.188,271200.0
1999-10-08,ECL,35.188,36.25,35.688,35.438,301000.0
1999-10-11,ECL,35.0,35.875,35.0,35.688,308400.0
1999-10-12,ECL,34.813,35.438,35.125,35.063,350600.0
1999-10-13,ECL,34.313,35.125,34.5,35.0,285800.0
1999-10-14,ECL,34.0,34.438,34.25,34.313,521000.0
1999-10-15,ECL,33.688,34.25,34.0,34.25,456600.0
1999-10-18,ECL,33.875,34.25,34.188,34.125,256400.0
1999-10-19,ECL,33.875,35.063,34.625,35.0,830000.0
1999-10-20,ECL,33.438,34.625,33.875,34.625,864800.0
1999-10-21,ECL,33.0,34.0,33.5,34.0,1323400.0
1999-10-22,ECL,33.438,34.375,34.0,33.625,401200.0
1999-10-25,ECL,33.9984,35.313,34.75,34.0,666600.0
1999-10-26,ECL,33.375,34.75,33.438,34.5035,1692400.0
1999-10-27,ECL,33.438,33.688,33.5,33.563,712000.0
1999-10-28,ECL,33.438,34.125,33.688,33.625,1087000.0
1999-10-29,ECL,33.625,34.4381,33.813,33.938,1346800.0
1999-11-01,ECL,33.5,34.25,34.25,34.0,561400.0
1999-11-02,ECL,33.875,34.563,34.188,34.188,411000.0
1999-11-03,ECL,33.75,34.625,34.0,34.188,672200.0
1999-11-04,ECL,34.0,34.438,34.0,34.0,582200.0
1999-11-05,ECL,33.688,34.438,33.938,34.25,610600.0
1999-11-08,ECL,34.188,34.75,34.563,34.1874,352400.0
1999-11-09,ECL,33.813,34.688,33.875,34.564,816000.0
1999-11-10,ECL,33.875,35.125,35.0,33.875,446200.0
1999-11-11,ECL,34.813,35.5,35.25,34.813,556000.0
1999-11-12,ECL,34.625,36.125,34.875,35.375,1075000.0
1999-11-15,ECL,34.813,36.188,36.188,34.813,608800.0
1999-11-16,ECL,36.188,37.375,36.938,36.188,813200.0
1999-11-17,ECL,37.25,37.813,37.625,37.375,853200.0
1999-11-18,ECL,36.5,37.813,36.875,37.813,517000.0
1999-11-19,ECL,36.125,36.813,36.5,36.625,451600.0
1999-11-22,ECL,35.5,36.75,36.0,36.75,626400.0
1999-11-23,ECL,34.688,36.125,34.746,36.0,791000.0
1999-11-24,ECL,34.188,35.0,34.938,34.938,401400.0
1999-11-26,ECL,34.5,34.938,34.75,34.688,97200.0
1999-11-29,ECL,33.438,34.5,33.563,34.5,699000.0
1999-11-30,ECL,33.5,35.313,34.625,33.5,697400.0
1999-12-01,ECL,34.188,35.188,34.563,34.375,798000.0
1999-12-02,ECL,34.563,34.938,34.75,34.625,405000.0
1999-12-03,ECL,34.625,36.0,35.25,34.625,970600.0
1999-12-06,ECL,34.375,35.25,34.625,35.0,623200.0
1999-12-07,ECL,33.7482,34.875,34.125,34.875,668400.0
1999-12-08,ECL,33.375,34.062,33.938,34.0,520600.0
1999-12-09,ECL,33.625,34.125,33.75,33.875,469000.0
1999-12-10,ECL,32.8773,33.813,33.688,33.688,456400.0
1999-12-13,ECL,33.375,34.125,33.813,33.438,562600.0
1999-12-14,ECL,33.5,34.375,33.938,33.563,831200.0
1999-12-15,ECL,33.5,34.938,34.813,33.75,755000.0
1999-12-16,ECL,34.75,36.25,35.625,35.0,1197200.0
1999-12-17,ECL,35.125,36.375,36.375,35.688,1159600.0
1999-12-20,ECL,35.188,36.438,35.938,36.375,1734400.0
1999-12-21,ECL,35.688,36.125,35.875,35.875,1351800.0
1999-12-22,ECL,35.625,36.188,35.875,35.875,1054200.0
1999-12-23,ECL,35.625,36.625,36.188,35.626,899400.0
1999-12-27,ECL,36.125,37.125,36.625,36.125,1312600.0
1999-12-28,ECL,36.75,37.5,37.5,36.75,530000.0
