Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EL,41.75,43.0,42.0,42.688,736000.0
1999-09-29,EL,38.875,41.8147,40.438,41.625,2231400.0
1999-09-30,EL,38.25,40.313,39.063,40.188,1242800.0
1999-10-01,EL,37.25,41.75,41.625,38.438,2297200.0
1999-10-04,EL,42.063,44.625,43.5,42.2523,3031400.0
1999-10-05,EL,42.313,44.875,42.625,43.375,1554200.0
1999-10-06,EL,42.313,43.188,42.875,42.75,1023400.0
1999-10-07,EL,42.688,44.938,44.75,43.125,881800.0
1999-10-08,EL,44.2506,45.688,44.938,44.813,754600.0
1999-10-11,EL,43.75,44.9381,44.0,44.75,556800.0
1999-10-12,EL,43.188,44.188,44.125,44.063,437800.0
1999-10-13,EL,43.438,44.375,43.688,44.375,409600.0
1999-10-14,EL,42.75,43.75,43.438,43.75,501000.0
1999-10-15,EL,41.875,42.688,42.188,42.688,395600.0
1999-10-18,EL,41.8764,43.0,43.0,42.438,1099000.0
1999-10-19,EL,42.3132,43.75,43.313,42.875,922000.0
1999-10-20,EL,42.25,44.4986,44.0,43.563,1520000.0
1999-10-21,EL,43.5,44.25,44.125,43.813,341400.0
1999-10-22,EL,44.25,45.438,45.0,44.25,776000.0
1999-10-25,EL,45.063,46.25,46.063,45.5,885800.0
1999-10-26,EL,46.5,50.0,49.125,46.75,1888200.0
1999-10-27,EL,46.5,48.313,46.813,48.0,1333600.0
1999-10-28,EL,46.813,47.938,47.625,47.625,767800.0
1999-10-29,EL,46.5,47.563,46.625,47.438,1430600.0
1999-11-01,EL,45.625,46.875,45.875,46.688,916800.0
1999-11-02,EL,45.688,46.625,46.0,46.625,947000.0
1999-11-03,EL,45.438,45.875,45.625,45.75,358600.0
1999-11-04,EL,44.75,45.875,45.188,45.5,636600.0
1999-11-05,EL,44.938,46.0,45.25,45.625,497600.0
1999-11-08,EL,44.0,45.375,44.438,45.375,690000.0
1999-11-09,EL,43.5,44.688,43.75,44.438,1398400.0
1999-11-10,EL,42.813,44.0,42.938,44.0028,1626200.0
1999-11-11,EL,42.75,44.5,44.438,42.9969,932200.0
1999-11-12,EL,43.375,45.063,43.375,44.5,731400.0
1999-11-15,EL,42.438,43.938,42.625,43.625,1972000.0
1999-11-16,EL,41.25,42.75,41.813,42.625,1632000.0
1999-11-17,EL,41.063,42.0,41.563,41.938,1023800.0
1999-11-18,EL,41.5,42.251999999999995,42.063,41.563,1848000.0
1999-11-19,EL,41.5,43.125,43.125,42.875,1927200.0
1999-11-22,EL,42.75,43.5007,43.438,43.0,1147000.0
1999-11-23,EL,43.063,44.313,44.0,43.563,799400.0
1999-11-24,EL,44.125,45.375,44.25,44.188,990800.0
1999-11-26,EL,43.75,44.688,44.063,44.563,225400.0
1999-11-29,EL,43.75,45.125,44.0,44.688,912800.0
1999-11-30,EL,42.188,44.313,42.188,44.188,1032200.0
1999-12-01,EL,41.813,43.125,42.125,42.625,946600.0
1999-12-02,EL,41.625,42.75,42.563,42.063,1316000.0
1999-12-03,EL,42.25,42.938,42.313,42.938,701800.0
1999-12-06,EL,40.25,42.75,41.25,42.063,1068000.0
1999-12-07,EL,40.625,41.438,40.938,41.375,1112800.0
1999-12-08,EL,40.75,41.6222,41.0,41.0,893000.0
1999-12-09,EL,40.75,41.875,41.188,41.0,536600.0
1999-12-10,EL,40.8747,42.438,41.0,41.0,659800.0
1999-12-13,EL,40.75,41.813,40.875,41.188,606200.0
1999-12-14,EL,41.563,42.75,42.25,41.625,1169400.0
1999-12-15,EL,42.5,44.438,43.563,42.5,1276200.0
1999-12-16,EL,44.0,44.688,44.625,44.5,960400.0
1999-12-17,EL,44.625,45.75,45.313,44.8759,764600.0
1999-12-20,EL,43.188,45.313,44.938,45.313,650600.0
1999-12-21,EL,44.5633,46.125,46.0,45.0,839800.0
1999-12-22,EL,44.875,47.5,47.313,45.875,1010200.0
1999-12-23,EL,47.125,49.188,49.0,47.625,1223200.0
1999-12-27,EL,47.813,49.313,48.5,49.25,644200.0
1999-12-28,EL,48.688,50.313,50.063,49.0,650000.0
1999-12-29,EL,48.813,50.25,49.125,50.0,501600.0
1999-12-30,EL,49.25,51.438,51.125,49.25,566600.0
1999-12-31,EL,50.25,51.063,50.438,51.063,374800.0
2000-01-03,EL,48.563,51.25,49.563,50.438,1619000.0
2000-01-04,EL,48.5,49.25,48.688,49.25,966000.0
2000-01-05,EL,46.5,48.6239,47.047,48.125,952200.0
2000-01-06,EL,46.938,48.563,48.438,47.0,925400.0
2000-01-07,EL,48.5,50.188,50.125,48.688,763800.0
2000-01-10,EL,50.625,51.873999999999995,51.75,51.25,757200.0
2000-01-11,EL,49.125,51.188,50.438,51.0,1092200.0
2000-01-12,EL,49.375,51.125,50.188,50.438,1190400.0
2000-01-13,EL,49.75,50.938,50.375,50.188,866800.0
2000-01-14,EL,50.375,52.688,52.688,50.3748,1422600.0
2000-01-18,EL,51.625,54.0,53.188,52.0,1564400.0
2000-01-19,EL,52.125,54.0,53.688,53.188,893000.0
2000-01-20,EL,53.063,54.125,53.688,53.75,1044200.0
2000-01-21,EL,52.875,55.5,53.5,53.438,1159600.0
2000-01-24,EL,53.563,55.875,54.0,54.125,1682600.0
2000-01-25,EL,53.188,55.375,54.125,54.25,796400.0
2000-01-26,EL,53.5,55.625,55.25,54.0,953600.0
2000-01-27,EL,51.625,55.188,53.188,55.0,1138200.0
2000-01-28,EL,51.438,53.125,51.938,53.063,1344200.0
2000-01-31,EL,49.5,51.938,51.125,50.996,2393400.0
2000-02-01,EL,50.7504,51.938,51.75,51.75,1458800.0
2000-02-02,EL,50.688,53.938,51.438,51.75,1098200.0
2000-02-03,EL,51.438,53.125,51.813,51.5,669600.0
2000-02-04,EL,50.75,52.1877,50.813,51.875,261200.0
2000-02-07,EL,49.188,50.875,50.375,50.875,815400.0
2000-02-08,EL,49.0,50.063,50.0,50.0,1382000.0
2000-02-09,EL,48.25,51.0,50.438,51.0,913400.0
2000-02-10,EL,49.0,50.313,49.875,49.9973,1710600.0
