Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EMN,39.0,40.25,40.063,39.875,1340000.0
1999-09-29,EMN,40.063,40.9381,40.688,40.188,571000.0
1999-09-30,EMN,39.7491,41.0,39.875,40.5,784600.0
1999-10-01,EMN,39.625,40.188,39.625,40.125,630600.0
1999-10-04,EMN,39.688,40.25,40.0,39.688,531000.0
1999-10-05,EMN,38.7482,40.0,39.063,40.0,261000.0
1999-10-06,EMN,38.875,39.5,39.313,38.875,325200.0
1999-10-07,EMN,39.313,40.188,39.938,39.313,640400.0
1999-10-08,EMN,40.188,41.188,41.125,40.188,574000.0
1999-10-11,EMN,40.75,41.563,40.875,41.188,415000.0
1999-10-12,EMN,39.999,41.0,40.25,41.0,315400.0
1999-10-13,EMN,39.1254,40.563,39.125,40.0,437200.0
1999-10-14,EMN,38.375,40.063,40.063,39.125,358000.0
1999-10-15,EMN,38.063,40.25,38.125,40.25,399600.0
1999-10-18,EMN,38.0629,39.0,38.938,38.188,502400.0
1999-10-19,EMN,37.813,38.688,37.938,38.5,456800.0
1999-10-20,EMN,37.188,38.188,37.313,38.188,296200.0
1999-10-21,EMN,36.5,36.875,36.688,36.75,374600.0
1999-10-22,EMN,36.0,37.563,37.375,36.438,389000.0
1999-10-25,EMN,37.125,40.188,39.563,37.25,767600.0
1999-10-26,EMN,38.0,39.688,38.438,39.625,973200.0
1999-10-27,EMN,37.875,38.75,38.25,38.188,704800.0
1999-10-28,EMN,38.0,38.75,38.063,38.75,585600.0
1999-10-29,EMN,37.688,38.813,38.563,38.125,738200.0
1999-11-01,EMN,37.6267,38.813,37.75,38.813,398200.0
1999-11-02,EMN,37.25,38.406,38.25,37.5018,304800.0
1999-11-03,EMN,37.875,38.313,38.25,38.0,284400.0
1999-11-04,EMN,38.063,39.0,38.75,38.063,257800.0
1999-11-05,EMN,37.938,39.25,37.938,38.5,502000.0
1999-11-08,EMN,37.75,38.25,38.125,38.0,292600.0
1999-11-09,EMN,37.875,38.938,38.938,38.0,292600.0
1999-11-10,EMN,38.313,39.0648,38.563,39.063,471800.0
1999-11-11,EMN,37.625,38.625,38.625,38.5,359800.0
1999-11-12,EMN,37.625,38.438,38.313,38.375,310000.0
1999-11-15,EMN,38.188,39.25,39.25,38.188,278400.0
1999-11-16,EMN,39.0,39.938,39.438,39.188,357400.0
1999-11-17,EMN,38.688,39.625,38.875,39.313,257800.0
1999-11-18,EMN,38.75,39.5,39.313,38.875,355400.0
1999-11-19,EMN,38.5,39.438,39.25,39.25,515000.0
1999-11-22,EMN,38.75,39.281,39.0,39.25,504800.0
1999-11-23,EMN,38.875,39.75,39.121,39.125,747800.0
1999-11-24,EMN,39.0,39.438,39.125,39.188,395000.0
1999-11-26,EMN,38.875,39.5,39.063,38.875,203800.0
1999-11-29,EMN,38.188,38.8135,38.813,38.813,509600.0
1999-11-30,EMN,38.563,39.188,38.875,39.0,746600.0
1999-12-01,EMN,38.688,39.0,38.813,38.688,724000.0
1999-12-02,EMN,39.5,41.063,40.75,40.25,1832000.0
1999-12-03,EMN,40.875,42.5,42.125,41.0,1124000.0
1999-12-06,EMN,42.0,42.5,42.125,42.125,664600.0
1999-12-07,EMN,41.125,42.5,41.375,42.5,935800.0
1999-12-08,EMN,41.25,42.625,42.0,41.25,964000.0
1999-12-09,EMN,41.938,43.0,43.0,42.125,1262600.0
1999-12-10,EMN,43.0,45.125,45.0,43.0,961600.0
1999-12-13,EMN,44.1892,45.688,44.75,44.25,1028200.0
1999-12-14,EMN,44.75,46.625,46.188,44.75,835000.0
1999-12-15,EMN,45.875,46.563,46.25,46.063,505400.0
1999-12-16,EMN,45.188,46.5,45.375,46.125,678000.0
1999-12-17,EMN,45.25,46.188,46.188,45.438,693200.0
1999-12-20,EMN,43.938,46.5,44.438,46.5,961600.0
1999-12-21,EMN,44.438,45.313,44.938,44.438,629200.0
1999-12-22,EMN,44.75,45.5,44.875,44.813,373200.0
1999-12-23,EMN,45.0,45.8755,45.188,45.0,549400.0
1999-12-27,EMN,45.0,45.563,45.188,45.125,483600.0
1999-12-28,EMN,44.8153,47.063,46.875,44.813,309600.0
1999-12-29,EMN,47.0,49.0,48.438,47.0,459200.0
1999-12-30,EMN,47.625,48.25,47.625,47.625,389200.0
1999-12-31,EMN,47.313,47.688,47.688,47.688,287000.0
2000-01-03,EMN,46.375,48.313,46.438,47.938,502400.0
2000-01-04,EMN,45.188,47.063,45.313,46.4355,412400.0
2000-01-05,EMN,45.813,47.75,47.563,45.875,598600.0
2000-01-06,EMN,47.4987,50.75,50.563,47.563,506000.0
