Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EMR,61.938,63.188,62.438,63.063,1989800.0
1999-09-29,EMR,62.4947,63.438,63.375,62.5,1193000.0
1999-09-30,EMR,63.188,63.813,63.188,63.375,2183200.0
1999-10-01,EMR,62.25,63.688,63.563,63.5,1417600.0
1999-10-04,EMR,63.75,64.375,64.125,63.75,1079200.0
1999-10-05,EMR,63.563,64.25,63.75,63.8077,1313600.0
1999-10-06,EMR,62.375,63.7494,62.813,63.25,1829400.0
1999-10-07,EMR,61.938,62.625,62.063,62.0,1195200.0
1999-10-08,EMR,61.125,62.188,61.125,61.6891,1342600.0
1999-10-11,EMR,59.188,61.0,59.563,60.875,2166200.0
1999-10-12,EMR,57.375,59.5,58.188,59.5,4198000.0
1999-10-13,EMR,58.0,59.688,59.313,58.313,2225600.0
1999-10-14,EMR,58.5,59.813,59.375,59.063,1429000.0
1999-10-15,EMR,57.688,59.375,57.75,59.375,1693200.0
1999-10-18,EMR,57.313,58.438,57.75,57.813,1509400.0
1999-10-19,EMR,57.188,58.1892,57.375,58.0,1584000.0
1999-10-20,EMR,56.5,57.5,57.5,57.25,1799200.0
1999-10-21,EMR,56.563,57.25,57.063,57.25,1656200.0
1999-10-22,EMR,57.1241,59.125,58.75,57.125,1320800.0
1999-10-25,EMR,57.313,58.75,57.875,58.75,1304000.0
1999-10-26,EMR,58.063,59.25,58.563,58.125,2171400.0
1999-10-27,EMR,57.875,59.25,58.0,58.813,2386600.0
1999-10-28,EMR,58.25,59.438,59.438,58.625,2245800.0
1999-10-29,EMR,59.313,60.438,60.063,59.938,1484000.0
1999-11-01,EMR,58.063,60.625,58.938,60.3158,2120200.0
1999-11-02,EMR,57.063,58.625,57.313,58.063,2148000.0
1999-11-03,EMR,55.5605,57.813,55.75,57.063,1836600.0
1999-11-04,EMR,56.0,58.375,57.625,56.25,2219400.0
1999-11-05,EMR,57.063,58.625,57.125,58.5,1446600.0
1999-11-08,EMR,56.375,57.625,57.0,57.125,1175200.0
1999-11-09,EMR,56.813,57.8759,57.875,57.0,1334200.0
1999-11-10,EMR,56.125,57.875,56.688,57.1217,1492400.0
1999-11-11,EMR,56.438,58.313,58.25,56.438,1741400.0
1999-11-12,EMR,56.25,58.25,56.688,57.9997,2804400.0
1999-11-15,EMR,56.0,57.5,56.313,57.5,2308200.0
1999-11-16,EMR,56.563,58.313,58.125,56.563,2156600.0
1999-11-17,EMR,57.438,58.375,57.75,57.5,1352400.0
1999-11-18,EMR,56.75,58.125,58.125,57.0,2255200.0
1999-11-19,EMR,57.5,58.75,58.375,57.875,1766000.0
1999-11-22,EMR,56.563,58.0,56.938,57.75,1257400.0
1999-11-23,EMR,56.813,57.375,57.125,57.0,1846000.0
1999-11-24,EMR,56.625,57.25,56.75,57.063,1996400.0
1999-11-26,EMR,55.875,56.688,56.438,56.001000000000005,652800.0
1999-11-29,EMR,55.25,56.688,56.563,56.0,1718000.0
1999-11-30,EMR,55.875,57.75,57.0,55.875,2592400.0
