Date,symbol,Low,High,Close,Open,Volume
2000-08-11,EQIX,384.0,448.0,420.0,408.0,792500.0
2000-08-14,EQIX,384.0,420.0,384.0,419.0,80200.0
2000-08-15,EQIX,384.0,396.0,388.0,389.0,48400.0
2000-08-16,EQIX,386.0,418.0,396.0,386.0,42100.0
2000-08-17,EQIX,382.0,400.0,384.0,392.0,47200.0
2000-08-18,EQIX,396.0,460.0,458.0,401.0,60400.0
2000-08-21,EQIX,446.0,520.0,486.0,482.0,66500.0
2000-08-22,EQIX,432.0,502.0,432.0,492.0,33800.0
2000-08-23,EQIX,408.0,440.0,416.0,434.0,17900.0
2000-08-24,EQIX,386.0,418.0,386.0,414.0,18400.0
2000-08-25,EQIX,388.0,414.0,412.0,402.0,20100.0
2000-08-28,EQIX,400.0,433.5,420.0,429.0,19400.0
2000-08-29,EQIX,404.0,432.0,428.0,430.0,22700.0
2000-08-30,EQIX,424.0,470.0,454.0,427.0,19800.0
2000-08-31,EQIX,476.0,528.0,518.0,482.0,87300.0
2000-09-01,EQIX,480.0,520.0,504.0,516.0,27700.0
2000-09-05,EQIX,496.0,520.0,498.0,506.0,23000.0
2000-09-06,EQIX,488.0,520.0,496.0,516.0,20500.0
2000-09-07,EQIX,428.0,512.0,460.0,512.0,23900.0
2000-09-08,EQIX,440.0,464.0,448.0,456.5,15900.0
2000-09-11,EQIX,432.0,448.0,444.0,442.0,34500.0
2000-09-12,EQIX,412.0,442.0,416.0,435.0,33800.0
2000-09-13,EQIX,396.0,420.0,400.0,408.0,10300.0
2000-09-14,EQIX,400.0,444.0,406.0,444.0,8100.0
2000-09-15,EQIX,400.0,416.0,402.0,402.0,3600.0
2000-09-18,EQIX,382.0,424.0,386.0,420.0,18600.0
2000-09-19,EQIX,344.0,420.0,360.0,419.0,48000.0
2000-09-20,EQIX,312.0,370.0,332.0,368.0,24100.0
2000-09-21,EQIX,326.0,344.0,340.0,330.0,25200.0
2000-09-22,EQIX,302.0,346.0,338.0,307.0,8400.0
2000-09-25,EQIX,300.0,346.0,302.0,340.0,21000.0
2000-09-26,EQIX,288.0,318.0,296.0,316.0,19600.0
2000-09-27,EQIX,276.0,302.0,299.0,301.0,16700.0
