Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EQR,42.063,42.438,42.25,42.25,247000.0
1999-09-29,EQR,41.875,42.438,42.0,42.25,377400.0
1999-09-30,EQR,41.875,42.438,42.375,41.938,397400.0
1999-10-01,EQR,42.0,42.5,42.063,42.438,220000.0
1999-10-04,EQR,41.875,42.563,42.5,41.875,329800.0
1999-10-05,EQR,42.375,42.938,42.625,42.625,404800.0
1999-10-06,EQR,42.563,43.0,43.0,42.625,323400.0
1999-10-07,EQR,42.25,43.248000000000005,42.5,43.0,446200.0
1999-10-08,EQR,41.5012,42.125,41.5,42.0,2180400.0
1999-10-11,EQR,41.6878,42.375,42.0,41.75,187000.0
1999-10-12,EQR,41.625,42.25,42.125,41.813,215600.0
1999-10-13,EQR,41.75,42.188,41.938,42.0,498000.0
1999-10-14,EQR,41.75,42.25,42.0,42.1276,168000.0
1999-10-15,EQR,41.063,41.813,41.063,41.75,410200.0
1999-10-18,EQR,40.938,41.313,41.063,41.125,187200.0
1999-10-19,EQR,40.75,41.188,40.938,41.125,182200.0
1999-10-20,EQR,40.3138,40.938,40.313,40.875,639600.0
1999-10-21,EQR,40.188,40.75,40.5,40.25,237400.0
1999-10-22,EQR,40.375,40.5,40.5,40.375,155600.0
1999-10-25,EQR,40.375,40.813,40.5,40.5,185600.0
1999-10-26,EQR,40.375,40.563,40.375,40.5,427400.0
1999-10-27,EQR,40.375,40.875,40.563,40.375,229200.0
1999-10-28,EQR,40.313,41.0,40.813,40.375,551800.0
1999-10-29,EQR,41.0,42.0,41.813,41.0,684200.0
1999-11-01,EQR,41.875,42.75,42.188,42.0,291600.0
1999-11-02,EQR,41.9995,42.813,42.563,42.0,256400.0
1999-11-03,EQR,42.4981,42.938,42.563,42.75,207800.0
1999-11-04,EQR,42.063,42.625,42.063,42.5,159800.0
1999-11-05,EQR,41.625,42.5,41.813,42.313,209200.0
1999-11-08,EQR,41.375,42.0,41.625,41.875,296000.0
1999-11-09,EQR,41.625,42.25,41.75,41.625,337000.0
