Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EQT,36.25,36.688,36.688,36.625,3405700.0
1999-09-29,EQT,36.875,37.813,37.375,36.875,739200.0
1999-09-30,EQT,37.125,37.938,37.813,37.25,361500.0
1999-10-01,EQT,37.375,37.875,37.625,37.875,321800.0
1999-10-04,EQT,37.625,38.2493,38.188,37.875,386500.0
1999-10-05,EQT,37.75,38.313,38.0,38.2478,210100.0
1999-10-06,EQT,37.875,38.375,38.313,37.875,210100.0
1999-10-07,EQT,37.875,38.188,38.063,38.188,777400.0
1999-10-08,EQT,37.438,37.813,37.5,37.813,476800.0
1999-10-11,EQT,36.8767,37.75,36.938,37.75,690700.0
1999-10-12,EQT,36.25,36.813,36.688,36.813,426100.0
1999-10-13,EQT,36.375,36.875,36.563,36.75,330600.0
1999-10-14,EQT,36.125,36.625,36.438,36.625,460700.0
1999-10-15,EQT,35.75,36.688,36.25,36.6859,235800.0
1999-10-18,EQT,35.875,36.5,36.0,36.25,158700.0
1999-10-19,EQT,35.813,36.438,36.0,36.188,3264700.0
1999-10-20,EQT,35.375,36.0,35.875,36.0,684000.0
1999-10-21,EQT,35.438,36.0,35.563,36.0,563500.0
1999-10-22,EQT,35.625,36.625,36.313,35.625,717800.0
1999-10-25,EQT,35.625,36.25,35.813,36.188,648000.0
1999-10-26,EQT,35.313,36.0061,35.313,36.0,473200.0
1999-10-27,EQT,35.313,36.75,36.688,35.313,327700.0
1999-10-28,EQT,36.375,37.0,36.438,36.563,273300.0
1999-10-29,EQT,36.25,36.563,36.5,36.313,163800.0
1999-11-01,EQT,35.8114,36.625,36.188,36.5,242400.0
1999-11-02,EQT,36.0,36.625,36.438,36.125,295300.0
1999-11-03,EQT,36.313,37.0,36.875,36.313,198300.0
1999-11-04,EQT,36.188,37.3115,36.188,37.0,415100.0
1999-11-05,EQT,36.063,37.063,36.125,36.375,302700.0
1999-11-08,EQT,35.75,36.375,36.063,36.0,229900.0
1999-11-09,EQT,35.438,36.5,36.313,36.313,271800.0
1999-11-10,EQT,36.375,37.063,36.75,36.5,266700.0
1999-11-11,EQT,36.375,36.875,36.375,36.688,126300.0
1999-11-12,EQT,34.625,36.125,35.25,36.125,582600.0
1999-11-15,EQT,34.875,35.438,35.063,35.438,324000.0
1999-11-16,EQT,35.0012,35.875,35.875,35.0,203500.0
1999-11-17,EQT,35.438,35.938,35.813,35.938,366600.0
1999-11-18,EQT,35.3741,35.875,35.375,35.625,2028700.0
