Date,symbol,Low,High,Close,Open,Volume
2018-01-04,ESRX,75.08,76.32,76.08,75.89,3532487.0
2018-03-05,ESRX,74.22,75.59,74.76,74.3,3699342.0
2018-03-13,ESRX,76.71,78.73,77.0,78.52,7995743.0
2018-03-14,ESRX,75.9,77.54,76.7,77.24,8366125.0
2018-03-15,ESRX,76.0,77.03,76.33,76.62,4027654.0
2018-03-16,ESRX,75.885,76.91,76.02,76.85,5624840.0
2018-03-19,ESRX,72.88,75.85,72.99,75.78,7891936.0
2018-03-20,ESRX,72.21,73.86,72.42,73.53,6355985.0
2018-03-21,ESRX,71.57,72.82,71.68,72.2,5994907.0
2018-03-22,ESRX,70.36,71.98,70.47,71.18,4631776.0
2018-03-23,ESRX,69.77,71.14,70.16,70.55,5224477.0
2018-03-26,ESRX,69.2204,71.88,71.7,70.66,7627677.0
2018-03-27,ESRX,69.94,72.52,70.37,71.93,6231604.0
2018-03-28,ESRX,69.7,70.95,69.73,70.56,5565354.0
2018-03-29,ESRX,69.005,70.49,69.08,70.21,4558988.0
2018-04-02,ESRX,66.93,68.9386,67.87,68.89,4445157.0
2018-04-03,ESRX,67.34,69.83,69.01,68.18,2920836.0
2018-04-04,ESRX,68.05,71.02,70.04,68.4,6806653.0
2018-04-05,ESRX,69.02,70.64,69.18,70.28,3209202.0
2018-04-06,ESRX,67.37,69.29,67.88,68.69,3195176.0
2018-04-09,ESRX,67.75,69.5,68.03,68.23,4428888.0
2018-04-10,ESRX,68.4,70.19,69.82,68.6,3692462.0
2018-04-11,ESRX,69.0,70.03,69.72,69.26,2868636.0
2018-04-12,ESRX,69.9,72.17,71.61,69.98,3753707.0
2018-04-13,ESRX,71.045,72.48,71.62,71.9,2930781.0
2018-04-16,ESRX,71.5,73.11,71.99,71.83,5858572.0
2018-04-17,ESRX,72.28,73.14,72.5,72.72,2452985.0
2018-04-18,ESRX,72.52,75.05,74.74,72.72,3799551.0
2018-04-19,ESRX,73.42,74.7,73.76,74.37,2705709.0
2018-04-20,ESRX,72.39,74.08,73.49,73.83,2469857.0
2018-04-23,ESRX,72.88,75.55,75.19,73.75,3433390.0
2018-04-24,ESRX,74.79,76.33,75.49,75.63,2413142.0
2018-04-25,ESRX,74.92,76.74,76.52,75.16,2374846.0
2018-04-26,ESRX,76.09100000000001,77.33,76.71,76.66,2436646.0
2018-04-27,ESRX,76.17,77.73,77.21,76.49,1751824.0
2018-04-30,ESRX,75.37,77.49,75.7,77.43,3628203.0
2018-05-01,ESRX,74.43,76.14,75.87,75.67,2416416.0
2018-05-02,ESRX,73.97,75.78,74.05,75.72,3383559.0
2018-05-03,ESRX,71.51,73.89,72.2,72.98,5005300.0
2018-05-04,ESRX,69.31,72.12,70.22,71.71,4548915.0
2018-05-07,ESRX,68.95,71.4399,69.69,69.7,5169545.0
2018-05-08,ESRX,67.71,69.87,68.12,69.74,5776406.0
2018-05-09,ESRX,67.05,69.34,68.63,68.37,4782328.0
2018-05-10,ESRX,68.9,71.39,70.96,68.9,3814529.0
2018-05-11,ESRX,67.85,73.78,72.8,70.83,5786735.0
2018-05-14,ESRX,72.66,74.09,73.67,72.66,3264550.0
2018-05-15,ESRX,72.77,73.77,73.24,73.33,4818170.0
2018-05-16,ESRX,73.1,74.0475,73.73,73.44,1657951.0
2018-05-17,ESRX,73.515,76.92,76.35,73.59,6019727.0
2018-05-18,ESRX,75.36,76.83,75.65,76.81,3761739.0
2018-05-21,ESRX,75.77,76.61,76.52,75.85,4726949.0
2018-05-22,ESRX,76.5,78.47,77.75,76.57,6377997.0
2018-05-23,ESRX,76.33,77.69,77.01,77.11,2180912.0
2018-05-24,ESRX,75.69,77.11,76.8,77.11,1492266.0
2018-05-25,ESRX,76.59,77.47,77.08,76.67,1829926.0
2018-05-29,ESRX,75.67,76.96,76.09,76.56,1697562.0
2018-05-30,ESRX,75.91,77.31,76.21,76.49,2693587.0
2018-05-31,ESRX,75.17,77.0,75.81,76.34,3276956.0
2018-06-01,ESRX,75.86,77.39,77.07,76.1,2890321.0
2018-06-04,ESRX,75.1,77.22,75.54,77.06,2264615.0
2018-06-05,ESRX,74.4,75.83,74.87,74.9655,2674431.0
2018-06-06,ESRX,74.94,76.73,76.53,74.94,2851296.0
2018-06-07,ESRX,76.39,78.35,78.15,76.48,2435660.0
2018-06-08,ESRX,75.5,78.81,78.39,78.0,2512726.0
2018-06-11,ESRX,77.8678,79.85,79.57,78.34,2403403.0
2018-06-12,ESRX,78.67,79.5,79.17,79.24,3194568.0
2018-06-13,ESRX,81.29,83.32,81.77,82.28,6087554.0
2018-06-14,ESRX,81.21,82.47,82.24,82.0,2118773.0
2018-06-15,ESRX,81.57,82.57,81.75,82.57,4887518.0
2018-06-18,ESRX,79.76100000000001,81.55,80.48,81.23,2896308.0
2018-06-19,ESRX,79.6,80.61,80.58,79.77,3273443.0
2018-06-20,ESRX,79.91,80.759,80.1,80.62,2185813.0
2018-06-21,ESRX,78.991,80.28,79.36,79.92,3304614.0
2018-06-22,ESRX,78.77,79.98,79.23,79.8,4293641.0
2018-06-25,ESRX,78.48,79.83,79.24,78.96,2068133.0
