Date,symbol,Low,High,Close,Open,Volume
2017-11-01,EVHC,26.56,31.65,28.03,30.07,50450000.0
2017-11-02,EVHC,26.95,28.59,27.25,27.37,10218500.0
2017-11-03,EVHC,26.86,28.23,27.04,27.01,4795000.0
2017-11-06,EVHC,26.34,27.26,26.85,26.85,6301800.0
2018-01-02,EVHC,34.35,35.44,35.18,34.56,1901700.0
2018-01-03,EVHC,34.4,35.23,35.0,35.23,1990500.0
2018-01-04,EVHC,34.36,35.69,35.4,35.42,2257700.0
2018-01-05,EVHC,33.53,35.5,35.0,35.34,6013100.0
2018-01-08,EVHC,34.34,35.55,35.06,35.02,2832000.0
2018-01-09,EVHC,34.85,35.47,34.92,35.06,2253300.0
2018-01-10,EVHC,34.61,35.22,35.07,34.85,2236400.0
2018-01-11,EVHC,35.27,36.84,35.85,35.29,2236100.0
2018-01-12,EVHC,35.3,36.26,35.72,35.86,1963600.0
2018-01-16,EVHC,34.87,35.93,35.06,35.93,1706000.0
2018-01-17,EVHC,34.68,35.15,34.81,35.04,2883200.0
2018-01-18,EVHC,34.44,35.08,34.86,34.79,3239800.0
2018-01-19,EVHC,34.87,35.85,35.83,34.95,1815800.0
2018-01-22,EVHC,35.18,36.2,36.11,35.79,2024500.0
2018-01-23,EVHC,35.41,36.15,35.8,36.0,1814900.0
2018-01-24,EVHC,35.2,36.4,35.99,36.25,2100600.0
2018-01-25,EVHC,35.39,36.31,36.13,36.31,1224500.0
2018-01-26,EVHC,35.85,36.59,36.51,36.21,1658900.0
2018-01-29,EVHC,36.55,37.39,36.93,36.55,1474800.0
2018-01-30,EVHC,36.12,37.18,36.24,36.29,1917400.0
2018-01-31,EVHC,35.53,37.08,35.99,37.08,1350500.0
2018-02-01,EVHC,34.79,36.29,35.7,35.64,2026300.0
2018-02-02,EVHC,34.86,35.51,35.0,35.44,1286100.0
2018-02-05,EVHC,33.71,35.21,33.78,34.73,3950800.0
2018-02-06,EVHC,32.72,34.84,34.7,33.04,2781900.0
2018-02-07,EVHC,34.61,35.48,34.82,34.76,1483300.0
2018-02-08,EVHC,35.11,36.68,35.34,35.11,4055400.0
2018-02-09,EVHC,35.24,37.57,36.85,35.85,3591700.0
2018-02-12,EVHC,35.92,37.03,36.69,37.0,1831900.0
2018-02-13,EVHC,35.74,36.63,36.41,36.4,1474000.0
2018-02-14,EVHC,35.9,37.7,37.32,36.23,1738000.0
2018-02-15,EVHC,37.22,38.14,38.07,37.77,3221100.0
2018-02-16,EVHC,37.6,38.48,37.7,38.07,2294900.0
2018-02-20,EVHC,37.06,37.65,37.39,37.53,2388900.0
2018-02-21,EVHC,37.24,38.46,37.53,37.58,1742900.0
2018-02-22,EVHC,37.5,38.31,37.66,37.54,2528000.0
2018-02-23,EVHC,36.64,37.99,37.19,37.69,1124300.0
2018-02-26,EVHC,36.37,37.21,36.67,37.16,2127000.0
2018-02-27,EVHC,36.14,38.14,36.74,36.88,3279000.0
2018-02-28,EVHC,37.39,39.62,38.5,37.39,5454200.0
2018-03-01,EVHC,38.43,40.6,40.02,38.75,4791600.0
2018-03-02,EVHC,39.52,40.31,40.05,40.02,3287000.0
2018-03-05,EVHC,39.67,40.58,40.42,40.07,3093300.0
2018-03-06,EVHC,40.4,42.79,41.7,40.49,4716200.0
2018-03-07,EVHC,41.5,43.05,42.76,41.7,3568300.0
2018-03-08,EVHC,42.36,43.44,42.79,43.09,3360100.0
2018-03-09,EVHC,42.66,43.26,42.89,43.0,1933700.0
2018-03-12,EVHC,42.71,43.6,43.51,42.88,2349000.0
2018-03-13,EVHC,42.6,43.51,42.72,43.51,1480000.0
2018-03-14,EVHC,38.67,43.52,39.41,43.01,8943400.0
2018-03-15,EVHC,39.46,40.61,39.89,39.46,2315600.0
2018-03-16,EVHC,39.01,40.46,39.01,40.0,2919500.0
2018-03-19,EVHC,37.11,39.07,38.03,39.07,3446000.0
2018-03-20,EVHC,37.62,38.38,38.04,38.12,1700000.0
2018-03-21,EVHC,37.73,38.84,38.31,38.06,1644100.0
2018-03-22,EVHC,37.52,38.52,37.53,38.12,1236100.0
2018-03-23,EVHC,36.86,38.52,37.91,37.47,2408200.0
2018-03-26,EVHC,37.43,38.6,38.05,38.33,2421100.0
2018-03-27,EVHC,37.67,39.15,38.42,38.32,3358900.0
2018-03-28,EVHC,38.08,39.23,38.43,38.42,2815400.0
2018-03-29,EVHC,38.11,38.96,38.43,38.79,1705600.0
2018-04-02,EVHC,37.76,38.83,37.95,38.44,1566900.0
2018-04-03,EVHC,37.64,38.39,38.25,37.91,1355700.0
2018-04-04,EVHC,37.77,38.84,38.72,37.77,2074800.0
2018-04-05,EVHC,38.2,39.38,38.9,38.86,1411500.0
2018-04-06,EVHC,37.5,38.73,37.79,38.53,2066600.0
2018-04-09,EVHC,37.99,39.13,38.67,38.11,2097100.0
2018-04-10,EVHC,35.6,39.16,35.83,38.82,7340700.0
2018-04-11,EVHC,35.55,37.65,37.19,35.79,4183100.0
2018-04-12,EVHC,36.5,37.94,37.76,37.21,1814900.0
2018-04-13,EVHC,37.27,37.97,37.42,37.97,1565400.0
2018-04-16,EVHC,37.42,38.2,38.13,37.73,1939900.0
2018-04-17,EVHC,37.74,38.6,38.12,38.53,1922700.0
2018-04-18,EVHC,38.15,39.06,38.48,38.16,1734800.0
2018-04-19,EVHC,37.87,38.52,37.98,38.33,1123100.0
2018-04-20,EVHC,37.17,38.05,37.41,37.96,2555200.0
2018-04-23,EVHC,37.24,37.71,37.31,37.71,1701000.0
2018-04-24,EVHC,36.75,37.91,37.03,37.6,2682600.0
2018-04-25,EVHC,36.79,38.1,38.09,37.0,1287700.0
2018-04-26,EVHC,36.5,37.95,37.25,36.67,3684600.0
2018-04-27,EVHC,37.24,38.22,37.75,37.24,3220100.0
2018-04-30,EVHC,37.15,37.83,37.17,37.78,1789500.0
2018-05-01,EVHC,36.6,37.7,37.35,37.16,2614900.0
2018-05-02,EVHC,37.07,38.13,37.65,37.21,2567100.0
2018-05-03,EVHC,36.82,37.5,37.05,37.39,2229100.0
2018-05-04,EVHC,36.54,37.6,37.3,36.88,1638200.0
2018-05-07,EVHC,36.71,37.59,36.9,37.35,4007900.0
2018-05-08,EVHC,37.45,39.15,38.88,37.45,4940200.0
2018-05-09,EVHC,39.22,40.86,40.71,39.31,3265800.0
2018-05-10,EVHC,42.33,43.45,42.74,43.45,5567800.0
2018-05-11,EVHC,42.01,43.0,42.32,42.57,4719400.0
2018-05-14,EVHC,41.52,42.75,41.74,42.54,2316100.0
2018-05-15,EVHC,41.52,42.23,41.83,41.71,3022800.0
2018-05-16,EVHC,41.58,42.79,42.45,41.93,2115800.0
2018-05-17,EVHC,41.94,42.75,42.47,42.42,2652000.0
2018-05-18,EVHC,41.94,42.55,42.0,42.55,1599000.0
2018-05-21,EVHC,42.51,43.7,43.29,43.29,3484700.0
2018-05-22,EVHC,42.85,43.92,42.92,43.4,1723200.0
2018-05-23,EVHC,42.64,43.19,43.09,42.75,1286900.0
2018-05-24,EVHC,42.12,43.23,43.21,42.8,1963500.0
2018-05-25,EVHC,43.08,43.74,43.57,43.08,1217500.0
2018-05-29,EVHC,42.68,43.89,43.68,43.09,2884600.0
2018-05-30,EVHC,43.49,44.23,43.55,43.84,2360600.0
2018-05-31,EVHC,42.5,43.53,42.88,43.44,7446100.0
2018-06-01,EVHC,42.85,44.47,43.96,43.06,3566300.0
2018-06-04,EVHC,42.08,44.25,42.6,44.2,3267100.0
2018-06-05,EVHC,42.98,43.8,43.21,43.09,3224500.0
2018-06-06,EVHC,43.1,44.15,43.76,43.27,2257800.0
