Date,symbol,Low,High,Close,Open,Volume
2000-03-27,EW,15.25,16.625,16.5,15.25,3675600.0
2000-03-28,EW,16.0,16.5,16.063,16.5,1077600.0
2000-03-29,EW,15.812999999999999,16.1253,16.0,16.0,437200.0
2000-03-30,EW,15.375,16.0,15.375,16.0,1883600.0
2000-03-31,EW,13.562999999999999,14.937999999999999,13.562999999999999,14.937999999999999,7931600.0
2000-04-03,EW,13.75,14.812999999999999,13.75,14.0,11486800.0
2000-04-04,EW,12.375,14.312999999999999,14.0,14.125,13136800.0
2000-04-05,EW,13.812999999999999,14.25,13.937999999999999,13.875,6349600.0
2000-04-06,EW,13.875,14.375,14.312999999999999,14.0,7181200.0
2000-04-07,EW,14.375,15.25,14.437999999999999,14.375,13904800.0
2000-04-10,EW,14.5,15.0,14.562999999999999,14.75,5280800.0
2000-04-11,EW,14.25,14.625,14.312999999999999,14.312999999999999,6590000.0
2000-04-12,EW,14.125,14.562999999999999,14.312999999999999,14.187999999999999,8546400.0
2000-04-13,EW,14.312999999999999,14.625,14.445,14.312999999999999,6874400.0
2000-04-14,EW,14.125,14.5,14.437999999999999,14.437999999999999,2626000.0
2000-04-17,EW,14.0624,14.437999999999999,14.25,14.312999999999999,2992000.0
2000-04-18,EW,13.937999999999999,14.5,14.062999999999999,14.437999999999999,2896000.0
2000-04-19,EW,14.25,14.625,14.375,14.25,4662400.0
2000-04-20,EW,14.25,14.75,14.625,14.312999999999999,4558800.0
2000-04-24,EW,14.125,14.625,14.25,14.375,3815200.0
2000-04-25,EW,13.8748,15.125,15.062999999999999,14.312999999999999,4635600.0
2000-04-26,EW,15.0,16.5,15.312999999999999,15.1251,5321200.0
2000-04-27,EW,14.562999999999999,15.062999999999999,14.812999999999999,15.062999999999999,4085200.0
2000-04-28,EW,14.5,15.0,15.0,14.75,3539200.0
2000-05-01,EW,14.437999999999999,14.9995,14.75,15.0,4310000.0
2000-05-02,EW,14.437999999999999,14.75,14.562999999999999,14.625,2684400.0
2000-05-03,EW,14.062999999999999,14.5629,14.25,14.187999999999999,4164400.0
2000-05-04,EW,14.25,14.75,14.75,14.375,3610400.0
2000-05-05,EW,14.875,15.375,15.125,14.875,1710800.0
2000-05-08,EW,15.187999999999999,15.625,15.25,15.375,1435600.0
2000-05-09,EW,14.9991,15.5,15.0,15.437999999999999,1343600.0
2000-05-10,EW,14.875,15.375,15.187999999999999,15.0,775200.0
2000-05-11,EW,14.7499,15.5,14.937999999999999,15.187999999999999,2287200.0
2000-05-12,EW,14.937999999999999,15.687999999999999,15.687999999999999,14.937999999999999,768400.0
2000-05-15,EW,15.5,16.875,16.375,15.5,1328400.0
2000-05-16,EW,16.313,16.938,16.5,16.5,1263600.0
2000-05-17,EW,15.812999999999999,16.5,16.0,16.5,2517200.0
2000-05-18,EW,15.437999999999999,16.125,15.562999999999999,15.9997,2078800.0
2000-05-19,EW,15.312999999999999,15.625,15.312999999999999,15.562999999999999,630400.0
2000-05-22,EW,15.312999999999999,15.687999999999999,15.562999999999999,15.437999999999999,629600.0
2000-05-23,EW,15.5,16.0,15.625,15.5,867200.0
2000-05-24,EW,15.625,16.75,16.438,15.625,2265600.0
2000-05-25,EW,16.313,17.625,17.313,16.313,3015200.0
2000-05-26,EW,17.313,18.125,18.0,17.438,2294000.0
2000-05-30,EW,18.0,19.813,19.75,18.0,3808800.0
2000-05-31,EW,19.75,20.625,20.313,19.75,3260000.0
2000-06-01,EW,19.375,20.2505,19.875,20.063,1439200.0
2000-06-02,EW,18.563,20.125,19.188,19.875,1328000.0
2000-06-05,EW,18.063,18.938,18.125,18.938,2012800.0
2000-06-06,EW,16.813,18.25,17.125,18.25,3908800.0
2000-06-07,EW,17.5,18.625,18.5,17.4993,2362400.0
2000-06-08,EW,18.188,18.5,18.5,18.25,1389600.0
2000-06-09,EW,18.313,19.0,18.5,18.375,1259200.0
2000-06-12,EW,18.3764,18.938,18.625,18.625,828800.0
2000-06-13,EW,18.188,18.563,18.375,18.5,917200.0
