Date,symbol,Low,High,Close,Open,Volume
1999-09-28,EXC,35.5,37.125,35.875,37.0,2477800.0
1999-09-29,EXC,36.0,36.813,36.188,36.0,1149600.0
1999-09-30,EXC,36.5,38.313,37.5,36.563,2444400.0
1999-10-01,EXC,37.188,38.125,38.063,37.625,975000.0
1999-10-04,EXC,38.125,39.313,38.813,38.125,1249400.0
1999-10-05,EXC,37.375,38.875,37.75,38.688,679800.0
1999-10-06,EXC,37.813,38.3154,38.188,38.0,655400.0
1999-10-07,EXC,37.563,38.25,37.563,38.125,502000.0
1999-10-08,EXC,37.313,38.063,37.5,37.75,566800.0
1999-10-11,EXC,36.875,37.75,37.0,37.75,901000.0
1999-10-12,EXC,36.313,37.25,37.188,37.063,1107600.0
1999-10-13,EXC,36.625,37.5,37.5,37.063,934200.0
1999-10-14,EXC,37.438,37.938,37.875,37.4979,946200.0
1999-10-15,EXC,36.75,37.875,37.125,37.875,767200.0
1999-10-18,EXC,37.0,37.875,37.75,37.375,442400.0
1999-10-19,EXC,37.063,38.0,37.063,38.0,675400.0
1999-10-20,EXC,37.0,37.563,37.313,37.063,449200.0
1999-10-21,EXC,36.5665,37.5,37.125,37.313,808400.0
1999-10-22,EXC,37.125,37.875,37.313,37.313,1106200.0
1999-10-25,EXC,36.75,37.375,36.75,37.25,2493400.0
1999-10-26,EXC,36.813,37.375,37.125,36.813,3159000.0
1999-10-27,EXC,36.938,38.25,37.813,36.938,1259800.0
1999-10-28,EXC,37.813,38.563,38.125,38.063,1572000.0
1999-10-29,EXC,37.875,38.438,38.188,38.313,712000.0
1999-11-01,EXC,38.0,38.5,38.438,38.0,917600.0
1999-11-02,EXC,38.25,38.813,38.313,38.25,500800.0
1999-11-03,EXC,38.25,38.625,38.5,38.5,1775800.0
1999-11-04,EXC,37.75,38.625,38.125,38.625,3475800.0
1999-11-05,EXC,37.625,38.5,37.813,38.375,670600.0
1999-11-08,EXC,37.313,37.813,37.438,37.688,1399400.0
1999-11-09,EXC,36.313,37.5,36.75,37.313,1825200.0
1999-11-10,EXC,35.5,36.688,36.063,36.25,4889200.0
1999-11-11,EXC,35.625,36.313,35.875,36.063,1447000.0
1999-11-12,EXC,36.063,36.313,36.188,36.125,613800.0
1999-11-15,EXC,35.625,36.3139,35.688,35.938,703800.0
1999-11-16,EXC,35.375,36.0637,35.438,35.813,820400.0
1999-11-17,EXC,34.626,35.313,34.938,35.188,2031400.0
1999-11-18,EXC,34.563,35.313,34.813,34.938,1263800.0
1999-11-19,EXC,34.5,35.0013,34.688,34.563,970600.0
1999-11-22,EXC,34.063,34.625,34.063,34.5,784800.0
1999-11-23,EXC,33.188,34.0,33.309,33.875,1554800.0
1999-11-24,EXC,32.625,33.188,32.813,33.0011,1558200.0
1999-11-26,EXC,32.75,32.938,32.938,32.8758,310200.0
1999-11-29,EXC,30.75,32.25,31.5,32.25,3851000.0
1999-11-30,EXC,31.875,33.0,32.938,31.875,3136800.0
1999-12-01,EXC,31.938000000000002,32.625,32.188,32.375,1475800.0
1999-12-02,EXC,31.875,33.375,33.375,31.938000000000002,1864000.0
1999-12-03,EXC,32.875,34.125,33.313,33.313,1515600.0
1999-12-06,EXC,33.125,33.875,33.5,33.688,1324000.0
1999-12-07,EXC,33.313,33.813,33.75,33.75,1734200.0
1999-12-08,EXC,33.0,33.625,33.313,33.563,1556400.0
1999-12-09,EXC,32.8735,33.813,33.063,33.688,1468200.0
1999-12-10,EXC,33.313,33.938,33.75,33.313,1250000.0
1999-12-13,EXC,33.0,33.75,33.125,33.75,683800.0
1999-12-14,EXC,32.438,33.188,32.75,33.0,1629800.0
1999-12-15,EXC,32.25,33.625,33.563,32.938,1290000.0
1999-12-16,EXC,33.125,33.5,33.25,33.375,790600.0
1999-12-17,EXC,33.25,33.625,33.563,33.25,2625600.0
1999-12-20,EXC,33.5,34.125,34.0,33.6869,981400.0
1999-12-21,EXC,33.75,34.625,34.313,33.75,1461000.0
1999-12-22,EXC,34.188,34.5,34.5,34.188,1139200.0
1999-12-23,EXC,34.438,34.688,34.625,34.688,877400.0
1999-12-27,EXC,34.4366,35.125,34.5,34.5,706800.0
1999-12-28,EXC,33.813,34.563,34.188,34.25,1198800.0
1999-12-29,EXC,33.5,34.125,33.875,34.125,464200.0
1999-12-30,EXC,33.625,34.75,34.688,33.625,1064600.0
1999-12-31,EXC,17.094,17.5,17.375,17.375,868800.0
2000-01-03,EXC,16.5,17.313,16.938,17.25,917400.0
2000-01-04,EXC,16.563,17.063,16.813,16.7504,890600.0
2000-01-05,EXC,16.813,17.875,17.625,16.813,1035200.0
2000-01-06,EXC,17.188,18.0,17.656,17.438,874200.0
2000-01-07,EXC,17.5,18.688,17.656,17.688,2686600.0
2000-01-10,EXC,18.281,18.844,18.719,18.406,1020400.0
2000-01-11,EXC,18.563,18.844,18.594,18.625,974400.0
2000-01-12,EXC,18.406,18.938,18.75,18.5,1382200.0
2000-01-13,EXC,18.688,19.406,19.313,18.844,1100600.0
2000-01-14,EXC,19.031,19.502,19.25,19.188,1040000.0
2000-01-18,EXC,18.625,19.2198,18.844,19.125,906800.0
2000-01-19,EXC,18.844,19.281,19.188,18.906,1042800.0
2000-01-20,EXC,18.625,19.094,18.906,19.063,961400.0
2000-01-21,EXC,18.781,19.531,19.438,19.1254,3596200.0
2000-01-24,EXC,19.375,20.5,20.313,19.4381,2606000.0
2000-01-25,EXC,19.844,20.281,20.0,20.282,2527600.0
2000-01-26,EXC,19.719,20.563000000000002,20.438,19.938,1538000.0
2000-01-27,EXC,20.469,21.094,21.0,20.5,9224200.0
2000-01-28,EXC,20.594,21.25,20.594,20.906,3436000.0
2000-01-31,EXC,20.281,20.875,20.875,20.625,2972200.0
2000-02-01,EXC,20.609,21.063000000000002,20.781,20.813000000000002,2746000.0
2000-02-02,EXC,20.75,21.156,20.844,20.781,1080000.0
2000-02-03,EXC,20.969,21.8439,21.75,20.969,1765400.0
2000-02-04,EXC,21.4686,21.75,21.5,21.719,5839000.0
2000-02-07,EXC,20.9996,21.438000000000002,21.0,21.313000000000002,1156000.0
2000-02-08,EXC,21.031,21.25,21.188000000000002,21.031,1108200.0
2000-02-09,EXC,21.156,21.469,21.25,21.188000000000002,4433000.0
2000-02-10,EXC,20.969,21.25,20.969,21.125,2660600.0
2000-02-11,EXC,20.594,21.0,20.625,20.906,1441600.0
2000-02-14,EXC,20.406,20.75,20.594,20.6253,3236600.0
2000-02-15,EXC,20.344,20.656,20.438,20.5,1908800.0
2000-02-16,EXC,20.063,20.469,20.375,20.25,2052800.0
2000-02-17,EXC,20.063,20.531,20.125,20.125,1335200.0
2000-02-18,EXC,19.719,20.156,19.781,20.031,973200.0
2000-02-22,EXC,19.813,20.188,19.906,19.813,1546200.0
2000-02-23,EXC,19.781,20.313,20.188,19.781,2460600.0
2000-02-24,EXC,18.813,20.188,19.0,20.1885,1995800.0
2000-02-25,EXC,19.0,19.281,19.281,19.281,1486000.0
2000-02-28,EXC,19.063,19.906,19.656,19.281,887200.0
2000-02-29,EXC,18.656,19.531,18.656,19.531,1613800.0
2000-03-01,EXC,18.75,19.281,18.875,19.25,1197800.0
2000-03-02,EXC,18.813,19.5,19.5,18.875,1188600.0
2000-03-03,EXC,19.531,19.906,19.75,19.813,2300600.0
2000-03-06,EXC,19.313,19.875,19.375,19.75,2042000.0
2000-03-07,EXC,18.844,19.594,18.875,19.375,2483200.0
2000-03-08,EXC,19.0,19.375,19.094,19.0,1318800.0
2000-03-09,EXC,18.906,19.219,19.156,18.969,1543800.0
2000-03-10,EXC,18.938,19.219,19.125,19.031,758800.0
2000-03-13,EXC,18.906,19.125,19.063,19.031,626600.0
2000-03-14,EXC,18.4983,18.969,18.656,18.813,1466400.0
2000-03-15,EXC,18.531,19.344,19.313,18.5634,1899800.0
2000-03-16,EXC,19.313,20.375,20.031,19.313,1312000.0
2000-03-17,EXC,19.188,20.125,19.25,20.063,1210200.0
2000-03-20,EXC,19.0928,19.594,19.219,19.125,872200.0
2000-03-21,EXC,19.063,19.594,19.375,19.125,1362000.0
2000-03-22,EXC,18.75,19.375,18.875,19.375,1228800.0
2000-03-23,EXC,18.594,18.875,18.719,18.75,1411000.0
2000-03-24,EXC,18.656,19.031,19.0,18.75,1105200.0
2000-03-27,EXC,18.656,19.344,18.656,18.813,1122400.0
2000-03-28,EXC,17.9707,18.688,18.344,18.5,1279000.0
2000-03-29,EXC,18.25,18.594,18.594,18.2796,1591200.0
2000-03-30,EXC,18.5,18.781,18.563,18.75,975000.0
2000-03-31,EXC,18.188,18.938,18.438,18.563,2352600.0
2000-04-03,EXC,18.281,18.781,18.469,18.625,656000.0
2000-04-04,EXC,18.594,19.688,19.688,18.594,2341000.0
2000-04-05,EXC,19.813,21.0,20.281,19.813,2886000.0
2000-04-06,EXC,19.625,20.531,19.813,20.219,1463200.0
2000-04-07,EXC,19.688,20.125,19.844,19.75,911800.0
2000-04-10,EXC,19.844,20.844,20.688000000000002,19.8751,1412200.0
2000-04-11,EXC,20.688000000000002,21.344,20.844,20.719,1971200.0
2000-04-12,EXC,20.781,21.75,21.25,20.938000000000002,1775200.0
2000-04-13,EXC,21.344,22.313000000000002,21.781,21.625,1546000.0
2000-04-14,EXC,20.813000000000002,22.469,21.484,21.688000000000002,1809600.0
2000-04-17,EXC,20.094,21.313000000000002,21.0,20.906,1407000.0
2000-04-18,EXC,20.375,21.563000000000002,20.469,21.0,1076800.0
2000-04-19,EXC,19.875,20.5,20.344,20.344,678800.0
2000-04-20,EXC,20.219,20.875,20.813000000000002,20.219,841200.0
2000-04-24,EXC,20.813000000000002,21.469,21.0,20.938000000000002,674200.0
2000-04-25,EXC,20.938000000000002,21.688000000000002,21.594,21.438000000000002,1255200.0
2000-04-26,EXC,21.406,22.094,21.813000000000002,21.5,602000.0
2000-04-27,EXC,21.156,21.938000000000002,21.531,21.938000000000002,1088600.0
2000-04-28,EXC,20.844,21.563000000000002,20.844,21.563000000000002,950200.0
