Date,symbol,Low,High,Close,Open,Volume
2004-08-16,EXR,12.5,12.53,12.5,12.5,188800.0
2004-08-17,EXR,12.5,12.54,12.51,12.4993,153600.0
2004-08-18,EXR,12.5,12.65,12.51,12.5,149800.0
2004-08-19,EXR,12.5,12.55,12.53,12.5,126900.0
2004-08-20,EXR,12.5,12.59,12.55,12.53,144900.0
2004-08-23,EXR,12.5,12.59,12.55,12.55,64400.0
2004-08-24,EXR,12.55,12.99,12.98,12.55,382900.0
2004-08-25,EXR,12.75,13.09,13.0,12.75,500200.0
2004-08-26,EXR,12.95,13.45,13.38,13.05,435200.0
2004-08-27,EXR,13.21,13.63,13.45,13.4,694300.0
2004-08-30,EXR,13.35,13.59,13.48,13.45,119100.0
2004-08-31,EXR,12.9994,13.8,13.8,13.54,261900.0
2004-09-01,EXR,13.42,14.38,13.65,14.3,170900.0
2004-09-02,EXR,13.1,13.88,13.79,13.65,149200.0
2004-09-03,EXR,13.5,13.84,13.65,13.55,88600.0
2004-09-07,EXR,13.46,13.85,13.8,13.55,101100.0
2004-09-08,EXR,13.61,13.83,13.65,13.8,93800.0
2004-09-09,EXR,13.41,13.71,13.49,13.65,113900.0
2004-09-10,EXR,13.25,13.73,13.6,13.4,139900.0
2004-09-13,EXR,12.94,13.75,13.71,13.1,223700.0
2004-09-14,EXR,13.3,13.65,13.51,13.65,130000.0
2004-09-15,EXR,13.09,13.55,13.35,13.3,138800.0
2004-09-16,EXR,13.0987,13.48,13.33,13.35,126300.0
2004-09-17,EXR,12.55,13.64,13.64,12.55,400200.0
2004-09-20,EXR,13.13,13.64,13.35,13.54,112300.0
2004-09-21,EXR,13.28,13.6,13.47,13.3,243700.0
2004-09-22,EXR,13.05,13.62,13.5,13.2,455800.0
2004-09-23,EXR,13.22,13.65,13.29,13.3998,211000.0
2004-09-24,EXR,13.25,13.55,13.5,13.3003,67500.0
2004-09-27,EXR,12.93,13.55,13.05,13.55,182200.0
2004-09-28,EXR,12.63,13.14,12.91,13.06,202900.0
2004-09-29,EXR,12.6,13.12,12.88,13.11,159900.0
2004-09-30,EXR,12.3,12.85,12.75,12.85,1156500.0
2004-10-01,EXR,12.6,13.06,13.0,12.76,217900.0
2004-10-04,EXR,12.9,13.05,12.94,13.01,122500.0
2004-10-05,EXR,12.82,13.03,12.86,12.9,128300.0
2004-10-06,EXR,12.86,13.15,13.1,12.86,447600.0
2004-10-07,EXR,12.96,13.39,13.02,13.0,160200.0
2004-10-08,EXR,13.0,13.22,13.22,13.05,118000.0
2004-10-11,EXR,13.0,13.25,13.1,13.22,90300.0
2004-10-12,EXR,12.97,13.25,13.1,13.1,69000.0
2004-10-13,EXR,12.95,13.3,12.96,13.1502,75500.0
2004-10-14,EXR,12.93,13.0593,13.06,12.96,44100.0
2004-10-15,EXR,12.87,13.17,12.98,13.04,73600.0
2004-10-18,EXR,12.91,13.4,13.12,13.05,52000.0
2004-10-19,EXR,13.05,13.5,13.05,13.1,56200.0
2004-10-20,EXR,12.85,13.1,13.1,12.95,57400.0
2004-10-21,EXR,12.9,13.4,13.38,13.05,49500.0
2004-10-22,EXR,13.29,13.5,13.3,13.3801,75200.0
2004-10-25,EXR,13.2,13.49,13.3,13.27,99500.0
2004-10-26,EXR,13.2,13.7,13.55,13.25,137200.0
2004-10-27,EXR,13.4,14.0,13.9,13.5,173800.0
2004-10-28,EXR,13.8,14.26,13.92,14.0,107400.0
2004-10-29,EXR,13.5,13.96,13.86,13.95,233700.0
2004-11-01,EXR,13.59,13.96,13.74,13.76,60200.0
2004-11-02,EXR,13.8002,14.1,13.86,13.84,93500.0
2004-11-03,EXR,13.6,14.05,13.9,13.9,84400.0
2004-11-04,EXR,13.8,14.24,14.0,13.9,47500.0
2004-11-05,EXR,13.8,14.1499,14.05,14.0,55700.0
2004-11-08,EXR,13.95,14.18,14.05,14.1,63500.0
2004-11-09,EXR,13.8,14.24,14.08,14.05,129100.0
2004-11-10,EXR,13.7,14.47,14.13,14.07,59300.0
2004-11-11,EXR,14.0,14.2,14.15,14.13,44800.0
2004-11-12,EXR,14.04,14.21,14.1,14.15,39100.0
2004-11-15,EXR,13.85,14.55,14.35,14.1,133400.0
2004-11-16,EXR,13.65,14.2,14.1,14.2,74900.0
2004-11-17,EXR,14.1,14.39,14.2,14.15,120700.0
2004-11-18,EXR,13.83,14.25,14.05,14.1,43800.0
2004-11-19,EXR,13.91,14.15,14.05,14.06,22100.0
2004-11-22,EXR,13.8,14.18,14.18,14.05,71600.0
2004-11-23,EXR,13.7,14.4,14.14,14.4,108600.0
2004-11-24,EXR,13.9,14.2,13.98,14.14,80900.0
2004-11-26,EXR,13.86,14.0,13.9,13.98,25400.0
2004-11-29,EXR,13.85,14.1,14.0,13.95,115500.0
2004-11-30,EXR,13.71,14.1,13.9,14.1,83400.0
2004-12-01,EXR,13.71,14.11,14.0,13.85,145900.0
2004-12-02,EXR,14.05,14.25,14.2,14.05,46500.0
2004-12-03,EXR,14.2,14.4,14.35,14.2,75400.0
2004-12-06,EXR,14.0,14.45,14.15,14.45,94800.0
2004-12-07,EXR,13.89,14.1997,14.0,14.15,326800.0
2004-12-08,EXR,14.0,14.15,14.05,14.0097,621000.0
2004-12-09,EXR,13.65,13.86,13.75,13.85,84700.0
2004-12-10,EXR,13.58,13.79,13.68,13.75,83300.0
2004-12-13,EXR,13.27,13.88,13.69,13.75,98600.0
2004-12-14,EXR,13.45,13.7,13.51,13.58,139100.0
2004-12-15,EXR,13.35,13.68,13.36,13.51,75000.0
2004-12-16,EXR,13.26,13.6,13.39,13.36,192700.0
2004-12-17,EXR,13.22,13.47,13.29,13.47,134800.0
2004-12-20,EXR,13.19,13.4,13.28,13.2,63600.0
2004-12-21,EXR,13.2504,13.37,13.36,13.3,112300.0
2004-12-22,EXR,13.26,13.6,13.56,13.36,71200.0
2004-12-23,EXR,13.5,13.79,13.55,13.65,44100.0
2004-12-27,EXR,13.32,13.67,13.43,13.55,31500.0
2004-12-28,EXR,13.35,13.67,13.6,13.43,50400.0
2004-12-29,EXR,13.2,13.66,13.35,13.65,58800.0
2004-12-30,EXR,13.33,13.63,13.4,13.4,98600.0
2004-12-31,EXR,13.26,13.5,13.33,13.5,43700.0
2005-01-03,EXR,12.82,13.48,13.29,13.35,157500.0
2005-01-04,EXR,13.4,13.8,13.42,13.4,74700.0
2005-01-05,EXR,12.96,13.5,13.0,13.5,77800.0
2005-01-06,EXR,13.0,13.5794,13.45,13.1,60800.0
2005-01-07,EXR,13.28,13.95,13.76,13.5,68600.0
2005-01-10,EXR,13.4,13.72,13.41,13.66,123200.0
2005-01-11,EXR,13.1,13.49,13.46,13.4,41800.0
2005-01-12,EXR,13.11,13.57,13.5,13.55,120200.0
2005-01-13,EXR,13.0,13.43,13.05,13.4,281100.0
2005-01-14,EXR,13.19,13.86,13.86,13.25,525800.0
2005-01-18,EXR,12.95,13.45,13.25,13.45,790700.0
2005-01-19,EXR,12.8,13.44,13.3,13.2,1628200.0
2005-01-20,EXR,13.1,13.4,13.15,13.4,229000.0
2005-01-21,EXR,13.07,13.2,13.18,13.18,64500.0
2005-01-24,EXR,13.13,13.25,13.23,13.17,161900.0
2005-01-25,EXR,12.95,13.3,13.11,13.23,246300.0
2005-01-26,EXR,12.8,13.2,12.95,13.2,94400.0
2005-01-27,EXR,12.94,13.06,13.0,12.95,61500.0
2005-01-28,EXR,12.7996,13.1,12.94,13.1,114800.0
2005-01-31,EXR,12.75,13.06,12.97,12.98,208200.0
2005-02-01,EXR,12.95,13.09,13.05,12.97,283000.0
2005-02-02,EXR,12.81,13.19,12.96,13.07,162300.0
2005-02-03,EXR,12.88,13.17,13.0,13.08,76800.0
2005-02-04,EXR,12.88,13.31,13.2,12.9,175800.0
2005-02-07,EXR,13.22,13.37,13.27,13.29,65300.0
2005-02-08,EXR,13.25,13.35,13.35,13.27,65200.0
2005-02-09,EXR,13.2,13.46,13.29,13.37,87300.0
2005-02-10,EXR,13.3,13.58,13.52,13.39,90200.0
2005-02-11,EXR,13.52,13.95,13.84,13.52,84100.0
2005-02-14,EXR,13.6,14.15,13.79,13.94,68000.0
2005-02-15,EXR,13.55,14.1,13.65,13.8,82800.0
2005-02-16,EXR,13.7,14.15,14.03,13.7494,135200.0
2005-02-17,EXR,13.65,14.13,14.03,14.13,102200.0
2005-02-18,EXR,13.76,14.13,13.98,14.13,230400.0
2005-02-22,EXR,13.65,13.98,13.71,13.98,75400.0
2005-02-23,EXR,13.75,13.95,13.8,13.81,60400.0
2005-02-24,EXR,13.64,13.9203,13.8,13.82,227200.0
2005-02-25,EXR,13.75,14.25,14.0,13.75,112000.0
2005-02-28,EXR,13.7,14.0,13.9,14.0,102500.0
2005-03-01,EXR,13.86,14.2004,14.0,14.1,99000.0
2005-03-02,EXR,13.9,14.2402,14.04,14.15,60700.0
2005-03-03,EXR,13.9,14.14,13.9,14.1,51700.0
2005-03-04,EXR,13.96,14.14,14.08,14.1,104600.0
2005-03-07,EXR,13.92,14.13,14.05,14.08,134200.0
2005-03-08,EXR,14.02,14.3,14.1,14.15,36300.0
2005-03-09,EXR,13.7,14.19,14.05,14.05,90700.0
2005-03-10,EXR,13.759,14.15,13.98,14.1,41300.0
2005-03-11,EXR,13.5,13.9413,13.75,13.8,70500.0
2005-03-14,EXR,13.5499,13.81,13.7,13.81,24600.0
2005-03-15,EXR,13.43,13.92,13.51,13.75,31000.0
2005-03-16,EXR,13.22,13.51,13.38,13.51,49700.0
2005-03-17,EXR,13.25,13.54,13.5,13.45,54400.0
2005-03-18,EXR,13.3,13.74,13.61,13.6,268800.0
2005-03-21,EXR,13.38,13.7,13.44,13.65,137000.0
2005-03-22,EXR,13.24,13.5404,13.28,13.4,60600.0
2005-03-23,EXR,12.83,13.25,13.06,13.25,184200.0
2005-03-24,EXR,12.89,13.1,12.97,13.0,54000.0
2005-03-28,EXR,12.62,13.04,12.77,13.0,33100.0
2005-03-29,EXR,12.55,12.8,12.8,12.6702,88300.0
2005-03-30,EXR,12.8899,13.39,13.36,12.9,74600.0
2005-03-31,EXR,12.91,13.4999,13.5,13.3,158700.0
2005-04-01,EXR,12.91,13.64,12.99,13.5588,106000.0
2005-04-04,EXR,12.85,13.0992,12.99,13.05,60200.0
2005-04-05,EXR,12.98,13.24,13.16,12.99,29800.0
2005-04-06,EXR,13.1,13.47,13.19,13.16,46500.0
2005-04-07,EXR,13.12,13.56,13.3,13.15,302800.0
2005-04-08,EXR,12.75,13.4,13.06,13.3,51400.0
2005-04-11,EXR,12.9,13.2,13.01,13.1,27600.0
2005-04-12,EXR,12.81,13.19,13.1,13.02,48700.0
2005-04-13,EXR,13.02,13.35,13.31,13.15,509700.0
2005-04-14,EXR,13.12,13.36,13.28,13.31,180600.0
2005-04-15,EXR,13.08,13.38,13.08,13.28,35600.0
2005-04-18,EXR,13.0,13.2,13.13,13.05,53000.0
2005-04-19,EXR,13.0,13.63,13.15,13.15,70800.0
2005-04-20,EXR,13.05,13.26,13.12,13.13,176800.0
2005-04-21,EXR,13.0,13.25,13.1,13.2,44800.0
2005-04-22,EXR,12.75,13.07,12.82,13.06,120900.0
2005-04-25,EXR,12.8,13.18,13.17,12.82,118400.0
2005-04-26,EXR,12.81,13.25,12.94,13.2,150900.0
2005-04-27,EXR,12.9,13.17,13.04,12.95,31600.0
2005-04-28,EXR,12.85,13.05,12.92,12.97,29700.0
2005-04-29,EXR,12.85,13.04,13.0,13.0,68800.0
2005-05-02,EXR,12.9,13.1,13.0,13.1,35400.0
