Date,symbol,Low,High,Close,Open,Volume
1999-09-28,FAST,45.813,48.688,47.938,48.6885,4401600.0
1999-09-29,FAST,46.75,48.0,46.938,47.75,1688000.0
1999-09-30,FAST,46.75,47.563,47.125,47.25,4017600.0
1999-10-01,FAST,46.4974,47.625,47.218999999999994,46.875,5115200.0
1999-10-04,FAST,47.063,49.938,49.5,47.75,3092800.0
1999-10-05,FAST,48.5,49.688,48.625,49.3716,3723200.0
1999-10-06,FAST,47.313,48.938,47.563,48.938,3316800.0
1999-10-07,FAST,47.063,47.75,47.5,47.5,3344000.0
1999-10-08,FAST,47.063,48.563,47.5,47.375,3198400.0
1999-10-11,FAST,40.0653,46.625,42.0,46.625,20363200.0
1999-10-12,FAST,36.2511,41.438,37.125,41.25,25009600.0
1999-10-13,FAST,37.125,39.188,38.0,37.25,12116800.0
1999-10-14,FAST,35.5,38.125,36.563,38.063,8081600.0
1999-10-15,FAST,34.5,36.188,35.0,36.0,6009600.0
1999-10-18,FAST,34.75,36.25,35.75,35.875,6592000.0
1999-10-19,FAST,34.938,36.625,35.75,35.938,5900800.0
1999-10-20,FAST,34.813,36.125,35.125,36.0,8760000.0
1999-10-21,FAST,34.25,36.5,36.375,35.0,5977600.0
1999-10-22,FAST,36.188,38.625,36.438,37.375,7676800.0
1999-10-25,FAST,36.0,37.625,37.25,36.125,3460800.0
1999-10-26,FAST,36.25,38.2514,36.25,37.75,5209600.0
1999-10-27,FAST,36.0,36.75,36.25,36.75,5321600.0
1999-10-28,FAST,36.313,36.875,36.625,36.875,3443200.0
1999-10-29,FAST,36.25,37.375,36.25,36.625,2624000.0
1999-11-01,FAST,35.5,36.5,35.75,36.25,3131200.0
1999-11-02,FAST,34.0,35.938,35.063,35.75,7419200.0
1999-11-03,FAST,34.875,36.0,35.125,34.875,4404800.0
1999-11-04,FAST,35.5,36.063,35.938,35.75,2371200.0
1999-11-05,FAST,36.375,37.0,36.75,36.375,2808000.0
1999-11-08,FAST,36.5,37.188,37.0,36.875,3004800.0
1999-11-09,FAST,35.188,37.0,35.688,36.875,3340800.0
1999-11-10,FAST,35.125,36.438,35.313,35.75,5164800.0
1999-11-11,FAST,35.375,38.0,37.75,36.5,12841600.0
1999-11-12,FAST,36.3725,39.0,36.875,38.875,5062400.0
1999-11-15,FAST,36.438,38.125,37.875,36.563,5238400.0
1999-11-16,FAST,37.0,38.25,37.375,38.0,5971200.0
1999-11-17,FAST,36.063,38.5,38.438,36.625,3750400.0
1999-11-18,FAST,38.0,41.0,41.0,38.5,7193600.0
1999-11-19,FAST,40.1239,42.5,41.938,41.0,10904000.0
1999-11-22,FAST,40.625,41.688,41.5,41.5,6572800.0
1999-11-23,FAST,40.125,42.0,40.75,41.875,6091200.0
1999-11-24,FAST,40.188,41.25,41.0,41.0,2412800.0
1999-11-26,FAST,40.5,41.063,41.0,41.0,480000.0
1999-11-29,FAST,39.25,41.0,39.375,40.5,1936000.0
1999-11-30,FAST,36.9939,39.5,38.5,39.406,7227200.0
1999-12-01,FAST,37.0,39.063,39.0,37.125,3940800.0
1999-12-02,FAST,38.625,39.1269,39.063,39.125,1484800.0
1999-12-03,FAST,38.5,39.125,39.063,38.625,8300800.0
1999-12-06,FAST,37.875,39.563,38.625,38.875,2132800.0
1999-12-07,FAST,37.375,38.688,37.5,38.625,3508800.0
1999-12-08,FAST,36.5,37.5,36.5,37.375,4003200.0
1999-12-09,FAST,36.063,37.125,36.563,37.0,1940800.0
1999-12-10,FAST,35.875,36.7504,36.0,36.625,1966400.0
1999-12-13,FAST,35.0,37.688,37.125,35.938,9184000.0
1999-12-14,FAST,36.5,37.875,36.625,36.75,3089600.0
1999-12-15,FAST,36.5,38.25,37.938,36.875,5121600.0
1999-12-16,FAST,37.5,38.125,37.75,37.875,6985600.0
1999-12-17,FAST,36.891,39.906,38.563,39.766,19998400.0
1999-12-20,FAST,38.25,39.188,38.75,38.688,4734400.0
1999-12-21,FAST,38.75,39.75,39.75,38.75,3113600.0
1999-12-22,FAST,39.313,40.813,40.375,39.75,3305600.0
1999-12-23,FAST,40.375,43.0,41.813,40.406,5764800.0
1999-12-27,FAST,41.75,43.688,43.438,42.188,4182400.0
1999-12-28,FAST,43.125,45.7513,44.0,43.125,4280000.0
1999-12-29,FAST,43.188,45.375,44.875,44.063,2536000.0
1999-12-30,FAST,44.75,45.563,44.875,44.75,2900800.0
1999-12-31,FAST,44.078,46.3727,44.938,44.75,2507200.0
2000-01-03,FAST,41.9988,45.0,42.438,44.75,1889600.0
2000-01-04,FAST,39.938,42.5,40.0,42.125,1691200.0
2000-01-05,FAST,39.75,41.938,41.688,39.938,3872000.0
2000-01-06,FAST,41.25,42.375,41.688,41.875,1435200.0
2000-01-07,FAST,41.5,42.25,41.625,41.688,4795200.0
2000-01-10,FAST,40.5,41.75,40.563,41.75,2587200.0
2000-01-11,FAST,40.5,41.25,40.875,40.5,4742400.0
2000-01-12,FAST,39.8728,41.0,40.094,40.625,3872000.0
2000-01-13,FAST,40.063,48.688,46.25,40.063,12150400.0
2000-01-14,FAST,44.875,46.5,44.938,46.25,5040000.0
2000-01-18,FAST,44.375,45.5,44.438,44.875,2755200.0
2000-01-19,FAST,45.375,49.938,47.875,45.563,7625600.0
2000-01-20,FAST,48.25,50.3745,48.813,48.938,9560000.0
2000-01-21,FAST,48.25,49.438,48.968999999999994,48.75,6924800.0
2000-01-24,FAST,45.5,49.0,46.063,48.875,2564800.0
2000-01-25,FAST,45.875,47.625,47.063,46.25,2841600.0
2000-01-26,FAST,47.063,49.25,49.125,47.125,2822400.0
2000-01-27,FAST,47.5,50.125,49.25,48.75,3633600.0
2000-01-28,FAST,46.75,49.25,46.906000000000006,49.25,3947200.0
2000-01-31,FAST,43.4412,47.5,43.75,47.5,5960000.0
2000-02-01,FAST,43.875,46.875,45.188,43.875,3198400.0
2000-02-02,FAST,45.188,48.5,47.843999999999994,45.25,4088000.0
2000-02-03,FAST,47.563,49.75,48.5,47.563,2648000.0
2000-02-04,FAST,47.813,49.563,49.188,48.125,1017600.0
2000-02-07,FAST,48.125,49.375,49.063,49.125,1769600.0
2000-02-08,FAST,47.8101,49.625,49.063,49.25,2774400.0
2000-02-09,FAST,47.875,49.0,47.875,48.813,2102400.0
2000-02-10,FAST,46.125,47.6261,47.063,47.625,4472000.0
2000-02-11,FAST,46.3779,47.063,46.5,46.875,1816000.0
2000-02-14,FAST,46.3746,47.188,47.0,46.563,1644800.0
2000-02-15,FAST,45.75,47.0,45.938,47.0,4697600.0
2000-02-16,FAST,44.75,45.688,44.75,45.25,2145600.0
2000-02-17,FAST,43.375,45.563,44.875,44.75,2067200.0
2000-02-18,FAST,44.125,45.375,44.188,44.875,2516800.0
2000-02-22,FAST,41.875,44.125,42.375,44.0,2652800.0
2000-02-23,FAST,41.813,43.75,43.468999999999994,41.9995,2182400.0
2000-02-24,FAST,42.0,43.75,42.125,43.75,2209600.0
2000-02-25,FAST,42.0,43.313,42.0,42.125,1988800.0
2000-02-28,FAST,40.422,42.125,41.875,41.875,3422400.0
2000-02-29,FAST,41.688,44.875,44.188,42.188,3107200.0
2000-03-01,FAST,43.063,45.813,45.438,43.5,2846400.0
2000-03-02,FAST,42.5,45.438,42.5,45.313,3296000.0
2000-03-03,FAST,42.5,44.5,44.375,42.875,4179200.0
2000-03-06,FAST,42.5,44.125,43.313,44.0,3012800.0
2000-03-07,FAST,40.875,43.5,41.063,43.375,2353600.0
2000-03-08,FAST,40.688,41.4992,41.125,41.125,1936000.0
2000-03-09,FAST,40.875,41.5001,41.063,41.5,2968000.0
2000-03-10,FAST,38.0,41.063,38.0,41.0646,5560000.0
2000-03-13,FAST,36.5,38.25,37.75,38.125,3480000.0
2000-03-14,FAST,35.688,38.5,35.688,38.0,4971200.0
2000-03-15,FAST,35.813,39.75,39.375,36.375,11646400.0
2000-03-16,FAST,40.875,44.5,44.063,40.8747,16721600.0
2000-03-17,FAST,41.125,44.938,43.688,42.0,5323200.0
2000-03-20,FAST,42.625,44.438,43.0,44.313,5425600.0
2000-03-21,FAST,42.5,46.0,45.875,43.0,4761600.0
2000-03-22,FAST,45.375,47.25,47.125,45.875,9145600.0
2000-03-23,FAST,44.75,47.125,45.875,46.25,3656000.0
2000-03-24,FAST,46.0,47.25,47.125,46.0656,820800.0
2000-03-27,FAST,45.0,48.0,45.0,47.75,1136000.0
2000-03-28,FAST,45.0,47.5,46.625,45.625,1667200.0
2000-03-29,FAST,46.5,47.0,46.813,46.625,2126400.0
2000-03-30,FAST,46.375,47.375,46.875,46.875,2200000.0
2000-03-31,FAST,46.438,48.625,47.875,46.4994,5968000.0
2000-04-03,FAST,45.0,48.25,45.188,47.75,3328000.0
2000-04-04,FAST,44.75,46.563,45.5,45.563,2745600.0
2000-04-05,FAST,42.063,45.5,44.875,45.5004,1156800.0
2000-04-06,FAST,45.0,47.938,46.375,45.063,2457600.0
2000-04-07,FAST,46.375,48.438,48.313,46.6581,2555200.0
2000-04-10,FAST,48.0,52.438,50.5,48.0,8380800.0
2000-04-11,FAST,49.25,51.063,50.968999999999994,50.75,4742400.0
2000-04-12,FAST,51.875,57.75,56.5,51.875,24448000.0
2000-04-13,FAST,55.0,58.75,58.125,55.438,15568000.0
2000-04-14,FAST,55.875,59.25,58.125,57.5,20377600.0
2000-04-17,FAST,55.25,58.0,57.813,57.25,14888000.0
2000-04-18,FAST,55.688,57.843999999999994,56.25,57.688,6566400.0
2000-04-19,FAST,54.0,56.5,54.25,56.5,5542400.0
2000-04-20,FAST,53.5,54.688,53.75,54.0,4049600.0
2000-04-24,FAST,52.625,59.5,58.0,52.75,9606400.0
2000-04-25,FAST,57.375,59.125,57.625,58.5,7291200.0
2000-04-26,FAST,53.5,58.75,55.188,57.5,2483200.0
2000-04-27,FAST,53.25,57.375,57.375,53.75,2328000.0
2000-04-28,FAST,56.75,58.875,58.438,56.75,3032000.0
2000-05-01,FAST,58.5,63.875,62.438,58.625,18414400.0
2000-05-02,FAST,62.0,63.75,62.75,62.375,7476800.0
2000-05-03,FAST,61.25,64.125,63.313,61.625,11558400.0
2000-05-04,FAST,61.875,65.688,65.125,62.25,8257600.0
2000-05-05,FAST,64.127,66.0,65.875,64.125,4587200.0
2000-05-08,FAST,65.375,66.875,66.063,65.75,2580800.0
2000-05-09,FAST,66.125,67.563,67.313,67.0,10184000.0
2000-05-10,FAST,64.5,67.188,65.125,66.75,6844800.0
2000-05-11,FAST,63.0662,68.75,67.063,64.0,6652800.0
2000-05-12,FAST,67.25,71.5,69.375,67.875,17140800.0
2000-05-15,FAST,68.375,71.75,70.813,68.813,10867200.0
2000-05-16,FAST,70.2531,73.313,71.125,70.25,9043200.0
2000-05-17,FAST,68.875,70.75,70.375,70.375,3486400.0
2000-05-18,FAST,69.0,71.0,69.5,70.875,2620800.0
2000-05-19,FAST,65.75,69.0,66.875,68.4948,1604800.0
2000-05-22,FAST,61.0,66.5,65.5,66.188,3475200.0
2000-05-23,FAST,62.125,67.844,62.125,65.0,5844800.0
2000-05-24,FAST,60.0,64.375,63.875,62.125,4622400.0
2000-05-25,FAST,62.641000000000005,67.0,63.125,64.25,10820800.0
2000-05-26,FAST,59.0,62.813,59.375,62.5,4249600.0
2000-05-30,FAST,59.375,64.9934,62.938,59.625,5720000.0
2000-05-31,FAST,62.188,64.313,63.125,62.438,2475200.0
2000-06-01,FAST,63.125,66.125,65.375,63.125,4814400.0
2000-06-02,FAST,65.5,66.75,65.5,66.2522,1691200.0
2000-06-05,FAST,62.75,66.0,63.938,65.625,3393600.0
2000-06-06,FAST,61.2497,65.0,61.563,65.0,3550400.0
2000-06-07,FAST,59.6247,63.5,59.75,61.593999999999994,11520000.0
2000-06-08,FAST,57.5,59.75,58.25,59.563,7406400.0
2000-06-09,FAST,54.75,58.75,55.75,58.25,5878400.0
2000-06-12,FAST,45.25,55.875,47.625,55.875,37417600.0
2000-06-13,FAST,48.25,55.375,55.188,48.375,25139200.0
2000-06-14,FAST,51.5,55.688,52.938,54.5,7380800.0
2000-06-15,FAST,51.25,54.125,54.0,52.563,7208000.0
2000-06-16,FAST,52.313,54.063,52.438,53.906000000000006,2619200.0
2000-06-19,FAST,48.5,53.188,51.188,52.688,7529600.0
2000-06-20,FAST,50.0,51.7525,50.75,51.563,1848000.0
2000-06-21,FAST,49.75,51.0,49.938,51.0,1576000.0
2000-06-22,FAST,49.0,50.5,49.0,50.25,3560000.0
2000-06-23,FAST,47.5,50.125,49.375,48.938,2944000.0
2000-06-26,FAST,49.0042,51.875,51.125,49.125,5086400.0
2000-06-27,FAST,51.0,54.5,53.625,51.063,5571200.0
2000-06-28,FAST,53.188,55.063,54.938,53.625,4184000.0
2000-06-29,FAST,54.0,54.938,54.563,54.625,7086400.0
2000-06-30,FAST,50.125,54.813,50.625,54.5,4694400.0
2000-07-03,FAST,51.063,54.0,53.0,51.375,851200.0
2000-07-05,FAST,51.5,53.375,51.5,53.0,2532800.0
2000-07-06,FAST,52.25,54.25,53.125,52.25,2603200.0
2000-07-07,FAST,53.2523,57.5,56.938,53.281000000000006,3614400.0
2000-07-10,FAST,56.0,59.75,58.688,56.063,3283200.0
2000-07-11,FAST,58.0,60.438,59.75,58.313,1932800.0
2000-07-12,FAST,59.625,63.5,63.125,59.625,5900800.0
2000-07-13,FAST,62.813,64.25,63.688,63.5,3270400.0
2000-07-14,FAST,62.625,64.0,63.563,64.0,1766400.0
2000-07-17,FAST,63.0,66.0,65.875,63.0,4307200.0
2000-07-18,FAST,64.25,65.875,64.563,65.25,2444800.0
2000-07-19,FAST,64.125,64.75,64.5,64.125,748800.0
2000-07-20,FAST,64.0,65.25,64.938,64.5,648000.0
2000-07-21,FAST,64.0,65.625,65.5,64.0,966400.0
2000-07-24,FAST,61.5,65.5,61.688,64.5,2395200.0
2000-07-25,FAST,61.0,62.7487,62.0,62.0,1112000.0
2000-07-26,FAST,61.1275,62.0,62.0,61.375,1313600.0
2000-07-27,FAST,61.0,62.25,62.188,62.0,2284800.0
2000-07-28,FAST,59.9945,62.25,60.875,62.25,2214400.0
2000-07-31,FAST,60.5,62.858999999999995,61.75,60.4976,2129600.0
2000-08-01,FAST,61.0,61.875,61.25,61.5,2393600.0
2000-08-02,FAST,61.125,63.0,62.563,61.125,1715200.0
2000-08-03,FAST,61.9979,63.75,63.5,62.0,1691200.0
2000-08-04,FAST,62.625,66.188,66.094,62.75,2713600.0
2000-08-07,FAST,65.25,67.0,66.5,65.4991,1758400.0
2000-08-08,FAST,66.063,67.938,67.313,66.375,1292800.0
2000-08-09,FAST,65.8107,67.375,65.875,67.375,1080000.0
2000-08-10,FAST,64.25,66.5,64.813,65.75,1545600.0
2000-08-11,FAST,64.25,66.563,65.75,64.25,2483200.0
2000-08-14,FAST,64.625,66.4979,65.75,65.625,1998400.0
2000-08-15,FAST,64.5,66.0,64.813,65.938,2452800.0
2000-08-16,FAST,64.625,66.938,65.5,64.625,2033600.0
2000-08-17,FAST,65.25,67.75,67.063,65.25,2760000.0
2000-08-18,FAST,66.5,68.5,67.438,66.625,1987200.0
2000-08-21,FAST,65.625,67.313,66.063,67.188,3126400.0
2000-08-22,FAST,65.063,67.5,66.0,66.0016,2259200.0
2000-08-23,FAST,65.1303,66.469,65.5,65.625,2755200.0
2000-08-24,FAST,65.0,66.375,66.188,65.625,1380800.0
2000-08-25,FAST,65.375,66.75,66.563,66.0,1102400.0
2000-08-28,FAST,66.563,67.125,66.625,66.75,478400.0
2000-08-29,FAST,66.0,67.125,66.875,66.938,1811200.0
2000-08-30,FAST,66.438,68.75,68.188,66.625,1918400.0
2000-08-31,FAST,63.875,68.875,63.875,68.75,2321600.0
2000-09-01,FAST,63.625,65.5,65.188,64.031,6137600.0
2000-09-05,FAST,63.688,65.5,63.688,65.5,1062400.0
2000-09-06,FAST,62.0,64.375,62.063,63.75,2921600.0
2000-09-07,FAST,59.875,63.0,61.125,62.438,2697600.0
2000-09-08,FAST,60.0,61.5,60.375,61.188,3398400.0
2000-09-11,FAST,60.5,63.0,60.953,61.0,3387200.0
2000-09-12,FAST,60.438,61.938,61.813,61.0,507200.0
2000-09-13,FAST,60.0,61.8151,60.063,61.813,2862400.0
2000-09-14,FAST,59.5,60.5,59.813,60.063,3480000.0
2000-09-15,FAST,57.5041,59.813,57.688,59.0,5928000.0
2000-09-18,FAST,56.5604,57.625,56.875,57.625,2382400.0
2000-09-19,FAST,54.5,57.625,56.563,57.0,1491200.0
2000-09-20,FAST,54.688,58.5,55.5,56.5029,2811200.0
2000-09-21,FAST,54.375,56.125,54.813,55.188,2665600.0
2000-09-22,FAST,54.125,56.5,56.5,54.188,1323200.0
2000-09-25,FAST,56.375,59.0,56.625,56.375,2828800.0
2000-09-26,FAST,56.125,59.125,58.625,56.5648,3328000.0
2000-09-27,FAST,57.5,59.0,58.25,58.875,1915200.0
2000-09-28,FAST,57.25,59.125,59.0,58.25,875200.0
2000-09-29,FAST,57.0,59.0,57.625,59.0,1435200.0
2000-10-02,FAST,56.5,58.125,56.563,57.25,2136000.0
2000-10-03,FAST,53.625,57.125,53.688,56.25,3492800.0
2000-10-04,FAST,50.813,55.938,55.188,53.0,4616000.0
2000-10-05,FAST,54.5,56.25,56.047,55.5,1601600.0
2000-10-06,FAST,55.0,59.0,55.5,57.0,3227200.0
2000-10-09,FAST,55.125,56.5,56.125,56.0,1691200.0
2000-10-10,FAST,55.5,58.063,57.688,56.0,3990400.0
2000-10-11,FAST,52.0,55.25,52.125,55.25,11966400.0
2000-10-12,FAST,45.1252,52.0,46.375,51.875,26889600.0
2000-10-13,FAST,46.375,48.5,47.625,46.375,10593600.0
2000-10-16,FAST,47.125,50.625,49.438,47.75,10822400.0
2000-10-17,FAST,48.75,50.875,49.063,50.438,7694400.0
2000-10-18,FAST,47.688,50.25,49.813,47.688,6456000.0
2000-10-19,FAST,49.563,50.8755,50.25,49.813,2742400.0
2000-10-20,FAST,50.375,50.875,50.438,50.483999999999995,1004800.0
2000-10-23,FAST,50.3754,51.75,51.0,50.625,2150400.0
2000-10-24,FAST,49.063,51.5,49.375,51.5,5828800.0
2000-10-25,FAST,49.0,50.375,49.5,49.031000000000006,3372800.0
2000-10-26,FAST,50.25,52.0,51.125,51.25,3070400.0
2000-10-27,FAST,51.1267,52.875,52.75,51.125,1123200.0
2000-10-30,FAST,51.625,55.375,54.75,52.483999999999995,5867200.0
2000-10-31,FAST,54.75,59.125,57.438,55.438,5756800.0
2000-11-01,FAST,55.875,58.938,56.688,57.188,3390400.0
2000-11-02,FAST,55.875,58.0,57.75,58.0,1969600.0
2000-11-03,FAST,57.0,58.25,57.0,58.25,2108800.0
2000-11-06,FAST,56.5,58.1276,57.188,57.063,1497600.0
2000-11-07,FAST,57.0,58.5,58.125,57.25,1464000.0
2000-11-08,FAST,57.438,58.563,58.047,57.875,1732800.0
2000-11-09,FAST,54.125,58.188,55.063,58.0,2268800.0
2000-11-10,FAST,52.1262,55.625,52.188,55.0,1952000.0
2000-11-13,FAST,51.813,54.25,53.813,53.0,1470400.0
2000-11-14,FAST,54.0,57.0,56.0,54.063,1995200.0
2000-11-15,FAST,54.5,56.5,54.625,55.875,1876800.0
2000-11-16,FAST,53.125,55.375,53.813,54.5,1723200.0
