Date,symbol,Low,High,Close,Open,Volume
2012-05-18,FB,38.0,45.0,38.232,42.05,573576400.0
2012-05-21,FB,33.0,36.66,34.03,36.53,168192700.0
2012-05-22,FB,30.94,33.59,31.0,32.61,101786600.0
2012-05-23,FB,31.36,32.5,32.0,31.37,73600000.0
2012-05-24,FB,31.77,33.21,33.03,32.95,50237200.0
2012-05-25,FB,31.11,32.95,31.91,32.9,37149800.0
2012-05-29,FB,28.65,31.69,28.84,31.48,78063400.0
2012-05-30,FB,27.86,29.55,28.19,28.6937,57267900.0
2012-05-31,FB,26.83,29.67,29.6,28.545,111639200.0
2012-06-01,FB,27.39,29.153000000000002,27.72,28.892,41855500.0
2012-06-04,FB,26.44,27.65,26.9,27.2,35230300.0
2012-06-05,FB,25.75,27.7584,25.869,26.7,42473400.0
2012-06-06,FB,25.52,27.17,26.81,26.07,61489200.0
2012-06-07,FB,26.15,27.35,26.31,27.0,26159500.0
2012-06-08,FB,26.44,27.76,27.1,26.55,38034000.0
2012-06-11,FB,26.835,28.07,27.005,27.18,28219600.0
2012-06-12,FB,26.96,27.77,27.4,27.48,15816800.0
2012-06-13,FB,27.1,28.1,27.27,27.66,17102800.0
2012-06-14,FB,27.38,28.32,28.29,27.65,16855000.0
2012-06-15,FB,28.35,30.1,30.014,28.505,43563800.0
2012-06-18,FB,29.41,32.08,31.41,29.955,42978900.0
2012-06-19,FB,30.7,32.18,31.910999999999998,31.535,30849000.0
2012-06-20,FB,31.15,31.9309,31.6,31.92,15553600.0
2012-06-21,FB,31.51,32.5,31.84,31.67,21875300.0
2012-06-22,FB,32.06,33.45,33.05,32.41,74834000.0
2012-06-25,FB,31.55,33.02,32.06,32.86,24352900.0
2012-06-26,FB,32.5,33.44,33.1,32.69,24858700.0
2012-06-27,FB,31.9,32.9,32.23,32.46,28568000.0
2012-06-28,FB,30.9,32.19,31.36,31.96,17713300.0
2012-06-29,FB,30.76,31.99,31.095,31.92,19526900.0
2012-07-02,FB,30.55,31.73,30.771,31.25,14122000.0
2012-07-03,FB,30.8,31.44,31.2,30.91,8763600.0
2012-07-05,FB,31.02,31.625,31.47,31.3191,10032100.0
2012-07-06,FB,31.26,31.9,31.73,31.44,10945600.0
2012-07-09,FB,31.99,32.88,32.17,32.1,17785200.0
2012-07-10,FB,31.16,32.48,31.47,32.43,14269500.0
2012-07-11,FB,30.55,31.56,30.97,31.48,13030300.0
2012-07-12,FB,30.6,31.4,30.81,30.7,11300700.0
2012-07-13,FB,30.56,31.07,30.72,31.04,8108300.0
2012-07-16,FB,28.21,30.5,28.245,30.5,24672100.0
2012-07-17,FB,27.15,28.59,28.09,28.48,30438600.0
2012-07-18,FB,28.15,29.29,29.11,28.31,16841800.0
2012-07-19,FB,28.63,29.5,29.0,29.41,13685100.0
2012-07-20,FB,28.72,29.47,28.76,29.0,11869100.0
2012-07-23,FB,28.01,29.0,28.75,28.12,12390700.0
2012-07-24,FB,28.1,29.45,28.45,28.82,11539800.0
2012-07-25,FB,28.08,29.49,29.34,28.39,17230200.0
2012-07-26,FB,26.73,28.23,26.845,27.75,64597400.0
2012-07-27,FB,22.28,24.54,23.705,23.19,123102300.0
2012-07-30,FB,23.03,24.0417,23.15,23.995,29285900.0
2012-07-31,FB,21.61,23.37,21.71,23.37,56179400.0
2012-08-01,FB,20.84,21.58,20.88,21.5,44604400.0
2012-08-02,FB,19.82,20.84,20.04,20.77,56374500.0
2012-08-03,FB,19.9009,22.16,21.09,20.36,80647000.0
2012-08-06,FB,21.3,22.15,21.92,21.39,27778900.0
2012-08-07,FB,20.5,22.45,20.72,22.2,36782900.0
2012-08-08,FB,20.22,21.15,20.72,20.71,29537400.0
2012-08-09,FB,20.61,21.17,21.01,20.75,15610700.0
2012-08-10,FB,21.13,21.82,21.807,21.41,25794700.0
2012-08-13,FB,21.4,22.45,21.6,22.15,24973100.0
2012-08-14,FB,20.25,21.6,20.38,21.4091,39308800.0
2012-08-15,FB,20.4,21.41,21.2,20.64,47861100.0
2012-08-16,FB,19.69,20.48,19.87,20.44,157565300.0
2012-08-17,FB,19.0,20.08,19.05,20.005,129293400.0
2012-08-20,FB,18.75,20.13,20.011,19.05,101186600.0
2012-08-21,FB,19.09,19.98,19.159000000000002,19.58,70640600.0
2012-08-22,FB,18.96,19.53,19.439,19.36,49892200.0
2012-08-23,FB,19.36,19.73,19.44,19.5,32813700.0
2012-08-24,FB,19.25,19.68,19.409000000000002,19.52,29622200.0
2012-08-27,FB,19.1,19.53,19.15,19.49,20704000.0
2012-08-28,FB,18.9515,19.38,19.34,19.1,25417000.0
2012-08-29,FB,19.07,19.38,19.1,19.32,16124700.0
2012-08-30,FB,19.06,19.45,19.088,19.27,30647500.0
2012-08-31,FB,18.03,18.7,18.058,18.68,58764200.0
2012-09-04,FB,17.55,18.27,17.729,18.08,46622400.0
2012-09-05,FB,18.18,18.75,18.58,18.27,60781800.0
2012-09-06,FB,18.72,19.262,18.96,18.74,46066500.0
2012-09-07,FB,18.78,19.42,18.98,19.1,36371700.0
2012-09-10,FB,18.55,19.2,18.81,19.06,24797800.0
2012-09-11,FB,18.85,19.581,19.43,18.92,50508200.0
2012-09-12,FB,20.28,21.16,20.930999999999997,20.76,121584000.0
2012-09-13,FB,20.61,21.48,20.713,20.955,65041600.0
2012-09-14,FB,20.9,22.08,22.0,21.13,72819800.0
2012-09-17,FB,21.5,22.75,21.52,22.67,50667600.0
2012-09-18,FB,21.37,21.98,21.87,21.6,36760500.0
2012-09-19,FB,21.77,23.37,23.29,21.99,78782800.0
2012-09-20,FB,22.54,23.24,22.59,23.02,57248900.0
2012-09-21,FB,22.6,23.24,22.86,22.97,51218100.0
2012-09-24,FB,20.363,21.98,20.79,21.7799,79106500.0
2012-09-25,FB,20.22,21.21,20.28,21.2,46291700.0
2012-09-26,FB,19.8,20.78,20.62,20.145,38271900.0
2012-09-27,FB,20.16,21.0,20.32,20.9884,30215900.0
2012-09-28,FB,20.5,21.95,21.66,20.57,65486000.0
2012-10-01,FB,21.73,22.59,21.99,22.08,51262700.0
2012-10-02,FB,21.82,22.49,22.27,22.08,29341400.0
2012-10-03,FB,21.8,22.4881,21.83,22.295,32000100.0
2012-10-04,FB,21.41,22.4,21.948,22.32,46892100.0
2012-10-05,FB,20.88,21.63,20.91,21.49,40529300.0
2012-10-08,FB,20.155,20.75,20.4,20.4,32236700.0
2012-10-09,FB,19.97,20.55,20.227,20.3907,27161800.0
2012-10-10,FB,19.45,19.94,19.64,19.93,39321800.0
2012-10-11,FB,19.61,19.96,19.75,19.88,21817300.0
2012-10-12,FB,19.48,19.8,19.518,19.75,18809400.0
2012-10-15,FB,19.49,19.88,19.52,19.68,20189700.0
2012-10-16,FB,19.3,19.69,19.48,19.68,21834700.0
2012-10-17,FB,19.372,20.48,19.88,19.5,44074500.0
2012-10-18,FB,18.89,19.79,18.975,19.7,52157400.0
2012-10-19,FB,18.8,19.06,19.0,18.9995,34835000.0
2012-10-22,FB,19.05,19.43,19.320999999999998,19.2,32447300.0
2012-10-23,FB,19.1,19.8,19.5,19.25,78381200.0
2012-10-24,FB,22.85,24.25,23.23,24.13,228949900.0
2012-10-25,FB,22.47,23.31,22.56,23.29,76142000.0
2012-10-26,FB,21.88,22.88,21.941999999999997,22.4,73175800.0
2012-10-31,FB,20.73,21.5,21.11,20.82,99378200.0
2012-11-01,FB,21.01,21.44,21.21,21.08,37713900.0
2012-11-02,FB,21.07,21.69,21.18,21.26,38344400.0
2012-11-05,FB,20.92,21.48,21.25,21.0997,31806700.0
2012-11-06,FB,20.99,21.37,21.171,21.24,29062700.0
2012-11-07,FB,20.37,20.95,20.47,20.85,33396800.0
2012-11-08,FB,19.98,20.73,19.99,20.52,34254600.0
2012-11-09,FB,19.13,20.0,19.21,19.955,42295500.0
2012-11-12,FB,18.87,20.17,20.07,19.15,67349200.0
2012-11-13,FB,19.56,20.11,19.86,19.605,71775100.0
2012-11-14,FB,19.93,22.5,22.36,20.1,229751000.0
2012-11-15,FB,21.65,22.5,22.17,22.34,78857700.0
2012-11-16,FB,22.18,23.93,23.561,22.25,107182200.0
2012-11-19,FB,22.82,24.12,22.92,23.955,85021300.0
2012-11-20,FB,22.7,23.898000000000003,23.1,22.73,46655300.0
2012-11-21,FB,23.05,24.53,24.32,23.22,89862400.0
2012-11-23,FB,23.88,24.68,23.998,24.58,29520900.0
2012-11-26,FB,24.81,26.09,25.94,24.935,123865000.0
2012-11-27,FB,25.46,26.5,26.15,26.04,85760600.0
2012-11-28,FB,25.75,26.49,26.36,25.94,49205600.0
2012-11-29,FB,26.16,27.52,27.32,26.5,88759700.0
2012-11-30,FB,26.76,27.9982,28.0,27.26,127049600.0
2012-12-03,FB,26.98,28.88,27.04,28.0,123526100.0
2012-12-04,FB,26.68,27.76,27.46,27.0609,72869200.0
2012-12-05,FB,27.2595,27.9,27.71,27.75,58976300.0
2012-12-06,FB,26.82,27.75,26.97,27.68,46001500.0
2012-12-07,FB,26.84,27.78,27.485,27.0692,51751900.0
2012-12-10,FB,27.1,28.17,27.84,27.17,50608500.0
2012-12-11,FB,27.66,28.24,27.98,28.07,77099100.0
2012-12-12,FB,27.37,28.14,27.58,28.0,46704200.0
2012-12-13,FB,27.43,28.75,28.24,27.59,81051600.0
2012-12-14,FB,26.76,28.33,26.811999999999998,28.18,91631600.0
2012-12-17,FB,26.32,27.0,26.75,26.77,57742500.0
2012-12-18,FB,26.9,27.91,27.71,26.96,60512900.0
2012-12-19,FB,26.95,28.22,27.41,27.83,61390300.0
2012-12-20,FB,27.13,27.6,27.36,27.49,35574800.0
2012-12-21,FB,26.12,27.01,26.26,26.66,54555200.0
2012-12-24,FB,26.2,26.96,26.93,26.5,28230100.0
2012-12-26,FB,26.375,27.18,26.51,27.03,33175400.0
2012-12-27,FB,25.52,26.8,26.05,26.55,43481700.0
2012-12-28,FB,25.15,26.11,25.910999999999998,25.48,56574800.0
2012-12-31,FB,26.11,26.99,26.62,26.2,60374500.0
2013-01-02,FB,27.42,28.18,28.0,27.4409,69846400.0
2013-01-03,FB,27.59,28.47,27.77,27.88,63140600.0
2013-01-04,FB,27.83,28.93,28.76,28.01,72715400.0
2013-01-07,FB,28.65,29.79,29.421,28.69,83781800.0
2013-01-08,FB,28.86,29.6,29.061,29.51,45871300.0
2013-01-09,FB,29.4885,30.6,30.59,29.67,104787700.0
2013-01-10,FB,30.28,31.45,31.3,30.6,95316400.0
2013-01-11,FB,31.1,31.96,31.72,31.28,89598000.0
2013-01-14,FB,30.62,32.21,30.948,32.08,98892800.0
2013-01-15,FB,29.877,31.71,30.1,30.64,173242600.0
2013-01-16,FB,29.53,30.35,29.85,30.21,75332700.0
2013-01-17,FB,30.03,30.42,30.14,30.08,40256700.0
2013-01-18,FB,29.27,30.44,29.66,30.31,49631500.0
2013-01-22,FB,29.74,30.89,30.729,29.75,55243300.0
2013-01-23,FB,30.8,31.5,30.82,31.1,48899800.0
2013-01-24,FB,30.81,31.49,31.08,31.27,43845100.0
2013-01-25,FB,31.13,31.93,31.54,31.4125,54363600.0
2013-01-28,FB,31.81,32.506,32.469,31.88,59682500.0
2013-01-29,FB,30.71,32.07,30.79,32.0,72976500.0
2013-01-30,FB,30.88,31.49,31.24,30.98,87682100.0
2013-01-31,FB,28.74,31.47,30.980999999999998,29.15,190744900.0
2013-02-01,FB,29.63,31.02,29.73,31.01,85856700.0
2013-02-04,FB,28.01,29.2,28.109,29.06,92362200.0
2013-02-05,FB,28.04,28.959,28.64,28.26,47948200.0
2013-02-06,FB,28.66,29.29,29.05,28.74,38375900.0
2013-02-07,FB,28.27,29.15,28.65,29.11,34540100.0
2013-02-08,FB,28.51,29.17,28.545,28.89,37708800.0
2013-02-11,FB,28.04,28.68,28.26,28.61,37361800.0
2013-02-12,FB,27.1,28.16,27.37,27.67,93498700.0
2013-02-13,FB,27.31,28.32,27.906999999999996,27.3587,50164000.0
2013-02-14,FB,28.01,28.63,28.5,28.02,35615800.0
2013-02-15,FB,28.09,28.75,28.32,28.52,33109300.0
2013-02-19,FB,28.1194,29.08,28.93,28.23,49396400.0
2013-02-20,FB,28.33,29.05,28.462,28.9211,42098200.0
2013-02-21,FB,27.15,28.5486,27.283,28.28,49642300.0
2013-02-22,FB,26.82,27.63,27.13,27.62,36350200.0
2013-02-25,FB,27.1499,27.64,27.27,27.16,34652000.0
2013-02-26,FB,26.7,27.46,27.39,27.36,31611700.0
2013-02-27,FB,26.63,27.34,26.87,27.34,44319700.0
2013-02-28,FB,26.34,27.3,27.25,26.84,83027800.0
2013-03-01,FB,26.81,28.116,27.78,27.05,54064800.0
2013-03-04,FB,27.44,28.06,27.72,27.76,32400700.0
2013-03-05,FB,27.21,28.18,27.52,27.88,40622200.0
2013-03-06,FB,27.35,28.13,27.453000000000003,28.1,33532600.0
2013-03-07,FB,27.4721,28.675,28.578000000000003,27.57,74540200.0
2013-03-08,FB,27.73,28.47,27.96,28.4244,44198900.0
2013-03-11,FB,27.83,28.64,28.14,28.0108,35642100.0
2013-03-12,FB,27.6,28.32,27.83,28.1,27569600.0
2013-03-13,FB,26.92,27.65,27.08,27.6198,39619500.0
2013-03-14,FB,26.83,27.43,27.04,27.0979,27646400.0
2013-03-15,FB,26.56,27.06,26.645,27.03,31597400.0
2013-03-18,FB,25.78,26.79,26.49,26.37,26653700.0
2013-03-19,FB,26.21,26.9,26.55,26.53,25254200.0
2013-03-20,FB,25.78,26.69,25.86,26.6791,44006500.0
2013-03-21,FB,25.56,26.11,25.74,25.66,24336100.0
2013-03-22,FB,25.63,26.01,25.73,25.796,18456300.0
2013-03-25,FB,25.078000000000003,25.8,25.131,25.75,39199000.0
2013-03-26,FB,25.03,25.48,25.205,25.08,26957200.0
