Date,symbol,Low,High,Close,Open,Volume
2011-09-16,FBHS,11.0,12.93,12.7,11.9,969900.0
2011-09-19,FBHS,12.0,13.7801,13.78,12.25,665400.0
2011-09-20,FBHS,13.33,14.02,13.7,13.98,794800.0
2011-09-21,FBHS,13.18,14.0,13.4,13.8,619000.0
2011-09-22,FBHS,12.4,13.25,13.2,13.09,1230500.0
2011-09-23,FBHS,12.02,13.4007,12.25,13.4,406200.0
2011-09-26,FBHS,11.39,12.67,12.67,12.3901,181900.0
2011-09-27,FBHS,12.75,14.34,13.37,12.75,1788000.0
2011-09-28,FBHS,12.75,13.7,12.85,13.2915,251700.0
2011-09-29,FBHS,12.67,13.2495,13.17,13.0,222300.0
2011-09-30,FBHS,12.06,13.25,12.4,13.03,623100.0
2011-10-03,FBHS,11.75,12.68,12.3,12.0,23632200.0
2011-10-04,FBHS,11.05,13.25,12.3,12.19,6068200.0
2011-10-05,FBHS,11.26,12.3,12.2,11.55,1983000.0
2011-10-06,FBHS,11.9,12.98,12.76,11.9,3333600.0
2011-10-07,FBHS,12.27,13.0,12.35,12.59,2049900.0
2011-10-10,FBHS,11.9892,12.44,12.37,12.35,1922500.0
2011-10-11,FBHS,11.48,12.76,12.48,11.5,3015200.0
2011-10-12,FBHS,12.38,12.8,12.6,12.46,3255100.0
2011-10-13,FBHS,12.15,12.77,12.62,12.3995,3575300.0
2011-10-14,FBHS,12.38,13.07,13.01,12.62,1658700.0
2011-10-17,FBHS,13.0,13.73,13.72,13.03,1767600.0
2011-10-18,FBHS,13.78,15.25,14.48,13.8,5257400.0
2011-10-19,FBHS,14.33,15.25,15.06,14.33,3400100.0
2011-10-20,FBHS,14.68,15.24,14.93,14.91,1252900.0
2011-10-21,FBHS,14.78,15.49,14.95,15.11,1741300.0
2011-10-24,FBHS,14.92,16.4,15.8,14.92,2008800.0
2011-10-25,FBHS,14.75,15.83,14.78,15.74,2284900.0
2011-10-26,FBHS,14.51,15.33,14.88,14.71,856900.0
2011-10-27,FBHS,14.97,15.9,15.42,14.9804,1130900.0
2011-10-28,FBHS,14.76,15.33,14.92,15.27,1000700.0
2011-10-31,FBHS,14.46,15.26,14.53,14.7,1162200.0
2011-11-01,FBHS,14.11,14.9096,14.67,14.26,1174900.0
2011-11-02,FBHS,14.62,15.5,15.07,14.8,1289200.0
2011-11-03,FBHS,14.5,15.5,15.0,15.42,2279900.0
2011-11-04,FBHS,14.72,15.06,15.0,14.77,611700.0
2011-11-07,FBHS,14.66,14.98,14.79,14.88,1102000.0
2011-11-08,FBHS,14.8,15.53,15.09,14.83,708800.0
2011-11-09,FBHS,14.8,15.15,14.9,14.87,1301400.0
2011-11-10,FBHS,14.85,15.81,15.7,14.91,801700.0
2011-11-11,FBHS,15.12,16.0,15.25,15.88,476900.0
2011-11-14,FBHS,14.92,15.49,15.03,15.1104,325900.0
2011-11-15,FBHS,14.8,15.72,15.49,14.94,569400.0
2011-11-16,FBHS,14.9507,15.47,15.04,15.31,703200.0
2011-11-17,FBHS,14.88,15.62,15.53,14.95,699100.0
2011-11-18,FBHS,15.38,15.69,15.51,15.64,449500.0
2011-11-21,FBHS,14.98,15.3504,15.26,15.25,706800.0
2011-11-22,FBHS,15.15,15.44,15.37,15.15,428700.0
2011-11-23,FBHS,15.0,15.44,15.31,15.23,501200.0
2011-11-25,FBHS,15.15,15.5,15.45,15.2,96000.0
2011-11-28,FBHS,15.49,16.0,15.97,15.81,507600.0
2011-11-29,FBHS,15.67,16.39,16.01,15.96,461800.0
2011-11-30,FBHS,16.21,16.74,16.68,16.37,2037200.0
2011-12-01,FBHS,15.94,16.8,15.99,16.61,664000.0
2011-12-02,FBHS,16.15,16.57,16.52,16.19,950600.0
2011-12-05,FBHS,16.34,16.84,16.45,16.69,406600.0
2011-12-06,FBHS,16.3,16.69,16.47,16.48,787800.0
2011-12-07,FBHS,15.75,16.64,16.45,16.2598,538800.0
2011-12-08,FBHS,15.95,16.54,16.41,16.15,707700.0
2011-12-09,FBHS,16.32,17.0898,17.01,16.39,787200.0
2011-12-12,FBHS,16.159000000000002,16.94,16.32,16.87,563300.0
2011-12-13,FBHS,15.68,16.48,15.78,16.3311,313700.0
2011-12-14,FBHS,15.4,16.05,15.98,15.68,377900.0
2011-12-15,FBHS,15.7,16.53,15.91,16.12,797700.0
2011-12-16,FBHS,15.33,15.97,15.59,15.92,2164400.0
2011-12-19,FBHS,15.2,15.92,15.33,15.61,778100.0
2011-12-20,FBHS,15.53,15.82,15.75,15.56,513500.0
2011-12-21,FBHS,15.65,16.387,16.2,15.69,776000.0
2011-12-22,FBHS,16.22,16.53,16.45,16.31,1535500.0
2011-12-23,FBHS,16.5,16.84,16.7,16.52,305400.0
2011-12-27,FBHS,16.521,16.8385,16.65,16.59,172000.0
2011-12-28,FBHS,16.34,16.65,16.39,16.6,599000.0
2011-12-29,FBHS,16.23,16.72,16.64,16.36,537300.0
2011-12-30,FBHS,16.62,17.0424,17.03,16.62,402100.0
2012-01-03,FBHS,16.76,17.36,16.82,17.26,1442200.0
2012-01-04,FBHS,16.72,17.1,17.03,16.75,1958500.0
2012-01-05,FBHS,16.88,17.7,17.33,16.93,1579900.0
2012-01-06,FBHS,17.08,18.0,17.65,17.37,642200.0
2012-01-09,FBHS,17.27,17.93,17.78,17.69,654800.0
2012-01-10,FBHS,17.72,18.1045,18.02,18.0,691900.0
2012-01-11,FBHS,17.75,18.02,17.98,17.9,3590700.0
2012-01-12,FBHS,17.977,18.35,18.29,18.32,1250400.0
2012-01-13,FBHS,17.82,18.3501,18.22,18.18,564300.0
2012-01-17,FBHS,17.81,18.375,17.92,18.3,496100.0
2012-01-18,FBHS,17.58,18.0,17.81,17.89,1438200.0
2012-01-19,FBHS,17.77,18.17,18.1,17.82,596100.0
2012-01-20,FBHS,17.77,18.12,17.89,18.12,1201900.0
2012-01-23,FBHS,17.6,18.04,17.78,17.86,1738000.0
2012-01-24,FBHS,17.52,17.86,17.86,17.71,318800.0
2012-01-25,FBHS,17.56,17.9,17.9,17.85,975400.0
2012-01-26,FBHS,17.7,17.982,17.91,17.8897,667400.0
2012-01-27,FBHS,17.8,18.028,17.95,17.87,424900.0
2012-01-30,FBHS,17.74,18.35,18.32,17.75,705000.0
2012-01-31,FBHS,18.36,18.66,18.57,18.36,703300.0
2012-02-01,FBHS,18.4997,19.2,18.89,18.54,2145800.0
2012-02-02,FBHS,18.58,19.25,19.25,18.87,838000.0
2012-02-03,FBHS,19.32,19.83,19.55,19.32,1732900.0
2012-02-06,FBHS,18.7997,19.44,18.84,19.44,907500.0
2012-02-07,FBHS,18.28,18.8,18.65,18.8,1369000.0
2012-02-08,FBHS,18.51,19.14,19.11,18.64,1063900.0
2012-02-09,FBHS,18.935,19.320999999999998,19.22,19.1,957200.0
2012-02-10,FBHS,18.97,19.39,19.34,19.06,1215200.0
2012-02-13,FBHS,19.11,19.53,19.52,19.41,803200.0
2012-02-14,FBHS,19.2596,19.8,19.72,19.36,929400.0
2012-02-15,FBHS,19.3292,20.15,19.49,19.9,1058700.0
2012-02-16,FBHS,19.3,19.66,19.52,19.44,650900.0
2012-02-17,FBHS,19.3,19.73,19.32,19.56,470300.0
2012-02-21,FBHS,19.3,19.64,19.46,19.31,668100.0
2012-02-22,FBHS,19.2,19.46,19.24,19.4,922600.0
2012-02-23,FBHS,18.85,19.77,19.75,19.16,1001800.0
