Date,symbol,Low,High,Close,Open,Volume
1999-09-28,FISV,31.5,32.75,32.063,31.813000000000002,4211200.0
1999-09-29,FISV,31.0,32.0,31.125,31.875,2254000.0
1999-09-30,FISV,30.938000000000002,32.75,32.5,31.125,6570400.0
1999-10-01,FISV,31.0,32.438,31.375,32.0,4278000.0
1999-10-04,FISV,31.0,31.75,31.188000000000002,31.625,4936800.0
1999-10-05,FISV,27.813000000000002,31.0,28.313000000000002,30.875,15181200.0
1999-10-06,FISV,26.875,29.375,27.063000000000002,28.75,12744400.0
1999-10-07,FISV,25.25,27.938000000000002,26.844,27.375,15612400.0
1999-10-08,FISV,26.125,27.063000000000002,26.25,27.063000000000002,5692000.0
1999-10-11,FISV,25.75,28.188000000000002,28.125,26.188000000000002,8060800.0
1999-10-12,FISV,26.625,28.125,26.813000000000002,28.125,5938800.0
1999-10-13,FISV,25.625,27.0,25.656,26.875,5627200.0
1999-10-14,FISV,26.125,27.438000000000002,26.656,26.125,6152800.0
1999-10-15,FISV,25.25,27.5,26.063000000000002,26.25,6478800.0
1999-10-18,FISV,24.125,26.125,24.75,26.0,4409200.0
1999-10-19,FISV,26.0,29.2503,28.75,26.313000000000002,11959200.0
1999-10-20,FISV,28.875,31.5,31.375,29.0,7880800.0
1999-10-21,FISV,29.313000000000002,30.625,29.813000000000002,30.624000000000002,5840400.0
1999-10-22,FISV,30.0,30.875,30.25,30.125,7218400.0
1999-10-25,FISV,29.75,30.5,30.0,30.188000000000002,4574400.0
1999-10-26,FISV,29.625,31.0,29.75,30.0,3418800.0
1999-10-27,FISV,28.938000000000002,29.938000000000002,28.938000000000002,29.938000000000002,2475600.0
1999-10-28,FISV,29.125,30.625,30.25,29.375,4186000.0
1999-10-29,FISV,30.5,32.5,32.0,30.5648,3174000.0
1999-11-01,FISV,30.75,32.0607,30.938000000000002,32.063,3157200.0
1999-11-02,FISV,30.125,31.25,31.0,31.125,4963200.0
1999-11-03,FISV,30.625,31.4993,31.125,31.188000000000002,4230000.0
1999-11-04,FISV,31.0,31.75,31.5,31.375,5922400.0
1999-11-05,FISV,31.563000000000002,32.813,32.25,31.625,5623600.0
1999-11-08,FISV,32.938,34.938,34.75,33.0,8017200.0
1999-11-09,FISV,34.344,35.75,35.438,35.0,8302000.0
1999-11-10,FISV,33.0021,35.625,34.063,35.625,7480800.0
1999-11-11,FISV,33.875,35.0,34.063,34.188,7796800.0
1999-11-12,FISV,34.0,34.625,34.25,34.4367,5504400.0
1999-11-15,FISV,34.188,35.0,34.625,34.188,2041200.0
1999-11-16,FISV,34.1859,36.125,35.875,34.25,3555600.0
1999-11-17,FISV,33.5,36.1875,33.75,35.875,8148000.0
1999-11-18,FISV,33.875,35.938,35.813,34.125,3491200.0
1999-11-19,FISV,35.188,36.375,36.313,36.188,2994400.0
1999-11-22,FISV,34.938,36.188,35.813,36.188,2534800.0
1999-11-23,FISV,35.125,36.5,35.438,35.813,3367600.0
1999-11-24,FISV,35.25,36.875,36.375,35.563,3244800.0
1999-11-26,FISV,35.438,36.438,35.75,36.063,1225200.0
1999-11-29,FISV,34.875,36.0,35.0,35.7496,3059200.0
1999-11-30,FISV,35.0,36.563,35.5,35.125,5952000.0
1999-12-01,FISV,35.0,35.938,35.625,35.5,3812800.0
1999-12-02,FISV,35.375,36.25,36.25,35.438,3726400.0
1999-12-03,FISV,36.25,37.375,37.0,36.25,4855600.0
1999-12-06,FISV,36.0,37.25,36.5,36.938,5425200.0
1999-12-07,FISV,35.75,37.125,36.375,36.344,3494800.0
1999-12-08,FISV,35.5,37.25,35.813,35.753,3709200.0
1999-12-09,FISV,34.75,36.314,35.438,36.188,3764800.0
1999-12-10,FISV,35.188,36.25,35.875,35.625,2186400.0
1999-12-13,FISV,35.2497,36.75,36.75,35.75,2332000.0
1999-12-14,FISV,35.5,36.75,35.563,36.75,1955200.0
1999-12-15,FISV,35.0,36.625,36.5,35.5016,4439200.0
1999-12-16,FISV,36.0,38.25,38.125,36.313,5898000.0
1999-12-17,FISV,37.375,40.25,37.5,39.75,10226400.0
