Date,symbol,Low,High,Close,Open,Volume
1999-09-28,FITB,58.75,60.25,59.875,59.5303,601900.0
1999-09-29,FITB,59.125,59.875,59.125,59.843999999999994,387300.0
1999-09-30,FITB,59.063,61.0,60.843999999999994,59.626999999999995,1298400.0
1999-10-01,FITB,59.125,60.625,60.063,60.25,695700.0
1999-10-04,FITB,60.125,62.8716,62.75,60.25,1465200.0
1999-10-05,FITB,61.375,63.938,61.906000000000006,62.563,1860000.0
1999-10-06,FITB,61.875,64.125,64.0,62.063,1197300.0
1999-10-07,FITB,62.375,64.375,62.438,64.375,849700.0
1999-10-08,FITB,62.625,66.0,66.0,62.938,1593300.0
1999-10-11,FITB,65.25,66.375,65.938,65.5,1650900.0
1999-10-12,FITB,65.563,66.063,65.938,65.688,1599400.0
1999-10-13,FITB,63.5,65.875,63.938,65.875,1414500.0
1999-10-14,FITB,62.125,63.875,62.813,63.875,952500.0
1999-10-15,FITB,59.125,61.625,60.375,61.5004,1999000.0
1999-10-18,FITB,57.875,60.375,59.438,60.125,1763800.0
1999-10-19,FITB,60.125,62.5,61.688,60.375,1653900.0
1999-10-20,FITB,62.313,63.813,63.656000000000006,62.438,750400.0
1999-10-21,FITB,62.5,64.375,64.188,63.063,507000.0
1999-10-22,FITB,64.5,65.875,65.125,64.5,1313100.0
1999-10-25,FITB,64.0,65.625,65.0,64.469,868000.0
1999-10-26,FITB,63.438,65.688,63.625,65.0,827500.0
1999-10-27,FITB,63.625,66.188,66.063,63.906000000000006,1197600.0
1999-10-28,FITB,67.375,70.0,70.0,67.375,2387100.0
1999-10-29,FITB,70.0,74.0,73.813,70.0,4012000.0
1999-11-01,FITB,72.0,73.625,73.563,73.125,2039400.0
1999-11-02,FITB,70.438,73.313,71.0,73.0,2310300.0
1999-11-03,FITB,69.5,71.813,70.063,71.5011,1756000.0
1999-11-04,FITB,70.25,72.0,71.375,70.375,1407900.0
1999-11-05,FITB,72.0,72.75,72.188,72.125,880800.0
1999-11-08,FITB,71.625,72.188,72.094,72.065,876700.0
1999-11-09,FITB,69.7547,72.5,70.125,72.25,740100.0
1999-11-10,FITB,68.75,70.875,70.813,69.75,698100.0
1999-11-11,FITB,69.5,70.75,69.688,70.563,772800.0
1999-11-12,FITB,70.063,72.063,71.938,70.219,921400.0
1999-11-15,FITB,71.75,73.875,73.875,71.75,1358400.0
1999-11-16,FITB,73.75,75.125,74.938,73.906,1835100.0
1999-11-17,FITB,73.188,75.4447,73.75,75.0,1241200.0
1999-11-18,FITB,72.438,73.625,73.313,73.125,795400.0
1999-11-19,FITB,72.563,73.594,73.313,73.0,1473700.0
1999-11-22,FITB,70.688,73.25,71.25,73.188,1754100.0
1999-11-23,FITB,69.813,71.375,70.125,71.25,907600.0
1999-11-24,FITB,69.0,69.938,69.5,69.875,1082200.0
1999-11-26,FITB,68.75,69.563,69.188,69.5,479700.0
1999-11-29,FITB,67.0634,68.438,68.25,68.438,2491200.0
1999-11-30,FITB,67.75,70.188,70.0,68.125,1210200.0
1999-12-01,FITB,67.375,69.625,67.75,69.563,1282000.0
1999-12-02,FITB,67.252,68.75,68.625,67.875,972400.0
1999-12-03,FITB,69.125,72.594,71.75,69.5,1180200.0
1999-12-06,FITB,68.125,71.5,68.375,71.5,1404000.0
1999-12-07,FITB,65.875,68.625,67.188,68.625,1651500.0
1999-12-08,FITB,65.0,67.9402,65.313,67.625,1066900.0
1999-12-09,FITB,64.438,66.875,65.844,65.875,1006000.0
1999-12-10,FITB,64.625,67.188,64.625,66.5,782100.0
1999-12-13,FITB,63.5,66.0,65.813,64.594,1161000.0
1999-12-14,FITB,65.625,66.313,66.313,65.813,2219100.0
1999-12-15,FITB,64.75,66.25,65.375,66.0,741600.0
1999-12-16,FITB,63.875,66.188,65.188,65.5,2718700.0
