Date,symbol,Low,High,Close,Open,Volume
2000-12-01,FLR,22.5,28.125,27.063000000000002,22.5,23200.0
2000-12-04,FLR,27.25,30.0,30.0,27.75,31000.0
2000-12-05,FLR,30.0,31.0,30.313000000000002,31.0,12800.0
2000-12-06,FLR,30.0,30.375,30.063000000000002,30.0,10400.0
2000-12-07,FLR,29.625,30.0,29.625,30.0,2600.0
2000-12-08,FLR,29.938000000000002,30.0,30.0,29.938000000000002,4200.0
2000-12-11,FLR,29.625,30.375,30.375,29.875,32600.0
2000-12-12,FLR,29.75,30.313000000000002,30.313000000000002,29.75,3600.0
2000-12-13,FLR,30.5,30.75,30.75,30.5,2400.0
2000-12-14,FLR,30.5,30.625,30.5,30.625,2800.0
2000-12-15,FLR,29.5,30.25,29.5,30.125,83000.0
2000-12-18,FLR,29.5,30.25,30.25,29.5,23200.0
2000-12-19,FLR,30.0,30.4969,30.313000000000002,30.0,3600.0
2000-12-20,FLR,29.25,30.0,29.5,30.0011,42400.0
2000-12-21,FLR,28.75,29.375,28.938000000000002,29.375,243400.0
2000-12-22,FLR,29.5,33.188,32.688,29.5,585200.0
2000-12-26,FLR,32.125,32.875,32.313,32.563,278600.0
2000-12-27,FLR,32.438,33.063,33.063,32.438,421000.0
2000-12-28,FLR,32.625,33.25,33.188,32.688,316200.0
2000-12-29,FLR,31.7487,33.313,33.063,33.063,539800.0
2001-01-02,FLR,33.0,34.625,34.25,33.0,570400.0
2001-01-03,FLR,34.313,35.125,34.75,34.875,824200.0
2001-01-04,FLR,34.25,34.75,34.625,34.625,525200.0
2001-01-05,FLR,33.5024,34.688,33.625,34.438,1357600.0
2001-01-08,FLR,33.5,34.063,33.688,34.001999999999995,1843600.0
2001-01-09,FLR,33.313,33.625,33.563,33.438,422200.0
2001-01-10,FLR,33.25,33.625,33.563,33.313,414200.0
2001-01-11,FLR,33.188,33.688,33.438,33.563,523400.0
2001-01-12,FLR,33.25,33.438,33.25,33.313,802600.0
2001-01-16,FLR,32.75,33.125,33.0,32.75,541000.0
2001-01-17,FLR,32.875,33.75,33.438,33.0,410600.0
2001-01-18,FLR,33.063,33.563,33.438,33.2513,798200.0
2001-01-19,FLR,32.813,33.375,32.938,33.188,511200.0
2001-01-22,FLR,32.188,32.875,32.438,32.438,368400.0
2001-01-23,FLR,32.0,32.625,32.625,32.25,583000.0
2001-01-24,FLR,32.0,32.688,32.563,32.5,479800.0
2001-01-25,FLR,32.5,33.25,33.188,32.5,408200.0
2001-01-26,FLR,33.063,33.438,33.188,33.188,645400.0
2001-01-29,FLR,32.75,33.18,32.82,33.02,772400.0
2001-01-30,FLR,31.7,32.57,31.82,32.57,377200.0
