Date,symbol,Low,High,Close,Open,Volume
1999-09-28,FMC,45.7523,47.688,46.5,47.688,1046900.0
1999-09-29,FMC,46.625,48.125,47.0,46.625,814900.0
1999-09-30,FMC,47.125,49.375,48.25,47.125,1249300.0
1999-10-01,FMC,46.0,48.5,46.625,48.25,447300.0
1999-10-04,FMC,45.438,47.125,45.688,46.875,536300.0
1999-10-05,FMC,44.968999999999994,45.813,45.188,45.6203,445000.0
1999-10-06,FMC,43.688,45.0,44.75,44.688,558900.0
1999-10-07,FMC,44.125,46.0,45.063,44.75,483700.0
1999-10-08,FMC,44.3734,46.25,45.188,44.938,346800.0
1999-10-11,FMC,45.25,46.375,45.813,45.25,440900.0
1999-10-12,FMC,44.25,46.0,44.5,46.0,297900.0
1999-10-13,FMC,43.75,44.375,43.75,44.375,241600.0
1999-10-14,FMC,41.9983,44.75,42.125,44.25,753600.0
1999-10-15,FMC,39.997,42.125,40.125,41.875,929300.0
1999-10-18,FMC,40.6267,43.25,43.063,40.875,838900.0
1999-10-19,FMC,40.313,43.5,40.813,42.8771,640600.0
1999-10-20,FMC,39.938,42.25,40.25,41.063,747600.0
1999-10-21,FMC,39.25,41.125,39.938,40.375,698700.0
1999-10-22,FMC,39.938,41.25,41.0,40.125,630400.0
1999-10-25,FMC,41.063,41.875,41.375,41.188,649800.0
1999-10-26,FMC,39.5,41.25,39.625,41.125,428900.0
1999-10-27,FMC,39.75,41.25,40.375,39.75,1116100.0
1999-10-28,FMC,40.313,40.375,40.313,40.313,992500.0
1999-10-29,FMC,40.313,41.125,40.688,40.3713,832900.0
1999-11-01,FMC,40.688,42.125,42.125,40.688,875800.0
1999-11-02,FMC,41.75,43.563,43.063,42.25,1364600.0
1999-11-03,FMC,43.5,44.313,44.25,44.0,1053300.0
1999-11-04,FMC,44.188,45.125,44.938,45.0,1437000.0
1999-11-05,FMC,44.5,45.125,44.563,44.75,1013700.0
1999-11-08,FMC,44.625,45.625,45.5,44.625,1023800.0
1999-11-09,FMC,45.75,46.563,46.0,46.0,1124400.0
1999-11-10,FMC,46.0,46.875,46.375,46.0,667300.0
1999-11-11,FMC,45.813,46.3747,45.938,46.188,567700.0
1999-11-12,FMC,45.625,46.688,46.125,46.25,855000.0
1999-11-15,FMC,46.125,47.125,46.563,46.125,460200.0
1999-11-16,FMC,46.813,47.75,47.375,46.813,388700.0
1999-11-17,FMC,47.375,48.5,48.188,47.375,540000.0
1999-11-18,FMC,47.938,48.5,48.0,48.375,744300.0
1999-11-19,FMC,47.125,48.188,47.25,48.188,552900.0
1999-11-22,FMC,47.0,47.875,47.0,47.25,778000.0
1999-11-23,FMC,46.188,47.375,47.125,47.0,933900.0
1999-11-24,FMC,46.938,47.5,47.063,47.25,789100.0
1999-11-26,FMC,47.0,47.313,47.063,47.1272,245800.0
1999-11-29,FMC,46.813,47.438,47.375,47.063,912700.0
1999-11-30,FMC,47.375,48.75,48.5,47.563,970800.0
1999-12-01,FMC,47.625,49.0,48.25,49.0,749900.0
1999-12-02,FMC,46.938,48.25,47.0,48.25,542800.0
1999-12-03,FMC,47.313,49.25,49.0,47.5,606900.0
1999-12-06,FMC,48.125,49.5,48.313,49.125,456100.0
1999-12-07,FMC,46.625,48.5,46.625,48.375,440400.0
1999-12-08,FMC,46.688,48.5,48.375,46.75,610600.0
1999-12-09,FMC,46.25,48.313,46.25,48.25,457000.0
