Date,symbol,Low,High,Close,Open,Volume
2019-03-13,FOX,50.62,51.09,51.06,50.78,306000.0
2019-03-14,FOX,50.85,51.71,51.32,51.04,279700.0
2019-03-15,FOX,51.43,51.88,51.72,51.43,164200.0
2019-03-18,FOX,50.94,51.54,51.04,51.35,581700.0
2019-03-19,FOX,39.05,41.4,39.55,41.4,2540200.0
2019-03-20,FOX,40.86,40.86,40.86,40.86,5147900.0
2019-03-21,FOX,40.86,40.86,40.86,40.86,8865500.0
2019-03-22,FOX,36.55,38.84,37.46,38.76,4902500.0
2019-03-25,FOX,36.353,37.81,36.45,37.57,4035100.0
2019-03-26,FOX,36.46,37.35,36.71,36.46,3350900.0
2019-03-27,FOX,36.06,37.17,36.2,36.75,2871300.0
2019-03-28,FOX,35.55,36.47,35.67,36.14,2220600.0
2019-03-29,FOX,35.3928,36.17,35.88,35.88,2679200.0
2019-04-01,FOX,35.94,36.34,36.15,36.17,4338400.0
2019-04-02,FOX,35.21,36.46,35.7,36.21,1491200.0
2019-04-03,FOX,35.3,35.89,35.5,35.78,2831600.0
2019-04-04,FOX,35.39,36.07,36.03,35.56,2223200.0
2019-04-05,FOX,35.99,37.085,36.98,35.99,2116200.0
2019-04-08,FOX,36.65,36.94,36.85,36.94,1929000.0
2019-04-09,FOX,36.59,37.07,36.89,36.8064,1793900.0
2019-04-10,FOX,35.86,37.05,35.93,36.91,843600.0
2019-04-11,FOX,35.53,36.5,36.41,35.98,978200.0
2019-04-12,FOX,35.9192,37.08,36.95,36.47,3175200.0
2019-04-15,FOX,36.47,36.99,36.98,36.91,891200.0
2019-04-16,FOX,36.93,37.28,37.21,37.11,1869000.0
2019-04-17,FOX,37.18,38.25,38.21,37.18,2122100.0
2019-04-18,FOX,37.92,38.37,37.92,38.34,2315200.0
2019-04-22,FOX,37.11,37.8805,37.24,37.84,1665000.0
2019-04-23,FOX,37.07,37.82,37.6,37.22,5455100.0
2019-04-24,FOX,37.33,37.7614,37.45,37.51,1230800.0
2019-04-25,FOX,37.04,37.68,37.64,37.4803,1422800.0
2019-04-26,FOX,37.4,37.94,37.91,37.8,2505700.0
2019-04-29,FOX,37.69,38.91,38.73,37.74,1716800.0
2019-04-30,FOX,37.89,38.78,38.5,38.59,1810000.0
2019-05-01,FOX,38.09,38.8,38.74,38.66,1475000.0
2019-05-02,FOX,36.5,38.8,36.84,38.75,2627700.0
2019-05-03,FOX,36.64,37.26,37.02,36.86,1229700.0
2019-05-06,FOX,36.47,37.4,37.31,36.72,1533900.0
2019-05-07,FOX,36.575,37.22,36.7,36.97,1412300.0
2019-05-08,FOX,36.27,37.08,36.82,36.56,2108700.0
2019-05-09,FOX,36.95,38.63,37.97,38.08,3458200.0
2019-05-10,FOX,36.98,38.25,38.05,37.9,1633500.0
2019-05-13,FOX,37.22,38.15,37.5,37.48,1598400.0
2019-05-14,FOX,37.405,38.025,37.48,37.54,1663100.0
2019-05-15,FOX,37.13,37.48,37.23,37.24,873900.0
2019-05-16,FOX,36.28,37.6,36.32,37.28,2680000.0
2019-05-17,FOX,36.08,37.07,36.83,36.08,1084400.0
2019-05-20,FOX,36.5397,37.14,36.68,36.54,996400.0
2019-05-21,FOX,36.64,37.525,37.18,36.82,1272400.0
2019-05-22,FOX,36.62,37.29,36.67,37.1,830200.0
2019-05-23,FOX,36.18,36.63,36.51,36.39,1860100.0
2019-05-24,FOX,36.4,36.76,36.45,36.51,828100.0
2019-05-28,FOX,36.11,36.95,36.16,36.59,2384600.0
2019-05-29,FOX,35.28,36.16,35.3,36.0,1437600.0
2019-05-30,FOX,34.69,35.695,34.81,35.36,1079700.0
2019-05-31,FOX,34.25,34.81,34.71,34.55,1736500.0
2019-06-03,FOX,33.32,34.81,33.78,34.61,2219500.0
2019-06-04,FOX,33.75,34.81,34.09,34.03,2276200.0
2019-06-05,FOX,33.9,34.57,34.02,34.24,1346900.0
2019-06-06,FOX,33.599000000000004,34.23,33.74,34.01,1209100.0
2019-06-07,FOX,33.66,34.05,33.68,33.84,925100.0
2019-06-10,FOX,33.56,34.038000000000004,33.74,33.86,1142800.0
2019-06-11,FOX,33.65,34.04,33.83,33.77,1201800.0
2019-06-12,FOX,33.8,34.7365,34.7,33.81,2240300.0
2019-06-13,FOX,34.6,35.12,34.94,34.96,1315400.0
2019-06-14,FOX,34.56,35.16,34.96,34.99,2414700.0
2019-06-17,FOX,35.04,35.9656,35.8,35.18,2288000.0
2019-06-18,FOX,35.71,36.72,35.83,36.09,2680900.0
2019-06-19,FOX,35.35,36.08,35.74,35.88,2011500.0
2019-06-20,FOX,35.31,36.15,35.35,36.15,1879700.0
2019-06-21,FOX,35.04,37.0,35.88,35.36,4338300.0
2019-06-24,FOX,35.39,35.79,35.54,35.72,1621000.0
2019-06-25,FOX,34.9,35.52,35.19,35.45,1853700.0
2019-06-26,FOX,35.16,35.89,35.31,35.46,2271900.0
2019-06-27,FOX,35.06,36.12,35.75,35.36,2880900.0
2019-06-28,FOX,35.67,36.64,36.53,35.89,4921100.0
2019-07-01,FOX,35.715,36.87,35.96,36.82,2691300.0
2019-07-02,FOX,35.96,36.57,36.53,35.96,1431200.0
2019-07-03,FOX,36.31,36.77,36.35,36.7,918900.0
2019-07-05,FOX,36.07,36.77,36.56,36.28,1190600.0
2019-07-08,FOX,36.05,36.935,36.13,36.36,910700.0
2019-07-09,FOX,35.79,36.29,36.01,35.98,1661300.0
2019-07-10,FOX,36.03,36.41,36.14,36.11,1177600.0
2019-07-11,FOX,35.85,36.37,36.31,36.13,1206500.0
2019-07-12,FOX,36.32,37.01,36.96,36.32,1582900.0
2019-07-15,FOX,36.61,37.21,37.04,37.12,1344900.0
2019-07-16,FOX,36.61,37.11,36.69,37.08,1613100.0
2019-07-17,FOX,36.093,36.72,36.17,36.62,1892200.0
2019-07-18,FOX,36.0,36.76,36.61,36.1,3015700.0
2019-07-19,FOX,36.2,36.76,36.45,36.7136,1934300.0
2019-07-22,FOX,36.28,36.64,36.32,36.47,1557800.0
2019-07-23,FOX,35.99,36.75,36.51,36.35,2003200.0
2019-07-24,FOX,36.44,37.08,36.89,36.46,1233500.0
2019-07-25,FOX,36.9,37.54,37.43,36.91,1411800.0
2019-07-26,FOX,37.33,38.03,37.49,37.37,915600.0
2019-07-29,FOX,37.34,37.84,37.69,37.44,885800.0
2019-07-30,FOX,37.5,38.06,37.85,37.5,1825500.0
2019-07-31,FOX,36.772,37.7,37.2,37.7,1831300.0
2019-08-01,FOX,36.69,37.45,36.84,37.16,1757900.0
2019-08-02,FOX,36.29,36.85,36.56,36.84,1113400.0
2019-08-05,FOX,35.7539,36.48,36.0,36.28,2043700.0
2019-08-06,FOX,35.85,36.51,36.4,35.93,1536300.0
2019-08-07,FOX,35.76,36.93,36.79,36.05,1784900.0
2019-08-08,FOX,34.89,37.34,35.0,37.34,3361100.0
2019-08-09,FOX,34.8817,35.56,35.37,34.95,1337100.0
2019-08-12,FOX,34.67,35.28,34.81,35.28,1335100.0
2019-08-13,FOX,34.67,35.53,35.0,34.67,1708100.0
2019-08-14,FOX,33.369,34.78,33.66,34.78,1372300.0
2019-08-15,FOX,32.7098,34.03,32.81,33.65,2007500.0
