Date,symbol,Low,High,Close,Open,Volume
2019-03-12,FOXA,38.0,38.0,38.0,38.0,10000.0
2019-03-13,FOXA,38.7,39.9,39.75,39.0,20477400.0
2019-03-14,FOXA,39.75,41.4,40.65,39.75,6248600.0
2019-03-15,FOXA,41.24,41.87,41.7,41.38,7107300.0
2019-03-18,FOXA,41.05,41.95,41.7,41.95,4020900.0
2019-03-19,FOXA,39.84,41.7,40.34,41.55,10118500.0
2019-03-20,FOXA,38.24,40.81,38.62,40.49,15683200.0
2019-03-21,FOXA,38.75,40.07,40.02,39.0,12751700.0
2019-03-22,FOXA,37.69,39.99,38.72,39.93,10898000.0
2019-03-25,FOXA,37.39,38.96,37.44,38.89,9338900.0
2019-03-26,FOXA,37.51,38.28,37.54,37.65,6287100.0
2019-03-27,FOXA,36.76,37.91,36.92,37.52,5578100.0
2019-03-28,FOXA,36.34,37.15,36.4,36.8471,5326200.0
2019-03-29,FOXA,36.15,36.91,36.71,36.55,5895300.0
2019-04-01,FOXA,36.71,37.15,36.85,36.91,5311200.0
2019-04-02,FOXA,35.9,37.18,36.28,36.96,6704600.0
2019-04-03,FOXA,35.9,36.56,36.08,36.37,8393500.0
2019-04-04,FOXA,36.01,36.8,36.76,36.196999999999996,4908400.0
2019-04-05,FOXA,36.69,37.85,37.68,36.79,7344900.0
2019-04-08,FOXA,37.265,37.68,37.47,37.6,3393300.0
2019-04-09,FOXA,37.17,37.65,37.31,37.42,5725900.0
2019-04-10,FOXA,36.36,37.53,36.48,37.33,4828400.0
2019-04-11,FOXA,35.99,37.16,37.09,36.57,4791400.0
2019-04-12,FOXA,36.47,37.62,37.53,37.15,6368500.0
2019-04-15,FOXA,36.99,37.57,37.53,37.46,3927100.0
2019-04-16,FOXA,37.47,37.8543,37.75,37.67,5722000.0
2019-04-17,FOXA,37.76,38.85,38.84,37.8703,7603800.0
2019-04-18,FOXA,38.43,39.0,38.44,38.91,4737400.0
2019-04-22,FOXA,37.62,38.44,37.7,38.36,7675300.0
2019-04-23,FOXA,37.63,38.39,38.08,37.79,6328800.0
2019-04-24,FOXA,37.805,38.31,37.96,37.95,5323500.0
2019-04-25,FOXA,37.54,38.2,38.15,37.98,5309700.0
2019-04-26,FOXA,37.9,38.53,38.48,38.0794,5297400.0
2019-04-29,FOXA,38.31,39.525,39.2,38.54,6885200.0
2019-04-30,FOXA,38.47,39.33,38.99,39.19,5044400.0
2019-05-01,FOXA,38.66,39.49,39.4,39.12,5149800.0
2019-05-02,FOXA,37.08,39.47,37.28,39.23,11495900.0
2019-05-03,FOXA,37.12,37.75,37.47,37.41,4809800.0
2019-05-06,FOXA,36.96,37.99,37.92,37.17,4801300.0
2019-05-07,FOXA,37.12,37.81,37.26,37.58,6053300.0
2019-05-08,FOXA,36.855,37.7,37.42,37.34,8635300.0
2019-05-09,FOXA,37.51,39.25,38.5,38.4984,15210200.0
2019-05-10,FOXA,37.44,38.75,38.53,38.64,6742500.0
2019-05-13,FOXA,37.73,38.6783,37.97,37.77,5604000.0
2019-05-14,FOXA,37.872,38.52,37.89,38.0514,6198600.0
2019-05-15,FOXA,37.57,37.97,37.71,37.7,2975400.0
2019-05-16,FOXA,36.7,38.08,36.74,37.91,8704900.0
2019-05-17,FOXA,36.55,37.59,37.32,36.56,5508000.0
2019-05-20,FOXA,37.0,37.64,37.14,37.18,3670000.0
2019-05-21,FOXA,37.1,38.0,37.69,37.26,4668600.0
2019-05-22,FOXA,37.055,37.76,37.12,37.66,3431200.0
2019-05-23,FOXA,36.63,37.08,36.91,36.82,4431900.0
2019-05-24,FOXA,36.85,37.205,36.92,37.05,2879000.0
2019-05-28,FOXA,36.505,37.34,36.64,36.97,4380400.0
2019-05-29,FOXA,35.79,36.65,35.79,36.5,3691300.0
2019-05-30,FOXA,35.15,36.155,35.22,35.88,4730400.0
2019-05-31,FOXA,34.7,35.27,35.23,34.97,6706100.0
2019-06-03,FOXA,33.78,35.3,34.24,35.05,7665000.0
2019-06-04,FOXA,34.15,35.25,34.48,34.52,8058900.0
2019-06-05,FOXA,34.28,34.98,34.36,34.62,6240600.0
2019-06-06,FOXA,33.98,34.66,34.12,34.66,5288300.0
2019-06-07,FOXA,34.0,34.44,34.01,34.18,4226800.0
2019-06-10,FOXA,33.9,34.4,34.03,34.05,5620500.0
2019-06-11,FOXA,34.01,34.41,34.18,34.23,3166900.0
2019-06-12,FOXA,34.16,35.1,35.05,34.2,4426800.0
2019-06-13,FOXA,34.963,35.5,35.29,35.17,4384800.0
2019-06-14,FOXA,34.93,35.5,35.24,35.24,4362200.0
2019-06-17,FOXA,35.34,36.325,36.13,35.42,7195400.0
2019-06-18,FOXA,36.08,37.05,36.19,36.45,4938900.0
